,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
113,114,114,James Nitties,27,4.57,507.0,11100,,2.0
114,115,115,Robert Garrigus,25,4.55,433.0,9500,,1.0
115,116,116,D.J. Trahan,30,4.54,542.0,11950,,2.0
116,117,117,Mark Calcavecchia,23,4.51,411.0,9100,,3.0
117,118,118,Tommy Armour III,19,4.48,302.0,6750,,1.0
118,119,119,Jeff Quinney,26,4.47,425.0,9500,,2.0
119,120,120,Richard Johnson,26,4.46,417.0,9350,,2.0
120,121,121,Alex Cejka,25,4.45,412.0,9250,,2.0
121,122,122,Adam Scott,19,4.43,379.0,8550,,1.0
122,123,123,Charles Warren,20,4.12,330.0,8000,,
123,T124,T124,Tim Herron,27,4.11,421.0,10250,,
124,T124,T124,Rocco Mediate,22,4.11,327.0,7950,,1.0
125,126,126,Daniel Chopra,28,4.1,441.0,10750,,2.0
126,127,127,Tom Lehman,16,4.04,285.0,7050,,1.0
127,T128,T128,Greg Owen,30,3.98,448.0,11250,,1.0
128,T128,T128,Andres Romero,20,3.98,329.0,8250,,1.0
129,130,130,Trevor Immelman,13,3.97,248.0,6250,,
130,131,131,Loren Roberts,3,3.92,49.0,1250,,
131,132,132,Sandy Lyle,2,3.88,47.0,1200,,
132,133,133,Bill Lunde,27,3.85,414.0,10750,,1.0
133,134,134,Matt Bettencourt,31,3.83,463.0,12100,,2.0
134,135,135,Steve Flesch,27,3.81,389.0,10200,,2.0
135,136,136,David Mathis,27,3.77,377.0,10000,,
136,137,137,Harrison Frazar,28,3.72,400.0,10750,,
137,138,138,Scott Sterling,16,3.68,258.0,7000,,
138,139,139,Corey Pavin,23,3.57,334.0,9350,,
139,140,140,Patrick Sheehan,15,3.55,213.0,6000,,
140,141,141,Vaughn Taylor,28,3.51,386.0,11000,,1.0
141,142,142,Chris DiMarco,29,3.48,391.0,11250,,
142,143,143,Joe Ogilvie,29,3.47,373.0,10750,,1.0
143,T144,T144,Rich Beem,26,3.43,347.0,10100,,1.0
144,T144,T144,Heath Slocum,30,3.43,355.0,10350,,2.0
145,146,146,Ricky Barnes,23,3.39,300.0,8850,,1.0
146,147,147,Tag Ridings,16,3.38,220.0,6500,,1.0
147,148,148,Jeff Sluman,2,3.37,25.0,750,,
148,149,149,Chris Stroud,28,3.34,379.0,11350,,1.0
149,T150,T150,Jeff Maggert,28,3.3,363.0,11000,,2.0
150,T150,T150,Matt Weibring,22,3.3,264.0,8000,,1.0
151,152,152,Todd Hamilton,29,3.16,365.0,11550,,1.0
152,153,153,Jimmy Walker,24,3.15,284.0,9000,,1.0
153,154,154,Troy Matteson,30,3.14,354.0,11250,,
154,155,155,Will MacKenzie,24,3.12,292.0,9350,,2.0
155,156,156,Spencer Levin,25,3.11,295.0,9500,,1.0
156,157,157,Cliff Kresge,28,3.04,319.0,10500,,1.0
157,158,158,Aron Price,27,3.02,317.0,10500,,1.0
158,T159,T159,David Duval,22,2.98,274.0,9200,,1.0
159,T159,T159,Martin Laird,24,2.98,289.0,9700,,1.0
160,T159,T159,Ryan Palmer,26,2.98,324.0,10850,,1.0
161,T162,T162,Chris Smith,3,2.95,37.0,1250,,
162,T162,T162,Tim Wilkinson,14,2.95,177.0,6000,,1.0
163,164,164,Bart Bryant,17,2.93,227.0,7750,,1.0
164,165,165,Ken Duke,29,2.88,352.0,12200,,
165,166,166,Jonathan Kaye,17,2.76,221.0,8000,,1.0
166,167,167,Shaun Micheel,16,2.74,201.0,7350,,
167,T168,T168,Stuart Appleby,25,2.73,302.0,11050,,1.0
168,T168,T168,Glen Day,26,2.73,273.0,10000,,
169,170,170,Kris Blanks,20,2.69,202.0,7500,,1.0
170,171,171,Brendon de Jonge,29,2.68,315.0,11750,,2.0
171,172,172,Dean Wilson,29,2.59,291.0,11250,,
172,173,173,Nicholas Thompson,31,2.57,315.0,12250,,
173,T174,T174,J.P. Hayes,15,2.55,168.0,6600,,1.0
174,T174,T174,Tom Pernice Jr.,26,2.55,255.0,10000,,1.0
175,176,176,Frank Lickliter II,14,2.52,151.0,6000,,
176,T177,T177,Joe Durant,20,2.5,206.0,8250,,1.0
177,T177,T177,Steve Lowery,27,2.5,262.0,10500,,
178,T177,T177,Johnson Wagner,26,2.5,268.0,10750,,1.0
179,180,180,Neal Lancaster,6,2.47,56.0,2250,,
180,181,181,David Peoples,6,2.46,55.0,2250,,
181,182,182,Brad Adamonis,25,2.41,253.0,10500,,1.0
182,183,183,Mark Brooks,17,2.39,182.0,7600,,1.0
183,184,184,Omar Uresti,9,2.38,83.0,3500,,1.0
184,185,185,Skip Kendall,3,2.3,29.0,1250,,
185,186,186,Steve Elkington,23,2.26,194.0,8600,,
186,187,187,Jarrod Lyle,21,2.25,180.0,8000,,1.0
187,188,188,Darron Stiles,20,2.23,169.0,7600,,1.0
188,189,189,John Huston,13,2.22,133.0,6000,,
189,T190,T190,Dudley Hart,13,2.2,130.0,5900,,
190,T190,T190,Casey Wittenberg,25,2.2,211.0,9600,,1.0
191,192,192,Chez Reavie,27,2.17,240.0,11100,,1.0
192,193,193,Jay Williamson,22,2.15,172.0,8000,,
193,194,194,Mark Hensby,5,2.09,42.0,2000,,
194,T195,T195,Jason Gore,24,2.07,197.0,9500,,2.0
195,T195,T195,Carl Pettersson,29,2.07,258.0,12500,,
196,197,197,Bob Heintz,20,2.05,144.0,7000,,1.0
197,198,198,Paul Stankowski,9,2.01,75.0,3750,,
198,199,199,Guy Boros,7,1.98,55.0,2750,,
199,200,200,Arron Oberholser,4,1.97,30.0,1500,,
200,201,201,Aaron Watkins,18,1.95,117.0,6000,,1.0
201,202,202,Billy Mayfair,28,1.94,225.0,11600,,1.0
202,203,203,Tommy Gainey,15,1.88,122.0,6500,,
203,204,204,Brendon Todd,21,1.87,154.0,8250,,
204,T205,T205,Parker McLachlin,25,1.82,173.0,9500,,
205,T205,T205,Dicky Pride,10,1.82,73.0,4000,,1.0
206,T207,T207,Mathias Grönberg,13,1.8,90.0,5000,,
207,T207,T207,Kent Jones,24,1.8,162.0,9000,,1.0
208,209,209,John Daly,6,1.59,51.0,3200,,
209,210,210,Peter Lonard,30,1.55,182.0,11750,,
210,211,211,Robert Damron,5,1.52,23.0,1500,,
211,212,212,Tom Byrum,4,1.5,23.0,1500,,
212,213,213,Brian Vranesh,20,1.48,111.0,7500,,1.0
213,214,214,Kirk Triplett,20,1.46,124.0,8500,,
214,215,215,Chris Couch,8,1.43,57.0,4000,,
215,216,216,Tom Scherrer,2,1.4,11.0,750,,
216,T217,T217,Arjun Atwal,12,1.33,57.0,4250,,
217,T217,T217,"David Berganio, Jr.",15,1.33,93.0,7000,,
218,T217,T217,Colt Knost,24,1.33,127.0,9500,,
219,T220,T220,Wil Collins,18,1.3,91.0,7000,,
220,T220,T220,Greg Kraft,21,1.3,112.0,8600,,
221,222,222,Jay Delsing,7,1.27,35.0,2750,,
222,223,223,Marco Dawson,6,1.24,28.0,2250,,
223,224,224,Carlos Franco,10,1.22,49.0,4000,,
224,225,225,Bob Tway,13,1.05,56.0,5350,,
225,226,226,Scott Gutschewski,19,1.03,78.0,7600,,
226,227,227,Marc Turnesa,30,1.01,125.0,12400,,
227,228,228,Leif Olson,21,0.98,73.0,7500,,
228,229,229,Grant Waite,2,0.9,7.0,750,,
229,230,230,Peter Tomasulo,25,0.88,89.0,10100,,
230,231,231,Derek Fathauer,25,0.83,83.0,10000,,
231,232,232,Gary Woodland,18,0.82,68.0,8350,,
232,233,233,José Coceres,6,0.71,20.0,2750,,
233,234,234,Jesper Parnevik,14,0.67,42.0,6250,,
234,235,235,Eric Axley,30,0.59,70.0,11850,,
235,T236,T236,Fred Funk,6,0.5,12.0,2350,,
236,T236,T236,Rick Price,21,0.5,43.0,8500,,
237,238,238,James Oh,21,0.49,42.0,8500,,
238,239,239,Notah Begay III,15,0.4,28.0,7000,,
239,240,240,Brad Faxon,23,0.39,39.0,9750,,
240,241,241,Stephen Leaney,11,0.38,20.0,5250,,
241,242,242,Troy Kelly,17,0.2,15.0,7250,,
242,243,243,David Gossett,5,0.18,4.0,2000,,
243,244,244,Brian Bateman,25,0.17,17.0,10000,,
244,245,245,Steve Allan,17,0.13,10.0,7600,,
245,246,246,Matthew Borchert,19,0.11,8.0,7500,,
246,247,247,Billy Andrade,17,0.1,7.0,7750,,
247,248,248,Mark O'Meara,2,0.08,1.0,1200,,
248,249,249,Tyler Aldridge,17,0.07,5.0,7000,,
249,250,250,Greg Norman,3,0.06,1.0,1700,,
250,251,251,Steve Pate,4,0.05,1.0,1500,,
251,T252,T252,Paul Azinger,8,0.03,1.0,3850,,
252,T252,T252,Olin Browne,9,0.03,1.0,3750,,
253,T252,T252,Robin Freeman,5,0.03,1.0,1750,,
254,T252,T252,J.L. Lewis,4,0.03,,1500,,
