,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
54,55,55,Bryce Molder,16,669.0,,2.0,2762.0,
55,56,56,Woody Austin,19,667.0,,3.0,2764.0,
56,57,57,Mathew Goggin,21,662.0,,3.0,2769.0,
57,58,58,J.J. Henry,24,657.0,,3.0,2774.0,
58,59,59,Vijay Singh,19,647.0,,3.0,2784.0,
59,60,60,Jeff Klauk,23,645.0,,2.0,2786.0,
60,61,61,Scott Verplank,20,641.0,,4.0,2790.0,
61,62,62,J.B. Holmes,20,635.0,,2.0,2796.0,
62,63,63,Jason Bohn,19,631.0,,2.0,2800.0,
63,64,64,Brandt Snedeker,20,617.0,,4.0,2814.0,
64,65,65,Bob Estes,20,611.0,,2.0,2820.0,
65,66,66,Padraig Harrington,16,608.0,,2.0,2823.0,
66,67,67,Jason Day,15,599.0,,2.0,2832.0,
67,68,68,Jeff Overton,21,598.0,,3.0,2833.0,
68,69,69,Michael Letzig,22,597.0,,2.0,2834.0,
69,70,70,Stephen Ames,17,592.0,,4.0,2839.0,
70,71,71,Boo Weekley,20,590.0,,1.0,2841.0,
71,72,72,Jonathan Byrd,18,581.0,,2.0,2850.0,
72,73,73,Ted Purdy,24,580.0,,1.0,2851.0,
73,74,74,Fred Couples,13,569.0,,4.0,2862.0,
74,75,75,Scott McCarron,23,566.0,,3.0,2865.0,
75,76,76,Kevin Stadler,17,557.0,,1.0,2874.0,
76,77,77,Matt Kuchar,19,555.0,,2.0,2876.0,
77,78,78,Marc Leishman,22,547.0,,2.0,2884.0,
78,79,79,Greg Chalmers,21,543.0,,2.0,2888.0,
79,80,80,Tim Petrovic,25,543.0,,4.0,2888.0,
80,81,81,D.J. Trahan,24,542.0,,2.0,2889.0,
81,82,82,Bill Haas,23,535.0,,3.0,2896.0,
82,83,83,Scott Piercy,23,531.0,,2.0,2900.0,
83,84,84,D.A. Points,23,531.0,,3.0,2900.0,
84,85,85,Webb Simpson,23,519.0,,2.0,2912.0,
85,86,86,Kevin Streelman,23,518.0,,2.0,2913.0,
86,87,87,Nick O'Hern,21,512.0,,1.0,2919.0,
87,88,88,James Nitties,23,507.0,,2.0,2924.0,
88,89,89,Sergio Garcia,14,501.0,,2.0,2930.0,
89,90,90,Ryuji Imada,21,499.0,,,2932.0,
90,91,91,Justin Rose,18,492.0,,1.0,2939.0,
91,92,92,K.J. Choi,20,492.0,,1.0,2939.0,
92,93,93,Lee Janzen,20,491.0,,2.0,2940.0,
93,94,94,Ben Curtis,16,491.0,,1.0,2940.0,
94,95,95,George McNeill,21,480.0,,1.0,2951.0,
95,96,96,Cameron Beckman,20,469.0,,2.0,2962.0,
96,97,97,Matt Bettencourt,26,463.0,,2.0,2968.0,
97,98,98,Rod Pampling,20,452.0,,2.0,2979.0,
98,99,99,Greg Owen,24,448.0,,1.0,2983.0,
99,100,100,Daniel Chopra,23,441.0,,2.0,2990.0,
100,101,101,Michael Allen,18,440.0,,1.0,2991.0,
101,102,102,Robert Garrigus,20,433.0,,1.0,2998.0,
102,103,103,Aaron Baddeley,19,431.0,,2.0,3000.0,
103,104,104,James Driscoll,16,428.0,,1.0,3003.0,
104,105,105,Jeff Quinney,21,425.0,,2.0,3006.0,
105,106,106,Tim Herron,22,421.0,,,3010.0,
106,107,107,Freddie Jacobson,18,418.0,,2.0,3013.0,
107,108,108,Richard Johnson,20,417.0,,2.0,3014.0,
108,109,109,Bill Lunde,23,414.0,,1.0,3017.0,
109,110,110,Alex Cejka,21,412.0,,2.0,3019.0,
110,111,111,Mark Calcavecchia,18,411.0,,3.0,3020.0,
111,112,112,Harrison Frazar,23,400.0,,,3031.0,
112,113,113,Chris DiMarco,24,391.0,,,3040.0,
113,114,114,Steve Flesch,22,389.0,,2.0,3042.0,
114,115,115,Vaughn Taylor,24,386.0,,1.0,3045.0,
115,116,116,Adam Scott,17,379.0,,1.0,3052.0,
116,117,117,Chris Stroud,24,379.0,,1.0,3052.0,
117,118,118,David Mathis,22,377.0,,,3054.0,
118,119,119,Chris Riley,17,377.0,,1.0,3054.0,
119,120,120,Joe Ogilvie,24,373.0,,1.0,3058.0,
120,121,121,Todd Hamilton,24,365.0,,1.0,3066.0,
121,122,122,Roland Thatcher,11,364.0,,2.0,3067.0,
122,123,123,Jeff Maggert,23,363.0,,2.0,3068.0,
123,124,124,Heath Slocum,23,355.0,,2.0,3076.0,
124,125,125,Troy Matteson,25,354.0,,,3077.0,
125,126,126,Matt Jones,14,353.0,,2.0,3078.0,
126,127,127,Ken Duke,25,352.0,,,3079.0,
127,128,128,Rich Beem,22,347.0,,1.0,3084.0,
128,129,129,Corey Pavin,21,334.0,,,3097.0,
129,130,130,Tom Watson,2,330.0,,1.0,3101.0,
130,131,131,Charles Warren,18,330.0,,,3101.0,
131,132,132,Andres Romero,17,329.0,,1.0,3102.0,
132,133,133,Rocco Mediate,18,327.0,,1.0,3104.0,
133,134,134,Ryan Palmer,23,324.0,,1.0,3107.0,
134,135,135,Cliff Kresge,24,319.0,,1.0,3112.0,
135,136,136,Aron Price,23,317.0,,1.0,3114.0,
136,137,137,Brendon de Jonge,25,315.0,,2.0,3116.0,
137,138,138,Nicholas Thompson,27,315.0,,,3116.0,
138,139,139,Michael Bradley,14,306.0,1.0,1.0,3125.0,
139,140,140,Tommy Armour III,15,302.0,,1.0,3129.0,
140,141,141,Stuart Appleby,22,302.0,,1.0,3129.0,
141,142,142,Ricky Barnes,19,300.0,,1.0,3131.0,
142,143,143,Spencer Levin,21,295.0,,1.0,3136.0,
143,144,144,Will MacKenzie,20,292.0,,2.0,3139.0,
144,145,145,Dean Wilson,25,291.0,,,3140.0,
145,146,146,Martin Laird,21,289.0,,1.0,3142.0,
146,147,147,Tom Lehman,14,285.0,,1.0,3146.0,
147,148,148,Jimmy Walker,20,284.0,,1.0,3147.0,
148,149,149,David Duval,18,274.0,,1.0,3157.0,
149,150,150,Glen Day,22,273.0,,,3158.0,
150,151,151,Johnson Wagner,23,268.0,,1.0,3163.0,
151,152,152,Matt Weibring,18,264.0,,1.0,3167.0,
152,153,153,Steve Lowery,23,262.0,,,3169.0,
153,154,154,Carl Pettersson,25,258.0,,,3173.0,
154,155,155,Scott Sterling,16,258.0,,,3173.0,
155,156,156,Tom Pernice Jr.,22,255.0,,1.0,3176.0,
156,157,157,Brad Adamonis,23,253.0,,1.0,3178.0,
157,158,158,Trevor Immelman,13,248.0,,,3183.0,
158,159,159,Chez Reavie,24,240.0,,1.0,3191.0,
159,160,160,Brandt Jobe,8,227.0,,,3204.0,
160,161,161,Bart Bryant,17,227.0,,1.0,3204.0,
161,162,162,Billy Mayfair,24,225.0,,1.0,3206.0,
162,163,163,Jonathan Kaye,17,221.0,,1.0,3210.0,
163,164,164,Tag Ridings,15,220.0,,1.0,3211.0,
164,165,165,Patrick Sheehan,14,213.0,,,3218.0,
165,166,166,Casey Wittenberg,21,211.0,,1.0,3220.0,
166,167,167,Joe Durant,18,206.0,,1.0,3225.0,
167,168,168,Kris Blanks,17,202.0,,1.0,3229.0,
168,169,169,Shaun Micheel,16,201.0,,,3230.0,
169,170,170,Jason Gore,21,197.0,,2.0,3234.0,
170,171,171,Steve Elkington,19,194.0,,,3237.0,
171,172,172,Peter Lonard,26,182.0,,,3249.0,
172,173,173,Mark Brooks,17,182.0,,1.0,3249.0,
173,174,174,Jarrod Lyle,17,180.0,,1.0,3251.0,
174,175,175,Tim Wilkinson,14,177.0,,1.0,3254.0,
175,176,176,Parker McLachlin,21,173.0,,,3258.0,
176,177,177,Jay Williamson,18,172.0,,,3259.0,
177,178,178,Darron Stiles,17,169.0,,1.0,3262.0,
178,179,179,J.P. Hayes,15,168.0,,1.0,3263.0,
179,180,180,Kent Jones,20,162.0,,1.0,3269.0,
180,181,181,Brendon Todd,18,154.0,,,3277.0,
181,182,182,Frank Lickliter II,14,151.0,,,3280.0,
182,183,183,José María Olazábal,4,146.0,,1.0,3285.0,
183,184,184,Bob Heintz,16,144.0,,1.0,3287.0,
184,185,185,Shigeki Maruyama,5,141.0,,1.0,3290.0,
185,186,186,John Huston,13,133.0,,,3298.0,
186,187,187,Dudley Hart,13,130.0,,,3301.0,
187,188,188,Colt Knost,21,127.0,,,3304.0,
188,189,189,Marc Turnesa,26,125.0,,,3306.0,
189,190,190,Kirk Triplett,18,124.0,,,3307.0,
190,191,191,Tommy Gainey,15,122.0,,,3309.0,
191,192,192,Aaron Watkins,14,117.0,,1.0,3314.0,
192,193,193,Greg Kraft,19,112.0,,,3319.0,
193,194,194,Brian Vranesh,17,111.0,,1.0,3320.0,
194,195,195,Garrett Willis,6,108.0,,,3323.0,
195,196,196,"David Berganio, Jr.",15,93.0,,,3338.0,
196,197,197,Wil Collins,16,91.0,,,3340.0,
197,198,198,Mathias Grönberg,11,90.0,,,3341.0,
198,199,199,Peter Tomasulo,22,89.0,,,3342.0,
199,200,200,Omar Uresti,9,83.0,,1.0,3348.0,
200,201,201,Derek Fathauer,22,83.0,,,3348.0,
201,202,202,Scott Gutschewski,17,78.0,,,3353.0,
202,203,203,Paul Stankowski,9,75.0,,,3356.0,
203,204,204,Leif Olson,17,73.0,,,3358.0,
204,205,205,Dicky Pride,10,73.0,,1.0,3358.0,
205,206,206,Eric Axley,26,70.0,,,3361.0,
206,207,207,Gary Woodland,18,68.0,,,3363.0,
207,208,208,Ronnie Black,3,65.0,,,3366.0,
208,209,209,Chris Couch,8,57.0,,,3374.0,
209,210,210,Arjun Atwal,10,57.0,,,3374.0,
210,211,211,Bob Tway,12,56.0,,,3375.0,
211,212,212,Neal Lancaster,6,56.0,,,3375.0,
212,213,213,David Peoples,6,55.0,,,3376.0,
213,214,214,Guy Boros,7,55.0,,,3376.0,
214,215,215,John Daly,6,51.0,,,3380.0,
215,216,216,Loren Roberts,3,49.0,,,3382.0,
216,217,217,Carlos Franco,10,49.0,,,3382.0,
217,218,218,Sandy Lyle,2,47.0,,,3384.0,
218,219,219,Len Mattiace,1,44.0,,,3387.0,
219,220,220,Rick Price,19,43.0,,,3388.0,
220,221,221,Jesper Parnevik,14,42.0,,,3389.0,
221,222,222,James Oh,19,42.0,,,3389.0,
222,223,223,Mark Hensby,5,42.0,,,3389.0,
223,224,224,Larry Mize,1,39.0,,,3392.0,
224,225,225,Brad Faxon,20,39.0,,,3392.0,
225,226,226,Chris Smith,3,37.0,,,3394.0,
226,227,227,Jay Delsing,7,35.0,,,3396.0,
227,228,228,Arron Oberholser,3,30.0,,,3401.0,
228,229,229,Skip Kendall,3,29.0,,,3402.0,
229,230,230,Marco Dawson,6,28.0,,,3403.0,
230,231,231,Notah Begay III,15,28.0,,,3403.0,
231,232,232,Jeff Sluman,2,25.0,,,3406.0,
232,233,233,Robert Damron,5,23.0,,,3408.0,
233,234,234,Tom Byrum,4,23.0,,,3408.0,
234,235,235,Scott Hoch,1,22.0,,,3409.0,
235,236,236,Stephen Leaney,11,20.0,,,3411.0,
236,237,237,José Coceres,6,20.0,,,3411.0,
237,238,238,Brian Bateman,21,17.0,,,3414.0,
238,239,239,Troy Kelly,16,15.0,,,3416.0,
239,240,240,Spike McRoy,1,14.0,,,3417.0,
240,241,241,Fred Funk,6,12.0,,,3419.0,
241,242,242,Tom Scherrer,2,11.0,,,3420.0,
242,243,243,Steve Allan,17,10.0,,,3421.0,
243,244,244,Matthew Borchert,17,8.0,,,3423.0,
244,245,245,Billy Andrade,17,7.0,,,3424.0,
245,246,246,Grant Waite,2,7.0,,,3424.0,
246,247,247,Tyler Aldridge,16,5.0,,,3426.0,
247,248,248,David Gossett,5,4.0,,,3427.0,
248,249,249,Paul Azinger,8,1.0,,,3430.0,
249,250,250,Olin Browne,9,1.0,,,3430.0,
250,251,251,Mark O'Meara,2,1.0,,,3430.0,
251,252,252,Greg Norman,3,1.0,,,3430.0,
252,253,253,Steve Pate,4,1.0,,,3430.0,
253,254,254,Robin Freeman,5,1.0,,,3430.0,
254,255,255,J.L. Lewis,4,,,,3431.0,
