,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
123,T124,T124,Briny Baird,33,3.52,"$817,513","$23,202,000"
124,T124,T124,Chad Campbell,34,3.52,"$825,474","$23,472,000"
125,126,126,Craig Barlow,22,3.5,"$528,568","$15,102,000"
126,127,127,John Daly,21,3.49,"$593,594","$17,030,140"
127,128,128,Joey Sindelar,32,3.47,"$790,749","$22,762,000"
128,T129,T129,Bradley Dredge,1,3.43,"$37,924","$1,106,140"
129,T129,T129,Des Smyth,1,3.43,"$37,924","$1,106,140"
130,131,131,Notah Begay III,26,3.38,"$624,025","$18,442,000"
131,132,132,Trevor Immelman,2,3.33,"$70,227","$2,106,140"
132,133,133,Esteban Toledo,32,3.32,"$766,463","$23,102,140"
133,134,134,Paul Goydos,20,3.26,"$407,345","$12,502,000"
134,T135,T135,David Gossett,29,3.23,"$676,308","$20,916,000"
135,T135,T135,Shaun Micheel,30,3.23,"$641,449","$19,872,000"
136,137,137,Frank Lickliter II,30,3.21,"$740,460","$23,068,140"
137,138,138,Mark Brooks,32,3.2,"$731,671","$22,834,000"
138,139,139,Mathew Goggin,20,3.15,"$391,852","$12,456,000"
139,140,140,Craig Stadler,22,3.08,"$505,778","$16,426,000"
140,141,141,Niclas Fasth,9,3.06,"$272,377","$8,904,140"
141,T142,T142,Carlos Franco,31,2.98,"$652,147","$21,898,000"
142,T142,T142,Skip Kendall,31,2.98,"$653,594","$21,942,000"
143,144,144,Glen Hnatiuk,28,2.94,"$558,940","$18,990,000"
144,145,145,Andrew Magee,28,2.92,"$543,034","$18,594,000"
145,T146,T146,Greg Chalmers,31,2.91,"$640,898","$21,988,000"
146,T146,T146,Carl Paulson,28,2.91,"$568,924","$19,548,000"
147,148,148,Toru Taniguchi,8,2.88,"$198,009","$6,876,140"
148,T149,T149,Per-Ulrik Johansson,27,2.87,"$556,063","$19,396,000"
149,T149,T149,Brian Wilson,1,2.87,"$10,860","$378,000"
150,151,151,Charlie Wi,1,2.86,"$28,625","$1,000,000"
151,152,152,Brent Geiberger,29,2.85,"$582,591","$20,476,000"
152,153,153,Tom Pernice Jr.,31,2.83,"$645,109","$22,762,000"
153,154,154,Nobuhito Sato,1,2.81,"$28,125","$1,000,000"
154,155,155,"David Berganio, Jr.",30,2.79,"$573,151","$20,538,000"
155,156,156,John Senden,30,2.77,"$578,612","$20,870,140"
156,157,157,Peter Jacobsen,21,2.75,"$389,122","$14,130,000"
157,T158,T158,Pat Bates,29,2.73,"$537,283","$19,692,000"
158,T158,T158,Tobias Dier,1,2.73,"$27,250","$1,000,000"
159,T158,T158,Nicholas Lawrence,1,2.73,"$27,250","$1,000,000"
160,161,161,Colin Montgomerie,10,2.72,"$261,095","$9,588,140"
161,162,162,John Morse,8,2.71,"$125,260","$4,626,000"
162,163,163,Graeme McDowell,3,2.69,"$63,159","$2,350,000"
163,164,164,Mike Heinen,15,2.67,"$246,852","$9,234,000"
164,T165,T165,Olin Browne,33,2.61,"$615,828","$23,554,000"
165,T165,T165,Rafael Gómez,1,2.61,"$21,150","$810,000"
166,167,167,Paul Stankowski,31,2.59,"$565,294","$21,862,000"
167,168,168,Brent Schwarzrock,9,2.57,"$160,672","$6,246,000"
168,169,169,Lee Westwood,9,2.55,"$210,585","$8,254,140"
169,170,170,Toshi Izawa,7,2.51,"$169,204","$6,734,140"
170,T171,T171,David Frost,29,2.49,"$509,845","$20,494,000"
171,T171,T171,Jay Williamson,30,2.49,"$515,445","$20,700,000"
172,173,173,Tripp Isenhour,21,2.48,"$319,209","$12,870,000"
173,174,174,Kaname Yokoo,28,2.46,"$490,473","$19,936,000"
174,175,175,Bart Bryant,20,2.43,"$309,879","$12,744,000"
175,T176,T176,Andrew Coltart,1,2.42,"$26,731","$1,106,140"
176,T176,T176,Donnie Hammond,17,2.42,"$263,366","$10,864,000"
177,178,178,J.J. Henry,34,2.38,"$569,874","$23,940,000"
178,179,179,Bryce Molder,22,2.37,"$348,027","$14,670,000"
179,180,180,Brian Henninger,20,2.28,"$281,613","$12,330,000"
180,T181,T181,Hank Kuehne,6,2.22,"$80,840","$3,636,000"
181,T181,T181,Garrett Willis,29,2.22,"$444,482","$20,052,000"
182,T183,T183,Kent Jones,33,2.21,"$489,879","$22,186,000"
183,T183,T183,Paul McGinley,10,2.21,"$203,572","$9,200,140"
184,185,185,Deane Pappas,34,2.16,"$494,404","$22,896,000"
185,186,186,José Coceres,16,2.14,"$286,551","$13,412,140"
186,187,187,Frank Nobilo,30,2.13,"$447,324","$20,970,000"
187,188,188,Brad Elder,26,2.12,"$362,892","$17,154,000"
188,189,189,Jay Don Blake,34,2.06,"$495,065","$23,986,000"
189,190,190,"Jim Gallagher, Jr.",15,2.05,"$191,402","$9,334,000"
190,191,191,Corey Pavin,24,2.04,"$362,011","$17,712,140"
191,192,192,Jean Van de Velde,1,2.01,"$20,072","$1,000,000"
192,193,193,Mike Sposa,34,2.0,"$463,417","$23,148,000"
193,194,194,Joe Durant,28,1.99,"$427,216","$21,430,140"
194,T195,T195,Robert Damron,28,1.98,"$391,866","$19,800,000"
195,T195,T195,Miguel Angel Jiménez,19,1.98,"$280,567","$14,156,140"
196,T195,T195,Bob May,30,1.98,"$407,777","$20,556,000"
197,T198,T198,John Riegger,29,1.95,"$390,675","$19,988,140"
198,T198,T198,Chip Sullivan,1,1.95,"$12,966","$666,000"
199,200,200,Kenichi Kuboya,2,1.91,"$40,195","$2,106,140"
200,201,201,Kenneth Staton,36,1.88,"$453,816","$24,102,000"
201,202,202,Tommy Armour III,30,1.87,"$379,190","$20,304,000"
202,203,203,Paul Gow,35,1.86,"$448,752","$24,094,000"
203,204,204,Brett Quigley,32,1.83,"$404,421","$22,068,000"
204,205,205,Brandel Chamblee,30,1.81,"$372,263","$20,592,000"
205,206,206,Steve Allan,30,1.79,"$359,655","$20,070,000"
206,207,207,Eduardo Romero,4,1.77,"$72,550","$4,096,140"
207,208,208,Tommy Tolles,20,1.76,"$213,739","$12,150,000"
208,T209,T209,Kelly Gibson,14,1.74,"$154,458","$8,866,000"
209,T209,T209,Phillip Price,7,1.74,"$108,258","$6,220,140"
210,T211,T211,Paul Eales,1,1.71,"$18,962","$1,106,140"
211,T211,T211,Anders Hansen,4,1.71,"$70,246","$4,096,140"
212,213,213,Dennis Paulson,30,1.68,"$344,121","$20,520,000"
213,T214,T214,Hunter Haas,1,1.67,"$13,545","$810,000"
214,T214,T214,Carl Pettersson,3,1.67,"$51,727","$3,096,140"
215,216,216,Paul Lawrie,8,1.66,"$135,959","$8,184,140"
216,217,217,Steve Pate,21,1.6,"$220,183","$13,726,000"
217,T218,T218,Hal Sutton,26,1.59,"$320,001","$20,180,140"
218,T218,T218,Grant Waite,31,1.59,"$332,946","$20,970,000"
219,220,220,Tom Scherrer,34,1.54,"$356,656","$23,166,000"
220,221,221,Matt Peterson,27,1.53,"$266,542","$17,388,000"
221,T222,T222,Fredrik Andersson Hed,1,1.47,"$16,223","$1,106,140"
222,T222,T222,Warren Bennett,1,1.47,"$16,223","$1,106,140"
223,T222,T222,Ian Garbutt,1,1.47,"$16,223","$1,106,140"
224,T222,T222,Mikko Ilonen,1,1.47,"$16,223","$1,106,140"
225,T222,T222,Barry Lane,1,1.47,"$16,223","$1,106,140"
226,T222,T222,Ian Poulter,1,1.47,"$16,223","$1,106,140"
227,T222,T222,Dicky Pride,16,1.47,"$142,555","$9,702,000"
228,229,229,Jeff Brehaut,29,1.43,"$274,334","$19,188,000"
229,230,230,Jeff Gove,30,1.4,"$271,652","$19,368,000"
230,T231,T231,Franklin Langham,25,1.38,"$238,460","$17,236,000"
231,T231,T231,Dan Pohl,3,1.38,"$24,570","$1,782,000"
232,233,233,Greg Twiggs,1,1.37,"$5,171","$378,000"
233,234,234,Brian Bateman,31,1.36,"$281,420","$20,718,000"
234,235,235,Thongchai Jaidee,2,1.35,"$28,500","$2,106,140"
235,236,236,Richard Green,1,1.33,"$14,695","$1,106,140"
236,T237,T237,Robin Freeman,27,1.32,"$227,179","$17,262,000"
237,T237,T237,Dave Rummells,4,1.32,"$27,349","$2,070,000"
238,T239,T239,David Edwards,11,1.29,"$89,284","$6,930,000"
239,T239,T239,John Maginnes,2,1.29,"$21,701","$1,684,000"
240,T239,T239,Kevin Wentworth,4,1.29,"$32,400","$2,502,000"
241,242,242,Jeev Milkha Singh,1,1.28,"$12,794","$1,000,000"
242,243,243,Guy Boros,11,1.27,"$82,852","$6,516,000"
243,244,244,Jarrod Moseley,1,1.26,"$13,905","$1,106,140"
244,245,245,Todd Doohan,1,1.24,"$8,920","$720,000"
245,T246,T246,Woody Austin,36,1.23,"$307,348","$24,904,000"
246,T246,T246,Shingo Katayama,8,1.23,"$93,777","$7,624,140"
247,T248,T248,Tom Kite,5,1.21,"$54,350","$4,492,000"
248,T248,T248,Jerry Smith,33,1.21,"$269,952","$22,302,000"
249,250,250,Dean Wilson,4,1.2,"$41,344","$3,446,140"
250,T251,T251,Matthew Cort,1,1.19,"$13,194","$1,106,140"
251,T251,T251,Derek Gillespie,2,1.19,"$16,000","$1,350,000"
252,T253,T253,Craig Bowden,2,1.18,"$16,294","$1,378,000"
253,T253,T253,David Ishii,1,1.18,"$8,520","$720,000"
254,T255,T255,David Morland IV,21,1.17,"$154,115","$13,122,000"
255,T255,T255,Scott Watkins,1,1.17,"$6,300","$540,000"
256,257,257,Tom Gillis,2,1.16,"$18,414","$1,594,000"
257,258,258,Jeff Quinney,5,1.15,"$40,310","$3,510,000"
258,259,259,Brian Watts,21,1.14,"$162,703","$14,256,000"
259,T260,T260,Barry Cheesman,1,1.13,"$4,263","$378,000"
260,T260,T260,Gene Fieger,1,1.13,"$7,105","$630,000"
261,T262,T262,Dave Christensen,1,1.12,"$8,080","$720,000"
262,T262,T262,Doug Tewell,1,1.12,"$8,080","$720,000"
263,T264,T264,JC Anderson,1,1.11,"$9,552","$864,000"
264,T264,T264,Russ Cochran,24,1.11,"$176,110","$15,876,000"
265,T264,T264,Han Lee,1,1.11,"$5,970","$540,000"
266,T264,T264,Roger Wessels,1,1.11,"$12,246","$1,106,140"
267,268,268,Jack Nicklaus,1,1.1,"$8,910","$810,000"
268,T269,T269,Don Berry,1,1.09,"$10,750","$990,000"
269,T269,T269,David Park,1,1.09,"$12,009","$1,106,140"
270,271,271,Stephen Gangluff,27,1.07,"$187,804","$17,478,000"
271,T272,T272,Michael Clark II,33,1.06,"$239,422","$22,690,000"
272,T272,T272,Stu Ingraham,1,1.06,"$6,270","$594,000"
273,T272,T272,Dave Tentis,1,1.06,"$10,500","$990,000"
274,T275,T275,David Hutsell,1,1.05,"$6,804","$648,000"
275,T275,T275,Iain Steel,1,1.05,"$7,560","$720,000"
276,277,277,Greg Kraft,31,1.04,"$222,614","$21,330,000"
277,278,278,Mike Standly,11,1.02,"$68,210","$6,678,000"
278,279,279,Jason Hill,24,1.01,"$150,860","$14,940,000"
279,280,280,Dave Barr,5,1.0,"$28,394","$2,826,000"
280,281,281,Mario Tiziani,3,0.99,"$22,603","$2,278,000"
281,282,282,Mike Deuel,1,0.98,"$3,696","$378,000"
282,283,283,Edward Fryatt,34,0.97,"$225,822","$23,328,000"
283,T284,T284,Aaron Baddeley,3,0.96,"$16,380","$1,710,000"
284,T284,T284,Steve Jones,24,0.96,"$169,315","$17,676,140"
285,T286,T286,Robert Karlsson,2,0.95,"$20,072","$2,106,140"
286,T286,T286,Brett Wetterich,32,0.95,"$203,033","$21,438,000"
287,288,288,Michael Long,27,0.93,"$157,722","$16,992,000"
288,289,289,Jess Daley,27,0.88,"$154,674","$17,586,000"
289,T290,T290,James Driscoll,6,0.87,"$34,293","$3,942,000"
290,T290,T290,Willie Wood,16,0.87,"$85,870","$9,828,000"
291,292,292,Ian Woosnam,3,0.86,"$26,731","$3,104,140"
292,T293,T293,Paul Claxton,29,0.85,"$156,695","$18,522,000"
293,T293,T293,Jim McGovern,16,0.85,"$86,862","$10,180,000"
294,295,295,Lee Porter,32,0.84,"$179,395","$21,438,000"
295,296,296,Andy Miller,2,0.83,"$12,794","$1,540,000"
296,297,297,David Sutherland,11,0.82,"$63,052","$7,722,000"
297,T298,T298,Paul Casey,9,0.81,"$55,921","$6,884,140"
298,T298,T298,Mike Springer,12,0.81,"$59,192","$7,272,000"
299,300,300,Steve Scott,3,0.8,"$16,640","$2,070,000"
300,301,301,Ken Duke,4,0.78,"$23,162","$2,980,000"
301,T302,T302,Eduardo Herrera,23,0.77,"$109,952","$14,220,000"
302,T302,T302,Bo Van Pelt,28,0.77,"$139,357","$17,982,000"
303,T304,T304,Bob Heintz,28,0.71,"$127,346","$17,856,000"
304,T304,T304,Scott Simpson,25,0.71,"$122,115","$17,118,000"
305,306,306,Stan Utley,7,0.7,"$28,422","$4,032,000"
306,T307,T307,Trevor Dodds,6,0.69,"$27,351","$3,970,000"
307,T307,T307,Scott Dunlap,30,0.69,"$144,453","$21,088,000"
308,T309,T309,Gabriel Hjertstedt,17,0.68,"$69,185","$10,188,000"
309,T309,T309,Blaine McCallister,27,0.68,"$123,348","$18,208,000"
310,311,311,Erik Compton,5,0.66,"$22,437","$3,384,000"
311,T312,T312,Bradley Hughes,22,0.64,"$85,449","$13,446,000"
312,T312,T312,Boo Weekley,24,0.64,"$95,205","$14,940,000"
313,314,314,Danny Ellis,17,0.63,"$73,339","$11,592,000"
314,315,315,D.A. Weibring,10,0.62,"$41,044","$6,606,000"
315,316,316,Sean Murphy,2,0.61,"$8,284","$1,368,000"
316,T317,T317,Jay Delsing,6,0.6,"$22,430","$3,762,000"
317,T317,T317,Scott Laycock,5,0.6,"$27,500","$4,554,140"
318,319,319,Michael Connell,2,0.59,"$8,976","$1,530,000"
319,T320,T320,Bubba Dickerson,10,0.58,"$44,140","$7,560,000"
320,T320,T320,Wayne Grady,5,0.58,"$20,880","$3,592,000"
321,322,322,Michael Allen,29,0.56,"$108,777","$19,342,000"
322,323,323,Brenden Pappas,25,0.53,"$83,519","$15,660,000"
323,324,324,Pete Jordan,30,0.52,"$101,329","$19,648,000"
324,325,325,Michael Muehr,27,0.51,"$97,530","$19,054,000"
325,T326,T326,Fulton Allem,26,0.5,"$92,379","$18,414,000"
326,T326,T326,Scott Gump,8,0.5,"$23,610","$4,680,000"
327,328,328,Brad Lardon,23,0.48,"$71,511","$14,824,000"
328,329,329,Robert Thompson,2,0.47,"$8,120","$1,710,000"
329,T330,T330,Ken Green,4,0.45,"$10,995","$2,448,000"
330,T330,T330,Jerry Pate,5,0.45,"$15,372","$3,438,000"
331,332,332,Michael Bradley,7,0.44,"$18,363","$4,194,000"
332,333,333,Richie Coughlan,5,0.43,"$13,955","$3,276,000"
333,334,334,Sandy Lyle,9,0.41,"$28,162","$6,866,140"
334,335,335,Richard Zokol,20,0.4,"$53,437","$13,356,000"
335,T336,T336,Brad Bryant,5,0.39,"$10,225","$2,646,000"
336,T336,T336,Jimmy Green,2,0.39,"$4,599","$1,188,000"
337,T336,T336,Nolan Henke,3,0.39,"$6,240","$1,602,000"
338,T336,T336,Joe Ogilvie,20,0.39,"$47,696","$12,294,000"
339,T336,T336,Mark Wurtz,3,0.39,"$6,660","$1,710,000"
340,341,341,Lucas Glover,6,0.38,"$16,349","$4,258,000"
341,342,342,Doug Barron,6,0.37,"$14,368","$3,906,000"
342,343,343,Mark Carnevale,5,0.36,"$9,372","$2,610,000"
343,344,344,Mike Hulbert,20,0.34,"$46,148","$13,410,000"
344,345,345,Ted Tryba,9,0.32,"$17,706","$5,490,000"
345,346,346,Brian Claar,9,0.26,"$13,757","$5,292,000"
346,347,347,Gary Nicklaus,26,0.25,"$41,969","$17,082,000"
347,348,348,Jeff Gallagher,15,0.22,"$21,711","$9,810,000"
348,349,349,Ty Tryon,6,0.21,"$8,620","$4,050,000"
349,350,350,Curtis Strange,11,0.2,"$16,207","$8,208,000"
350,351,351,Ronnie Black,12,0.19,"$14,219","$7,542,000"
351,352,352,Larry Rinker,5,0.17,"$4,628","$2,664,000"
352,353,353,Fred Wadsworth,18,0.16,"$16,854","$10,872,000"
353,354,354,Larry Mize,10,0.1,"$7,633","$7,668,000"
354,355,355,Bill Glasson,13,0.06,"$4,599","$8,028,000"
