,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
46,T47,T47,Stuart Appleby,74,106,90,16
47,T47,T47,Tim Clark,66,106,79,27
48,49,49,Robert Gamez,88,110,67,43
49,50,50,K.J. Choi,87,112,79,33
50,51,51,Jay Williamson,50,113,94,19
51,T52,T52,Chris DiMarco,79,115,73,42
52,T52,T52,Todd Hamilton,76,115,11,104
53,54,54,Mike Weir,82,116,106,10
54,55,55,Tommy Armour III,81,118,61,57
55,56,56,Charles Warren,101,119,20,99
56,57,57,Brian Davis,101,121,54,67
57,58,58,Billy Andrade,88,122,37,85
58,59,59,Troy Matteson,87,123,94,29
59,60,60,Cameron Beckman,96,126,59,67
60,61,61,D.J. Trahan,99,127,48,79
61,T62,T62,D.J. Brigman,67,130,45,85
62,T62,T62,Bryce Molder,56,130,25,105
63,T62,T62,Adam Scott,69,130,108,22
64,65,65,Jason Schultz,63,131,59,72
65,66,66,Kenny Perry,83,132,86,46
66,67,67,Sean O'Hair,98,136,89,47
67,68,68,Daisuke Maruyama,86,137,118,19
68,69,69,Carl Pettersson,111,142,86,56
69,70,70,Ben Curtis,80,149,112,37
70,T71,T71,Bob Heintz,85,151,54,97
71,T71,T71,Jesper Parnevik,88,151,112,39
72,T73,T73,Robert Garrigus,95,153,30,123
73,T73,T73,John Merrick,92,153,90,63
74,T73,T73,Ryan Palmer,91,153,30,123
75,76,76,Bo Van Pelt,104,161,71,90
76,T77,T77,Stewart Cink,91,163,51,112
77,T77,T77,Camilo Villegas,82,163,58,105
78,79,79,John Rollins,102,164,79,85
79,80,80,Bill Haas,93,165,51,114
80,T81,T81,Andrew Buckle,77,166,28,138
81,T81,T81,Jeff Overton,60,166,99,67
82,83,83,Retief Goosen,50,171,79,92
83,84,84,Harrison Frazar,88,172,41,131
84,85,85,Steve Allan,63,176,111,65
85,86,86,Chris Stroud,66,178,78,100
86,T87,T87,Charley Hoffman,97,179,50,129
87,T87,T87,Corey Pavin,81,179,127,52
88,89,89,Kent Jones,97,180,61,119
89,T90,T90,Anthony Kim,93,181,63,118
90,T90,T90,Ian Poulter,63,181,102,79
91,92,92,Ernie Els,59,184,30,154
92,T93,T93,Jason Bohn,57,187,71,116
93,T93,T93,Jarrod Lyle,77,187,115,72
94,95,95,Craig Kanada,109,189,132,57
95,96,96,Chris Riley,59,191,130,61
96,T97,T97,Zach Johnson,76,192,114,78
97,T97,T97,Steve Lowery,74,192,140,52
98,T99,T99,Glen Day,85,195,99,96
99,T99,T99,Ryuji Imada,104,195,79,116
100,T101,T101,Ryan Armour,107,198,96,102
101,T101,T101,Tom Johnson,74,198,96,102
102,103,103,Stephen Ames,81,202,119,83
103,104,104,Anders Hansen,55,206,121,85
104,105,105,Scott Verplank,82,207,132,75
105,106,106,Brett Quigley,79,208,66,142
106,107,107,Tom Pernice Jr.,104,209,117,92
107,108,108,Dicky Pride,71,213,108,105
108,109,109,Jeff Quinney,95,214,122,92
109,110,110,Craig Lile,77,216,102,114
110,T111,T111,Jason Gore,86,219,63,156
111,T111,T111,J.J. Henry,86,219,140,79
112,T111,T111,Kevin Stadler,95,219,90,129
113,114,114,Paul Stankowski,52,220,75,145
114,T115,T115,Rocco Mediate,72,221,77,144
115,T115,T115,Ted Purdy,102,221,86,135
116,117,117,Gavin Coles,87,223,144,79
117,T118,T118,Michael Boyd,61,224,149,75
118,T118,T118,Trevor Immelman,74,224,175,49
119,T120,T120,Scott Gutschewski,67,227,74,153
120,T120,T120,Justin Leonard,95,227,137,90
121,122,122,Nick Watney,87,230,90,140
122,123,123,Kevin Na,84,236,164,72
123,124,124,Duffy Waldorf,69,237,105,132
124,125,125,Bubba Watson,80,239,43,196
125,126,126,Tripp Isenhour,86,241,132,109
126,127,127,Nick O'Hern,72,244,79,165
127,128,128,Brendon de Jonge,76,245,98,147
128,129,129,Chris Couch,76,249,76,173
129,130,130,Brian Bateman,55,253,119,134
130,T131,T131,Jim Furyk,84,254,144,110
131,T131,T131,Brian Gay,107,254,131,123
132,133,133,Jeff Sluman,60,255,172,83
133,T134,T134,Rory Sabbatini,81,256,159,97
134,T134,T134,Heath Slocum,101,256,108,148
135,T136,T136,Richard Johnson,93,258,153,105
136,T136,T136,Frank Lickliter II,95,258,102,156
137,138,138,Chad Campbell,96,259,132,127
138,139,139,Matt Kuchar,85,261,139,122
139,140,140,Rod Pampling,92,262,152,110
140,141,141,Dean Wilson,92,263,123,140
141,T142,T142,Will MacKenzie,100,264,106,158
142,T142,T142,Chris Tidland,59,264,128,136
143,144,144,Woody Austin,95,267,144,123
144,T145,T145,Steve Flesch,100,268,168,100
145,T145,T145,Fred Funk,65,268,173,95
146,147,147,Tom Byrum,50,270,185,85
147,148,148,Ryan Moore,92,271,128,143
148,149,149,Joe Durant,88,273,137,136
149,150,150,Justin Rose,63,275,125,150
150,151,151,Mark Calcavecchia,93,276,115,161
151,152,152,Jason Dufner,100,281,154,127
152,153,153,David Branshaw,83,288,149,139
153,154,154,Jeff Brehaut,59,289,157,132
154,155,155,Nathan Green,103,294,175,119
155,T156,T156,Steve Elkington,87,299,187,112
156,T156,T156,Lee Janzen,66,299,123,176
157,158,158,John Senden,97,303,149,154
158,159,159,Charles Howell III,89,305,157,148
159,T160,T160,Freddie Jacobson,70,306,144,162
160,T160,T160,Pat Perez,84,306,125,181
161,T162,T162,Daniel Chopra,106,307,136,171
162,T162,T162,Brett Wetterich,88,307,162,145
163,164,164,Boo Weekley,101,309,190,119
164,165,165,Paul Goydos,60,314,164,150
165,T166,T166,Lucas Glover,98,316,140,176
166,T166,T166,Tiger Woods,63,316,144,172
167,168,168,Rich Barcelo,80,317,155,162
168,169,169,Tom Lehman,62,320,170,150
169,170,170,Bob Tway,103,322,163,159
170,171,171,Tag Ridings,52,327,140,187
171,172,172,Marco Dawson,73,333,159,174
172,173,173,Greg Owen,81,335,170,165
173,T174,T174,Aaron Baddeley,83,340,180,160
174,T174,T174,Shaun Micheel,91,340,156,184
175,176,176,Parker McLachlin,83,343,164,179
176,T177,T177,Paul Gow,70,349,181,168
177,T177,T177,Michael Putnam,96,349,159,190
178,179,179,Charlie Wi,90,354,184,170
179,180,180,Bart Bryant,87,355,193,162
180,T181,T181,Michael Allen,74,356,188,168
181,T181,T181,Henrik Stenson,52,356,164,192
182,T181,T181,Johnson Wagner,97,356,168,188
183,184,184,Doug LaBelle II,104,357,179,178
184,185,185,José Coceres,50,362,195,167
185,186,186,George McNeill,95,364,182,182
186,187,187,Tim Petrovic,106,365,186,179
187,T188,T188,Jonathan Byrd,73,367,178,189
188,T188,T188,Jim Rutledge,59,367,173,194
189,T188,T188,Steve Wheatcroft,73,367,192,175
190,T191,T191,Ken Duke,112,370,188,182
191,T191,T191,Michael Sim,52,370,175,195
192,193,193,José María Olazábal,52,374,183,191
193,194,194,Bob Estes,88,376,191,185
194,195,195,Phil Mickelson,73,382,196,186
195,196,196,Sergio Garcia,68,387,194,193
