,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
147,148,148,K.J. Choi,25,223,144,79
148,T149,T149,Chad Campbell,28,225,115,110
149,T149,T149,Jason Dufner,32,225,90,135
150,T151,T151,Richard Johnson,32,226,160,66
151,T151,T151,Corey Pavin,25,226,196,30
152,T151,T151,David Toms,22,226,151,75
153,154,154,Woody Austin,27,227,122,105
154,T155,T155,Ben Curtis,25,228,185,43
155,T155,T155,Tom Lehman,19,228,137,91
156,157,157,Tim Herron,27,232,110,122
157,158,158,Stewart Cink,25,233,50,183
158,T159,T159,Padraig Harrington,18,234,60,174
159,T159,T159,Freddie Jacobson,20,234,135,99
160,T159,T159,Vaughn Taylor,28,234,147,87
161,162,162,Paul Gow,26,237,170,67
162,163,163,Marco Dawson,23,238,89,149
163,T164,T164,Brian Bateman,18,239,72,167
164,T164,T164,Sergio Garcia,19,239,55,184
165,166,166,Matt Kuchar,26,241,185,56
166,167,167,Craig Kanada,34,242,183,59
167,T168,T168,Stephen Leaney,26,243,182,61
168,T168,T168,Steve Stricker,23,243,146,97
169,170,170,Rory Sabbatini,23,250,88,162
170,171,171,Craig Lile,24,251,145,106
171,172,172,Arron Oberholser,21,252,129,123
172,173,173,Retief Goosen,14,254,62,192
173,174,174,Cliff Kresge,30,255,127,128
174,175,175,Carl Pettersson,31,256,99,157
175,176,176,Ian Poulter,18,258,151,107
176,177,177,Nathan Green,29,259,139,120
177,178,178,Tim Petrovic,32,262,119,143
178,179,179,Bryce Molder,21,267,76,191
179,T180,T180,Lee Janzen,24,268,105,163
180,T180,T180,Dicky Pride,25,268,156,112
181,T180,T180,Brett Quigley,25,268,82,186
182,183,183,Todd Hamilton,28,273,96,177
183,184,184,Dean Wilson,28,275,183,92
184,T185,T185,Billy Andrade,27,277,121,156
185,T185,T185,Parker McLachlin,28,277,99,178
186,187,187,Bob Tway,32,278,139,139
187,188,188,Brandt Snedeker,29,280,127,153
188,189,189,Nick O'Hern,22,286,175,111
189,190,190,Shigeki Maruyama,31,288,180,108
190,191,191,Eric Axley,36,293,106,187
191,192,192,Rich Barcelo,26,296,124,172
192,193,193,Ryuji Imada,32,315,149,166
193,194,194,Chris DiMarco,24,317,153,164
194,195,195,Jeff Sluman,21,325,168,157
195,196,196,José María Olazábal,16,382,188,194
