,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
73,74,74,Dean Wilson,92,65.36,749,1146,-0.13
74,75,75,John Rollins,102,65.3,813,1245,-0.18
75,T76,T76,Jason Bohn,57,65.2,517,793,-0.13
76,T76,T76,Lucas Glover,98,65.2,757,1161,-0.22
77,78,78,Rich Beem,89,65.18,702,1077,-0.15
78,79,79,Boo Weekley,101,65.09,772,1186,-0.14
79,80,80,Ted Purdy,102,65.05,873,1342,-0.15
80,81,81,Ryan Moore,92,65.04,761,1170,-0.16
81,T82,T82,Johnson Wagner,97,64.93,861,1326,-0.17
82,T82,T82,Duffy Waldorf,69,64.93,609,938,-0.13
83,84,84,Bob Heintz,85,64.92,731,1126,-0.16
84,85,85,Sean O'Hair,98,64.88,800,1233,-0.19
85,86,86,Tom Lehman,62,64.85,487,751,-0.17
86,87,87,Tripp Isenhour,86,64.73,723,1117,-0.14
87,88,88,Ian Poulter,63,64.72,398,615,-0.14
88,89,89,Rod Pampling,92,64.7,691,1068,-0.17
89,90,90,Tom Johnson,74,64.67,648,1002,-0.12
90,91,91,Kenny Perry,83,64.54,708,1097,-0.14
91,92,92,Mark Calcavecchia,93,64.52,711,1102,-0.18
92,93,93,Vaughn Taylor,91,64.4,691,1073,-0.19
93,94,94,K.J. Choi,87,64.35,639,993,-0.22
94,95,95,Michael Allen,74,64.31,627,975,-0.17
95,96,96,Greg Owen,81,64.26,712,1108,-0.11
96,97,97,Jeff Overton,60,64.15,519,809,-0.17
97,98,98,Justin Rose,63,64.06,385,601,-0.21
98,99,99,J.J. Henry,86,64.05,636,993,-0.16
99,100,100,Woody Austin,95,63.9,793,1241,-0.15
100,101,101,Steve Flesch,100,63.76,855,1341,-0.11
101,102,102,Nick O'Hern,72,63.65,499,784,-0.12
102,103,103,Freddie Jacobson,70,63.62,626,984,-0.19
103,104,104,Steve Stricker,81,63.56,586,922,-0.24
104,105,105,Mark Hensby,81,63.45,698,1100,-0.13
105,106,106,Steve Lowery,74,63.43,659,1039,-0.17
106,107,107,Jason Gore,86,63.42,761,1200,-0.16
107,108,108,Craig Lile,77,63.37,666,1051,-0.17
108,109,109,Chad Campbell,96,63.31,692,1093,-0.15
109,110,110,Bill Haas,93,63.09,783,1241,-0.16
110,111,111,Shigeki Maruyama,84,63.02,731,1160,-0.16
111,T112,T112,D.J. Brigman,67,62.91,519,825,-0.15
112,T112,T112,Will MacKenzie,100,62.91,843,1340,-0.16
113,114,114,Matt Hendrix,63,62.87,535,851,-0.12
114,115,115,Dicky Pride,71,62.86,589,937,-0.15
115,116,116,Nathan Green,103,62.72,811,1293,-0.17
116,117,117,Kevin Na,84,62.64,736,1175,-0.2
117,118,118,Jesper Parnevik,88,62.56,732,1170,-0.16
118,119,119,Bo Van Pelt,104,62.49,888,1421,-0.22
119,120,120,Stuart Appleby,74,62.44,517,828,-0.16
120,121,121,Nick Watney,87,62.36,686,1100,-0.19
121,122,122,Tim Herron,98,62.22,746,1199,-0.16
122,123,123,Arron Oberholser,69,62.02,467,753,-0.17
123,124,124,Michael Sim,52,61.92,452,730,-0.19
124,125,125,Chris Tidland,59,61.8,474,767,-0.17
125,126,126,Anthony Kim,93,61.73,729,1181,-0.19
126,127,127,Bubba Dickerson,51,61.68,404,655,-0.12
127,128,128,Robert Allenby,90,61.67,700,1135,-0.19
128,T129,T129,Jason Dufner,100,61.49,824,1340,-0.14
129,T129,T129,John Merrick,92,61.49,757,1231,-0.17
130,131,131,J.P. Hayes,89,61.34,760,1239,-0.17
131,132,132,Pat Perez,84,61.33,598,975,-0.21
132,T133,T133,Craig Barlow,52,61.24,444,725,-0.17
133,T133,T133,Joe Ogilvie,102,61.24,817,1334,-0.19
134,135,135,Cliff Kresge,107,61.22,914,1493,-0.17
135,136,136,Kevin Sutherland,85,61.08,656,1074,-0.17
136,137,137,Jarrod Lyle,77,61.04,622,1019,-0.17
137,138,138,Bob Tway,103,60.96,809,1327,-0.16
138,139,139,Steve Marino,106,60.93,853,1400,-0.15
139,140,140,Adam Scott,69,60.92,463,760,-0.25
140,141,141,Camilo Villegas,82,60.86,608,999,-0.16
141,142,142,Michael Putnam,96,60.76,731,1203,-0.14
142,143,143,Chris DiMarco,79,60.66,549,905,-0.12
143,144,144,Jason Schultz,63,60.61,500,825,-0.15
144,145,145,Vijay Singh,102,60.6,729,1203,-0.23
145,146,146,Troy Matteson,87,60.57,685,1131,-0.15
146,147,147,Tim Petrovic,106,60.55,878,1450,-0.17
147,148,148,Brandt Snedeker,105,60.49,784,1296,-0.17
148,149,149,Aaron Baddeley,83,60.42,577,955,-0.23
149,150,150,George McNeill,95,60.3,729,1209,-0.14
150,151,151,Tiger Woods,63,60.23,371,616,-0.3
151,152,152,Kevin Stadler,95,60.2,732,1216,-0.1
152,153,153,Steve Allan,63,60.17,494,821,-0.16
153,154,154,Geoff Ogilvy,84,60.11,541,900,-0.17
154,155,155,Paul Stankowski,52,60.03,401,668,-0.15
155,156,156,Marco Dawson,73,59.94,594,991,-0.14
156,157,157,Mathias Grönberg,95,59.77,792,1325,-0.17
157,158,158,Carl Pettersson,111,59.71,821,1375,-0.2
158,159,159,Jonathan Byrd,73,59.59,556,933,-0.23
159,T160,T160,Billy Andrade,88,59.56,729,1224,-0.14
160,T160,T160,Brett Wetterich,88,59.56,626,1051,-0.14
161,162,162,Jeff Sluman,60,59.34,394,664,-0.14
162,163,163,Lee Janzen,66,59.31,497,838,-0.14
163,164,164,Kyle Reifers,71,59.26,573,967,-0.13
164,165,165,Brendon de Jonge,76,59.2,595,1005,-0.19
165,166,166,Rory Sabbatini,81,58.98,555,941,-0.21
166,167,167,J.B. Holmes,71,58.9,569,966,-0.15
167,168,168,Brian Bateman,55,58.88,388,659,-0.1
168,169,169,Ryuji Imada,104,58.76,788,1341,-0.2
169,170,170,Phil Mickelson,73,58.74,484,824,-0.25
170,171,171,Ernie Els,59,58.44,360,616,-0.22
171,172,172,Todd Hamilton,76,58.37,537,920,-0.05
172,173,173,Ryan Palmer,91,58.34,724,1241,-0.15
173,174,174,Davis Love III,66,58.21,450,773,-0.12
174,175,175,Rich Barcelo,80,58.07,633,1090,-0.17
175,176,176,Andrew Buckle,77,57.97,593,1023,-0.17
176,177,177,Charley Hoffman,97,57.65,731,1268,-0.14
177,178,178,Padraig Harrington,64,57.53,386,671,-0.15
178,179,179,Parker McLachlin,83,57.19,632,1105,-0.14
179,180,180,Tag Ridings,52,57.1,398,697,-0.21
180,181,181,Chris Couch,76,56.69,602,1062,-0.13
181,182,182,Eric Axley,107,56.67,816,1440,-0.13
182,183,183,Stewart Cink,91,56.56,586,1036,-0.21
183,184,184,Sergio Garcia,68,56.54,441,780,-0.2
184,185,185,Bubba Watson,80,56.12,578,1030,-0.22
185,186,186,Scott Gutschewski,67,55.96,493,881,-0.15
186,187,187,Henrik Stenson,52,55.95,282,504,-0.11
187,188,188,Harrison Frazar,88,55.84,641,1148,-0.17
188,189,189,Daniel Chopra,106,55.51,806,1452,-0.15
189,190,190,Brett Quigley,79,55.04,508,923,-0.18
190,191,191,Bryce Molder,56,54.89,415,756,-0.16
191,192,192,Robert Garrigus,95,52.94,703,1328,-0.17
192,193,193,Retief Goosen,50,52.73,251,476,-0.11
193,194,194,José María Olazábal,52,51.88,290,559,-0.09
194,195,195,Charles Howell III,89,49.65,498,1003,-0.24
195,196,196,John Daly,59,42.8,318,743,-0.19
