,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
92,T91,T91,Justin Rose,63,"89' 7""","2955' 1""",33,"121' 4""","25' 7"""
93,T91,T91,Jason Schultz,63,"89' 7""","2509' 6""",28,"125' 11""","45' 7"""
94,95,95,Chris Stroud,66,"89' 6""","3132' 7""",35,"135' 6""","58' 10"""
95,T96,T96,Craig Barlow,52,"89' 2""","2228' 7""",25,"114' 11""","55' 7"""
96,T96,T96,Retief Goosen,50,"89' 2""","1960' 9""",22,"119' 6""","58' 5"""
97,T96,T96,Will MacKenzie,100,"89' 2""","5797' 6""",65,"120' 8""","54' 6"""
98,T99,T99,Eric Axley,107,"89' 1""","5523' 5""",62,"116' 10""","54' 0"""
99,T99,T99,Mathew Goggin,97,"89' 1""","5343' 0""",60,"116' 7""","59' 7"""
100,T99,T99,Lee Janzen,66,"89' 1""","3117' 1""",35,"121' 1""","60' 5"""
101,102,102,Jim Rutledge,59,"89' 0""","2135' 5""",24,"130' 6""","60' 4"""
102,103,103,Cliff Kresge,107,"88' 10""",6041',68,"119' 0""","38' 8"""
103,104,104,Ryuji Imada,104,"88' 7""","6733' 2""",76,"127' 10""","56' 2"""
104,105,105,Jay Williamson,50,"88' 6""","2301' 8""",26,"110' 6""","65' 0"""
105,106,106,John Merrick,92,"88' 4""","4770' 1""",54,"112' 1""","54' 8"""
106,T107,T107,Stuart Appleby,74,"88' 2""","4937' 2""",56,"128' 11""","51' 5"""
107,T107,T107,Jeff Brehaut,59,"88' 2""","3084' 9""",35,"147' 11""","45' 6"""
108,T107,T107,Anders Hansen,55,"88' 2""","2645' 3""",30,"111' 8""","59' 10"""
109,110,110,Glen Day,85,"88' 0""","4577' 6""",52,"115' 8""","56' 2"""
110,111,111,Lucas Glover,98,"87' 6""","4549' 1""",52,"119' 10""","41' 2"""
111,112,112,Marco Dawson,73,"87' 4""","3318' 9""",38,"119' 1""","58' 1"""
112,113,113,Richard Johnson,93,"87' 3""","3838' 0""",44,"143' 5""","35' 5"""
113,114,114,Jeff Overton,60,"87' 1""","3046' 6""",35,"155' 0""","12' 0"""
114,115,115,Tripp Isenhour,86,"87' 0""","4089' 7""",47,"109' 2""","51' 1"""
115,116,116,Mathias Grönberg,95,"86' 10""","4949' 1""",57,"115' 7""","52' 0"""
116,T117,T117,Chad Campbell,96,"86' 8""","4592' 7""",53,"128' 7""","41' 1"""
117,T117,T117,Tim Clark,66,"86' 8""","4248' 8""",49,"113' 7""","68' 10"""
118,119,119,Chris DiMarco,79,"86' 7""","3808' 7""",44,"126' 6""","56' 4"""
119,T120,T120,Craig Bowden,78,"86' 3""","4224' 9""",49,"113' 10""","57' 5"""
120,T120,T120,Duffy Waldorf,69,"86' 3""","3364' 2""",39,"128' 8""","65' 6"""
121,122,122,K.J. Choi,87,"85' 7""","4363' 7""",51,"125' 1""","39' 0"""
122,T123,T123,Jerry Kelly,101,"85' 6""","5384' 9""",63,"113' 4""","47' 10"""
123,T123,T123,Carl Pettersson,111,"85' 6""","6324' 8""",74,"116' 1""","50' 1"""
124,125,125,Michael Putnam,96,"85' 5""","3672' 9""",43,"119' 5""","39' 1"""
125,126,126,Bubba Dickerson,51,"85' 2""","2130' 1""",25,"128' 0""","63' 5"""
126,T127,T127,Cameron Beckman,96,"84' 10""","4328' 7""",51,"116' 8""","61' 5"""
127,T127,T127,Jim Furyk,84,"84' 10""","4663' 7""",55,"107' 6""","52' 11"""
128,T127,T127,Shaun Micheel,91,"84' 10""",3478',41,"114' 1""","51' 5"""
129,130,130,Adam Scott,69,"84' 6""","3635' 0""",43,"113' 4""","51' 8"""
130,131,131,Nick O'Hern,72,"84' 4""","3794' 9""",45,"120' 2""","33' 10"""
131,T132,T132,Rich Barcelo,80,"84' 2""","3617' 8""",43,"128' 6""","59' 4"""
132,T132,T132,John Mallinger,96,"84' 2""","5135' 3""",61,"109' 4""","27' 10"""
133,T134,T134,Woody Austin,95,"83' 11""","5116' 9""",61,"112' 10""","54' 0"""
134,T134,T134,Brian Gay,107,"83' 11""",5790',69,"122' 11""","56' 0"""
135,T134,T134,Chris Tidland,59,"83' 11""","3357' 2""",40,"109' 6""","47' 10"""
136,T134,T134,Brett Wetterich,88,"83' 11""",3860',46,"117' 5""","52' 5"""
137,138,138,Tom Pernice Jr.,104,"83' 10""","4863' 6""",58,"104' 6""","48' 4"""
138,139,139,Stephen Leaney,82,"83' 9""","4018' 9""",48,"109' 2""","43' 4"""
