,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
110,111,111,Paul Gow,70,+.127
111,T112,T112,Lucas Glover,98,+.128
112,T112,T112,Kevin Stadler,95,+.128
113,114,114,Jeff Sluman,60,+.131
114,115,115,J.B. Holmes,71,+.134
115,116,116,Pat Perez,84,+.135
116,117,117,Brian Gay,107,+.136
117,118,118,Rich Barcelo,80,+.139
118,T119,T119,Bob Estes,88,+.143
119,T119,T119,Ryan Moore,92,+.143
120,T121,T121,Glen Day,85,+.144
121,T121,T121,John Rollins,102,+.144
122,123,123,Michael Allen,74,+.145
123,124,124,Craig Lile,77,+.146
124,T125,T125,Tom Byrum,50,+.147
125,T125,T125,Jason Gore,86,+.147
126,T125,T125,Jeff Gove,103,+.147
127,T125,T125,Kent Jones,97,+.147
128,T125,T125,Troy Matteson,87,+.147
129,T125,T125,Corey Pavin,81,+.147
130,131,131,Bubba Dickerson,51,+.148
131,T132,T132,Briny Baird,115,+.149
132,T132,T132,Retief Goosen,50,+.149
133,T132,T132,Will MacKenzie,100,+.149
134,T132,T132,Jaco Van Zyl,51,+.149
135,T136,T136,Robert Gamez,88,+.150
136,T136,T136,J.P. Hayes,89,+.150
137,T138,T138,John Mallinger,96,+.152
138,T138,T138,Brett Quigley,79,+.152
139,T138,T138,Johnson Wagner,97,+.152
140,T141,T141,Parker McLachlin,83,+.153
141,T141,T141,Darron Stiles,65,+.153
142,143,143,Mark Hensby,81,+.155
143,144,144,Vaughn Taylor,91,+.156
144,145,145,Greg Owen,81,+.157
145,146,146,Rod Pampling,92,+.158
146,147,147,Bryce Molder,56,+.159
147,T148,T148,Boo Weekley,101,+.167
148,T148,T148,Steve Wheatcroft,73,+.167
149,T150,T150,Billy Andrade,88,+.168
150,T150,T150,Stuart Appleby,74,+.168
151,T152,T152,Jason Dufner,100,+.169
152,T152,T152,Jay Williamson,50,+.169
153,154,154,Todd Hamilton,76,+.170
154,155,155,Justin Rose,63,+.172
155,156,156,Kyle Reifers,71,+.174
156,157,157,David Branshaw,83,+.175
157,T158,T158,Tom Lehman,62,+.179
158,T158,T158,Mark Wilson,87,+.179
159,160,160,Jason Schultz,63,+.182
160,T161,T161,Trevor Immelman,74,+.186
161,T161,T161,Michael Sim,52,+.186
162,163,163,Robert Allenby,90,+.187
163,T164,T164,Ryan Armour,107,+.192
164,T164,T164,Shigeki Maruyama,84,+.192
165,T166,T166,Bart Bryant,87,+.197
166,T166,T166,Dicky Pride,71,+.197
167,T168,T168,Mathias Grönberg,95,+.200
168,T168,T168,Hunter Mahan,91,+.200
169,170,170,Tom Pernice Jr.,104,+.201
170,171,171,Richard Johnson,93,+.204
171,172,172,Michael Boyd,61,+.206
172,173,173,Jim Rutledge,59,+.210
173,174,174,Henrik Stenson,52,+.212
174,175,175,Chris Stroud,66,+.213
175,176,176,Brendon de Jonge,76,+.219
176,177,177,Mike Weir,82,+.223
177,178,178,Ben Curtis,80,+.224
178,179,179,Doug LaBelle II,104,+.225
179,T180,T180,Chris DiMarco,79,+.229
180,T180,T180,Luke Donald,69,+.229
181,T182,T182,Tripp Isenhour,86,+.230
182,T182,T182,Kirk Triplett,77,+.230
183,184,184,Daisuke Maruyama,86,+.236
184,185,185,Zach Johnson,76,+.243
185,186,186,Jeff Quinney,95,+.251
186,187,187,Chad Campbell,96,+.252
187,188,188,Charles Warren,101,+.254
188,189,189,Lee Janzen,66,+.258
189,190,190,Jonathan Byrd,73,+.266
190,T191,T191,Jason Bohn,57,+.271
191,T191,T191,Paul Goydos,60,+.271
192,193,193,José Coceres,50,+.281
193,194,194,Matt Hendrix,63,+.302
194,195,195,Fred Funk,65,+.304
195,196,196,Mark Brooks,53,+.340
