,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
51,T50,T50,Camilo Villegas,82,285.8,273781,958
52,53,53,Stuart Appleby,74,285.6,232442,814
53,54,54,Chris Tidland,59,285.5,203270,712
54,55,55,Ted Purdy,102,285.4,347344,1217
55,T56,T56,Stewart Cink,91,285.3,287332,1007
56,T56,T56,Ryan Palmer,91,285.3,326054,1143
57,T56,T56,Jason Schultz,63,285.3,211672,742
58,T59,T59,Padraig Harrington,64,285.2,183669,644
59,T59,T59,Steve Lowery,74,285.2,276626,970
60,61,61,J.P. Hayes,89,285.0,317813,1115
61,T62,T62,Joe Ogilvie,102,284.8,344651,1210
62,T62,T62,Rod Pampling,92,284.8,295918,1039
63,64,64,Bo Van Pelt,104,284.7,384673,1351
64,65,65,Justin Rose,63,284.5,155358,546
65,T66,T66,Mark Calcavecchia,93,284.4,289823,1019
66,T66,T66,Peter Lonard,85,284.4,300935,1058
67,T68,T68,J.J. Henry,86,284.3,270389,951
68,T68,T68,Pat Perez,84,284.3,257306,905
69,70,70,Aaron Baddeley,83,284.2,263751,928
70,71,71,Will MacKenzie,100,284.1,360805,1270
71,T72,T72,Rich Beem,89,284.0,278328,980
72,T72,T72,Jonathan Byrd,73,284.0,245336,864
73,T72,T72,John Senden,97,284.0,333960,1176
74,T75,T75,Kyle Reifers,71,283.8,250860,884
75,T75,T75,Kevin Sutherland,85,283.8,273622,964
76,77,77,Carl Pettersson,111,283.7,366196,1291
77,78,78,Rory Sabbatini,81,283.6,250987,885
78,T79,T79,Sergio Garcia,68,283.5,217195,766
79,T79,T79,Mike Weir,82,283.5,238120,840
80,81,81,Jay Williamson,50,283.2,190278,672
81,T82,T82,Brian Bateman,55,282.9,174815,618
82,T82,T82,Michael Putnam,96,282.9,316510,1119
83,T82,T82,Michael Sim,52,282.9,198566,702
84,85,85,Jeff Brehaut,59,282.8,193450,684
85,T86,T86,Bryce Molder,56,282.3,193916,687
86,T86,T86,Jim Rutledge,59,282.3,182387,646
87,T88,T88,Cameron Beckman,96,282.2,335290,1188
88,T88,T88,Brett Quigley,79,282.2,248607,881
89,90,90,Chris Stroud,66,282.0,221624,786
90,T91,T91,Michael Allen,74,281.9,251422,892
91,T91,T91,Todd Hamilton,76,281.9,228379,810
92,93,93,Trevor Immelman,74,281.7,212969,756
93,T94,T94,D.J. Brigman,67,281.6,212874,756
94,T94,T94,Jeff Gove,103,281.6,369520,1312
95,T94,T94,Ryan Moore,92,281.6,294305,1045
96,T97,T97,Briny Baird,115,281.5,412665,1466
97,T97,T97,Tom Johnson,74,281.5,247144,878
98,99,99,Vaughn Taylor,91,281.4,282561,1004
99,T100,T100,Eric Axley,107,281.3,369959,1315
100,T100,T100,Tim Herron,98,281.3,321491,1143
101,T100,T100,Steve Wheatcroft,73,281.3,240256,854
102,103,103,Alex Cejka,80,281.2,289937,1031
103,104,104,Marco Dawson,73,281.1,255282,908
104,T105,T105,Woody Austin,95,280.9,329261,1172
105,T105,T105,K.J. Choi,87,280.9,267180,951
106,T105,T105,Mark Hensby,81,280.9,281759,1003
107,108,108,Billy Andrade,88,280.6,308686,1100
108,T109,T109,Ken Duke,112,280.4,372898,1330
109,T109,T109,Darron Stiles,65,280.4,208090,742
110,T111,T111,Tommy Armour III,81,280.3,270473,965
111,T111,T111,Parker McLachlin,83,280.3,286512,1022
112,113,113,Jason Bohn,57,280.2,206524,737
113,114,114,David Branshaw,83,280.1,293023,1046
114,115,115,Jason Dufner,100,280.0,340462,1216
115,116,116,Kevin Na,84,279.9,305412,1091
116,T117,T117,Rich Barcelo,80,279.8,274245,980
117,T117,T117,Duffy Waldorf,69,279.8,231417,827
118,119,119,Tim Petrovic,106,279.6,370425,1325
119,T120,T120,Ryan Armour,107,279.5,366993,1313
120,T120,T120,Daisuke Maruyama,86,279.5,296803,1062
121,T120,T120,Arron Oberholser,69,279.5,206307,738
122,123,123,Johnson Wagner,97,279.4,335822,1202
123,124,124,Jeff Maggert,79,279.3,304761,1091
124,T125,T125,Joe Durant,88,279.2,286788,1027
125,T125,T125,Frank Lickliter II,95,279.2,331433,1187
126,T127,T127,Cliff Kresge,107,278.9,389095,1395
127,T127,T127,Shaun Micheel,91,278.9,272720,978
128,129,129,Chad Campbell,96,278.8,285253,1023
129,T130,T130,David Toms,80,278.6,246574,885
130,T130,T130,Jaco Van Zyl,51,278.6,171621,616
131,132,132,Jesper Parnevik,88,278.5,291287,1046
132,133,133,Charlie Wi,90,278.4,322351,1158
133,T134,T134,Bob Heintz,85,278.1,278675,1002
134,T134,T134,Brandt Snedeker,105,278.1,333432,1199
135,T134,T134,Bob Tway,103,278.1,341805,1229
136,T137,T137,Kent Jones,97,277.9,341793,1230
137,T137,T137,Steve Stricker,81,277.9,252079,907
138,T139,T139,Steve Flesch,100,277.8,349486,1258
139,T139,T139,Freddie Jacobson,70,277.8,265542,956
140,T139,T139,Lee Janzen,66,277.8,202267,728
141,T142,T142,Tom Lehman,62,277.6,189029,681
142,T142,T142,Mark Wilson,87,277.6,281177,1013
143,T144,T144,Brian Davis,101,277.5,341928,1232
144,T144,T144,Zach Johnson,76,277.5,231978,836
145,146,146,Tripp Isenhour,86,277.4,282966,1020
146,147,147,Stephen Ames,81,277.1,241323,871
147,T148,T148,Bart Bryant,87,277.0,286926,1036
148,T148,T148,John Mallinger,96,277.0,335387,1211
149,T148,T148,Billy Mayfair,98,277.0,319937,1155
150,151,151,Jerry Kelly,101,276.9,291035,1051
151,152,152,Ian Poulter,63,276.8,150866,545
152,153,153,Chris DiMarco,79,276.2,242499,878
153,T154,T154,Paul Gow,70,276.1,220357,798
154,T154,T154,Nathan Green,103,276.1,333806,1209
155,T154,T154,Justin Leonard,95,276.1,317197,1149
156,T154,T154,Joey Sindelar,75,276.1,257368,932
157,158,158,Luke Donald,69,275.7,194078,704
158,T159,T159,Robert Gamez,88,275.6,292675,1062
159,T159,T159,Jeff Quinney,95,275.6,331505,1203
160,T161,T161,Ryuji Imada,104,275.5,342477,1243
161,T161,T161,Tom Pernice Jr.,104,275.5,323999,1176
162,163,163,Steve Elkington,87,275.4,279531,1015
163,164,164,Jeff Sluman,60,275.2,160142,582
164,165,165,Glen Day,85,275.1,287779,1046
165,166,166,Craig Lile,77,274.7,265945,968
166,T167,T167,José María Olazábal,52,274.6,142236,518
167,T167,T167,Kirk Triplett,77,274.6,260850,950
168,169,169,Jim Furyk,84,274.5,254486,927
169,170,170,Heath Slocum,101,274.3,355277,1295
170,T171,T171,Anders Hansen,55,274.0,130445,476
171,T171,T171,Rocco Mediate,72,274.0,256224,935
172,T171,T171,Dicky Pride,71,274.0,234002,854
173,T174,T174,Tom Byrum,50,273.8,156615,572
174,T174,T174,Scott Verplank,82,273.8,225872,825
175,176,176,Chris Riley,59,273.7,195426,714
176,177,177,Bob Estes,88,273.6,305884,1118
177,178,178,Tim Clark,66,273.5,201558,737
178,T179,T179,Ben Curtis,80,273.4,246872,903
179,T179,T179,Richard Johnson,93,273.4,319375,1168
180,181,181,Nick O'Hern,72,273.1,209990,769
181,182,182,Craig Kanada,109,272.5,358114,1314
182,183,183,Dean Wilson,92,271.9,285225,1049
183,184,184,Matt Kuchar,85,271.8,270437,995
184,185,185,Shigeki Maruyama,84,271.7,303801,1118
185,186,186,Doug LaBelle II,104,270.9,344373,1271
186,187,187,Craig Bowden,78,270.3,253576,938
187,T188,T188,Michael Boyd,61,270.1,196933,729
188,T188,T188,José Coceres,50,270.1,159064,589
189,T190,T190,Mark Brooks,53,269.1,154203,573
190,T190,T190,Stephen Leaney,82,269.1,276924,1029
191,192,192,Paul Goydos,60,268.8,175241,652
192,193,193,Fred Funk,65,268.0,198573,741
193,194,194,Brian Gay,107,265.8,360428,1356
194,195,195,Gavin Coles,87,265.3,284974,1074
195,196,196,Corey Pavin,81,262.1,260511,994
