,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
93,T86,T86,Bubba Watson,83,"7' 4""",10.19,116,83
94,T95,T95,Billy Andrade,78,"7' 5""",5.697,64,72
95,T95,T95,Kris Cox,83,"7' 5""",8.975,101,118
96,T95,T95,Bob Estes,85,"7' 5""",8.242,93,40
97,T95,T95,Todd Fischer,101,"7' 5""",13.639000000000001,153,117
98,T95,T95,Carlos Franco,86,"7' 5""",11.001,124,163
99,T95,T95,Thomas Levet,53,"7' 5""",5.631,63,81
100,T95,T95,Jesper Parnevik,84,"7' 5""",9.812000000000001,110,28
101,T95,T95,Bo Van Pelt,102,"7' 5""",11.425,128,99
102,T103,T103,Daniel Chopra,110,"7' 6""",11.194,124,105
103,T103,T103,Charley Hoffman,100,"7' 6""",14.078,156,137
104,T103,T103,Davis Love III,85,"7' 6""",7.011,78,149
105,T103,T103,Bob May,65,"7' 6""",6.567,73,144
106,T103,T103,Pat Perez,50,"7' 6""",5.103,57,166
107,T103,T103,Heath Slocum,96,"7' 6""",10.168,113,141
108,T103,T103,Jeff Sluman,101,"7' 6""",8.366,93,71
109,T103,T103,Jerry Smith,94,"7' 6""",11.597000000000001,129,41
110,T103,T103,D.J. Trahan,92,"7' 6""",10.902999999999999,121,128
111,T103,T103,Tjaart van der Walt,60,"7' 6""",8.304,92,9
112,T103,T103,Mike Weir,88,"7' 6""",6.736000000000001,75,79
113,T114,T114,Aaron Baddeley,78,"7' 7""",9.759,107,51
114,T114,T114,James Driscoll,80,"7' 7""",9.696,106,160
