,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
49,T47,T47,Steve Lowery,99,57.14,76,133
50,T51,T51,Woody Austin,107,57.02,69,121
51,T51,T51,Brian Davis,92,57.02,69,121
52,T51,T51,Chris Riley,86,57.02,65,114
53,54,54,Nathan Green,108,56.94,82,144
54,T55,T55,Stuart Appleby,83,56.82,50,88
55,T55,T55,Kirk Triplett,58,56.82,50,88
56,57,57,Mike Weir,88,56.58,43,76
57,58,58,K.J. Choi,93,56.44,57,101
58,59,59,Adam Scott,70,56.36,31,55
59,60,60,Retief Goosen,68,56.34,40,71
60,61,61,Joe Ogilvie,95,56.25,63,112
61,62,62,Bob May,65,56.16,41,73
62,63,63,Jerry Kelly,100,56.03,65,116
63,64,64,Jeff Gove,91,55.93,66,118
64,65,65,Phil Mickelson,74,55.77,29,52
65,66,66,Doug Barron,74,55.75,63,113
66,67,67,Brad Faxon,78,55.73,73,131
67,T68,T68,Michael Allen,84,55.56,80,144
68,T68,T68,Sergio Garcia,59,55.56,35,63
69,70,70,Nick Watney,97,55.36,62,112
70,71,71,Mathew Goggin,72,55.32,52,94
71,72,72,Fred Funk,106,55.26,63,114
72,73,73,Joe Durant,101,55.22,74,134
73,74,74,J.J. Henry,96,55.17,64,116
74,75,75,Ian Poulter,53,55.13,43,78
75,76,76,James Driscoll,80,55.05,60,109
76,77,77,Daisuke Maruyama,83,54.72,58,106
77,78,78,Danny Ellis,68,54.63,59,108
78,79,79,Chris DiMarco,83,54.44,49,90
79,80,80,Shigeki Maruyama,94,54.31,63,116
80,81,81,Carl Pettersson,95,54.17,65,120
81,82,82,Chris Smith,67,54.13,59,109
82,83,83,Justin Leonard,83,53.79,71,132
83,T84,T84,Lucas Glover,105,53.77,57,106
84,T84,T84,Charles Howell III,96,53.77,57,106
85,86,86,Patrick Sheehan,104,53.69,80,149
86,87,87,Charley Hoffman,100,53.68,73,136
87,T88,T88,Robert Damron,91,53.33,80,150
88,T88,T88,Paul Goydos,72,53.33,56,105
89,90,90,Brent Geiberger,99,53.29,81,152
90,91,91,Bob Estes,85,53.28,65,122
91,92,92,Padraig Harrington,54,53.23,33,62
92,T93,T93,Stewart Cink,93,53.21,58,109
93,T93,T93,Steve Flesch,119,53.21,83,156
94,95,95,Fred Couples,52,53.19,25,47
95,96,96,Tom Lehman,70,53.16,42,79
96,97,97,Mark O'Meara,52,53.03,35,66
97,98,98,Bernhard Langer,77,52.94,54,102
98,99,99,Henrik Bjornstad,97,52.9,73,138
99,100,100,Mathias Grönberg,92,52.89,64,121
100,101,101,Bill Haas,99,52.86,74,140
101,102,102,Bart Bryant,87,52.83,56,106
102,103,103,David McKenzie,82,52.8,66,125
103,104,104,José María Olazábal,62,52.78,38,72
104,T105,T105,Arron Oberholser,82,52.69,49,93
105,T105,T105,David Toms,76,52.69,49,93
106,107,107,Rory Sabbatini,84,52.58,51,97
107,108,108,Rod Pampling,89,52.38,55,105
108,109,109,Charles Warren,93,52.34,56,107
109,110,110,Dean Wilson,115,52.27,69,132
110,111,111,John Daly,51,52.24,35,67
111,112,112,J.L. Lewis,57,52.04,51,98
112,T113,T113,Jeff Overton,95,52.03,64,123
113,T113,T113,Ryan Palmer,101,52.03,64,123
114,115,115,Craig Barlow,77,51.79,58,112
115,116,116,Will MacKenzie,91,51.72,60,116
116,117,117,D.A. Points,82,51.67,62,120
117,118,118,Arjun Atwal,97,51.66,78,151
118,119,119,John Rollins,93,51.59,65,126
119,120,120,Geoff Ogilvy,76,51.55,50,97
120,121,121,Mark Wilson,79,51.43,54,105
121,122,122,Kent Jones,103,51.37,75,146
122,123,123,Michael Connell,51,51.22,42,82
123,124,124,Kenny Perry,73,51.19,43,84
124,125,125,Jason Bohn,104,51.18,65,127
125,126,126,J.P. Hayes,55,51.09,47,92
126,127,127,Shane Bertsch,104,51.01,76,149
127,128,128,Paul Stankowski,70,51.0,51,100
128,129,129,Aaron Baddeley,78,50.89,57,112
129,130,130,Nicholas Thompson,96,50.88,58,114
130,131,131,Joey Sindelar,90,50.83,61,120
131,132,132,Billy Andrade,78,50.7,36,71
132,133,133,Tim Clark,80,50.51,50,99
133,134,134,Eric Axley,91,50.36,70,139
134,135,135,Tag Ridings,103,50.32,78,155
135,T136,T136,Daniel Chopra,110,50.0,61,122
136,T136,T136,Marco Dawson,87,50.0,68,136
137,T136,T136,Harrison Frazar,95,50.0,60,120
138,T136,T136,Ian Leggatt,80,50.0,61,122
139,T136,T136,Tom Pernice Jr.,108,50.0,61,122
140,T136,T136,Jerry Smith,94,50.0,78,156
141,T136,T136,Duffy Waldorf,96,50.0,52,104
142,143,143,Robert Allenby,79,49.41,42,85
143,144,144,Robert Gamez,94,49.26,67,136
144,145,145,Alex Cejka,93,49.24,65,132
145,146,146,Jason Schultz,77,49.21,62,126
146,147,147,Shaun Micheel,96,49.07,53,108
147,148,148,Jason Gore,86,48.84,63,129
148,149,149,Justin Rose,98,48.72,57,117
149,150,150,Kris Cox,83,48.7,56,115
150,151,151,Mark Calcavecchia,94,48.65,54,111
151,152,152,Greg Chalmers,71,48.51,49,101
152,153,153,John Huston,74,48.41,61,126
153,154,154,Freddie Jacobson,56,48.35,44,91
154,155,155,Chad Campbell,91,48.21,54,112
155,156,156,David Howell,52,48.15,26,54
156,157,157,Len Mattiace,59,48.04,49,102
157,158,158,Carlos Franco,86,48.03,73,152
158,159,159,Troy Matteson,101,47.93,58,121
159,160,160,Camilo Villegas,95,47.62,50,105
160,T161,T161,Heath Slocum,96,47.5,57,120
161,T161,T161,Roger Tambellini,64,47.5,38,80
162,163,163,Jeff Maggert,81,47.31,44,93
163,164,164,Brandt Jobe,91,47.25,43,91
164,T165,T165,Scott Gutschewski,53,47.14,33,70
165,T165,T165,Sean O'Hair,100,47.14,66,140
166,167,167,Alex Aragon,63,47.01,55,117
167,168,168,Mark Brooks,90,46.83,59,126
168,169,169,Jimmy Walker,60,46.74,43,92
169,170,170,Vance Veazey,59,46.73,50,107
170,171,171,Jon Mills,68,46.67,56,120
171,172,172,Lee Janzen,79,46.61,55,118
172,173,173,Olin Browne,108,46.56,61,131
173,174,174,Bo Van Pelt,102,46.51,60,129
174,175,175,Bob Tway,81,46.43,52,112
175,176,176,Brian Bateman,69,46.36,51,110
176,177,177,Ted Purdy,103,46.28,56,121
177,178,178,Briny Baird,81,46.08,47,102
178,179,179,Peter Lonard,77,46.0,46,100
179,180,180,Hunter Mahan,98,45.83,44,96
180,181,181,Tim Herron,82,45.05,41,91
181,182,182,Todd Hamilton,72,45.04,59,131
182,183,183,John Senden,96,44.95,49,109
183,T184,T184,J.B. Holmes,81,44.44,40,90
184,T184,T184,Jeff Sluman,101,44.44,48,108
185,T186,T186,Chris Couch,75,43.48,40,92
186,T186,T186,Robert Garrigus,85,43.48,50,115
187,188,188,Hidemichi Tanaka,74,43.29,71,164
188,189,189,"John Engler, Jr.",69,43.1,50,116
189,190,190,Tommy Armour III,65,42.86,33,77
190,191,191,Bubba Dickerson,98,42.11,56,133
191,192,192,"Wes Short, Jr.",96,41.09,53,129
192,193,193,David Duval,71,40.63,39,96
193,194,194,Vaughn Taylor,88,40.32,50,124
194,195,195,Pat Perez,50,40.0,24,60
195,196,196,Ryan Hietala,61,39.05,41,105
