,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
42,43,43,Jeff Sluman,106,70.47,3453,49
43,T44,T44,Tim Herron,102,70.49,3454,49
44,T44,T44,Shigeki Maruyama,87,70.49,3172,45
45,46,46,Pat Bates,111,70.51,3737,53
46,T47,T47,Robert Gamez,114,70.53,4232,60
47,T47,T47,Kent Jones,74,70.53,2539,36
48,T49,T49,Olin Browne,113,70.54,3950,56
49,T49,T49,John Riegger,55,70.54,1693,24
50,51,51,David Peoples,96,70.55,3457,49
51,T52,T52,Craig Barlow,95,70.57,3246,46
52,T52,T52,Scott McCarron,86,70.57,2964,42
53,54,54,Heath Slocum,101,70.6,3671,52
54,55,55,Skip Kendall,110,70.61,3460,49
55,T56,T56,Harrison Frazar,88,70.63,3037,43
56,T56,T56,Paul Goydos,86,70.63,3249,46
57,58,58,Arron Oberholser,80,70.64,2755,39
58,T59,T59,Stuart Appleby,90,70.68,2898,41
59,T59,T59,Steve Flesch,110,70.68,3958,56
60,T59,T59,David Frost,80,70.68,2403,34
61,T59,T59,Tom Lehman,87,70.68,2403,34
62,T59,T59,Brenden Pappas,105,70.68,3746,53
63,T64,T64,Ben Crane,94,70.7,3040,43
64,T64,T64,Matt Gogel,77,70.7,2333,33
65,T66,T66,Woody Austin,107,70.72,3819,54
66,T66,T66,Rocco Mediate,80,70.72,2546,36
67,T68,T68,Glen Day,103,70.73,3678,52
68,T68,T68,Duffy Waldorf,90,70.73,2900,41
69,T70,T70,Peter Jacobsen,75,70.74,2759,39
70,T70,T70,Tom Pernice Jr.,105,70.74,3749,53
71,T70,T70,Nick Price,65,70.74,2405,34
72,T73,T73,Tim Clark,79,70.76,2618,37
73,T73,T73,John Rollins,89,70.76,2689,38
74,75,75,Paul Stankowski,67,70.79,2690,38
75,76,76,Billy Mayfair,105,70.82,3116,44
76,77,77,Brad Faxon,97,70.83,3400,48
77,T78,T78,Fred Funk,112,70.84,3967,56
78,T78,T78,Lee Janzen,83,70.84,2692,38
79,T80,T80,Tommy Armour III,66,70.85,2338,33
80,T80,T80,David Gossett,92,70.85,3259,46
81,T80,T80,Hal Sutton,81,70.85,2834,40
82,83,83,Jonathan Byrd,101,70.87,3685,52
83,T84,T84,Brian Bateman,70,70.88,2268,32
84,T84,T84,K.J. Choi,112,70.88,3686,52
85,T84,T84,Carlos Franco,99,70.88,3402,48
86,87,87,J.P. Hayes,79,70.89,2481,35
87,88,88,Joey Sindelar,93,70.9,2978,42
88,89,89,Cliff Kresge,102,70.91,3262,46
89,90,90,Paul Gow,62,70.94,2341,33
90,T91,T91,Mark Calcavecchia,84,70.95,3051,43
91,T91,T91,Dean Wilson,82,70.95,2838,40
92,T93,T93,Geoff Ogilvy,86,70.96,3335,47
93,T93,T93,Kevin Sutherland,97,70.96,3264,46
94,95,95,Brandt Jobe,77,70.97,2697,38
95,T96,T96,Jeff Brehaut,110,70.98,3975,56
96,T96,T96,Andrew Magee,91,70.98,3123,44
97,T98,T98,Per-Ulrik Johansson,96,71.0,3479,49
98,T98,T98,Jesper Parnevik,102,71.0,3053,43
99,100,100,Jay Williamson,93,71.04,3268,46
100,101,101,Mike Heinen,89,71.05,2842,40
101,102,102,Esteban Toledo,109,71.07,3127,44
102,T103,T103,Billy Andrade,100,71.08,3412,48
103,T103,T103,Brian Henninger,56,71.08,1777,25
104,T103,T103,J.J. Henry,100,71.08,3483,49
105,T106,T106,Tom Byrum,97,71.09,3128,44
106,T106,T106,Brad Elder,51,71.09,1635,23
107,T108,T108,Cameron Beckman,86,71.12,2916,41
108,T108,T108,Darren Clarke,61,71.12,1778,25
109,110,110,Brent Geiberger,51,71.13,1636,23
110,111,111,Bernhard Langer,65,71.14,2063,29
111,112,112,Scott Laycock,71,71.16,2277,32
112,113,113,Patrick Sheehan,101,71.17,3274,46
113,T114,T114,Ian Leggatt,71,71.19,2207,31
114,T114,T114,Frank Lickliter II,94,71.19,3346,47
115,116,116,Richard Johnson,89,71.21,2706,38
116,T117,T117,Todd Fischer,97,71.23,3348,47
117,T117,T117,Peter Lonard,96,71.23,3134,44
118,T119,T119,Phil Mickelson,87,71.24,2707,38
119,T119,T119,Corey Pavin,88,71.24,3277,46
120,T121,T121,Joel Edwards,60,71.29,1996,28
121,T121,T121,Donnie Hammond,92,71.29,2994,42
122,T121,T121,Spike McRoy,103,71.29,2994,42
123,T124,T124,Alex Cejka,98,71.3,2852,40
124,T124,T124,Garrett Willis,97,71.3,3137,44
125,126,126,Deane Pappas,75,71.33,2354,33
126,127,127,Doug Barron,90,71.36,2783,39
127,128,128,Glen Hnatiuk,92,71.38,2998,42
128,T129,T129,Luke Donald,88,71.39,3284,46
129,T129,T129,Brian Gay,100,71.39,3284,46
130,131,131,Dicky Pride,73,71.4,2499,35
131,T132,T132,Jay Don Blake,77,71.41,2428,34
132,T132,T132,Steve Lowery,86,71.41,2928,41
133,134,134,Dudley Hart,66,71.43,2500,35
134,135,135,Jim Carter,95,71.45,2715,38
135,136,136,Mike Grob,83,71.48,2859,40
136,137,137,Akio Sadakata,83,71.49,2645,37
137,T138,T138,Kenichi Kuboya,91,71.5,3146,44
138,T138,T138,Mike Sposa,72,71.5,2288,32
139,140,140,Robert Damron,96,71.51,3218,45
140,T141,T141,Steve Allan,53,71.52,1788,25
141,T141,T141,Len Mattiace,94,71.52,3147,44
142,143,143,Chris Smith,92,71.53,2718,38
143,144,144,Mark Wilson,82,71.54,2647,37
144,T145,T145,Jason Gore,83,71.56,2791,39
145,T145,T145,Thomas Levet,85,71.56,2433,34
146,T145,T145,John Maginnes,87,71.56,2934,41
147,T148,T148,Rich Beem,80,71.57,2648,37
148,T148,T148,David Sutherland,77,71.57,2648,37
149,150,150,Rory Sabbatini,95,71.58,3078,43
150,T151,T151,Marco Dawson,86,71.59,2649,37
151,T151,T151,Tom Gillis,71,71.59,2291,32
152,153,153,Craig Perks,82,71.62,2650,37
153,154,154,Carl Pettersson,80,71.63,2507,35
154,155,155,Greg Chalmers,98,71.64,3152,44
155,156,156,Chris Anderson,96,71.66,3153,44
156,157,157,Jeff Maggert,81,71.68,2724,38
157,158,158,Bob Burns,88,71.7,2366,33
158,159,159,Steve Stricker,59,71.72,1793,25
159,160,160,Mark Brooks,90,71.73,2869,40
160,161,161,José Coceres,62,71.81,2298,32
161,162,162,Anthony Painter,87,71.82,3160,44
162,T163,T163,Brent Schwarzrock,60,71.83,1652,23
163,T163,T163,Darron Stiles,93,71.83,3448,48
164,T165,T165,Mathew Goggin,90,71.85,2946,41
165,T165,T165,Vance Veazey,66,71.85,2371,33
166,T167,T167,Steven Alker,87,71.89,3235,45
167,T167,T167,John Morgan,81,71.89,2732,38
168,169,169,Aaron Barber,94,71.9,2948,41
169,T170,T170,Andy Miller,75,71.93,2158,30
170,T170,T170,Adam Scott,52,71.93,1942,27
171,172,172,Jason Buha,61,72.0,1872,26
172,173,173,Paul Azinger,73,72.03,2449,34
173,174,174,Mark O'Meara,69,72.07,1946,27
174,175,175,Notah Begay III,92,72.09,3316,46
175,176,176,Gene Sauers,87,72.18,2743,38
176,177,177,Pat Perez,95,72.27,3180,44
177,178,178,Ben Curtis,69,72.28,2313,32
178,179,179,"Dave Stockton, Jr.",79,72.29,2530,35
179,180,180,Michael Clark II,54,72.3,1663,23
180,T181,T181,John Daly,56,72.32,1808,25
181,T181,T181,Kenneth Staton,59,72.32,2025,28
182,183,183,Kaname Yokoo,56,72.35,1447,20
183,184,184,Matt Kuchar,63,72.61,2251,31
184,185,185,Jason Caron,74,72.67,2180,30
185,186,186,Gavin Coles,69,72.7,2181,30
186,187,187,Cameron Yancey,58,72.76,2110,29
187,188,188,Jeff Klein,60,73.0,2190,30
188,189,189,Ty Tryon,52,73.43,1689,23
189,190,190,Todd Barranger,78,73.44,2497,34
