,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
50,51,51,Marco Dawson,86,15.81,34,215
51,52,52,Dicky Pride,73,15.76,29,184
52,53,53,Ben Crane,94,15.75,40,254
53,T54,T54,Stephen Ames,91,15.7,35,223
54,T54,T54,Brian Bateman,70,15.7,27,172
55,56,56,Robert Allenby,87,15.68,29,185
56,57,57,Michael Clark II,54,15.65,23,147
57,58,58,Steve Stricker,59,15.64,33,211
58,59,59,Cliff Kresge,102,15.61,37,237
59,60,60,Darron Stiles,93,15.58,31,199
60,61,61,Cameron Yancey,58,15.54,23,148
61,62,62,Paul Gow,62,15.31,30,196
62,T63,T63,Chad Campbell,105,15.28,33,216
63,T63,T63,Jeff Maggert,81,15.28,22,144
64,65,65,Scott Laycock,71,15.18,29,191
65,66,66,Richard Johnson,89,15.17,27,178
66,67,67,Glen Day,103,15.14,38,251
67,68,68,Brian Henninger,56,15.13,23,152
68,69,69,Neal Lancaster,110,15.03,52,346
69,T70,T70,Greg Chalmers,98,15.0,45,300
70,T70,T70,Mathew Goggin,90,15.0,36,240
71,72,72,Paul Stankowski,67,14.94,26,174
72,73,73,Andrew Magee,91,14.93,40,268
73,74,74,Chris Smith,92,14.9,31,208
74,75,75,Tom Gillis,71,14.84,23,155
75,76,76,Pat Bates,111,14.83,35,236
76,77,77,Notah Begay III,92,14.8,29,196
77,78,78,Justin Leonard,80,14.72,24,163
78,79,79,Tom Pernice Jr.,105,14.71,40,272
79,T80,T80,Steve Lowery,86,14.57,29,199
80,T80,T80,Mark Wilson,82,14.57,29,199
81,82,82,Aaron Baddeley,71,14.48,32,221
82,83,83,Robert Gamez,114,14.33,43,300
83,T84,T84,Jason Buha,61,14.29,24,168
84,T84,T84,Steve Flesch,110,14.29,41,287
85,T84,T84,Tom Lehman,87,14.29,24,168
86,87,87,Alex Cejka,98,14.22,29,204
87,88,88,David Gossett,92,14.16,32,226
88,89,89,Dan Forsman,98,14.12,36,255
89,90,90,Jonathan Byrd,101,13.98,33,236
90,91,91,Carl Paulson,101,13.82,34,246
91,T92,T92,Billy Andrade,100,13.78,39,283
92,T92,T92,Bob Estes,92,13.78,27,196
93,94,94,John Huston,76,13.68,26,190
94,95,95,Garrett Willis,97,13.66,31,227
95,96,96,Stewart Cink,104,13.65,37,271
96,97,97,Thomas Levet,85,13.57,30,221
97,98,98,Kenneth Staton,59,13.55,21,155
98,T99,T99,Rory Sabbatini,95,13.54,31,229
99,T99,T99,Jeff Sluman,106,13.54,31,229
100,101,101,Arron Oberholser,80,13.53,28,207
101,102,102,Esteban Toledo,109,13.46,35,260
102,103,103,Pat Perez,95,13.39,32,239
103,104,104,Paul Azinger,73,13.33,28,210
104,105,105,Kenny Perry,98,13.22,23,174
105,106,106,Scott Verplank,97,13.16,25,190
106,107,107,Carl Pettersson,80,13.15,28,213
107,108,108,Shigeki Maruyama,87,13.14,23,175
108,109,109,Kenichi Kuboya,91,13.08,31,237
109,110,110,David Peoples,96,13.07,26,199
110,111,111,Peter Jacobsen,75,13.01,19,146
111,112,112,Steven Alker,87,13.0,26,200
112,113,113,Tommy Armour III,66,12.99,20,154
113,114,114,Lee Janzen,83,12.94,22,170
114,115,115,Brett Quigley,92,12.9,36,279
115,116,116,Bob Tway,89,12.88,30,233
116,117,117,Jerry Kelly,108,12.87,26,202
117,118,118,Nick Price,65,12.86,18,140
118,T119,T119,Rich Beem,80,12.83,24,187
119,T119,T119,J.L. Lewis,99,12.83,29,226
120,121,121,Jeff Brehaut,110,12.81,36,281
121,122,122,Aaron Barber,94,12.78,29,227
122,T123,T123,Paul Goydos,86,12.77,24,188
123,T123,T123,Gene Sauers,87,12.77,24,188
124,125,125,Todd Barranger,78,12.7,32,252
125,126,126,Todd Fischer,97,12.69,33,260
126,T127,T127,Akio Sadakata,83,12.68,26,205
127,T127,T127,"Dave Stockton, Jr.",79,12.68,27,213
128,129,129,Jason Caron,74,12.67,28,221
129,130,130,Brian Gay,100,12.66,30,237
130,T131,T131,Joe Durant,96,12.64,23,182
131,T131,T131,John Maginnes,87,12.64,23,182
132,133,133,Chris Anderson,96,12.56,28,223
133,T134,T134,Shaun Micheel,97,12.5,31,248
134,T134,T134,Brent Schwarzrock,60,12.5,19,152
135,T134,T134,Vance Veazey,66,12.5,25,200
136,T134,T134,Jay Williamson,93,12.5,26,208
137,138,138,Hal Sutton,81,12.41,17,137
138,139,139,Brent Geiberger,51,12.35,20,162
139,140,140,Donnie Hammond,92,12.22,27,221
140,141,141,Bernhard Langer,65,12.21,16,131
141,142,142,Tom Byrum,97,12.17,23,189
142,143,143,Craig Perks,82,12.16,27,222
143,144,144,Brad Faxon,97,12.11,31,256
144,145,145,David Frost,80,12.09,26,215
145,T146,T146,Loren Roberts,87,12.08,18,149
146,T146,T146,John Rollins,89,12.08,18,149
147,148,148,Corey Pavin,88,12.04,23,191
148,149,149,Doug Barron,90,11.91,28,235
149,150,150,Frank Lickliter II,94,11.89,27,227
150,151,151,Mark Brooks,90,11.68,25,214
151,152,152,Hidemichi Tanaka,112,11.59,27,233
152,153,153,Jim Carter,95,11.42,25,219
153,154,154,J.J. Henry,100,11.38,28,246
154,155,155,Peter Lonard,96,11.31,25,221
155,156,156,Craig Barlow,95,11.26,25,222
156,157,157,Glen Hnatiuk,92,11.24,19,169
157,158,158,Spike McRoy,103,11.11,27,243
158,159,159,Joey Sindelar,93,11.06,23,208
159,160,160,Ben Curtis,69,11.05,19,172
160,161,161,Joel Edwards,60,11.04,17,154
161,162,162,Ian Leggatt,71,10.99,21,191
162,163,163,Matt Gogel,77,10.98,18,164
163,164,164,Jonathan Kaye,91,10.92,25,229
164,165,165,Heath Slocum,101,10.88,21,193
165,166,166,Adam Scott,52,10.57,13,123
166,167,167,K.J. Choi,112,10.55,29,275
167,168,168,Jeff Klein,60,10.45,14,134
168,169,169,Tim Herron,102,10.32,26,252
169,170,170,Brad Elder,51,10.26,12,117
170,171,171,Len Mattiace,94,10.24,21,205
171,172,172,Kaname Yokoo,56,10.07,15,149
172,173,173,Mark O'Meara,69,10.0,12,120
173,174,174,Billy Mayfair,105,9.95,19,191
174,175,175,Anthony Painter,87,9.92,25,252
175,176,176,J.P. Hayes,79,9.82,16,163
176,177,177,Fred Funk,112,9.64,16,166
177,178,178,Bob Burns,88,9.57,18,188
178,179,179,Jim Furyk,104,9.55,15,157
179,180,180,Jay Don Blake,77,8.88,15,169
180,181,181,Matt Kuchar,63,8.55,13,152
181,182,182,Olin Browne,113,8.53,18,211
182,183,183,Robert Damron,96,8.43,15,178
183,184,184,Steve Allan,53,7.98,13,163
184,185,185,Rocco Mediate,80,7.86,11,140
185,186,186,Gavin Coles,69,7.69,10,130
186,187,187,Jay Haas,89,7.25,15,207
187,188,188,Mike Grob,83,7.1,12,169
188,189,189,Luke Donald,88,6.18,11,178
189,190,190,Per-Ulrik Johansson,96,6.15,15,244
