,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
160,161,161,Matt Kuchar,63,18.58,204,1098,133
161,162,162,Steve Stricker,59,18.55,187,1008,186
162,163,163,Dudley Hart,66,18.52,220,1188,120
163,164,164,Mark Brooks,90,18.45,289,1566,172
164,T165,T165,John Maginnes,87,18.33,287,1566,147
165,T165,T165,Mark O'Meara,69,18.33,221,1206,179
166,167,167,Cameron Yancey,58,18.25,184,1008,190
167,168,168,Bernhard Langer,65,18.23,210,1152,166
168,169,169,Jason Buha,61,18.2,190,1044,125
169,170,170,Anthony Painter,87,18.17,278,1530,182
170,171,171,Mark Wilson,82,18.13,261,1440,139
171,172,172,Bob Burns,88,18.12,274,1512,142
172,173,173,Jason Caron,74,18.08,231,1278,173
173,174,174,Robert Damron,96,18.06,312,1728,150
174,175,175,Gene Sauers,87,18.04,276,1530,138
175,176,176,Paul Azinger,73,17.88,235,1314,135
176,177,177,Kenneth Staton,59,17.84,183,1026,89
177,178,178,Jay Williamson,93,17.81,295,1656,116
178,T179,T179,Jim Carter,95,17.8,298,1674,157
179,T179,T179,Len Mattiace,94,17.8,298,1674,177
180,181,181,Glen Hnatiuk,92,17.79,285,1602,73
181,182,182,Corey Pavin,88,17.76,275,1548,178
182,183,183,Kaname Yokoo,56,17.7,172,972,185
183,184,184,Joel Edwards,60,17.69,191,1080,118
184,185,185,Ben Curtis,69,17.63,219,1242,114
185,186,186,Brad Elder,51,17.23,152,882,146
186,187,187,Steve Allan,53,17.01,150,882,167
187,188,188,Steven Alker,87,16.93,259,1530,175
188,189,189,Jeff Klein,60,15.9,166,1044,188
189,190,190,Gavin Coles,69,14.23,169,1188,187
