,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
81,82,82,Paul Stankowski,70.92,851,12
82,83,83,Geoff Ogilvy,70.93,1064,15
83,84,84,Spike McRoy,70.94,1135,16
84,T85,T85,Jay Don Blake,71.0,710,10
85,T85,T85,Jonathan Byrd,71.0,1491,21
86,T85,T85,Tom Byrum,71.0,1207,17
87,T85,T85,Brad Elder,71.0,355,5
88,T85,T85,Mike Grob,71.0,923,13
89,T85,T85,J.P. Hayes,71.0,923,13
90,T85,T85,Billy Mayfair,71.0,1420,20
91,T85,T85,Dicky Pride,71.0,923,13
92,93,93,Andrew Magee,71.06,1279,18
93,94,94,Hank Kuehne,71.08,924,13
94,T95,T95,Mark Calcavecchia,71.11,1280,18
95,T95,T95,Brett Quigley,71.11,1280,18
96,T95,T95,Esteban Toledo,71.11,1280,18
97,T98,T98,Robert Gamez,71.12,1778,25
98,T98,T98,Rocco Mediate,71.12,1209,17
99,T98,T98,Heath Slocum,71.12,1209,17
100,101,101,John Rollins,71.13,1138,16
101,102,102,Steve Stricker,71.14,498,7
102,T103,T103,Peter Lonard,71.15,1423,20
103,T103,T103,Tom Pernice Jr.,71.15,1423,20
104,105,105,Deane Pappas,71.23,926,13
105,106,106,Hal Sutton,71.25,1140,16
106,107,107,Billy Andrade,71.26,1354,19
107,108,108,Jesper Parnevik,71.28,1283,18
108,109,109,J.J. Henry,71.29,1212,17
109,T110,T110,Harrison Frazar,71.31,1141,16
110,T110,T110,Dudley Hart,71.31,927,13
111,T110,T110,Brandt Jobe,71.31,1141,16
112,T113,T113,Todd Fischer,71.33,1070,15
113,T113,T113,Duffy Waldorf,71.33,1284,18
114,115,115,K.J. Choi,71.35,1641,23
115,T116,T116,Aaron Baddeley,71.36,999,14
116,T116,T116,David Sutherland,71.36,785,11
117,118,118,Charles Howell III,71.37,1927,27
118,119,119,Tim Herron,71.38,1499,21
119,120,120,Neal Lancaster,71.42,1357,19
120,121,121,Steve Lowery,71.46,929,13
121,T122,T122,Jonathan Kaye,71.47,1215,17
122,T122,T122,Jay Williamson,71.47,1215,17
123,124,124,Jeff Brehaut,71.48,1501,21
124,T125,T125,Paul Azinger,71.5,715,10
125,T125,T125,Steve Flesch,71.5,1430,20
126,T125,T125,Ty Tryon,71.5,286,4
127,128,128,Mathew Goggin,71.53,1073,15
128,129,129,Pat Perez,71.56,1145,16
129,130,130,Kenneth Staton,71.57,501,7
130,131,131,Darren Clarke,71.58,859,12
131,T132,T132,Woody Austin,71.59,1575,22
132,T132,T132,David Gossett,71.59,1217,17
133,T134,T134,Chris Anderson,71.6,1074,15
134,T134,T134,Notah Begay III,71.6,1074,15
135,T134,T134,Ian Leggatt,71.6,716,10
136,T134,T134,Chris Smith,71.6,1074,15
137,138,138,Mark Brooks,71.62,931,13
138,139,139,Akio Sadakata,71.64,788,11
139,140,140,Rory Sabbatini,71.65,1433,20
140,T141,T141,Tim Clark,71.67,1075,15
141,T141,T141,Gene Sauers,71.67,860,12
142,143,143,Carlos Franco,71.68,1362,19
143,144,144,John Maginnes,71.69,932,13
144,145,145,Brent Schwarzrock,71.7,717,10
145,146,146,Todd Barranger,71.71,502,7
146,T147,T147,Alex Cejka,71.72,1291,18
147,T147,T147,Cliff Kresge,71.72,1291,18
148,T147,T147,Phil Mickelson,71.72,1291,18
149,T147,T147,Hidemichi Tanaka,71.72,1793,25
150,151,151,Robert Damron,71.73,1076,15
151,T152,T152,Greg Chalmers,71.75,1148,16
152,T152,T152,Anthony Painter,71.75,861,12
153,154,154,Olin Browne,71.76,1507,21
154,155,155,Nick Price,71.8,1077,15
155,156,156,Glen Hnatiuk,71.81,1149,16
156,157,157,Frank Lickliter II,71.88,1150,16
157,158,158,Len Mattiace,71.9,1438,20
158,159,159,Corey Pavin,71.94,1295,18
159,T160,T160,Jason Buha,72.0,360,5
160,T160,T160,Paul Goydos,72.0,1224,17
161,T160,T160,Carl Paulson,72.0,1296,18
162,T160,T160,"Dave Stockton, Jr.",72.0,504,7
163,T160,T160,Kaname Yokoo,72.0,360,5
164,165,165,Peter Jacobsen,72.07,1009,14
165,166,166,Cameron Beckman,72.12,1226,17
166,167,167,Matt Kuchar,72.13,577,8
167,168,168,Bob Burns,72.14,1010,14
168,169,169,Brian Henninger,72.18,794,11
169,170,170,Darron Stiles,72.2,1083,15
170,T171,T171,Doug Barron,72.25,867,12
171,T171,T171,Jeff Maggert,72.25,1156,16
172,173,173,Joel Edwards,72.29,506,7
173,174,174,Sergio Garcia,72.3,723,10
174,175,175,Rich Beem,72.38,941,13
175,176,176,Kenichi Kuboya,72.43,1014,14
176,177,177,Jim Carter,72.5,1015,14
177,178,178,Lee Janzen,72.53,1088,15
178,179,179,Donnie Hammond,72.67,1308,18
179,T180,T180,Fred Couples,72.75,1164,16
180,T180,T180,Andy Miller,72.75,873,12
181,182,182,Craig Perks,72.91,802,11
182,T183,T183,Steven Alker,73.0,949,13
183,T183,T183,Jason Caron,73.0,511,7
184,185,185,Gavin Coles,73.4,367,5
185,186,186,José Coceres,73.55,809,11
186,T187,T187,Mark O'Meara,73.6,736,10
187,T187,T187,Cameron Yancey,73.6,368,5
188,189,189,Jeff Klein,74.25,297,4
189,190,190,John Daly,75.71,530,7
