,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
99,T99,T99,Richard Johnson,89,70.99,6318,89
100,T99,T99,Mike Sposa,72,70.99,4969,70
101,102,102,Paul Gow,62,71.0,4402,62
102,T103,T103,Tommy Armour III,66,71.02,4545,64
103,T103,T103,Luke Donald,88,71.02,6250,88
104,105,105,Tom Gillis,71,71.04,4831,68
105,T106,T106,Peter Lonard,96,71.06,6395,90
106,T106,T106,Corey Pavin,88,71.06,6111,86
107,T108,T108,Sergio Garcia,62,71.07,4051,57
108,T108,T108,Cliff Kresge,102,71.07,7107,100
109,T108,T108,Scott Laycock,71,71.07,4904,69
110,111,111,Frank Lickliter II,94,71.08,6468,91
111,112,112,Tim Clark,79,71.1,5546,78
112,T113,T113,Tom Byrum,97,71.11,6898,97
113,T113,T113,Brian Henninger,56,71.11,3982,56
114,T115,T115,Dudley Hart,66,71.12,4694,66
115,T115,T115,J.L. Lewis,99,71.12,6899,97
116,T115,T115,Jesper Parnevik,102,71.12,7112,100
117,T115,T115,John Rollins,89,71.12,6045,85
118,119,119,Jay Williamson,93,71.14,6545,92
119,T120,T120,Rory Sabbatini,95,71.15,6617,93
120,T120,T120,Esteban Toledo,109,71.15,7542,106
121,122,122,Dean Wilson,82,71.16,5835,82
122,123,123,Todd Fischer,97,71.17,6761,95
123,124,124,Spike McRoy,103,71.19,7190,101
124,125,125,Steve Lowery,86,71.2,5696,80
125,126,126,Heath Slocum,101,71.22,6980,98
126,T127,T127,Brian Gay,100,71.23,6909,97
127,T127,T127,Carl Pettersson,80,71.23,5627,79
128,T127,T127,David Sutherland,77,71.23,5200,73
129,130,130,Matt Gogel,77,71.25,5201,73
130,T131,T131,Jeff Maggert,81,71.26,5772,81
131,T131,T131,Brent Schwarzrock,60,71.26,4133,58
132,133,133,Brian Bateman,70,71.28,4776,67
133,134,134,Donnie Hammond,92,71.29,6559,92
134,T135,T135,Greg Chalmers,98,71.32,6775,95
135,T135,T135,Ian Leggatt,71,71.32,4850,68
136,137,137,Garrett Willis,97,71.34,6849,96
137,138,138,Robert Damron,96,71.35,6850,96
138,139,139,Aaron Barber,94,71.37,6709,94
139,T140,T140,Notah Begay III,92,71.38,6424,90
140,T140,T140,Mike Grob,83,71.38,5782,81
141,142,142,Glen Hnatiuk,92,71.39,6354,89
142,143,143,Doug Barron,90,71.4,6283,88
143,144,144,Darron Stiles,93,71.41,6427,90
144,145,145,Chris Anderson,96,71.42,6856,96
145,T146,T146,Jay Don Blake,77,71.44,5358,75
146,T146,T146,Len Mattiace,94,71.44,6644,93
147,148,148,Thomas Levet,85,71.55,5939,83
148,149,149,Steve Stricker,59,71.59,4009,56
149,150,150,Adam Scott,52,71.61,3294,46
150,151,151,Pat Perez,95,71.62,6661,93
151,152,152,Mathew Goggin,90,71.65,6162,86
152,153,153,Jason Gore,83,71.66,5948,83
153,154,154,John Maginnes,87,71.67,6235,87
154,155,155,Jim Carter,95,71.68,6666,93
155,156,156,Andy Miller,75,71.69,5377,75
156,157,157,Kenichi Kuboya,91,71.71,6382,89
157,T158,T158,Steve Allan,53,71.73,3515,49
158,T158,T158,Joel Edwards,60,71.73,4304,60
159,T158,T158,Bernhard Langer,65,71.73,4591,64
160,161,161,Mark Brooks,90,71.74,6241,87
161,T162,T162,Paul Azinger,73,71.75,5238,73
162,T162,T162,Rich Beem,80,71.75,5525,77
163,T162,T162,Chris Smith,92,71.75,6601,92
164,165,165,Akio Sadakata,83,71.77,5813,81
165,166,166,Brad Elder,51,71.8,3518,49
166,T167,T167,Ben Curtis,69,71.83,4956,69
167,T167,T167,Mark Wilson,82,71.83,5746,80
168,169,169,John Morgan,81,71.85,5676,79
169,170,170,Steven Alker,87,71.88,6110,85
170,171,171,Michael Clark II,54,71.89,3882,54
171,172,172,Craig Perks,82,71.92,5682,79
172,173,173,Bob Burns,88,71.93,6042,84
173,174,174,Kenneth Staton,59,71.98,4103,57
174,175,175,Matt Kuchar,63,72.02,4393,61
175,176,176,Jason Buha,61,72.14,4184,58
176,177,177,Vance Veazey,66,72.18,4764,66
177,178,178,Gene Sauers,87,72.2,6137,85
178,179,179,"Dave Stockton, Jr.",79,72.3,5567,77
179,T180,T180,Jason Caron,74,72.34,5136,71
180,T180,T180,Mark O'Meara,69,72.34,4847,67
181,182,182,José Coceres,62,72.35,4486,62
182,183,183,Anthony Painter,87,72.39,6153,85
183,184,184,Gavin Coles,69,72.59,4791,66
184,185,185,Kaname Yokoo,56,72.65,3923,54
185,186,186,John Daly,56,72.68,4070,56
186,187,187,Cameron Yancey,58,72.73,4073,56
187,188,188,Todd Barranger,78,72.8,5460,75
188,189,189,Ty Tryon,52,73.26,3663,50
189,190,190,Jeff Klein,60,73.4,4257,58
