,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
84,T85,T85,Rocco Mediate,80,70.81,1912,27
85,T85,T85,Anthony Painter,87,70.81,1487,21
86,87,87,Brad Faxon,97,70.83,2479,35
87,88,88,Kevin Sutherland,97,70.84,2196,31
88,T89,T89,Glen Day,103,70.86,2551,36
89,T89,T89,Fred Funk,112,70.86,3118,44
90,91,91,Jesper Parnevik,102,70.88,2268,32
91,92,92,Pat Bates,111,70.89,1914,27
92,93,93,Ian Leggatt,71,70.9,1489,21
93,T94,T94,Woody Austin,107,70.91,2482,35
94,T94,T94,Charles Howell III,120,70.91,3262,46
95,96,96,John Riegger,55,70.92,851,12
96,T97,T97,Jay Haas,89,70.93,2128,30
97,T97,T97,Skip Kendall,110,70.93,2057,29
98,T99,T99,Ben Crane,94,70.96,1774,25
99,T99,T99,Brandt Jobe,77,70.96,1703,24
100,T99,T99,Rory Sabbatini,95,70.96,1774,25
101,102,102,Notah Begay III,92,70.97,2200,31
102,T103,T103,Steve Lowery,86,71.0,1775,25
103,T103,T103,Duffy Waldorf,90,71.0,2130,30
104,105,105,Jeff Brehaut,110,71.06,2345,33
105,T106,T106,Tom Byrum,97,71.07,1919,27
106,T106,T106,Garrett Willis,97,71.07,1919,27
107,108,108,Luke Donald,88,71.08,1777,25
108,109,109,Richard Johnson,89,71.11,1351,19
109,110,110,Bernhard Langer,65,71.14,1565,22
110,111,111,Alex Cejka,98,71.16,1779,25
111,112,112,Mark Calcavecchia,84,71.19,1922,27
112,113,113,Nick Price,65,71.21,2065,29
113,T114,T114,Glen Hnatiuk,92,71.22,1638,23
114,T114,T114,John Morgan,81,71.22,1638,23
115,T114,T114,Deane Pappas,75,71.22,1282,18
116,117,117,David Peoples,96,71.25,1995,28
117,T118,T118,Doug Barron,90,71.27,1568,22
118,T118,T118,Corey Pavin,88,71.27,1853,26
119,120,120,Steve Allan,53,71.28,1283,18
120,T121,T121,Jim Carter,95,71.3,1426,20
121,T121,T121,Robert Damron,96,71.3,1640,23
122,T121,T121,Joel Edwards,60,71.3,1426,20
123,T121,T121,Scott Laycock,71,71.3,1426,20
124,125,125,Jay Williamson,93,71.4,1785,25
125,126,126,Darren Clarke,61,71.41,1214,17
126,127,127,Peter Jacobsen,75,71.42,1857,26
127,128,128,Greg Chalmers,98,71.45,2072,29
128,129,129,"Dave Stockton, Jr.",79,71.46,929,13
129,T130,T130,Tom Gillis,71,71.48,1787,25
130,T130,T130,Spike McRoy,103,71.48,1787,25
131,132,132,Brian Henninger,56,71.5,858,12
132,133,133,Jay Don Blake,77,71.56,1145,16
133,134,134,Frank Lickliter II,94,71.57,2147,30
134,T135,T135,Steven Alker,87,71.58,1861,26
135,T135,T135,Kenneth Staton,59,71.58,859,12
136,137,137,J.P. Hayes,79,71.6,1432,20
137,138,138,Phil Mickelson,87,71.61,2005,28
138,139,139,Donnie Hammond,92,71.62,1504,21
139,140,140,Brian Bateman,70,71.63,1146,16
140,T141,T141,Mark O'Meara,69,71.64,1003,14
141,T141,T141,David Sutherland,77,71.64,1576,22
142,T143,T143,Mike Heinen,89,71.65,1218,17
143,T143,T143,Peter Lonard,96,71.65,2436,34
144,T143,T143,Carl Pettersson,80,71.65,1648,23
145,T143,T143,Patrick Sheehan,101,71.65,1863,26
146,T147,T147,Paul Azinger,73,71.67,1505,21
147,T147,T147,Jason Buha,61,71.67,1075,15
148,T147,T147,Thomas Levet,85,71.67,1505,21
149,150,150,Marco Dawson,86,71.68,1362,19
150,T151,T151,Chris Anderson,96,71.72,1793,25
151,T151,T151,Andy Miller,75,71.72,1291,18
152,T151,T151,Darron Stiles,93,71.72,2080,29
153,154,154,Lee Janzen,83,71.73,1865,26
154,T155,T155,Mike Grob,83,71.74,1363,19
155,T155,T155,Gene Sauers,87,71.74,1363,19
156,157,157,Aaron Barber,94,71.75,1722,24
157,158,158,Mike Sposa,72,71.81,1149,16
158,159,159,Vance Veazey,66,71.86,1509,21
159,T160,T160,Paul Gow,62,71.9,1438,20
160,T160,T160,Dicky Pride,73,71.9,1510,21
161,T162,T162,Rich Beem,80,71.92,1870,26
162,T162,T162,Kenichi Kuboya,91,71.92,1726,24
163,164,164,Dudley Hart,66,71.93,1007,14
164,T165,T165,Brian Gay,100,72.0,2160,30
165,T165,T165,Brent Geiberger,51,72.0,1152,16
166,T165,T165,John Maginnes,87,72.0,1728,24
167,T165,T165,Len Mattiace,94,72.0,2088,29
168,T169,T169,José Coceres,62,72.04,1873,26
169,T169,T169,Pat Perez,95,72.04,1657,23
170,171,171,Mark Brooks,90,72.05,1441,20
171,172,172,Craig Perks,82,72.14,1587,22
172,173,173,Jeff Maggert,81,72.18,1588,22
173,174,174,Brent Schwarzrock,60,72.19,1155,16
174,175,175,Jason Gore,83,72.2,1083,15
175,T176,T176,Bob Burns,88,72.38,1158,16
176,T176,T176,Mathew Goggin,90,72.38,1158,16
177,T176,T176,Chris Smith,92,72.38,1520,21
178,179,179,Gavin Coles,69,72.44,1159,16
179,180,180,Ben Curtis,69,72.5,1450,20
180,181,181,Jason Caron,74,72.56,1161,16
181,182,182,Matt Kuchar,63,72.75,1164,16
182,183,183,Adam Scott,52,72.78,1310,18
183,184,184,Kaname Yokoo,56,72.8,728,10
184,185,185,John Daly,56,73.07,1023,14
185,186,186,Michael Clark II,54,73.5,882,12
186,187,187,Jeff Klein,60,73.54,956,13
187,188,188,Cameron Yancey,58,73.64,1031,14
188,189,189,Todd Barranger,78,73.86,1034,14
189,190,190,Ty Tryon,52,74.56,671,9
