,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
59,T60,T60,Chris DiMarco,98,70.42,2535,36
60,T60,T60,Sergio Garcia,62,70.42,845,12
61,62,62,Kent Jones,74,70.46,1832,26
62,63,63,K.J. Choi,112,70.47,2537,36
63,64,64,Brad Faxon,97,70.48,2185,31
64,65,65,Jay Williamson,93,70.55,2046,29
65,T66,T66,Skip Kendall,110,70.56,2258,32
66,T66,T66,Spike McRoy,103,70.56,2540,36
67,68,68,Woody Austin,107,70.57,1976,28
68,T69,T69,Jerry Kelly,108,70.58,2188,31
69,T69,T69,Adam Scott,52,70.58,847,12
70,71,71,Pat Perez,95,70.59,2047,29
71,72,72,Corey Pavin,88,70.6,1765,25
72,73,73,Mike Sposa,72,70.61,1624,23
73,T74,T74,Aaron Barber,94,70.62,2048,29
74,T74,T74,Peter Lonard,96,70.62,2048,29
75,T76,T76,Olin Browne,113,70.63,2260,32
76,T76,T76,David Frost,80,70.63,1695,24
77,T76,T76,Brenden Pappas,105,70.63,2260,32
78,T76,T76,John Senden,111,70.63,2119,30
79,80,80,Loren Roberts,87,70.66,2049,29
80,81,81,Alex Cejka,98,70.67,2332,33
81,T82,T82,Glen Hnatiuk,92,70.69,2050,29
82,T82,T82,John Riegger,55,70.69,1131,16
83,T84,T84,Greg Chalmers,98,70.71,1697,24
84,T84,T84,Frank Lickliter II,94,70.71,1980,28
85,T84,T84,Kenny Perry,98,70.71,1697,24
86,87,87,Luke Donald,88,70.73,2122,30
87,T88,T88,Tom Lehman,87,70.74,1627,23
88,T88,T88,Billy Mayfair,105,70.74,2405,34
89,90,90,Ben Crane,94,70.75,2547,36
90,91,91,Paul Gow,62,70.76,1203,17
91,92,92,Andrew Magee,91,70.78,1911,27
92,T93,T93,Per-Ulrik Johansson,96,70.81,1487,21
93,T93,T93,Duffy Waldorf,90,70.81,1912,27
94,95,95,Brian Gay,100,70.83,2125,30
95,96,96,Jonathan Byrd,101,70.85,2338,33
96,97,97,Billy Andrade,100,70.86,2551,36
97,98,98,Jeff Maggert,81,70.87,1630,23
98,T99,T99,Joe Durant,96,70.89,1985,28
99,T99,T99,Peter Jacobsen,75,70.89,1276,18
100,T101,T101,Richard Johnson,89,70.9,2056,29
101,T101,T101,Thomas Levet,85,70.9,2056,29
102,103,103,Paul Stankowski,67,70.92,851,12
103,T104,T104,John Rollins,89,71.0,2272,32
104,T104,T104,Hidemichi Tanaka,112,71.0,2627,37
105,106,106,Brian Henninger,56,71.05,1350,19
106,107,107,Todd Fischer,97,71.06,2203,31
107,108,108,Carl Pettersson,80,71.07,1919,27
108,109,109,J.P. Hayes,79,71.1,2133,30
109,T110,T110,Robert Damron,96,71.11,2631,37
110,T110,T110,Lee Janzen,83,71.11,1920,27
111,T112,T112,Fred Couples,71,71.12,1209,17
112,T112,T112,Dudley Hart,66,71.12,1849,26
113,114,114,Donnie Hammond,92,71.14,2063,29
114,T115,T115,Brett Quigley,92,71.16,1779,25
115,T115,T115,Esteban Toledo,109,71.16,2633,37
116,117,117,Jason Gore,83,71.17,2064,29
117,118,118,Bob Tway,89,71.18,1566,22
118,119,119,Mike Grob,83,71.21,1709,24
119,T120,T120,Tom Byrum,97,71.24,2351,33
120,T120,T120,David Gossett,92,71.24,2422,34
121,T122,T122,Notah Begay III,92,71.26,1639,23
122,T122,T122,Rory Sabbatini,95,71.26,2423,34
123,T124,T124,Tommy Armour III,66,71.27,1069,15
124,T124,T124,Joey Sindelar,93,71.27,1853,26
125,126,126,Mathew Goggin,90,71.28,2067,29
126,127,127,Brent Schwarzrock,60,71.31,1141,16
127,128,128,Andy Miller,75,71.32,1355,19
128,T129,T129,Steve Lowery,86,71.35,1641,23
129,T129,T129,Carl Paulson,101,71.35,2426,34
130,131,131,Heath Slocum,101,71.39,1999,28
131,132,132,Matt Kuchar,63,71.41,1214,17
132,T133,T133,Michael Clark II,54,71.42,1357,19
133,T133,T133,Ben Curtis,69,71.42,1714,24
134,T135,T135,Craig Barlow,95,71.43,2143,30
135,T135,T135,Cliff Kresge,102,71.43,2143,30
136,T137,T137,Brian Bateman,70,71.44,1286,18
137,T137,T137,Mark Wilson,82,71.44,1786,25
138,139,139,Jesper Parnevik,102,71.47,2144,30
139,140,140,Chris Riley,96,71.48,1644,23
140,141,141,Darron Stiles,93,71.52,1502,21
141,T142,T142,Chris Anderson,96,71.53,2289,32
142,T142,T142,Paul Azinger,73,71.53,1359,19
143,144,144,Kenneth Staton,59,71.56,1288,18
144,145,145,Mark Brooks,90,71.58,1861,26
145,146,146,Pat Bates,111,71.61,2005,28
146,147,147,Chris Smith,92,71.65,2651,37
147,148,148,Steven Alker,87,71.67,1505,21
148,149,149,Jay Don Blake,77,71.68,2007,28
149,150,150,Neal Lancaster,110,71.69,2796,39
150,151,151,Hank Kuehne,73,71.71,2008,28
151,152,152,Steve Allan,53,71.77,933,13
152,153,153,Aaron Baddeley,71,71.78,1651,23
153,154,154,Cameron Yancey,58,71.81,1149,16
154,155,155,Todd Barranger,78,71.86,2012,28
155,156,156,Steve Stricker,59,71.87,1653,23
156,157,157,Scott McCarron,86,71.91,1582,22
157,158,158,Garrett Willis,97,71.93,2086,29
158,159,159,Jim Carter,95,71.94,2590,36
159,T160,T160,Matt Gogel,77,71.95,1367,19
160,T160,T160,Shigeki Maruyama,87,71.95,1439,20
161,162,162,Tim Clark,79,71.96,1799,25
162,163,163,Kenichi Kuboya,91,72.0,1872,26
163,164,164,John Maginnes,87,72.04,2017,28
164,165,165,Len Mattiace,94,72.07,2090,29
165,166,166,Rich Beem,80,72.08,1730,24
166,167,167,Ian Leggatt,71,72.11,1370,19
167,T168,T168,Bernhard Langer,65,72.21,1372,19
168,T168,T168,Gene Sauers,87,72.21,2455,34
169,170,170,Jason Caron,74,72.25,1734,24
170,171,171,Jason Buha,61,72.27,1084,15
171,172,172,John Morgan,81,72.33,1736,24
172,173,173,Vance Veazey,66,72.38,1158,16
173,174,174,Brad Elder,51,72.39,1303,18
174,175,175,Anthony Painter,87,72.43,1666,23
175,176,176,Doug Barron,90,72.48,1812,25
176,177,177,Jonathan Kaye,91,72.52,1668,23
177,178,178,Craig Perks,82,72.54,1886,26
178,T179,T179,Akio Sadakata,83,72.61,2033,28
179,T179,T179,Ty Tryon,52,72.61,1307,18
180,181,181,"Dave Stockton, Jr.",79,72.67,2180,30
181,182,182,Joel Edwards,60,72.72,1309,18
182,183,183,J.L. Lewis,99,72.76,2474,34
183,184,184,Bob Burns,88,72.97,2335,32
184,185,185,Gavin Coles,69,73.05,1388,19
185,186,186,John Daly,56,73.24,1538,21
186,187,187,Mark O'Meara,69,73.28,1832,25
187,188,188,Kaname Yokoo,56,73.43,1689,23
188,189,189,Jeff Klein,60,73.63,1178,16
189,190,190,José Coceres,62,74.0,1110,15
