,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
46,47,47,John Merrick,92,15.56,47,302
47,48,48,Ryuji Imada,104,15.52,52,335
48,T49,T49,Bill Haas,93,15.38,44,286
49,T49,T49,Joe Ogilvie,102,15.38,46,299
50,51,51,Freddie Jacobson,70,15.35,37,241
51,52,52,J.P. Hayes,89,15.28,44,288
52,53,53,Andrew Buckle,77,15.27,40,262
53,54,54,Frank Lickliter II,95,15.26,38,249
54,55,55,Bob Tway,103,15.21,47,309
55,56,56,Jason Dufner,100,15.19,48,316
56,57,57,Tommy Armour III,81,15.03,26,173
57,58,58,Chris Couch,76,14.97,44,294
58,59,59,Kevin Na,84,14.95,42,281
59,60,60,Tom Pernice Jr.,104,14.92,37,248
60,61,61,Rich Barcelo,80,14.83,43,290
61,62,62,Eric Axley,107,14.78,55,372
62,63,63,Paul Gow,70,14.74,28,190
63,64,64,Charlie Wi,90,14.73,38,258
64,65,65,Dean Wilson,92,14.69,36,245
65,66,66,Steve Marino,106,14.67,49,334
66,67,67,Duffy Waldorf,69,14.61,26,178
67,68,68,K.J. Choi,87,14.52,36,248
68,T69,T69,Bart Bryant,87,14.49,30,207
69,T69,T69,Phil Mickelson,73,14.49,31,214
70,71,71,Vijay Singh,102,14.47,46,318
71,72,72,Rod Pampling,92,14.45,37,256
72,73,73,David Toms,80,14.43,29,201
73,T74,T74,Jeff Quinney,95,14.4,37,257
74,T74,T74,Kevin Sutherland,85,14.4,36,250
75,76,76,Jason Gore,86,14.35,33,230
76,77,77,Nathan Green,103,14.33,44,307
77,T78,T78,Matt Hendrix,63,14.29,26,182
78,T78,T78,Chris Tidland,59,14.29,22,154
79,T78,T78,Bo Van Pelt,104,14.29,47,329
80,T78,T78,Johnson Wagner,97,14.29,43,301
81,82,82,Will MacKenzie,100,14.24,49,344
82,T83,T83,Craig Lile,77,14.23,36,253
83,T83,T83,Steve Lowery,74,14.23,34,239
84,85,85,D.J. Brigman,67,14.21,27,190
85,86,86,Mark Hensby,81,14.16,33,233
86,87,87,Mike Weir,82,14.14,27,191
87,88,88,Pat Perez,84,14.11,34,241
88,89,89,Tim Petrovic,106,14.09,51,362
89,90,90,Ian Poulter,63,14.07,19,135
90,T91,T91,Jerry Kelly,101,14.04,32,228
91,T91,T91,Troy Matteson,87,14.04,40,285
92,93,93,Shigeki Maruyama,84,14.02,37,264
93,94,94,Charles Howell III,89,14.01,43,307
94,95,95,Arron Oberholser,69,14.0,28,200
95,96,96,Mathias Grönberg,95,13.99,47,336
96,97,97,Jay Williamson,50,13.97,19,136
97,98,98,Bryce Molder,56,13.92,27,194
98,T99,T99,Mathew Goggin,97,13.87,38,274
99,T99,T99,Bob Heintz,85,13.87,33,238
100,101,101,Joe Durant,88,13.85,27,195
101,102,102,Heath Slocum,101,13.82,34,246
102,103,103,Cliff Kresge,107,13.8,49,355
103,104,104,Hunter Mahan,91,13.78,27,196
104,105,105,Tom Johnson,74,13.76,30,218
105,106,106,Cameron Beckman,96,13.71,34,248
106,107,107,Alex Cejka,80,13.7,30,219
107,108,108,Davis Love III,66,13.68,29,212
108,109,109,Michael Boyd,61,13.61,20,147
109,110,110,David Branshaw,83,13.55,34,251
110,111,111,Jarrod Lyle,77,13.52,33,244
111,112,112,Jim Furyk,84,13.5,22,163
112,113,113,Sean O'Hair,98,13.48,36,267
113,114,114,Retief Goosen,50,13.43,18,134
114,115,115,Boo Weekley,101,13.41,37,276
115,116,116,Rory Sabbatini,81,13.33,34,255
116,117,117,Steve Flesch,100,13.19,38,288
117,118,118,Camilo Villegas,82,13.16,35,266
118,119,119,Trevor Immelman,74,13.04,21,161
119,120,120,Brett Quigley,79,13.03,34,261
120,121,121,Glen Day,85,13.02,28,215
121,122,122,John Rollins,102,13.01,35,269
122,123,123,John Senden,97,13.0,36,277
123,124,124,Michael Putnam,96,12.97,38,293
124,125,125,Billy Andrade,88,12.91,39,302
125,126,126,Justin Rose,63,12.9,16,124
126,127,127,Stuart Appleby,74,12.89,25,194
127,128,128,Justin Leonard,95,12.79,28,219
128,129,129,Briny Baird,115,12.74,40,314
129,130,130,Scott Gutschewski,67,12.72,29,228
130,131,131,Brendon de Jonge,76,12.7,31,244
131,132,132,Jason Bohn,57,12.64,23,182
132,133,133,Henrik Stenson,52,12.59,17,135
133,134,134,Steve Elkington,87,12.57,24,191
134,T135,T135,Charles Warren,101,12.5,34,272
135,T135,T135,Steve Wheatcroft,73,12.5,25,200
136,137,137,Brandt Snedeker,105,12.46,37,297
137,138,138,Daisuke Maruyama,86,12.45,31,249
138,139,139,Billy Mayfair,98,12.44,26,209
139,140,140,Stephen Ames,81,12.32,25,203
140,141,141,Woody Austin,95,12.29,37,301
141,142,142,Greg Owen,81,12.24,29,237
142,143,143,Nick Watney,87,12.2,31,254
143,144,144,D.J. Trahan,99,12.11,35,289
144,145,145,Todd Hamilton,76,12.09,26,215
145,146,146,Rocco Mediate,72,12.0,24,200
146,T147,T147,Brian Bateman,55,11.92,18,151
147,T147,T147,Chris Stroud,66,11.92,23,193
148,T149,T149,Michael Allen,74,11.82,24,203
149,T149,T149,Craig Kanada,109,11.82,35,296
150,151,151,Nick O'Hern,72,11.8,21,178
151,152,152,Jason Schultz,63,11.76,22,187
152,153,153,Kent Jones,97,11.74,29,247
153,154,154,Michael Sim,52,11.66,19,163
154,155,155,Dicky Pride,71,11.65,24,206
155,156,156,Jaco Van Zyl,51,11.64,17,146
156,157,157,Parker McLachlin,83,11.55,32,277
157,158,158,Paul Stankowski,52,11.49,17,148
158,159,159,Tim Herron,98,11.47,32,279
159,160,160,Stephen Leaney,82,11.39,27,237
160,161,161,Jeff Sluman,60,11.27,16,142
161,162,162,Mark Wilson,87,11.22,23,205
162,163,163,Paul Goydos,60,11.19,16,143
163,164,164,Ryan Armour,107,11.15,32,287
164,165,165,Gavin Coles,87,11.06,24,217
165,166,166,Tim Clark,66,11.03,16,145
166,167,167,Chad Campbell,96,10.93,27,247
167,168,168,Doug LaBelle II,104,10.89,28,257
168,169,169,Richard Johnson,93,10.88,32,294
169,170,170,Lee Janzen,66,10.87,20,184
170,171,171,Matt Kuchar,85,10.78,25,232
171,172,172,Brian Gay,107,10.7,26,243
172,173,173,Ryan Palmer,91,10.66,34,319
173,174,174,J.J. Henry,86,10.65,23,216
174,175,175,Robert Gamez,88,10.57,24,227
175,176,176,Kirk Triplett,77,10.53,20,190
176,177,177,Kyle Reifers,71,10.5,23,219
177,178,178,Darron Stiles,65,10.27,15,146
178,179,179,Shaun Micheel,91,10.24,21,205
179,180,180,Jim Rutledge,59,10.16,13,128
180,181,181,Jeff Gove,103,9.97,29,291
181,182,182,Luke Donald,69,9.93,14,141
182,183,183,Chris DiMarco,79,9.91,22,222
183,184,184,Tom Lehman,62,9.86,14,142
184,185,185,Steve Stricker,81,9.48,20,211
185,186,186,José Coceres,50,9.38,9,96
186,187,187,Jeff Brehaut,59,9.27,14,151
187,188,188,Corey Pavin,81,9.18,19,207
188,189,189,Fred Funk,65,9.17,11,120
189,190,190,Anders Hansen,55,9.01,10,111
190,191,191,Mark Brooks,53,9.0,9,100
191,192,192,Ben Curtis,80,8.82,18,204
192,193,193,Chris Riley,59,8.61,13,151
193,194,194,Zach Johnson,76,8.51,12,141
194,195,195,Tom Byrum,50,8.4,10,119
195,196,196,Tripp Isenhour,86,6.69,16,239
