,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
163,T163,27,Rod Pampling,92,71,Buick Invitational,3,18
164,T163,165,Aaron Baddeley,83,71,THE PLAYERS Championship,3,9
165,166,133,Tim Petrovic,106,70,AT&T Classic,2,10
166,167,167,Tim Clark,66,69,Shell Houston Open,1,12
167,168,64,Brian Davis,101,68,Frys.com Open benefiting Shriners Hospitals for Children,4,9
168,T169,102,Shigeki Maruyama,84,67,Travelers Championship,4,13
169,T169,78,Bob Estes,88,67,Zurich Classic of New Orleans,2,12
170,T169,171,Bart Bryant,87,67,PODS Championship,1,5
171,T169,40,Bo Van Pelt,104,67,Deutsche Bank Championship,1,7
172,173,173,Woody Austin,95,64,Stanford St. Jude Championship,4,3
173,T174,154,Rory Sabbatini,81,63,Wachovia Championship,2,3
174,T174,116,Corey Pavin,81,63,The Barclays,1,10
175,176,108,Steve Lowery,74,61,FBR Open,2,17
176,T177,9,Eric Axley,107,60,Mercedes-Benz Championship,2,12
177,T177,23,Brett Quigley,79,60,Buick Open,1,14
178,T177,179,Jeff Maggert,79,60,Fry's Electronics Open,4,6
179,180,126,Jarrod Lyle,77,59,Canadian Open presented by Franklin Templeton Investments,3,5
180,181,14,Justin Leonard,95,58,Deutsche Bank Championship,4,7
181,T182,67,Scott Verplank,82,57,The Barclays,2,5
182,T182,183,Pat Perez,84,57,AT&T Pebble Beach National Pro-Am,3,18
183,T184,184,John Mallinger,96,56,Shell Houston Open,3,13
184,T184,163,Will MacKenzie,100,56,Wyndham Championship,3,9
185,186,186,Jerry Smith,49,55,AT&T Pebble Beach National Pro-Am,2,18
186,187,151,David Toms,80,54,BMW Championship,4,4
187,T188,88,Daisuke Maruyama,86,53,AT&T Classic,1,4
188,T188,189,Jason Dufner,100,53,Zurich Classic of New Orleans,2,7
189,190,184,John Mallinger,96,52,Zurich Classic of New Orleans,4,2
190,191,191,Vaughn Taylor,91,49,BMW Championship,3,11
191,192,37,Rich Beem,89,47,Children's Miracle Network Classic presented by Wal-Mart,2,13
192,193,193,Ben Curtis,80,46,Verizon Heritage,3,2
193,T194,194,Steven Bowditch,10,45,AT&T Classic,2,10
194,T194,163,Will MacKenzie,100,45,Mercedes-Benz Championship,1,9
195,T196,165,Aaron Baddeley,83,44,Verizon Heritage,4,10
196,T196,131,Richard Johnson,93,44,Bob Hope Chrysler Classic,5,16
197,T196,198,Bob Tway,103,44,Wyndham Championship,3,16
198,T199,102,Shigeki Maruyama,84,43,THE PLAYERS Championship,1,11
199,T199,171,Bart Bryant,87,43,World Golf Championships-CA Championship,4,6
