,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
103,104,104,Robert Gamez,88,49.44,178,360
104,105,105,Matt Hendrix,63,49.37,157,318
105,106,106,Tom Lehman,62,49.36,154,312
106,T107,T107,Tom Johnson,74,49.3,175,355
107,T107,T107,Jaco Van Zyl,51,49.3,106,215
108,109,109,Stephen Ames,81,49.29,173,351
109,110,110,Parker McLachlin,83,49.26,234,475
110,111,111,D.J. Brigman,67,49.25,164,333
111,112,112,Nathan Green,103,49.24,259,526
112,113,113,Craig Lile,77,49.22,190,386
113,114,114,Mark Calcavecchia,93,49.2,214,435
114,115,115,J.P. Hayes,89,49.17,236,480
115,116,116,Dicky Pride,71,49.14,172,350
116,117,117,Phil Mickelson,73,49.07,210,428
117,118,118,Brendon de Jonge,76,49.02,201,410
118,119,119,Bubba Dickerson,51,49.0,123,251
119,120,120,Jay Williamson,50,48.96,94,192
120,121,121,Kirk Triplett,77,48.74,155,318
121,122,122,José Coceres,50,48.73,77,158
122,123,123,Adam Scott,69,48.72,191,392
123,124,124,Johnson Wagner,97,48.66,236,485
124,125,125,Lee Janzen,66,48.63,178,366
125,126,126,Davis Love III,66,48.55,184,379
126,127,127,Mike Weir,82,48.42,199,411
127,128,128,Kent Jones,97,48.24,206,427
128,129,129,Glen Day,85,48.2,161,334
129,130,130,Rich Beem,89,48.16,209,434
130,131,131,Brian Bateman,55,48.14,142,295
131,132,132,Ryuji Imada,104,48.09,277,576
132,133,133,Billy Andrade,88,48.08,238,495
133,134,134,Vaughn Taylor,91,48.05,209,435
134,135,135,Stuart Appleby,74,48.03,195,406
135,136,136,Dean Wilson,92,47.95,222,463
136,137,137,Steve Stricker,81,47.91,195,407
137,T138,T138,Tim Herron,98,47.9,240,501
138,T138,T138,Craig Kanada,109,47.9,239,499
139,140,140,Luke Donald,69,47.84,144,301
140,141,141,John Rollins,102,47.79,238,498
141,142,142,Bob Estes,88,47.78,204,427
142,143,143,Michael Allen,74,47.7,166,348
143,144,144,Hunter Mahan,91,47.67,194,407
144,145,145,Ryan Palmer,91,47.57,254,534
145,146,146,Daisuke Maruyama,86,47.45,177,373
146,147,147,Bob Tway,103,47.35,259,547
147,148,148,Peter Lonard,85,47.34,178,376
148,149,149,Chris Stroud,66,47.33,142,300
149,150,150,Trevor Immelman,74,47.32,159,336
150,151,151,Darron Stiles,65,47.04,127,270
151,152,152,John Mallinger,96,47.01,189,402
152,153,153,Jeff Quinney,95,46.9,212,452
153,154,154,Jim Rutledge,59,46.83,118,252
154,155,155,Joe Ogilvie,102,46.78,247,528
155,156,156,Michael Sim,52,46.76,130,278
156,157,157,Jerry Kelly,101,46.53,201,432
157,158,158,Eric Axley,107,46.52,307,660
158,159,159,David Toms,80,46.46,177,381
159,160,160,Mark Brooks,53,46.24,86,186
160,161,161,Kevin Na,84,46.01,202,439
161,T162,T162,Andrew Buckle,77,45.91,202,440
162,T162,T162,Bryce Molder,56,45.91,157,342
163,164,164,Mark Wilson,87,45.65,173,379
164,165,165,Zach Johnson,76,45.58,129,283
165,166,166,Ian Poulter,63,45.48,141,310
166,167,167,Tom Pernice Jr.,104,44.93,217,483
167,168,168,Corey Pavin,81,44.76,158,353
168,169,169,Rocco Mediate,72,44.75,145,324
169,T170,T170,Mark Hensby,81,44.31,183,413
170,T170,T170,Scott Verplank,82,44.31,144,325
171,172,172,Chad Campbell,96,44.26,208,470
172,173,173,Tripp Isenhour,86,44.12,180,408
173,174,174,Chris Riley,59,44.09,97,220
174,175,175,Richard Johnson,93,44.04,192,436
175,176,176,Matt Kuchar,85,44.01,169,384
176,177,177,K.J. Choi,87,43.94,185,421
177,178,178,Anders Hansen,55,43.88,104,237
178,179,179,Brian Gay,107,43.85,171,390
179,180,180,Doug LaBelle II,104,43.16,164,380
180,181,181,Todd Hamilton,76,42.98,196,456
181,182,182,Tim Clark,66,42.96,119,277
182,183,183,Aaron Baddeley,83,42.67,192,450
183,184,184,Retief Goosen,50,42.36,133,314
184,185,185,Jeff Sluman,60,42.22,133,315
185,186,186,Brett Quigley,79,42.12,203,482
186,187,187,Gavin Coles,87,41.57,143,344
187,188,188,Steve Elkington,87,41.54,135,325
188,189,189,Chris DiMarco,79,41.5,183,441
189,190,190,Fred Funk,65,41.23,87,211
190,191,191,José María Olazábal,52,41.04,142,346
191,192,192,Shigeki Maruyama,84,41.03,176,429
192,193,193,Nick O'Hern,72,40.73,145,356
193,194,194,Justin Leonard,95,40.6,162,399
194,195,195,Ben Curtis,80,39.3,145,369
195,196,196,Paul Goydos,60,39.22,100,255
