,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
160,161,161,Stephen Ames,81,24.89,58,233
161,162,162,Doug LaBelle II,104,24.85,83,334
162,163,163,Tom Johnson,74,24.8,62,250
163,164,164,Steve Stricker,81,24.7,62,251
164,165,165,Mark Wilson,87,24.62,64,260
165,166,166,Shaun Micheel,91,24.4,61,250
166,167,167,Jim Rutledge,59,24.03,37,154
167,168,168,Tripp Isenhour,86,23.97,64,267
168,169,169,Tom Byrum,50,23.94,34,142
169,170,170,Justin Leonard,95,23.9,65,272
170,171,171,Craig Kanada,109,23.7,82,346
171,172,172,Chris DiMarco,79,23.65,57,241
172,173,173,Scott Verplank,82,23.56,53,225
173,174,174,Ben Curtis,80,23.51,59,251
174,175,175,Glen Day,85,22.89,57,249
175,176,176,Woody Austin,95,22.87,78,341
176,177,177,Chris Riley,59,22.83,42,184
177,178,178,Bryce Molder,56,22.6,40,177
178,179,179,Dicky Pride,71,22.47,51,227
179,180,180,Shigeki Maruyama,84,22.44,70,312
180,181,181,Stephen Leaney,82,22.01,68,309
181,182,182,José Coceres,50,21.97,38,173
182,183,183,Rocco Mediate,72,21.88,56,256
183,184,184,Craig Lile,77,21.65,55,254
184,185,185,Richard Johnson,93,21.43,57,266
185,186,186,Nick O'Hern,72,21.05,48,228
186,187,187,Ian Poulter,63,20.83,30,144
187,188,188,Paul Goydos,60,20.77,38,183
188,189,189,Jeff Sluman,60,20.67,31,150
189,190,190,Craig Bowden,78,19.76,49,248
190,191,191,Fred Funk,65,19.34,35,181
191,192,192,Brian Gay,107,18.84,68,361
192,193,193,Corey Pavin,81,18.15,49,270
193,194,194,Michael Boyd,61,17.89,34,190
194,195,195,Mark Brooks,53,17.83,23,129
195,196,196,Gavin Coles,87,16.56,50,302
