,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
71,72,72,Joe Durant,88,76.08,687,903
72,73,73,Steve Allan,63,76.06,375,493
73,74,74,Ryan Palmer,91,76.05,559,735
74,75,75,Stephen Ames,81,76.04,546,718
75,76,76,Shigeki Maruyama,84,75.92,555,731
76,77,77,Joe Ogilvie,102,75.9,633,834
77,78,78,Justin Rose,63,75.85,402,530
78,T79,T79,Jarrod Lyle,77,75.81,470,620
79,T79,T79,Mark Wilson,87,75.81,586,773
80,T81,T81,Duffy Waldorf,69,75.8,476,628
81,T81,T81,Charles Warren,101,75.8,714,942
82,83,83,Cliff Kresge,107,75.79,692,913
83,84,84,Lee Janzen,66,75.76,400,528
84,85,85,Boo Weekley,101,75.74,665,878
85,86,86,Mark Calcavecchia,93,75.71,614,811
86,87,87,Jerry Kelly,101,75.7,704,930
87,88,88,Rich Barcelo,80,75.67,479,633
88,89,89,Steve Marino,106,75.66,656,867
89,90,90,Sean O'Hair,98,75.65,674,891
90,91,91,Darron Stiles,65,75.64,441,583
91,92,92,Andrew Buckle,77,75.61,462,611
92,93,93,Sergio Garcia,68,75.58,393,520
93,T94,T94,David Toms,80,75.53,531,703
94,T94,T94,Kirk Triplett,77,75.53,571,756
95,96,96,Scott Gutschewski,67,75.46,372,493
96,97,97,Anthony Kim,93,75.45,593,786
97,98,98,Jeff Brehaut,59,75.43,396,525
98,99,99,Bryce Molder,56,75.42,313,415
99,100,100,Jesper Parnevik,88,75.31,549,729
100,101,101,Jonathan Byrd,73,75.29,460,611
101,102,102,Ryan Armour,107,75.27,761,1011
102,103,103,J.P. Hayes,89,75.23,571,759
103,104,104,Chris Couch,76,75.21,452,601
104,105,105,Mark Hensby,81,75.17,539,717
105,106,106,Ryuji Imada,104,75.15,617,821
106,107,107,Troy Matteson,87,75.14,547,728
107,108,108,Daisuke Maruyama,86,75.13,580,772
108,109,109,Ryan Moore,92,75.09,618,823
109,110,110,Ernie Els,59,75.05,349,465
110,T111,T111,Peter Lonard,85,75.03,565,753
111,T111,T111,Jeff Quinney,95,75.03,658,877
112,T113,T113,Davis Love III,66,75.0,402,536
113,T113,T113,Geoff Ogilvy,84,75.0,486,648
114,T115,T115,Bob Estes,88,74.97,602,803
115,T115,T115,Shaun Micheel,91,74.97,626,835
116,117,117,J.B. Holmes,71,74.96,425,567
117,118,118,Steve Lowery,74,74.92,493,658
118,119,119,Joey Sindelar,75,74.89,510,681
119,T120,T120,Frank Lickliter II,95,74.86,652,871
120,T120,T120,Carl Pettersson,111,74.86,688,919
121,122,122,Paul Stankowski,52,74.81,300,401
122,123,123,Craig Kanada,109,74.77,723,967
123,124,124,Woody Austin,95,74.73,627,839
124,125,125,Jeff Maggert,79,74.69,543,727
125,126,126,Eric Axley,107,74.64,624,836
126,127,127,Charley Hoffman,97,74.55,577,774
127,128,128,Aaron Baddeley,83,74.52,503,675
128,129,129,Chris Riley,59,74.5,409,549
129,130,130,Daniel Chopra,106,74.48,610,819
130,131,131,Jason Gore,86,74.47,566,760
131,132,132,Doug LaBelle II,104,74.41,756,1016
132,133,133,Tom Johnson,74,74.34,481,647
133,134,134,Retief Goosen,50,74.31,269,362
134,135,135,Robert Gamez,88,74.26,603,812
135,136,136,Vaughn Taylor,91,74.23,579,780
136,137,137,Jay Williamson,50,74.21,377,508
137,138,138,Stuart Appleby,74,74.19,460,620
138,139,139,David Branshaw,83,74.08,563,760
139,140,140,Ben Curtis,80,74.02,564,762
140,141,141,Rich Beem,89,73.99,603,815
141,142,142,Matt Hendrix,63,73.92,394,533
142,143,143,Kevin Stadler,95,73.86,568,769
143,144,144,Jason Bohn,57,73.69,381,517
144,145,145,Paul Gow,70,73.68,445,604
145,146,146,Bart Bryant,87,73.65,626,850
146,147,147,Brian Davis,101,73.6,750,1019
147,148,148,Chris DiMarco,79,73.58,468,636
148,149,149,Steve Wheatcroft,73,73.55,470,639
149,150,150,Mike Weir,82,73.52,533,725
150,151,151,John Daly,59,73.49,255,347
151,152,152,Dicky Pride,71,73.42,431,587
152,153,153,Zach Johnson,76,73.4,563,767
153,154,154,Scott Verplank,82,73.28,595,812
154,155,155,Tim Petrovic,106,73.26,652,890
155,156,156,Chris Tidland,59,73.21,347,474
156,157,157,Tom Byrum,50,73.13,351,480
157,158,158,Dean Wilson,92,73.03,601,823
158,159,159,Rocco Mediate,72,72.98,497,681
159,160,160,Kevin Na,84,72.83,536,736
160,161,161,Craig Lile,77,72.78,484,665
161,162,162,Ken Duke,112,72.75,769,1057
162,163,163,Heath Slocum,101,72.74,750,1031
163,164,164,Glen Day,85,72.7,578,795
164,165,165,Ian Poulter,63,72.61,387,533
165,166,166,Anders Hansen,55,72.5,348,480
166,167,167,Mark Brooks,53,72.49,361,498
167,168,168,Nick O'Hern,72,72.41,433,598
168,169,169,Jaco Van Zyl,51,72.34,340,470
169,170,170,Tripp Isenhour,86,72.32,533,737
170,171,171,Bob Heintz,85,72.29,527,729
171,172,172,Nathan Green,103,72.27,615,851
172,173,173,Luke Donald,69,72.2,465,644
173,174,174,Brian Bateman,55,72.14,303,420
174,175,175,John Mallinger,96,72.06,673,934
175,176,176,Padraig Harrington,64,71.86,360,501
176,177,177,Parker McLachlin,83,71.75,452,630
177,178,178,George McNeill,95,71.73,543,757
178,179,179,Michael Boyd,61,71.72,426,594
179,180,180,Steve Elkington,87,71.53,593,829
180,181,181,Jason Schultz,63,71.4,357,500
181,182,182,Bubba Dickerson,51,71.29,288,404
182,183,183,Brian Gay,107,71.12,746,1049
183,T184,T184,Gavin Coles,87,71.09,578,813
184,T184,T184,Arron Oberholser,69,71.09,418,588
185,186,186,Rory Sabbatini,81,70.93,466,657
186,187,187,Todd Hamilton,76,70.79,429,606
187,188,188,Craig Bowden,78,70.75,549,776
188,189,189,Tom Pernice Jr.,104,70.71,688,973
189,190,190,José María Olazábal,52,70.54,249,353
190,191,191,Henrik Stenson,52,69.84,257,368
191,192,192,Corey Pavin,81,69.83,544,779
192,193,193,Paul Goydos,60,69.45,391,563
193,194,194,Tim Clark,66,68.94,424,615
194,195,195,Fred Funk,65,68.07,437,642
195,196,196,José Coceres,50,66.46,323,486
