,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
46,47,47,J.J. Henry,86,56.13,142,111,-90,-13
47,48,48,Carl Pettersson,111,55.85,191,151,-122,-12
48,49,49,Charles Howell III,89,55.65,138,110,-85,-3
49,50,50,Harrison Frazar,88,55.6,149,119,-91,+1
50,51,51,Bo Van Pelt,104,55.56,190,152,-101,-16
51,52,52,Jason Bohn,57,55.43,102,82,-66,-11
52,53,53,Greg Owen,81,55.35,150,121,-63,+1
53,54,54,Henrik Stenson,52,55.32,78,63,-32,+12
54,55,55,Rory Sabbatini,81,55.17,128,104,-76,-10
55,56,56,Kevin Stadler,95,55.13,172,140,-90,+14
56,57,57,Geoff Ogilvy,84,54.82,125,103,-63,-11
57,58,58,Charley Hoffman,97,54.69,175,145,-98,-8
58,59,59,Paul Stankowski,52,54.44,92,77,-50,+5
59,60,60,Ryan Moore,92,54.17,156,132,-84,-5
60,61,61,John Senden,97,54.14,170,144,-97,-15
61,62,62,John Rollins,102,53.48,169,147,-93,-4
62,T63,T63,Brendon de Jonge,76,53.41,133,116,-66,-4
63,T63,T63,Will MacKenzie,100,53.41,180,157,-109,-1
64,65,65,Daisuke Maruyama,86,53.17,151,133,-72,-6
65,66,66,Nathan Green,103,53.14,169,149,-92,-19
66,67,67,Tim Herron,98,52.96,152,135,-75,E
67,T68,T68,Kenny Perry,83,52.9,146,130,-77,-14
68,T68,T68,Kevin Sutherland,85,52.9,146,130,-83,-9
69,70,70,Kevin Na,84,52.79,161,144,-97,-2
70,71,71,John Merrick,92,52.65,159,143,-80,-5
71,72,72,George McNeill,95,52.56,164,148,-77,-14
72,73,73,Andrew Buckle,77,52.54,124,112,-63,+5
73,74,74,Retief Goosen,50,52.38,66,60,-32,-1
74,75,75,Jason Dufner,100,52.32,169,154,-79,-10
75,76,76,Joe Ogilvie,102,52.31,170,155,-95,-8
76,77,77,K.J. Choi,87,52.24,128,117,-92,-8
77,78,78,Frank Lickliter II,95,52.17,156,143,-72,-25
78,79,79,Jeff Brehaut,59,52.06,101,93,-52,+4
79,80,80,Tim Petrovic,106,52.02,180,166,-105,-13
80,81,81,Steve Lowery,74,51.87,139,129,-67,-2
81,82,82,Daniel Chopra,106,51.8,187,174,-103,-4
82,83,83,Jeff Gove,103,51.66,187,175,-101,-16
83,84,84,Chris Tidland,59,51.56,99,93,-56,-4
84,85,85,Ted Purdy,102,51.49,173,163,-92,-12
85,86,86,Billy Mayfair,98,51.37,150,142,-81,-23
86,87,87,Alex Cejka,80,51.25,144,137,-83,-29
87,88,88,Ryan Palmer,91,51.01,152,146,-72,+3
88,89,89,Stuart Appleby,74,50.95,107,103,-58,-5
89,90,90,Peter Lonard,85,50.93,137,132,-61,-8
90,91,91,Jason Schultz,63,50.76,100,97,-53,-3
91,92,92,Cameron Beckman,96,50.6,170,166,-90,-15
92,93,93,Duffy Waldorf,69,50.44,115,113,-63,-3
93,94,94,Brett Quigley,79,50.43,118,116,-62,-11
94,95,95,Justin Rose,63,50.38,67,66,-39,-4
95,96,96,Kyle Reifers,71,50.22,116,115,-60,-5
96,97,97,Mark Hensby,81,50.0,132,132,-64,+2
97,98,98,Jaco Van Zyl,51,49.71,87,88,-31,+1
98,99,99,Joe Durant,88,49.63,135,137,-67,-6
99,100,100,Tom Johnson,74,49.58,117,119,-52,+2
100,101,101,Jesper Parnevik,88,49.46,138,141,-84,-6
101,102,102,Brian Bateman,55,49.08,80,83,-36,+8
102,103,103,Marco Dawson,73,48.96,118,123,-62,+4
103,104,104,Craig Barlow,52,48.81,82,86,-50,-1
104,105,105,Vaughn Taylor,91,48.66,127,134,-82,+1
105,106,106,Ken Duke,112,48.62,176,186,-84,-11
106,107,107,Jarrod Lyle,77,48.55,117,124,-66,-7
107,108,108,Stewart Cink,91,48.46,126,134,-66,-11
108,109,109,Eric Axley,107,47.84,166,181,-79,+3
109,110,110,Kent Jones,97,47.8,163,178,-97,-26
110,111,111,Briny Baird,115,47.39,191,212,-103,-27
111,112,112,Parker McLachlin,83,47.31,132,147,-69,-8
112,113,113,Charlie Wi,90,47.27,147,164,-92,-18
113,114,114,Billy Andrade,88,47.21,144,161,-75,-8
114,115,115,Jay Williamson,50,47.03,87,98,-42,-2
115,116,116,Steve Flesch,100,46.87,157,178,-76,-18
116,117,117,David Branshaw,83,46.79,131,149,-67,+22
117,118,118,Bob Tway,103,46.75,158,180,-77,-1
118,119,119,Michael Allen,74,46.64,111,127,-58,-11
119,120,120,Scott Verplank,82,46.53,94,108,-41,-19
120,121,121,Steve Elkington,87,46.47,125,144,-60,-22
121,122,122,Cliff Kresge,107,46.42,162,187,-80,-9
122,123,123,Jerry Kelly,101,46.06,117,137,-66,-15
123,124,124,Anders Hansen,55,45.9,56,66,-35,+3
124,125,125,J.P. Hayes,89,45.81,142,168,-74,-17
125,126,126,Tom Lehman,62,45.66,79,94,-46,-5
126,127,127,Nick O'Hern,72,45.6,88,105,-43,-15
127,T128,T128,Trevor Immelman,74,45.45,95,114,-49,-14
128,T128,T128,Chris Stroud,66,45.45,95,114,-43,-10
129,130,130,Rich Barcelo,80,45.38,118,142,-65,-18
130,131,131,Chad Campbell,96,45.08,119,145,-55,+5
131,132,132,Tom Pernice Jr.,104,44.9,141,173,-84,-20
132,133,133,Ryan Armour,107,44.61,153,190,-67,-25
133,134,134,Jeff Quinney,95,44.3,140,176,-77,+4
134,135,135,D.J. Brigman,67,44.23,92,116,-48,+1
135,136,136,Paul Gow,70,43.98,95,121,-49,-9
136,137,137,Stephen Ames,81,43.58,95,123,-49,-15
137,138,138,Woody Austin,95,43.46,133,173,-57,-17
138,139,139,Brian Davis,101,43.35,150,196,-83,-12
139,140,140,Tripp Isenhour,86,43.11,122,161,-56,-17
140,141,141,Chris DiMarco,79,42.98,101,134,-44,-5
141,142,142,Arron Oberholser,69,42.93,82,109,-44,-16
142,143,143,Bart Bryant,87,42.91,118,157,-61,-27
143,144,144,José María Olazábal,52,42.86,60,80,-31,-12
144,145,145,Bryce Molder,56,42.16,78,107,-32,-6
145,146,146,David Toms,80,42.15,94,129,-50,-22
146,147,147,Ben Curtis,80,42.13,99,136,-42,-6
147,148,148,José Coceres,50,41.67,60,84,-29,+3
148,149,149,Robert Gamez,88,41.52,120,169,-57,-24
149,150,150,Freddie Jacobson,70,41.47,107,151,-63,-25
150,151,151,Zach Johnson,76,41.33,93,132,-48,-6
151,152,152,Craig Lile,77,41.27,104,148,-45,-15
152,153,153,Jeff Maggert,79,41.08,122,175,-63,-10
153,154,154,Michael Sim,52,40.84,78,113,-41,-10
154,155,155,Luke Donald,69,40.57,71,104,-39,-5
155,156,156,Ryuji Imada,104,40.52,141,207,-85,-32
156,157,157,Jim Furyk,84,40.08,97,145,-55,-30
157,158,158,Darron Stiles,65,40.0,78,117,-52,-8
158,159,159,John Mallinger,96,39.81,127,192,-71,-16
159,160,160,Ian Poulter,63,39.73,58,88,-26,-17
160,161,161,Shaun Micheel,91,38.89,105,165,-50,-7
161,162,162,Brandt Snedeker,105,38.85,115,181,-68,-26
162,163,163,Dean Wilson,92,38.81,111,175,-56,-9
163,164,164,Jim Rutledge,59,38.76,69,109,-35,+5
164,165,165,Bob Heintz,85,38.66,104,165,-56,-7
165,166,166,Mark Wilson,87,38.02,100,163,-55,-13
166,167,167,Heath Slocum,101,37.92,124,203,-68,-45
167,168,168,Lee Janzen,66,37.75,77,127,-43,-6
168,169,169,Stephen Leaney,82,36.59,101,175,-51,-16
169,170,170,Doug LaBelle II,104,36.31,118,207,-66,-18
170,171,171,Tommy Armour III,81,36.23,96,169,-42,-15
171,172,172,Steve Stricker,81,36.0,81,144,-55,-36
172,173,173,Jeff Sluman,60,35.8,58,104,-29,-15
173,174,174,Matt Kuchar,85,35.41,91,166,-60,-20
174,175,175,Joey Sindelar,75,35.36,93,170,-52,-17
175,176,176,Bob Estes,88,34.58,102,193,-62,-41
176,177,177,Dicky Pride,71,34.51,78,148,-36,+1
177,178,178,Justin Leonard,95,34.49,99,188,-48,-9
178,179,179,Glen Day,85,34.43,94,179,-38,-35
179,180,180,Rocco Mediate,72,34.27,85,163,-32,-28
180,181,181,Shigeki Maruyama,84,34.26,99,190,-56,-15
181,182,182,Todd Hamilton,76,34.09,75,145,-45,+4
182,183,183,Kirk Triplett,77,33.95,92,179,-48,-18
183,184,184,Chris Riley,59,33.16,65,131,-35,-23
184,185,185,Tom Byrum,50,32.9,51,104,-30,-6
185,186,186,Richard Johnson,93,32.21,96,202,-44,-19
186,187,187,Craig Kanada,109,31.64,112,242,-54,-45
187,188,188,Michael Boyd,61,31.37,64,140,-24,-13
188,189,189,Paul Goydos,60,30.63,49,111,-25,-4
189,190,190,Tim Clark,66,30.48,57,130,-31,-31
190,191,191,Mark Brooks,53,29.14,44,107,-14,-7
191,192,192,Fred Funk,65,27.47,50,132,-21,-30
192,193,193,Craig Bowden,78,27.0,71,192,-35,-48
193,194,194,Corey Pavin,81,25.74,70,202,-34,-36
194,195,195,Gavin Coles,87,23.71,69,222,-28,-52
195,196,196,Brian Gay,107,22.53,82,282,-47,-54
