,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
92,T91,93,Kevin Kisner,97,126,The Barclays,1,2
93,T91,92,Daniel Summerhays,99,126,Frys.com Open,1,8
94,95,95,Mark Hubbard,101,125,Sony Open in Hawaii,1,15
95,96,96,Jim Herman,93,123,Arnold Palmer Invitational presented by MasterCard,3,6
96,T97,97,Luke List,79,122,Quicken Loans National,1,16
97,T97,3,Roberto Castro,97,122,Sanderson Farms Championship,2,8
98,T97,20,John Huh,86,122,Frys.com Open,1,16
99,T100,100,Russell Henley,76,121,Shell Houston Open,3,1
100,T100,89,Bryce Molder,80,121,CareerBuilder Challenge in partnership with the Clinton Foundation,3,16
101,T100,102,Soomin Lee,6,121,PGA Championship,2,2
102,T103,103,Cameron Percy,49,120,John Deere Classic,1,8
103,T103,85,Troy Merritt,77,120,Barbasol Championship,1,11
104,T103,105,Shane Lowry,57,120,THE PLAYERS Championship,2,18
105,106,22,Matt Jones,83,118,World Golf Championships-Bridgestone Invitational,3,10
106,T107,107,Bud Cauley,47,117,AT&T Byron Nelson,1,10
107,T107,108,Retief Goosen,55,117,John Deere Classic,2,8
108,109,24,Tyler Aldridge,83,116,AT&T Pebble Beach Pro-Am,3,15
109,T110,110,Thomas Aiken,70,115,AT&T Byron Nelson,2,4
110,T110,11,Nick Taylor,83,115,Valero Texas Open,2,8
111,112,112,Jerry Kelly,76,113,Travelers Championship,4,12
112,T113,26,Ernie Els,66,112,Wells Fargo Championship,4,7
113,T113,114,Justin Rose,65,112,Arnold Palmer Invitational presented by MasterCard,1,3
114,115,115,Ollie Schniederjans,23,111,Shriners Hospitals for Children Open,2,12
115,T116,116,Chez Reavie,90,110,AT&T Pebble Beach Pro-Am,2,11
116,T116,67,Charl Schwartzel,73,110,The Barclays,3,1
117,118,118,Martin Piller,59,108,CareerBuilder Challenge in partnership with the Clinton Foundation,1,11
118,119,71,D.H. Lee,61,107,the Memorial Tournament presented by Nationwide,1,3
119,T120,116,Chez Reavie,90,103,Shriners Hospitals for Children Open,1,13
120,T120,121,Thongchai Jaidee,27,103,PGA Championship,4,3
121,T122,69,Chesson Hadley,81,101,Shell Houston Open,1,13
122,T122,123,Dustin Johnson,87,101,AT&T Byron Nelson,1,4
123,124,124,Hudson Swafford,104,100,The Barclays,2,13
124,125,116,Chez Reavie,90,99,Shell Houston Open,1,12
125,T126,38,Kevin Chappell,93,98,Quicken Loans National,2,1
126,T126,37,Rob Oppenheim,67,98,CareerBuilder Challenge in partnership with the Clinton Foundation,2,12
127,128,128,Jon Curran,99,96,the Memorial Tournament presented by Nationwide,2,5
128,T129,129,Adam Scott,79,95,The Barclays,3,1
129,T129,123,Dustin Johnson,87,95,THE PLAYERS Championship,2,12
130,T131,43,Peter Malnati,85,94,Valero Texas Open,1,17
131,T131,132,Henrik Norlander,71,94,Travelers Championship,1,13
132,T131,133,Brendon de Jonge,83,94,Quicken Loans National,2,8
133,T134,134,Colt Knost,90,92,The Barclays,2,7
134,T134,5,Si Woo Kim,113,92,Sony Open in Hawaii,1,13
135,T136,136,Danny Lee,93,91,DEAN & DELUCA Invitational,4,2
136,T136,116,Chez Reavie,90,91,The RSM Classic,3,5
137,T136,138,Brandt Snedeker,93,91,DEAN & DELUCA Invitational,2,1
138,T139,139,Andy Sullivan,39,90,The Honda Classic,2,6
139,T139,116,Chez Reavie,90,90,Quicken Loans National,1,16
140,141,136,Danny Lee,93,89,the Memorial Tournament presented by Nationwide,1,7
141,T142,139,Andy Sullivan,39,88,THE PLAYERS Championship,2,6
142,T142,143,Harold Varner III,92,88,Quicken Loans National,3,16
143,144,8,Matt Every,40,87,The Honda Classic,2,13
144,145,145,Scott Pinckney,87,86,Barbasol Championship,3,16
145,146,146,Philip Barbaree,2,84,FedEx St. Jude Classic,2,1
146,T147,147,Tom Hoge,81,83,Quicken Loans National,2,8
147,T147,32,Jimmy Walker,85,83,World Golf Championships-Cadillac Championship,4,17
148,T147,149,Harris English,97,83,DEAN & DELUCA Invitational,4,1
149,150,150,Billy Hurley III,66,82,John Deere Classic,2,2
150,151,151,Emiliano Grillo,93,81,Deutsche Bank Championship,1,18
151,152,152,Gary Woodland,95,80,PGA Championship,2,2
152,153,6,Alex Cejka,71,77,the Memorial Tournament presented by Nationwide,3,5
153,154,154,Morgan Hoffmann,71,76,Shell Houston Open,1,4
154,155,155,Derek Ernst,59,75,Barbasol Championship,1,6
155,156,156,Jeff Overton,69,74,Wells Fargo Championship,1,14
156,157,85,Troy Merritt,77,73,Wyndham Championship,3,5
157,158,158,Rory Sabbatini,57,71,RBC Canadian Open,2,14
158,T159,145,Scott Pinckney,87,69,Shell Houston Open,3,15
159,T159,51,Steve Stricker,53,69,Sony Open in Hawaii,3,10
160,T159,129,Adam Scott,79,69,PGA Championship,4,8
161,T162,138,Brandt Snedeker,93,66,BMW Championship,4,16
162,T162,163,Lee Westwood,25,66,Shell Houston Open,1,4
163,T164,164,Jarrod Lyle,26,64,Frys.com Open,1,16
164,T164,165,Scott Piercy,87,64,PGA Championship,2,8
165,T166,68,Ryan Palmer,86,63,THE PLAYERS Championship,3,11
166,T166,167,Lucas Lee,42,63,Valspar Championship,1,3
167,168,168,Jordan Spieth,80,60,BMW Championship,3,11
168,169,89,Bryce Molder,80,58,THE PLAYERS Championship,3,11
169,T170,96,Jim Herman,93,54,DEAN & DELUCA Invitational,3,2
170,T170,171,Jason Dufner,105,54,World Golf Championships-Cadillac Championship,4,11
171,172,172,Patrick Reed,105,52,CareerBuilder Challenge in partnership with the Clinton Foundation,4,11
172,173,173,Ben Curtis,12,51,Arnold Palmer Invitational presented by MasterCard,1,5
173,T174,174,J.B. Holmes,77,50,Farmers Insurance Open,3,12
174,T174,86,Charles Howell III,91,50,Shell Houston Open,2,10
175,T174,154,Morgan Hoffmann,71,50,FedEx St. Jude Classic,2,5
176,T174,177,Jonas Blixt,79,50,Zurich Classic of New Orleans,3,15
177,T174,150,Billy Hurley III,66,50,The Barclays,1,9
178,179,78,Brian Stuard,66,49,Quicken Loans National,2,18
179,T180,180,Robby Ormand,2,48,Valero Texas Open,1,14
180,T180,181,Brian Davis,19,48,Sanderson Farms Championship,1,15
181,T180,182,James Hahn,85,48,Valspar Championship,2,16
182,183,134,Colt Knost,90,47,Arnold Palmer Invitational presented by MasterCard,3,12
183,T184,38,Kevin Chappell,93,45,The RSM Classic,2,15
184,T184,85,Troy Merritt,77,45,Arnold Palmer Invitational presented by MasterCard,1,4
185,T184,9,Rod Pampling,54,45,Quicken Loans National,4,3
186,T184,138,Brandt Snedeker,93,45,Sony Open in Hawaii,1,10
187,188,188,Miguel Angel Carballo,48,44,Frys.com Open,3,17
188,T189,23,Freddie Jacobson,86,43,Sanderson Farms Championship,1,3
189,T189,190,Steve Wheatcroft,85,43,Wells Fargo Championship,1,5
190,191,191,Michael Bradley,24,42,AT&T Byron Nelson,2,7
191,192,128,Jon Curran,99,41,Northern Trust Open,2,4
192,T193,194,Marc Leishman,89,40,THE PLAYERS Championship,1,2
193,T193,49,Bronson Burgoon,83,40,Farmers Insurance Open,1,6
194,T193,195,Steven Bowditch,71,40,Valspar Championship,2,10
195,T193,23,Freddie Jacobson,86,40,Arnold Palmer Invitational presented by MasterCard,2,3
196,T193,30,Ryan Moore,86,40,Waste Management Phoenix Open,4,17
197,T198,198,Graeme McDowell,63,39,Sony Open in Hawaii,1,1
198,T198,199,Bryson DeChambeau,38,39,Travelers Championship,3,12
199,T198,60,Willy Wilcox,67,39,Frys.com Open,3,2
