,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
159,160,160,Vijay Singh,72,"30' 0""",751.0,25,+3
160,T161,T161,Martin Laird,82,"30' 1""",1112.167,37,+5
161,T161,T161,Kyle Stanley,92,"30' 1""",662.4169999999999,22,+9
162,163,163,Luke Guthrie,57,"30' 2""",572.5830000000001,19,+9
163,164,164,Camilo Villegas,83,"30' 6""",977.1669999999999,32,+16
164,T165,T165,Rickie Fowler,80,"30' 10""",708.6669999999999,23,+8
165,T165,T165,Dustin Johnson,87,"30' 10""",1418.25,46,+12
166,T165,T165,Bryce Molder,80,"30' 10""",833.0830000000001,27,+9
167,168,168,J.B. Holmes,77,"30' 11""",1577.9170000000001,51,+7
168,169,169,Robert Allenby,51,"31' 5""",377.417,12,+6
169,T170,T170,Jim Furyk,52,"31' 7""",378.667,12,+4
170,T170,T170,Russell Knox,92,"31' 7""",505.667,16,+1
171,172,172,Keegan Bradley,82,"31' 9""",824.8330000000001,26,+6
172,173,173,John Huh,86,"32' 5""",1070.25,33,+9
173,174,174,Anirban Lahiri,72,"32' 6""",617.1669999999999,19,+2
174,175,175,Andres Gonzales,80,"32' 7""",1140.333,35,+3
175,176,176,Jhonattan Vegas,97,"32' 10""",984.4169999999999,30,+10
176,177,177,Steve Marino,72,"33' 1""",827.6669999999999,25,+8
177,178,178,Bronson Burgoon,83,"33' 4""",1166.583,35,+9
178,179,179,Brooks Koepka,75,"33' 7""",873.1669999999999,26,+1
179,180,180,Sam Saunders,69,"33' 9""",606.9169999999999,18,+9
180,T181,T181,Jonas Blixt,79,"34' 1""",1262.25,37,+17
181,T181,T181,Freddie Jacobson,86,"34' 1""",1124.0,33,+16
182,183,183,Steven Bowditch,71,"34' 4""",1167.5,34,+18
183,184,184,Kevin Chappell,93,"38' 5""",883.25,23,+11
184,185,185,Billy Horschel,73,"39' 11""",439.083,11,+5
