,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
59,60,60,Spencer Levin,104,71.48,1055,1476,-256.0
60,61,61,Sean O'Hair,89,71.36,1079,1512,-277.0
61,62,62,John Huh,86,71.23,1000,1404,-226.0
62,63,63,Kelly Kraft,63,71.21,564,792,-151.0
63,T64,T64,Luke List,79,71.11,832,1170,-198.0
64,T64,T64,Ryan Moore,86,71.11,832,1170,-236.0
65,66,66,Jerry Kelly,76,71.02,767,1080,-171.0
66,67,67,Charley Hoffman,91,70.87,893,1260,-224.0
67,68,68,Kevin Chappell,93,70.8,994,1404,-254.0
68,T69,T69,Dustin Johnson,87,70.79,790,1116,-298.0
69,T69,T69,Will MacKenzie,84,70.79,841,1188,-179.0
70,71,71,Robert Streb,87,70.77,828,1170,-183.0
71,72,72,Smylie Kaufman,91,70.74,904,1278,-263.0
72,73,73,Dawie van der Walt,72,70.73,713,1008,-168.0
73,T74,T74,Shawn Stefani,91,70.71,980,1386,-207.0
74,T74,T74,Nick Taylor,83,70.71,840,1188,-205.0
75,76,76,Brett Stegmaier,87,70.67,954,1350,-223.0
76,77,77,Andres Gonzales,80,70.66,814,1152,-189.0
77,78,78,Jim Herman,93,70.63,890,1260,-185.0
78,79,79,Zach Johnson,90,70.47,926,1314,-244.0
79,80,80,Adam Hadwin,93,70.43,1103,1566,-306.0
80,81,81,Ben Martin,92,70.35,1013,1440,-277.0
81,82,82,Chris Stroud,82,70.29,873,1242,-228.0
82,T83,T83,Patton Kizzire,93,70.27,936,1332,-245.0
83,T83,T83,Brandt Snedeker,93,70.27,936,1332,-261.0
84,85,85,Scott Stallings,74,70.25,784,1116,-183.0
85,86,86,Kevin Kisner,97,70.24,923,1314,-262.0
86,87,87,Bronson Burgoon,83,70.14,808,1152,-184.0
87,88,88,Tim Wilkinson,72,70.11,631,900,-163.0
88,89,89,Tyler Aldridge,83,70.07,845,1206,-191.0
89,90,90,Luke Donald,81,70.06,744,1062,-167.0
90,91,91,David Toms,62,69.86,679,972,-150.0
91,92,92,J.B. Holmes,77,69.81,754,1080,-217.0
92,93,93,Steve Marino,72,69.8,691,990,-162.0
93,94,94,Jason Gore,78,69.75,740,1061,-174.0
94,95,95,Chesson Hadley,81,69.7,828,1188,-207.0
95,96,96,Martin Piller,59,69.69,577,828,-143.0
96,97,97,Phil Mickelson,75,69.59,739,1062,-222.0
97,98,98,Jamie Lovemark,91,69.58,1027,1476,-283.0
98,99,99,Whee Kim,82,69.57,814,1170,-183.0
99,100,100,Justin Thomas,99,69.56,939,1350,-259.0
100,101,101,Jordan Spieth,80,69.54,726,1044,-248.0
101,102,102,Danny Lee,93,69.52,876,1260,-229.0
102,103,103,Marc Leishman,89,69.49,813,1170,-209.0
103,104,104,Graeme McDowell,63,69.38,562,810,-133.0
104,T105,T105,Chris Kirk,90,69.37,924,1332,-245.0
105,T105,T105,Jimmy Walker,85,69.37,874,1260,-274.0
106,107,107,K.J. Choi,73,69.36,824,1188,-211.0
107,108,108,Harold Varner III,92,69.34,986,1422,-246.0
108,109,109,Si Woo Kim,113,69.33,1223,1764,-331.0
109,110,110,Branden Grace,63,69.31,524,756,-125.0
110,T111,T111,Brendon de Jonge,83,69.23,810,1170,-196.0
111,T111,T111,Vijay Singh,72,69.23,810,1170,-198.0
112,T113,T113,Jason Bohn,67,69.21,735,1062,-196.0
113,T113,T113,Harris English,97,69.21,897,1296,-229.0
114,115,115,Sung Kang,89,69.18,909,1314,-222.0
115,T116,T116,Tony Finau,95,69.17,958,1385,-257.0
116,T116,T116,David Lingmerth,84,69.17,747,1080,-186.0
117,118,118,Patrick Reed,105,69.16,971,1404,-288.0
118,119,119,Francesco Molinari,64,69.1,709,1026,-177.0
119,120,120,Vaughn Taylor,72,69.07,833,1206,-218.0
120,121,121,D.A. Points,55,68.95,484,702,-118.0
121,122,122,Jeff Overton,69,68.87,719,1044,-152.0
122,123,123,James Hahn,85,68.84,855,1242,-207.0
123,124,124,Shane Lowry,57,68.83,446,648,-108.0
124,125,125,Colt Knost,90,68.81,867,1260,-198.0
125,126,126,Scott Brown,88,68.76,854,1242,-217.0
126,127,127,Abraham Ancer,51,68.71,470,684,-111.0
127,128,128,Freddie Jacobson,86,68.62,877,1278,-234.0
128,129,129,Seung-Yul Noh,85,68.6,852,1242,-214.0
129,130,130,Mark Wilson,66,68.59,679,990,-123.0
130,131,131,Rob Oppenheim,67,68.56,617,900,-140.0
131,132,132,Rory Sabbatini,57,68.38,480,702,-83.0
132,133,133,Wes Roach,59,68.35,529,774,-139.0
133,134,134,Ben Crane,80,68.29,799,1170,-182.0
134,135,135,Cameron Tringale,81,68.25,860,1260,-211.0
135,136,136,Steve Stricker,53,68.15,552,810,-150.0
136,137,137,Scott Langley,65,68.13,650,954,-134.0
137,138,138,Brian Harman,104,68.01,1114,1638,-297.0
138,139,139,Billy Hurley III,66,67.98,722,1062,-193.0
139,140,140,Sam Saunders,69,67.97,624,918,-161.0
140,141,141,Tyrone Van Aswegen,105,67.94,1064,1566,-248.0
141,142,142,Ricky Barnes,97,67.92,978,1440,-279.0
142,143,143,Geoff Ogilvy,63,67.89,611,900,-144.0
143,144,144,Ángel Cabrera,62,67.82,586,864,-131.0
144,145,145,Jon Curran,99,67.79,1025,1512,-263.0
145,146,146,Michael Kim,100,67.71,1036,1530,-256.0
146,147,147,Steve Wheatcroft,85,67.7,853,1260,-206.0
147,148,148,Carlos Ortiz,79,67.69,731,1080,-185.0
148,149,149,Luke Guthrie,57,67.65,548,810,-148.0
149,150,150,Cameron Smith,73,67.63,560,828,-132.0
150,151,151,Brian Stuard,66,67.59,730,1080,-174.0
151,152,152,Matt Jones,83,67.56,754,1116,-188.0
152,153,153,Mark Hubbard,101,67.47,1008,1494,-247.0
153,154,154,Troy Merritt,77,67.44,789,1170,-218.0
154,155,155,Fabián Gómez,82,67.43,886,1314,-237.0
155,156,156,Stuart Appleby,71,67.26,799,1188,-207.0
156,157,157,Willy Wilcox,67,67.25,690,1026,-182.0
157,158,158,George McNeill,51,67.15,556,828,-117.0
158,159,159,Zac Blair,99,67.01,977,1458,-221.0
159,160,160,Andrew Loupe,75,67.0,796,1188,-240.0
160,161,161,Morgan Hoffmann,71,66.95,711,1062,-207.0
161,162,162,Padraig Harrington,54,66.92,530,792,-132.0
162,163,163,Daniel Summerhays,99,66.88,951,1422,-271.0
163,164,164,Retief Goosen,55,66.78,577,864,-156.0
164,165,165,Anirban Lahiri,72,66.67,576,864,-153.0
165,166,166,Bryce Molder,80,66.58,803,1206,-220.0
166,167,167,Rod Pampling,54,66.52,443,666,-104.0
167,168,168,Tom Hoge,81,66.31,752,1134,-193.0
168,169,169,Dicky Pride,55,66.26,489,738,-116.0
169,170,170,Aaron Baddeley,93,66.07,880,1332,-237.0
170,171,171,Chad Collins,73,66.06,761,1152,-184.0
171,172,172,Camilo Villegas,83,66.04,844,1278,-207.0
172,173,173,Peter Malnati,85,65.77,876,1332,-212.0
173,174,174,Robert Allenby,51,65.72,485,738,-80.0
174,175,175,Andrew Landry,53,65.66,390,594,-108.0
175,176,176,Hunter Mahan,61,65.65,579,882,-146.0
176,177,177,Ernie Els,66,65.38,659,1008,-173.0
177,178,178,Derek Fathauer,94,65.26,881,1350,-228.0
178,179,179,Jonas Blixt,79,65.09,785,1206,-236.0
179,180,180,D.H. Lee,61,64.86,537,828,-137.0
180,181,181,Ken Duke,58,64.35,556,864,-140.0
181,182,182,Hiroshi Iwata,85,64.06,761,1188,-197.0
182,183,183,Erik Compton,65,63.67,573,900,-145.0
183,184,184,Steven Bowditch,71,59.09,585,990,-141.0
184,185,185,Brendon Todd,66,58.13,565,972,-128.0
