,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
80,81,81,Greg Owen,85,15.38,22,143
81,82,82,Webb Simpson,70,15.19,12,79
82,83,83,Rickie Fowler,80,15.13,18,119
83,84,84,David Lingmerth,84,15.12,13,86
84,T85,T85,Erik Compton,65,15.0,15,100
85,T85,T85,Tony Finau,95,15.0,30,200
86,87,87,John Huh,86,14.97,22,147
87,T88,T88,Blayne Barber,84,14.96,19,127
88,T88,T88,Rhein Gibson,58,14.96,19,127
89,T90,T90,Hiroshi Iwata,85,14.91,24,161
90,T90,T90,Ryan Moore,86,14.91,17,114
91,92,92,Patton Kizzire,93,14.86,26,175
92,T93,T93,Chris Kirk,90,14.84,19,128
93,T93,T93,Rob Oppenheim,67,14.84,19,128
94,T95,T95,Alex Cejka,71,14.77,13,88
95,T95,T95,Dicky Pride,55,14.77,13,88
96,97,97,Patrick Reed,105,14.75,32,217
97,98,98,Anirban Lahiri,72,14.74,14,95
98,99,99,Smylie Kaufman,91,14.5,29,200
99,100,100,John Senden,88,14.46,24,166
100,101,101,Danny Lee,93,14.43,14,97
101,102,102,Camilo Villegas,83,14.38,23,160
102,103,103,Billy Hurley III,66,14.29,10,70
103,104,104,Justin Thomas,99,14.2,24,169
104,105,105,Kelly Kraft,63,14.14,14,99
105,106,106,Kyle Reifers,115,14.12,24,170
106,107,107,William McGirt,98,14.11,23,163
107,108,108,Scott Piercy,87,14.09,21,149
108,109,109,Chad Collins,73,13.91,21,151
109,110,110,Boo Weekley,83,13.85,18,130
110,111,111,Tim Wilkinson,72,13.64,12,88
111,112,112,Jason Kokrak,89,13.61,20,147
112,113,113,James Hahn,85,13.53,18,133
113,114,114,Kevin Streelman,82,13.51,15,111
114,115,115,Martin Laird,82,13.5,22,163
115,116,116,Michael Kim,100,13.41,24,179
116,117,117,K.J. Choi,73,13.27,15,113
117,118,118,Roberto Castro,97,13.24,18,136
118,119,119,Jason Gore,78,13.21,14,106
119,120,120,Ben Martin,92,13.19,19,144
120,121,121,Scott Langley,65,13.18,17,129
121,122,122,Will MacKenzie,84,13.11,16,122
122,123,123,Hunter Mahan,61,13.08,14,107
123,124,124,Cameron Tringale,81,12.88,17,132
124,T125,T125,Stuart Appleby,71,12.86,18,140
125,T125,T125,Andres Gonzales,80,12.86,18,140
126,127,127,Stewart Cink,61,12.77,12,94
127,T128,T128,Fabián Gómez,82,12.75,19,149
128,T128,T128,Geoff Ogilvy,63,12.75,13,102
129,130,130,Daniel Summerhays,99,12.74,20,157
130,131,131,Brendon Todd,66,12.37,12,97
131,132,132,Aaron Baddeley,93,12.36,22,178
132,133,133,Lucas Glover,75,12.24,12,98
133,T134,T134,Sung Kang,89,12.21,16,131
134,T134,T134,Steve Marino,72,12.21,16,131
135,136,136,Jerry Kelly,76,12.16,9,74
136,T137,T137,Abraham Ancer,51,12.12,8,66
137,T137,T137,Shane Lowry,57,12.12,8,66
138,139,139,Derek Ernst,59,12.09,11,91
139,140,140,Steven Bowditch,71,11.94,16,134
140,141,141,Ben Crane,80,11.93,13,109
141,142,142,George McNeill,51,11.83,11,93
142,143,143,David Toms,62,11.76,12,102
143,144,144,Rod Pampling,54,11.67,7,60
144,145,145,Kyle Stanley,92,11.59,16,138
145,146,146,Paul Casey,77,11.58,11,95
146,147,147,Chesson Hadley,81,11.57,14,121
147,T148,T148,Daniel Berger,92,11.56,20,173
148,T148,T148,Tyrone Van Aswegen,105,11.56,20,173
149,150,150,Ernie Els,66,11.51,16,139
150,151,151,Spencer Levin,104,11.34,11,97
151,152,152,Nick Taylor,83,11.04,17,154
152,153,153,Billy Horschel,73,10.98,9,82
153,154,154,Adam Hadwin,93,10.9,17,156
154,155,155,Chad Campbell,90,10.85,14,129
155,156,156,Kevin Kisner,97,10.83,13,120
156,157,157,Russell Henley,76,10.79,15,139
157,158,158,Jeff Overton,69,10.53,16,152
158,159,159,Luke Guthrie,57,10.48,11,105
159,160,160,Retief Goosen,55,10.47,9,86
160,161,161,Ángel Cabrera,62,10.43,12,115
161,162,162,Si Woo Kim,113,10.42,20,192
162,163,163,Willy Wilcox,67,10.28,11,107
163,164,164,Martin Piller,59,10.26,8,78
164,165,165,Bill Haas,86,10.17,12,118
165,166,166,Jim Furyk,52,10.14,7,69
166,167,167,Bryce Molder,80,10.12,17,168
167,168,168,D.H. Lee,61,10.1,10,99
168,169,169,Zac Blair,99,10.08,12,119
169,170,170,Luke Donald,81,10.0,11,110
170,171,171,Shawn Stefani,91,9.93,15,151
171,172,172,Brendon de Jonge,83,9.92,12,121
172,173,173,Sergio Garcia,54,9.8,5,51
173,174,174,Emiliano Grillo,93,9.71,10,103
174,175,175,Scott Brown,88,9.65,11,114
175,176,176,Mark Hubbard,101,9.36,16,171
176,177,177,Troy Merritt,77,9.23,12,130
177,178,178,David Hearn,95,8.57,12,140
178,179,179,Russell Knox,92,8.51,8,94
179,180,180,Rory Sabbatini,57,7.81,5,64
180,181,181,J.J. Henry,68,7.48,8,107
181,182,182,Jon Curran,99,6.84,8,117
182,183,183,Dawie van der Walt,72,6.72,8,119
183,184,184,Graeme McDowell,63,6.58,5,76
184,185,185,Robert Allenby,51,5.71,4,70
