,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
57,T52,T52,Kevin Na,96,"30' 8""",909,27855.833,-95.00
58,T52,T52,Louis Oosthuizen,63,"30' 8""",547,16766.917,-49.00
59,T52,T52,Rob Oppenheim,67,"30' 8""",616,18876.167,-41.00
60,T52,T52,Brian Stuard,66,"30' 8""",852,26120.417,-49.00
61,T62,T62,Jason Bohn,67,"30' 9""",816,25116.0,-49.00
62,T62,T62,Rickie Fowler,80,"30' 9""",813,25018.25,-117.00
63,T62,T62,Charley Hoffman,91,"30' 9""",855,26265.833,-95.00
64,T65,T65,Matt Kuchar,100,"30' 10""",1046,32285.417,-135.00
65,T65,T65,David Toms,62,"30' 10""",746,23031.667,-42.00
66,T67,T67,Paul Casey,77,"30' 11""",767,23737.667,-105.00
67,T67,T67,Jon Curran,99,"30' 11""",1161,35895.5,-96.00
68,T67,T67,Branden Grace,63,"30' 11""",513,15841.25,-28.00
69,T67,T67,Steve Stricker,53,"30' 11""",602,18600.667,-74.00
70,T67,T67,Nick Taylor,83,"30' 11""",822,25428.333,-76.00
71,T67,T67,Jimmy Walker,85,"30' 11""",772,23890.083,-101.00
72,T73,T73,Tyler Aldridge,83,"31' 0""",835,25859.417,-46.00
73,T73,T73,Patton Kizzire,93,"31' 0""",932,28908.917,-86.00
74,T73,T73,Seung-Yul Noh,85,"31' 0""",810,25108.917,-54.00
75,T73,T73,Patrick Reed,105,"31' 0""",917,28439.083,-134.00
76,T77,T77,Abraham Ancer,51,"31' 1""",512,15934.583,-23.00
77,T77,T77,Ricky Barnes,97,"31' 1""",990,30760.083,-104.00
78,T77,T77,Smylie Kaufman,91,"31' 1""",828,25714.917,-91.00
79,T77,T77,Ben Martin,92,"31' 1""",1059,32882.0,-102.00
80,T77,T77,George McNeill,51,"31' 1""",610,18958.417,-20.00
81,T77,T77,Jordan Spieth,80,"31' 1""",729,22639.25,-107.00
82,T77,T77,Camilo Villegas,83,"31' 1""",855,26576.667,-60.00
83,T77,T77,Boo Weekley,83,"31' 1""",974,30262.25,-66.00
84,T77,T77,Willy Wilcox,67,"31' 1""",723,22498.25,-52.00
85,T77,T77,Gary Woodland,95,"31' 1""",971,30204.25,-94.00
86,T87,T87,Robert Allenby,51,"31' 2""",515,16064.75,+12.00
87,T87,T87,Roberto Castro,97,"31' 2""",1236,38547.917,-130.00
88,T87,T87,Stewart Cink,61,"31' 2""",622,19360.75,-38.00
89,T87,T87,Martin Laird,82,"31' 2""",881,27489.333,-79.00
90,T87,T87,Sam Saunders,69,"31' 2""",654,20397.25,-46.00
91,T87,T87,Dawie van der Walt,72,"31' 2""",694,21603.333,-63.00
92,T93,T93,Alex Cejka,71,"31' 3""",691,21599.917,-84.00
93,T93,T93,Spencer Levin,104,"31' 3""",1139,35573.5,-117.00
94,T93,T93,Shawn Stefani,91,"31' 3""",964,30134.5,-61.00
95,T93,T93,Chris Stroud,82,"31' 3""",890,27833.75,-71.00
96,T97,T97,Thomas Aiken,70,"31' 4""",683,21410.25,-51.00
97,T97,T97,Graham DeLaet,70,"31' 4""",757,23721.0,-35.00
98,T97,T97,Michael Kim,100,"31' 4""",1102,34544.5,-74.00
99,T97,T97,Colt Knost,90,"31' 4""",1020,31980.5,-43.00
