,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
79,80,80,Chesson Hadley,81,53.65,125,108,-49,+2
80,81,81,Brett Stegmaier,87,53.64,140,121,-82,-9
81,T82,T82,Padraig Harrington,54,53.61,89,77,-43,-6
82,T82,T82,Henrik Norlander,71,53.61,104,90,-53,-12
83,84,84,Ben Martin,92,53.6,149,129,-94,-19
84,85,85,Graeme McDowell,63,53.5,84,73,-46,-2
85,86,86,Chad Campbell,90,53.16,143,126,-90,-17
86,87,87,Whee Kim,82,53.14,127,112,-61,-3
87,88,88,William McGirt,98,52.7,166,149,-85,-12
88,89,89,Geoff Ogilvy,63,52.43,97,88,-48,-7
89,90,90,Jeff Overton,69,52.4,109,99,-43,-16
90,91,91,Aaron Baddeley,93,52.24,140,128,-78,-13
91,92,92,Patton Kizzire,93,51.88,138,128,-79,-19
92,93,93,Thomas Aiken,70,51.48,87,82,-54,-5
93,94,94,Chez Reavie,90,51.46,141,133,-73,-12
94,95,95,Troy Merritt,77,51.29,119,113,-70,E
95,96,96,Jim Herman,93,51.24,124,118,-57,-21
96,97,97,Kelly Kraft,63,51.23,83,79,-43,-8
97,98,98,Louis Oosthuizen,63,51.06,72,69,-46,-11
98,99,99,Dawie van der Walt,72,50.75,101,98,-57,-4
99,100,100,Andres Gonzales,80,50.66,116,113,-66,-5
100,101,101,Jason Dufner,105,50.4,127,125,-71,-11
101,102,102,Matt Kuchar,100,50.38,134,132,-87,-28
102,103,103,Johnson Wagner,86,50.37,136,134,-70,-12
103,104,104,Kyle Reifers,115,50.29,171,169,-90,-27
104,105,105,Scott Langley,65,50.25,100,99,-50,-4
105,T106,T106,Bill Haas,86,50.22,113,112,-54,-9
106,T106,T106,Russell Henley,76,50.22,116,115,-60,-5
107,108,108,Shawn Stefani,91,50.0,134,134,-70,-3
108,T109,T109,Shane Lowry,57,49.58,59,60,-32,+4
109,T109,T109,Seung-Yul Noh,85,49.58,117,119,-74,-7
110,111,111,Alex Cejka,71,49.49,97,99,-58,-19
111,112,112,Retief Goosen,55,49.43,86,88,-45,-4
112,113,113,Brendon de Jonge,83,49.35,114,117,-56,-12
113,114,114,Robert Streb,87,49.32,109,112,-63,-7
114,115,115,Brian Harman,104,49.26,166,171,-91,-10
115,116,116,Blayne Barber,84,49.2,123,127,-74,-15
116,117,117,Branden Grace,63,49.01,74,77,-36,-3
117,118,118,Chris Stroud,82,48.8,122,128,-57,-8
118,119,119,Scott Brown,88,48.76,118,124,-54,+1
119,120,120,John Senden,88,48.74,135,142,-66,-26
120,121,121,Andrew Landry,53,48.7,56,59,-25,-1
121,122,122,Kevin Na,96,48.48,112,119,-57,-12
122,123,123,Derek Fathauer,94,48.44,124,132,-57,-10
123,124,124,Roberto Castro,97,48.11,153,165,-89,-35
124,125,125,Wes Roach,59,48.03,73,79,-38,+2
125,126,126,Francesco Molinari,64,48.0,96,104,-62,-9
126,127,127,Erik Compton,65,47.73,84,92,-46,-2
127,128,128,Russell Knox,92,47.6,109,120,-61,-4
128,129,129,David Lingmerth,84,47.51,105,116,-54,-12
129,130,130,John Huh,86,47.48,132,146,-63,-2
130,131,131,Rod Pampling,54,47.33,62,69,-28,-10
131,132,132,Kevin Streelman,82,47.13,115,129,-55,-6
132,133,133,Tom Hoge,81,46.54,101,116,-45,-4
133,134,134,Luke Guthrie,57,46.45,72,83,-44,-8
134,135,135,James Hahn,85,46.18,121,141,-64,+2
135,136,136,Tyrone Van Aswegen,105,45.9,140,165,-64,-6
136,137,137,Chris Kirk,90,45.86,122,144,-73,-24
137,138,138,Mark Hubbard,101,45.75,140,166,-79,-16
138,T139,T139,Steven Bowditch,71,45.45,90,108,-59,+35
139,T139,T139,Michael Thompson,71,45.45,85,102,-52,-11
140,141,141,Kyle Stanley,92,44.24,119,150,-67,-6
141,142,142,Cameron Tringale,81,44.19,114,144,-67,-17
142,143,143,Ricky Barnes,97,44.18,129,163,-74,-3
143,144,144,Camilo Villegas,83,44.09,112,142,-73,+5
144,145,145,Ken Duke,58,44.03,70,89,-47,-3
145,146,146,Jason Bohn,67,43.75,91,117,-42,-27
146,147,147,George McNeill,51,43.64,72,93,-24,E
147,T148,T148,J.J. Henry,68,43.48,100,130,-55,-17
148,T148,T148,Ryan Moore,86,43.48,100,130,-54,-29
149,150,150,Jason Gore,78,43.32,94,123,-45,-6
150,151,151,Tyler Aldridge,83,43.04,102,135,-60,-13
151,152,152,Jerry Kelly,76,42.79,89,119,-52,-14
152,153,153,Freddie Jacobson,86,42.56,103,139,-63,-6
153,154,154,Spencer Levin,104,42.33,127,173,-78,-25
154,155,155,Robert Allenby,51,41.67,60,84,-31,+3
155,156,156,Michael Kim,100,41.58,126,177,-57,-15
156,157,157,D.A. Points,55,40.88,56,81,-23,+1
157,158,158,Will MacKenzie,84,40.6,95,139,-37,-7
158,159,159,Jim Furyk,52,39.86,55,83,-27,-15
159,160,160,Vaughn Taylor,72,39.48,92,141,-55,-6
160,161,161,Zach Johnson,90,39.08,102,159,-56,-33
161,162,162,Zac Blair,99,39.01,110,172,-53,-7
162,163,163,Ben Crane,80,38.94,88,138,-42,-17
163,164,164,Chad Collins,73,38.74,86,136,-56,-2
164,165,165,Stuart Appleby,71,38.43,88,141,-50,-37
165,166,166,Martin Piller,59,38.24,65,105,-35,+1
166,167,167,Rob Oppenheim,67,37.84,70,115,-31,-10
167,168,168,Abraham Ancer,51,37.5,51,85,-20,-7
168,169,169,Bryce Molder,80,37.05,93,158,-45,-30
169,170,170,Cameron Smith,73,36.97,61,104,-26,-2
170,171,171,D.H. Lee,61,36.21,63,111,-33,-10
171,172,172,Brendon Todd,66,35.57,69,125,-32,-20
172,173,173,Luke Donald,81,35.19,76,140,-45,-7
173,174,174,Peter Malnati,85,33.7,92,181,-41,-35
174,175,175,Mark Wilson,66,33.33,66,132,-31,-14
175,176,176,Billy Hurley III,66,33.17,67,135,-34,-22
176,177,177,David Hearn,95,32.76,95,195,-61,-25
177,178,178,Brian Stuard,66,32.68,67,138,-32,-16
178,179,179,K.J. Choi,73,30.89,76,170,-40,-22
179,180,180,Steve Stricker,53,30.61,45,102,-29,-20
180,181,181,Dicky Pride,55,30.14,44,102,-23,-16
181,182,182,Colt Knost,90,28.4,69,174,-44,-37
182,183,183,Tim Wilkinson,72,27.84,49,127,-32,-18
183,184,184,Jon Curran,99,25.77,75,216,-44,-33
184,185,185,David Toms,62,20.62,40,154,-21,-34
