,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
142,T143,T143,Hiroshi Iwata,85,51.97,66,127,-74,+1.00
143,T143,T143,Whee Kim,82,51.97,66,127,-70,-3.00
144,145,145,Henrik Norlander,71,51.92,54,104,-58,-12.00
145,146,146,Kelly Kraft,63,51.81,43,83,-48,-8.00
146,147,147,Kevin Na,96,51.79,58,112,-63,-12.00
147,148,148,Tyrone Van Aswegen,105,51.77,73,141,-75,-6.00
148,149,149,Jason Bohn,67,51.65,47,91,-47,-27.00
149,150,150,Bryce Molder,80,51.61,48,93,-53,-30.00
150,151,151,Nick Taylor,83,51.45,71,138,-77,-3.00
151,152,152,Scott Brown,88,51.26,61,119,-65,+1.00
152,153,153,Carlos Ortiz,79,51.15,67,131,-71,+9.00
153,154,154,Abraham Ancer,51,50.98,26,51,-26,-7.00
154,155,155,Jim Furyk,52,50.91,28,55,-30,-15.00
155,156,156,Kevin Streelman,82,50.86,59,116,-65,-6.00
156,157,157,Michael Kim,100,50.79,64,126,-67,-15.00
157,158,158,Geoff Ogilvy,63,50.52,49,97,-54,-7.00
158,159,159,Bill Haas,86,50.44,57,113,-61,-9.00
159,T160,T160,Robert Allenby,51,50.0,30,60,-32,+3.00
160,T160,T160,Derek Ernst,59,50.0,45,90,-47,+5.00
161,T160,T160,Jason Gore,78,50.0,47,94,-52,-6.00
162,T160,T160,Jim Herman,93,50.0,62,124,-64,-21.00
163,164,164,Derek Fathauer,94,49.61,63,127,-65,-10.00
164,165,165,Will MacKenzie,84,49.47,47,95,-47,-7.00
165,166,166,Kyle Reifers,115,49.12,84,171,-92,-27.00
166,167,167,Steve Marino,72,49.09,54,110,-56,-3.00
167,168,168,Rhein Gibson,58,48.91,45,92,-48,-6.00
168,169,169,Hunter Mahan,61,48.57,51,105,-56,-6.00
169,170,170,Tom Hoge,81,48.51,49,101,-54,-4.00
170,171,171,Mark Wilson,66,48.48,32,66,-35,-14.00
171,172,172,Chesson Hadley,81,48.41,61,126,-62,+2.00
172,173,173,Andrew Landry,53,48.21,27,56,-30,-1.00
173,174,174,Chris Stroud,82,47.97,59,123,-65,-8.00
174,175,175,Brendon Todd,66,47.83,33,69,-36,-20.00
175,176,176,Rory Sabbatini,57,47.67,41,86,-42,+1.00
176,177,177,Rod Pampling,54,46.77,29,62,-30,-10.00
177,178,178,D.A. Points,55,46.43,26,56,-27,+1.00
178,179,179,John Senden,88,46.32,63,136,-68,-26.00
179,180,180,Greg Owen,85,45.89,67,146,-71,+2.00
180,181,181,Peter Malnati,85,44.57,41,92,-43,-35.00
181,182,182,George McNeill,51,44.44,32,72,-33,E
182,183,183,Rob Oppenheim,67,44.29,31,70,-33,-10.00
183,184,184,Jeff Overton,69,43.12,47,109,-49,-16.00
184,185,185,Ernie Els,66,42.86,48,112,-53,-14.00
