,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
60,T57,T57,Camilo Villegas,95,1629,55348360.0,9.44
61,T62,T62,Bryce Molder,77,1630,44664170.0,7.61
62,T62,T62,Vijay Singh,83,1630,52037130.0,8.87
63,T64,T64,Tim Clark,75,1631,41912410.0,7.14
64,T64,T64,Martin Flores,85,1631,46144360.0,7.86
65,T66,T66,Chad Campbell,57,1632,33435140.0,5.69
66,T66,T66,Scott Stallings,77,1632,41415980.0,7.05
67,T66,T66,Tim Wilkinson,86,1632,49458600.0,8.42
68,T69,T69,Jonathan Byrd,76,1633,44321120.0,7.54
69,T69,T69,Jim Herman,62,1633,32033500.0,5.45
70,T71,T71,J.J. Henry,91,1634,55889510.0,9.5
71,T71,T71,Chris Kirk,105,1634,57345440.0,9.75
72,T71,T71,Jason Kokrak,65,1634,40246330.0,6.84
73,T71,T71,David Lingmerth,80,1634,43180980.0,7.34
74,T71,T71,Davis Love III,74,1634,42115120.0,7.16
75,T71,T71,Jeff Maggert,54,1634,30526690.0,5.19
76,T77,T77,Stuart Appleby,92,1635,55906180.0,9.5
77,T77,T77,Charl Schwartzel,64,1635,35135090.0,5.97
78,T79,T79,David Hearn,97,1636,56957710.0,9.67
79,T79,T79,Billy Hurley III,86,1636,51184010.0,8.69
80,T79,T79,Jeff Overton,80,1636,44053840.0,7.48
81,T79,T79,Pat Perez,84,1636,51287660.0,8.71
82,T83,T83,Jason Day,54,1637,23096370.0,3.92
83,T83,T83,Andres Romero,81,1637,46543610.0,7.9
84,T85,T85,Sangmoon Bae,76,1638,41929930.0,7.11
85,T85,T85,Jerry Kelly,80,1638,45756430.0,7.76
86,T85,T85,Geoff Ogilvy,84,1638,48712050.0,8.26
87,T85,T85,Rory Sabbatini,82,1638,42218190.0,7.16
88,T85,T85,Hudson Swafford,75,1638,38922940.0,6.6
89,T90,T90,Erik Compton,88,1639,51105090.0,8.66
90,T90,T90,Ernie Els,85,1639,42594130.0,7.22
91,T90,T90,John Peterson,62,1639,37530030.0,6.36
92,T93,T93,Greg Chalmers,85,1640,48576740.0,8.23
93,T93,T93,Ben Martin,80,1640,42630920.0,7.22
94,T93,T93,"Ted Potter, Jr.",68,1640,43621900.0,7.39
95,T96,T96,Ben Curtis,77,1641,43133710.0,7.3
96,T96,T96,Russell Knox,92,1641,59150660.0,10.01
97,T96,T96,Brendon Todd,108,1641,63458170.0,10.74
98,T96,T96,Jhonattan Vegas,77,1641,44126370.0,7.47
99,T100,T100,Bill Haas,107,1642,57282910.0,9.69
100,T100,T100,Chesson Hadley,84,1642,45162850.0,7.64
101,T100,T100,Justin Leonard,75,1642,43690090.0,7.39
102,T100,T100,Spencer Levin,59,1642,34820590.0,5.89
103,T100,T100,Hunter Mahan,88,1642,48295710.0,8.17
104,T100,T100,John Merrick,87,1642,48398350.0,8.19
105,T100,T100,Ryan Palmer,85,1642,43682650.0,7.39
106,T107,T107,Brandt Snedeker,89,1643,44409070.0,7.51
107,T107,T107,Kyle Stanley,87,1643,47308800.0,8.0
108,T109,T109,Harris English,95,1645,49679170.0,8.39
109,T109,T109,Johnson Wagner,69,1645,41035170.0,6.93
110,T111,T111,Chad Collins,78,1646,42004920.0,7.09
111,T111,T111,Phil Mickelson,71,1646,33303260.0,5.62
112,T111,T111,Brian Stuard,91,1646,49469340.0,8.35
113,T114,T114,Ryo Ishikawa,75,1647,39895850.0,6.73
114,T114,T114,Matt Jones,83,1647,39732040.0,6.7
115,116,116,Nick Watney,80,1648,37723860.0,6.36
116,117,117,D.A. Points,75,1649,36813590.0,6.2
117,T118,T118,D.H. Lee,54,1650,31189220.0,5.25
118,T118,T118,Andrew Svoboda,77,1650,45806220.0,7.71
119,T118,T118,Jimmy Walker,98,1650,47804380.0,8.05
120,T121,T121,Robert Garrigus,80,1651,46836600.0,7.88
121,T121,T121,Seung-Yul Noh,92,1651,51236390.0,8.62
122,T123,T123,Robert Allenby,83,1652,48402100.0,8.14
123,T123,T123,Ben Crane,81,1652,54074640.0,9.09
124,T125,T125,Jason Dufner,57,1653,27191490.0,4.57
125,T125,T125,Billy Horschel,92,1653,47916410.0,8.05
126,T127,T127,K.J. Choi,80,1654,45677950.0,7.67
127,T127,T127,Will MacKenzie,82,1654,47983190.0,8.06
128,T129,T129,James Driscoll,71,1655,37598310.0,6.31
129,T129,T129,Jim Furyk,84,1655,49224110.0,8.26
130,T129,T129,Justin Rose,70,1655,35925940.0,6.03
131,T129,T129,Mark Wilson,69,1655,40097500.0,6.73
132,T133,T133,Daniel Summerhays,98,1656,60759100.0,10.19
133,T133,T133,Nicholas Thompson,85,1656,47575960.0,7.98
134,T135,T135,Graeme McDowell,66,1657,31682970.0,5.31
135,T135,T135,Webb Simpson,87,1657,49220070.0,8.25
136,T137,T137,Gonzalo Fernandez-Castaño,83,1658,45654380.0,7.65
137,T137,T137,William McGirt,96,1658,57885100.0,9.7
138,T139,T139,Brendon de Jonge,109,1659,64276650.0,10.76
139,T139,T139,Graham DeLaet,80,1659,44311180.0,7.42
140,T139,T139,Zach Johnson,97,1659,58827110.0,9.85
141,T139,T139,Willy Wilcox,51,1659,28303630.0,4.74
142,T143,T143,Jason Bohn,81,1660,49958530.0,8.36
143,T143,T143,Paul Casey,56,1660,28975730.0,4.85
144,T143,T143,Ken Duke,80,1660,45249790.0,7.57
145,T143,T143,John Senden,99,1660,58086160.0,9.72
146,T143,T143,Chris Stroud,88,1660,48897810.0,8.18
147,148,148,Charlie Wi,72,1661,45150850.0,7.55
148,T149,T149,Scott Brown,100,1662,56538080.0,9.45
149,T149,T149,Ángel Cabrera,69,1662,39434640.0,6.59
150,T149,T149,Richard Lee,80,1662,42420410.0,7.09
151,152,152,Kevin Stadler,90,1663,44194450.0,7.38
152,153,153,Aaron Baddeley,74,1665,39152140.0,6.53
153,T154,T154,Ian Poulter,57,1666,27223340.0,4.54
154,T154,T154,Cameron Tringale,111,1666,69697360.0,11.62
155,T154,T154,Mike Weir,69,1666,37360660.0,6.23
156,157,157,Kevin Streelman,79,1667,37743250.0,6.29
157,T158,T158,Danny Lee,84,1668,46165910.0,7.69
158,T158,T158,Adam Scott,68,1668,37180380.0,6.19
159,T158,T158,Lee Westwood,57,1668,27798440.0,4.63
160,161,161,Y.E. Yang,79,1669,42361650.0,7.05
161,162,162,Matt Every,85,1673,43676680.0,7.25
162,163,163,John Huh,87,1674,49656050.0,8.24
163,T164,T164,Keegan Bradley,89,1675,47393710.0,7.86
164,T164,T164,Martin Kaymer,65,1675,32202910.0,5.34
165,T166,T166,Hideki Matsuyama,82,1677,42437690.0,7.03
166,T166,T166,Rory McIlroy,66,1677,30375130.0,5.03
167,168,168,Marc Leishman,81,1679,47640310.0,7.88
168,169,169,Michael Putnam,106,1682,62543960.0,10.33
169,170,170,Kevin Na,94,1684,55537970.0,9.16
170,T171,T171,Rickie Fowler,91,1685,42396920.0,6.99
171,T171,T171,George McNeill,79,1685,47787290.0,7.88
172,173,173,Ryan Moore,86,1688,42591320.0,7.01
173,174,174,Luke Donald,57,1689,30821550.0,5.07
174,175,175,Sergio Garcia,61,1690,29267610.0,4.81
175,176,176,Gary Woodland,93,1696,51537040.0,8.44
176,177,177,Henrik Stenson,56,1728,25325080.0,4.07
