,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
156,157,157,Jeff Maggert,54,15.79,9,57,-9,9 Under
157,158,158,Jonathan Byrd,76,15.74,17,108,-16,16 Under
158,159,159,Luke Donald,57,15.52,9,58,-10,10 Under
159,160,160,Tim Wilkinson,86,15.48,13,84,-12,12 Under
160,161,161,J.B. Holmes,86,15.17,27,178,-26,26 Under
161,162,162,Brendon Todd,108,15.15,15,99,-18,18 Under
162,163,163,Trevor Immelman,84,14.81,16,108,-18,18 Under
163,164,164,Jeff Overton,80,14.75,18,122,-19,19 Under
164,165,165,Ernie Els,85,14.71,20,136,-20,20 Under
165,166,166,Ben Crane,81,14.43,14,97,-16,16 Under
166,T167,T167,Chad Campbell,57,14.29,9,63,-9,9 Under
167,T167,T167,David Hearn,97,14.29,14,98,-12,12 Under
168,169,169,Chris Stroud,88,14.17,18,127,-17,17 Under
169,170,170,Sergio Garcia,61,14.1,11,78,-9,9 Under
170,171,171,"Ted Potter, Jr.",68,13.95,12,86,-12,12 Under
171,172,172,Mike Weir,69,13.56,8,59,-9,9 Under
172,173,173,Greg Chalmers,85,12.24,12,98,-12,12 Under
173,174,174,Tim Clark,75,12.0,6,50,-5,5 Under
174,175,175,Chad Collins,78,11.76,8,68,-9,9 Under
175,176,176,D.H. Lee,54,11.11,6,54,-7,7 Under
176,177,177,Justin Leonard,75,5.13,2,39,-2,2 Under
