,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
154,155,155,Scott Langley,95,36.13,86,152
155,156,156,Heath Slocum,71,35.76,59,106
156,157,157,D.H. Lee,54,35.51,49,89
157,158,158,Tim Wilkinson,86,35.0,70,130
158,159,159,Jerry Kelly,80,34.04,64,124
159,160,160,Jeff Maggert,54,33.85,44,86
160,161,161,Jason Bohn,81,33.78,75,147
161,162,162,David Hearn,97,33.73,84,165
162,163,163,Mike Weir,69,33.33,53,106
163,164,164,Billy Hurley III,86,33.17,68,137
164,165,165,Ben Curtis,77,33.16,64,129
165,166,166,Chad Collins,78,32.97,61,124
166,167,167,K.J. Choi,80,32.37,67,140
167,168,168,Ben Crane,81,32.31,74,155
168,169,169,Troy Merritt,62,32.21,48,101
169,170,170,Brendon Todd,108,32.09,86,182
170,171,171,Jim Furyk,84,31.37,64,140
171,172,172,David Toms,64,31.17,48,106
172,173,173,Stuart Appleby,92,30.4,76,174
173,174,174,Brian Gay,81,29.41,55,132
174,175,175,Tim Clark,75,28.48,45,113
175,176,176,Bryce Molder,77,28.28,56,142
176,177,177,Justin Leonard,75,19.58,37,152
