,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
165,166,166,Mike Weir,69,20.09,46,229
166,167,167,"Ted Potter, Jr.",68,20.0,49,245
167,168,168,Ben Crane,81,19.94,63,316
168,169,169,K.J. Choi,80,19.41,53,273
169,170,170,Brendon Todd,108,19.21,68,354
170,171,171,Tim Clark,75,18.83,45,239
171,172,172,D.H. Lee,54,18.68,34,182
172,173,173,Billy Hurley III,86,18.57,52,280
173,174,174,Richard Lee,80,18.5,42,227
174,175,175,Brian Gay,81,18.41,44,239
175,176,176,Jeff Maggert,54,18.07,30,166
176,177,177,Justin Leonard,75,16.3,37,227
