,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
141,142,142,Jason Bohn,81,"100' 10""",1411.9170000000001,14,-3
142,T143,T143,Stuart Appleby,92,"100' 11""",1110.0,11,-6
143,T143,T143,Brandt Snedeker,89,"100' 11""",1513.9170000000001,15,-6
144,145,145,Sean O'Hair,77,"101' 7""",812.4169999999999,8,-6
145,T146,T146,Jeff Overton,80,"101' 9""",1322.75,13,-6
146,T146,T146,Webb Simpson,87,"101' 9""",1627.9170000000001,16,-5
147,148,148,John Merrick,87,"101' 10""",1222.167,12,-2
148,149,149,K.J. Choi,80,"101' 11""",815.5830000000001,8,-2
149,150,150,Lee Westwood,57,"102' 4""",1842.4170000000001,18,-10
150,151,151,William McGirt,96,"102' 9""",1849.0,18,-6
151,152,152,Brian Stuard,91,"102' 10""",1131.583,11,-4
152,153,153,Trevor Immelman,84,"103' 0""",1029.583,10,-2
153,154,154,Harris English,95,"103' 2""",1857.5829999999999,18,-7
154,155,155,Brendon Todd,108,"103' 8""",1761.8329999999999,17,-5
155,156,156,Brian Gay,81,"103' 10""",415.167,4,-1
156,157,157,Hudson Swafford,75,"104' 7""",627.25,6,-2
157,158,158,Ben Crane,81,"105' 1""",1471.1670000000001,14,-4
158,159,159,Bill Haas,107,"105' 7""",1477.75,14,-3
159,160,160,Derek Ernst,80,"106' 2""",1061.417,10,-2
160,161,161,Richard Lee,80,"106' 4""",1382.0829999999999,13,-5
161,162,162,Chad Campbell,57,"106' 5""",851.5,8,-4
162,163,163,Michael Thompson,74,"106' 11""",1068.75,10,-4
163,164,164,Brian Davis,93,"107' 6""",1826.8329999999999,17,-12
164,165,165,David Hearn,97,"108' 1""",1728.6670000000001,16,-5
165,166,166,Y.E. Yang,79,"108' 8""",869.3330000000001,8,-2
166,167,167,Roberto Castro,76,"108' 9""",1521.9170000000001,14,-6
167,168,168,D.H. Lee,54,"109' 4""",1093.167,10,-1
168,169,169,Brendon de Jonge,109,"109' 8""",2083.5,19,-8
169,170,170,Geoff Ogilvy,84,"110' 5""",2098.5,19,-6
170,171,171,Luke Donald,57,"111' 10""",783.0,7,-4
171,172,172,Graeme McDowell,66,"112' 6""",899.6669999999999,8,+1
172,173,173,Vijay Singh,83,"118' 9""",2137.667,18,-9
173,174,174,Ben Curtis,77,"120' 10""",483.333,4,-3
174,175,175,David Toms,64,"121' 0""",605.0830000000001,5,-1
175,176,176,J.J. Henry,91,"124' 2""",993.0830000000001,8,E
176,177,177,Troy Merritt,62,"137' 1""",548.1669999999999,4,-2
