,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
137,138,138,Jamie Donaldson,50,4.51,20,443,0.5
138,139,139,Chesson Hadley,101,4.53,56,1235,0.39
139,T140,T140,Charley Hoffman,97,4.54,48,1057,0.58
140,T140,T140,Jhonattan Vegas,90,4.54,45,992,0.64
141,142,142,Roger Sloan,56,4.55,25,549,1.2
142,143,143,Carl Pettersson,106,4.6,61,1327,0.72
143,144,144,Scott Piercy,90,4.62,53,1148,0.45
144,145,145,Stewart Cink,77,4.64,42,905,0.4
145,146,146,Jimmy Walker,89,4.67,41,878,0.34
146,147,147,Charles Howell III,105,4.7,64,1363,0.44
147,148,148,Jim Renner,68,4.8,37,771,0.68
148,149,149,Robert Allenby,63,4.81,34,707,0.91
149,150,150,Matt Jones,89,4.84,45,929,0.18
150,T151,T151,Sergio Garcia,59,4.85,24,495,0.46
151,T151,T151,Tim Wilkinson,73,4.85,39,804,0.69
152,153,153,Sean O'Hair,86,4.92,55,1117,0.38
153,154,154,Martin Laird,77,4.98,50,1005,0.56
154,155,155,Patrick Reed,103,5.04,53,1051,0.25
155,156,156,Padraig Harrington,60,5.08,34,669,0.56
156,157,157,Ryo Ishikawa,90,5.14,53,1031,0.72
157,158,158,Michael Thompson,83,5.17,54,1044,0.72
158,159,159,Tony Finau,106,5.21,66,1268,0.59
159,160,160,Louis Oosthuizen,68,5.22,34,651,0.21
160,161,161,Geoff Ogilvy,50,5.31,26,490,0.38
161,162,162,Steven Bowditch,103,5.33,65,1219,0.57
162,163,163,Brooks Koepka,84,5.37,48,894,0.42
163,164,164,Retief Goosen,81,5.38,44,818,0.7
164,165,165,Daniel Berger,97,5.4,62,1148,0.53
165,166,166,Rickie Fowler,76,5.45,43,789,0.6
166,167,167,Justin Thomas,106,5.46,72,1319,0.65
167,168,168,Morgan Hoffmann,85,5.55,53,955,0.34
168,169,169,Ricky Barnes,82,5.68,49,863,0.98
169,170,170,Ernie Els,57,5.77,31,537,1.0
170,171,171,Robert Garrigus,70,5.84,44,754,0.91
171,172,172,Seung-Yul Noh,65,5.9,44,746,0.89
172,T173,T173,J.B. Holmes,89,5.91,53,897,0.58
173,T173,T173,Jason Kokrak,88,5.91,65,1100,0.54
174,175,175,Phil Mickelson,70,5.94,45,758,0.49
175,176,176,Scott Stallings,60,6.07,41,676,0.61
176,177,177,Tyrone Van Aswegen,58,6.23,36,578,0.89
177,178,178,Andrew Putnam,68,6.38,47,737,0.83
178,179,179,Derek Fathauer,81,6.42,58,904,0.5
179,180,180,Gary Woodland,81,6.83,51,747,0.45
180,181,181,Matt Every,73,6.93,53,765,0.7
181,182,182,Dustin Johnson,75,7.5,56,747,0.43
182,183,183,Andres Romero,69,7.65,57,745,0.79
183,184,184,Aaron Baddeley,76,8.08,73,904,0.45
