,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
36,37,37,Brian Davis,31,"23' 8""",7396.0,313
37,38,38,Brian Harman,29,"23' 9""",8649.333,364
38,39,39,Boo Weekley,24,"23' 10""",7732.75,325
39,T40,T40,Zac Blair,34,"23' 11""",9216.333,385
40,T40,T40,Cameron Tringale,28,"23' 11""",8238.167,345
41,42,42,Bill Haas,25,"24' 1""",8618.25,358
42,43,43,Jon Curran,28,"24' 3""",7010.0,289
43,44,44,David Hearn,30,"24' 5""",9988.917,409
44,45,45,John Senden,24,"24' 6""",5713.4169999999995,233
45,T46,T46,Roberto Castro,16,"24' 7""",3938.417,160
46,T46,T46,Ryan Moore,24,"24' 7""",6007.6669999999995,244
47,T46,T46,Charl Schwartzel,19,"24' 7""",5234.833,213
48,T46,T46,Vijay Singh,23,"24' 7""",9187.0,374
49,T50,T50,Lucas Glover,26,"24' 8""",8468.167,343
50,T50,T50,Billy Hurley III,28,"24' 8""",7544.8330000000005,306
51,T50,T50,Chez Reavie,19,"24' 8""",4519.417,183
52,T53,T53,Kevin Na,27,"24' 10""",9316.833,375
53,T53,T53,Pat Perez,26,"24' 10""",9526.75,384
54,T53,T53,Ian Poulter,19,"24' 10""",5994.0,241
55,T56,T56,Ben Crane,22,"24' 11""",5839.8330000000005,234
56,T56,T56,Scott Pinckney,27,"24' 11""",9457.25,380
57,58,58,Willy Wilcox,17,"25' 0""",4401.667,176
58,T59,T59,Alex Cejka,30,"25' 2""",9930.917,394
59,T59,T59,George McNeill,27,"25' 2""",10602.417,421
60,T61,T61,Bill Lunde,18,"25' 3""",4547.75,180
61,T61,T61,Webb Simpson,22,"25' 3""",7162.0,284
62,T61,T61,Daniel Summerhays,29,"25' 3""",11830.917,469
63,64,64,Matt Kuchar,25,"25' 4""",9818.583,387
64,T65,T65,Scott Brown,30,"25' 6""",10444.417,409
65,T65,T65,Chad Collins,24,"25' 6""",7683.5830000000005,301
66,T65,T65,Oscar Fraustro,21,"25' 6""",5249.5830000000005,206
67,T65,T65,Brice Garnett,29,"25' 6""",8575.417,336
68,T65,T65,Adam Hadwin,30,"25' 6""",9230.75,362
69,T70,T70,Derek Ernst,26,"25' 7""",7608.0,297
70,T70,T70,David Lingmerth,28,"25' 7""",8780.583,343
71,T70,T70,Jeff Overton,30,"25' 7""",10826.75,423
72,T70,T70,Jonathan Randolph,25,"25' 7""",8746.667,342
73,T70,T70,Robert Streb,30,"25' 7""",13641.417,534
74,T75,T75,Louis Oosthuizen,20,"25' 8""",6359.0,248
75,T75,T75,Kyle Reifers,31,"25' 8""",10558.167,412
76,T77,T77,Paul Casey,24,"25' 9""",8326.333,323
77,T77,T77,Ben Martin,27,"25' 9""",9351.583,363
78,T77,T77,Carl Pettersson,32,"25' 9""",13083.083,508
79,T77,T77,Mark Wilson,28,"25' 9""",9993.833,388
80,81,81,K.J. Choi,19,"25' 10""",7497.5,290
81,82,82,Greg Owen,19,"25' 11""",5566.8330000000005,215
82,83,83,Hudson Swafford,30,"26' 0""",10222.917,393
83,84,84,Chris Stroud,28,"26' 3""",8433.5,321
84,85,85,J.J. Henry,30,"26' 5""",10832.583,410
85,T86,T86,Adam Scott,15,"26' 7""",4996.083,188
86,T86,T86,Jordan Spieth,25,"26' 7""",8565.75,322
87,T86,T86,Andrew Svoboda,30,"26' 7""",10410.333,391
88,T89,T89,Davis Love III,18,"26' 8""",5356.75,201
89,T89,T89,Tim Wilkinson,28,"26' 8""",7571.0830000000005,284
90,T91,T91,Jonathan Byrd,22,"26' 9""",6400.0830000000005,239
91,T91,T91,Chesson Hadley,30,"26' 9""",13625.75,510
92,T93,T93,Billy Horschel,28,"26' 11""",9728.833,362
93,T93,T93,Troy Merritt,29,"26' 11""",11060.333,411
94,T93,T93,Nick Watney,28,"26' 11""",11202.833,416
95,96,96,Lee Westwood,15,"27' 1""",4906.75,181
96,T97,T97,Blayne Barber,26,"27' 3""",8434.833,310
97,T97,T97,Russell Henley,24,"27' 3""",8711.75,320
98,T97,T97,Danny Lee,36,"27' 3""",12935.417,475
99,T97,T97,Michael Putnam,28,"27' 3""",9595.5,352
100,T97,T97,Steve Wheatcroft,28,"27' 3""",9624.917,353
101,T102,T102,Robert Allenby,25,"27' 4""",6616.25,242
102,T102,T102,Chris Kirk,21,"27' 4""",7713.6669999999995,282
103,T104,T104,Sam Saunders,28,"27' 7""",8057.1669999999995,292
104,T104,T104,Byron Smith,21,"27' 7""",6590.25,239
105,T104,T104,Bubba Watson,19,"27' 7""",8719.0,316
106,107,107,Greg Chalmers,17,"27' 10""",5534.1669999999995,199
107,T108,T108,Matt Jones,25,"27' 11""",10196.5,365
108,T108,T108,Bo Van Pelt,28,"27' 11""",9552.583,342
109,T108,T108,Gary Woodland,24,"27' 11""",8616.083,309
110,T111,T111,Kevin Chappell,26,"28' 0""",10251.833,366
111,T111,T111,Rory Sabbatini,25,"28' 0""",10011.833,358
112,T113,T113,Eric Axley,21,"28' 2""",6787.8330000000005,241
113,T113,T113,Shawn Stefani,26,"28' 2""",12150.167,431
114,T113,T113,Johnson Wagner,23,"28' 2""",8129.25,289
115,116,116,Cameron Percy,23,"28' 3""",8439.833,299
116,117,117,Tom Hoge,26,"28' 4""",10164.667,359
117,T118,T118,Patrick Reed,27,"28' 5""",13209.917,465
118,T118,T118,Nick Taylor,28,"28' 5""",13631.167,479
119,120,120,Whee Kim,23,"28' 6""",8863.333,311
120,T121,T121,Martin Flores,30,"28' 8""",13493.167,471
121,T121,T121,Justin Rose,20,"28' 8""",6817.8330000000005,238
122,T123,T123,Robert Garrigus,25,"28' 9""",9033.917,314
123,T123,T123,Charley Hoffman,28,"28' 9""",12230.167,426
124,T123,T123,Carlos Ortiz,30,"28' 9""",12709.667,442
125,T126,T126,Graham DeLaet,22,"29' 0""",7327.9169999999995,253
126,T126,T126,James Hahn,28,"29' 0""",12441.333,429
127,128,128,Harris English,29,"29' 2""",14296.833,490
128,129,129,Marc Leishman,23,"29' 3""",9867.083,337
129,T130,T130,Hunter Mahan,24,"29' 5""",10975.583,373
130,T130,T130,Patrick Rodgers,17,"29' 5""",7504.75,255
131,T132,T132,Luke Guthrie,27,"29' 6""",11105.667,376
132,T132,T132,Sean O'Hair,26,"29' 6""",12061.417,409
133,T134,T134,Keegan Bradley,24,"29' 7""",8485.0,287
134,T134,T134,Luke Donald,20,"29' 7""",8820.0,298
135,T134,T134,Brendan Steele,24,"29' 7""",11326.667,383
136,T137,T137,Jonas Blixt,26,"29' 8""",8546.75,288
137,T137,T137,Ryan Palmer,22,"29' 8""",9887.667,333
138,T137,T137,Alex Prugh,27,"29' 8""",10845.917,366
139,140,140,Michael Thompson,27,"29' 9""",12030.417,404
140,T141,T141,Max Homa,27,"30' 0""",10672.5,356
141,T141,T141,Martin Laird,24,"30' 0""",11742.5,391
142,143,143,Camilo Villegas,27,"30' 1""",13637.25,453
143,144,144,Geoff Ogilvy,15,"30' 2""",5995.3330000000005,199
144,T145,T145,Steven Bowditch,32,"30' 3""",16347.083,540
145,T145,T145,Ángel Cabrera,19,"30' 3""",7311.4169999999995,242
146,T147,T147,Charlie Beljan,27,"30' 4""",9019.0,297
147,T147,T147,Ryo Ishikawa,28,"30' 4""",12801.083,422
148,T147,T147,Jason Kokrak,28,"30' 4""",14277.333,471
149,150,150,Matt Every,26,"30' 5""",10788.333,355
150,151,151,Morgan Hoffmann,26,"30' 6""",12540.667,411
151,152,152,Jason Day,20,"30' 8""",10259.917,335
152,T153,T153,Erik Compton,28,"30' 9""",11848.333,385
153,T153,T153,Derek Fathauer,27,"30' 9""",13227.25,430
154,155,155,Phil Mickelson,19,"30' 11""",10360.083,335
155,156,156,Daniel Berger,31,"31' 0""",13093.167,422
156,157,157,Gonzalo Fernandez-Castaño,28,"31' 1""",9478.5,305
157,158,158,Charles Howell III,30,"31' 2""",19332.167,621
158,159,159,Stewart Cink,23,"31' 4""",11670.667,372
159,T160,T160,Rickie Fowler,21,"31' 5""",9216.75,293
160,T160,T160,Justin Thomas,30,"31' 5""",15442.0,492
161,162,162,Padraig Harrington,21,"31' 6""",9832.0,312
162,163,163,Andres Gonzales,28,"31' 7""",13294.667,421
163,164,164,Ricky Barnes,27,"31' 8""",11968.333,378
164,165,165,Retief Goosen,25,"32' 0""",11660.083,364
165,T166,T166,Tony Finau,31,"32' 1""",17404.583,543
166,T166,T166,Andrew Putnam,23,"32' 1""",10040.5,313
167,T166,T166,Jim Renner,27,"32' 1""",10118.833,315
168,T169,T169,Scott Stallings,19,"32' 3""",8186.5,254
169,T169,T169,Jhonattan Vegas,27,"32' 3""",13333.417,413
170,171,171,Scott Piercy,28,"32' 9""",14899.167,455
171,172,172,Tyrone Van Aswegen,20,"32' 10""",8177.6669999999995,249
172,173,173,Ernie Els,18,"33' 2""",8088.5830000000005,244
173,174,174,D.A. Points,26,"33' 6""",11982.833,358
174,175,175,Jimmy Walker,24,"33' 7""",13687.333,408
175,T176,T176,Sergio Garcia,15,"33' 11""",7093.5,209
176,T176,T176,Dustin Johnson,21,"33' 11""",11186.333,330
177,178,178,Jamie Donaldson,16,"34' 0""",6398.8330000000005,188
178,179,179,Seung-Yul Noh,21,"34' 5""",10875.25,316
179,180,180,Andres Romero,24,"34' 6""",11612.833,337
180,181,181,Brooks Koepka,23,"35' 8""",13334.083,374
181,182,182,Aaron Baddeley,25,"35' 11""",15223.0,424
182,183,183,Roger Sloan,20,"36' 5""",7795.5830000000005,214
183,184,184,J.B. Holmes,25,"37' 8""",14478.25,384
