,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
43,44,44,Brendon de Jonge,106,65.29,835,1279,-0.14
44,45,45,Keegan Bradley,87,65.24,578,886,-0.21
45,46,46,Chad Collins,79,65.03,569,875,-0.17
46,47,47,George McNeill,93,64.88,800,1233,-0.17
47,48,48,Graham DeLaet,65,64.75,483,746,-0.18
48,49,49,Brian Harman,90,64.68,705,1090,-0.17
49,50,50,Sam Saunders,83,64.6,562,870,-0.14
50,51,51,John Senden,80,64.57,461,714,-0.16
51,52,52,Ben Martin,93,64.56,694,1075,-0.21
52,53,53,Davis Love III,51,64.44,377,585,-0.11
53,54,54,Mark Wilson,89,64.38,723,1123,-0.15
54,55,55,David Hearn,97,64.35,758,1178,-0.18
55,T56,T56,Derek Ernst,75,64.33,561,872,-0.11
56,T56,T56,Chris Stroud,84,64.33,606,942,-0.17
57,58,58,Hudson Swafford,97,64.21,739,1151,-0.19
58,59,59,Billy Hurley III,83,64.18,559,871,-0.11
59,60,60,Hideki Matsuyama,95,63.98,627,980,-0.26
60,61,61,Gonzalo Fernandez-Castaño,81,63.91,556,870,-0.11
61,62,62,Blayne Barber,76,63.8,557,873,-0.17
62,63,63,Bill Lunde,50,63.73,318,499,-0.12
63,64,64,Russell Henley,87,63.67,594,933,-0.21
64,65,65,Robert Allenby,63,63.65,450,707,-0.13
65,66,66,Danny Lee,120,63.54,880,1385,-0.2
66,67,67,Lucas Glover,79,63.5,635,1000,-0.16
67,68,68,Jordan Spieth,91,63.18,573,907,-0.25
68,69,69,Kevin Chappell,86,63.11,657,1041,-0.21
69,70,70,Jason Dufner,76,63.06,420,666,-0.16
70,71,71,Boo Weekley,79,62.94,586,931,-0.17
71,72,72,Alex Cejka,94,62.85,687,1093,-0.14
72,73,73,Steve Wheatcroft,87,62.77,629,1002,-0.2
73,74,74,Troy Merritt,91,62.72,710,1132,-0.16
74,75,75,Tim Wilkinson,73,62.69,504,804,-0.12
75,76,76,Shawn Stefani,94,62.57,759,1213,-0.19
76,77,77,K.J. Choi,66,62.53,494,790,-0.2
77,78,78,Alex Prugh,84,62.47,621,994,-0.17
78,79,79,Scott Brown,97,62.42,701,1123,-0.16
79,T80,T80,Scott Langley,94,62.3,684,1098,-0.16
80,T80,T80,Johnson Wagner,68,62.3,494,793,-0.16
81,82,82,Justin Rose,69,62.09,421,678,-0.28
82,83,83,Bill Haas,89,62.07,612,986,-0.17
83,84,84,Ian Poulter,68,61.93,410,662,-0.21
84,85,85,Billy Horschel,99,61.91,629,1016,-0.2
85,86,86,Matt Kuchar,97,61.83,661,1069,-0.24
86,87,87,Paul Casey,87,61.6,539,875,-0.24
87,T88,T88,Oscar Fraustro,58,61.48,340,553,-0.09
88,T88,T88,Nick Watney,91,61.48,691,1124,-0.2
89,90,90,Sean O'Hair,86,61.41,686,1117,-0.17
90,T91,T91,Kyle Reifers,96,61.39,682,1111,-0.14
91,T91,T91,Brendan Steele,88,61.39,644,1049,-0.23
92,93,93,Cameron Percy,72,61.25,490,800,-0.21
93,94,94,Chris Kirk,76,61.13,478,782,-0.2
94,95,95,Daniel Summerhays,101,61.08,755,1236,-0.17
95,96,96,Scott Pinckney,88,60.95,626,1027,-0.18
96,97,97,Charlie Beljan,76,60.91,480,788,-0.14
97,98,98,Daniel Berger,97,60.71,697,1148,-0.2
98,T99,T99,Rickie Fowler,76,60.58,478,789,-0.22
99,T99,T99,Michael Putnam,87,60.58,567,936,-0.16
100,101,101,Brice Garnett,81,60.47,537,888,-0.16
101,102,102,Fabián Gómez,83,60.46,581,961,-0.17
102,103,103,Kevin Na,98,60.35,592,981,-0.19
103,104,104,Bo Van Pelt,81,60.2,540,897,-0.2
104,105,105,Charl Schwartzel,67,60.18,343,570,-0.15
105,106,106,J.J. Henry,94,60.17,633,1052,-0.16
106,107,107,Whee Kim,71,59.9,463,773,-0.17
107,108,108,Rory Sabbatini,81,59.89,545,910,-0.2
108,109,109,Brandt Snedeker,98,59.79,623,1042,-0.22
109,T110,T110,Roger Sloan,56,59.74,328,549,-0.16
110,T110,T110,Justin Thomas,106,59.74,788,1319,-0.27
111,112,112,Vijay Singh,78,59.69,570,955,-0.16
112,113,113,Erik Compton,86,59.61,574,963,-0.21
113,114,114,Jonas Blixt,78,59.55,424,712,-0.18
114,115,115,James Hahn,94,59.52,644,1082,-0.14
115,116,116,Scott Stallings,60,59.47,402,676,-0.16
116,117,117,Louis Oosthuizen,68,59.45,387,651,-0.17
117,118,118,Carlos Ortiz,100,59.41,682,1148,-0.21
118,119,119,Martin Laird,77,59.2,595,1005,-0.2
119,T120,T120,Luke Guthrie,84,59.17,555,938,-0.16
120,T120,T120,Greg Owen,58,59.17,329,556,-0.17
121,122,122,Scott Piercy,90,59.06,678,1148,-0.18
122,123,123,Carl Pettersson,106,59.01,783,1327,-0.18
123,124,124,Andrew Svoboda,80,58.95,573,972,-0.14
124,125,125,Harris English,105,58.84,709,1205,-0.23
125,126,126,Sangmoon Bae,98,58.83,723,1229,-0.15
126,127,127,Jim Renner,68,58.75,453,771,-0.1
127,128,128,Greg Chalmers,58,58.62,289,493,-0.11
128,129,129,Michael Thompson,83,58.52,611,1044,-0.17
129,130,130,Byron Smith,59,58.46,349,597,-0.12
130,131,131,Matt Jones,89,58.45,543,929,-0.24
131,132,132,Luke Donald,71,58.43,433,741,-0.18
132,133,133,Tom Hoge,83,58.41,528,904,-0.21
133,134,134,Robert Streb,110,58.31,782,1341,-0.26
134,135,135,Jeff Overton,94,58.24,601,1032,-0.19
135,136,136,Patrick Rodgers,57,58.2,369,634,-0.24
136,137,137,Lee Westwood,56,58.18,256,440,-0.24
137,138,138,Stewart Cink,77,58.12,526,905,-0.19
138,139,139,Andres Gonzales,90,57.93,603,1041,-0.18
139,140,140,Ryo Ishikawa,90,57.61,594,1031,-0.19
140,141,141,Eric Axley,57,57.31,341,595,-0.12
141,142,142,Jhonattan Vegas,90,57.26,568,992,-0.16
142,143,143,Geoff Ogilvy,50,56.94,279,490,-0.14
143,144,144,Jamie Donaldson,50,56.66,251,443,-0.16
144,145,145,Charley Hoffman,97,56.58,598,1057,-0.2
145,146,146,Sergio Garcia,59,56.57,280,495,-0.24
146,147,147,Chesson Hadley,101,56.52,698,1235,-0.16
147,148,148,Robert Garrigus,70,56.5,426,754,-0.12
148,149,149,Nick Taylor,91,56.45,648,1148,-0.21
149,150,150,Hunter Mahan,88,56.43,509,902,-0.24
150,151,151,Max Homa,78,56.41,484,858,-0.12
151,152,152,Brooks Koepka,84,56.38,504,894,-0.28
152,153,153,Martin Flores,95,56.19,613,1091,-0.15
153,154,154,Camilo Villegas,83,55.48,567,1022,-0.18
154,155,155,Ángel Cabrera,53,55.46,325,586,-0.17
155,156,156,J.B. Holmes,89,55.41,497,897,-0.28
156,157,157,Andrew Putnam,68,55.36,408,737,-0.15
157,158,158,Bubba Watson,71,55.28,429,776,-0.28
158,159,159,Ricky Barnes,82,55.16,476,863,-0.18
159,160,160,Jason Kokrak,88,55.09,606,1100,-0.19
160,161,161,Adam Scott,51,54.98,243,442,-0.22
161,T162,T162,Retief Goosen,81,54.89,449,818,-0.13
162,T162,T162,Gary Woodland,81,54.89,410,747,-0.18
163,164,164,D.A. Points,72,54.71,436,797,-0.15
164,165,165,Seung-Yul Noh,65,54.69,408,746,-0.23
165,T166,T166,Jason Day,75,54.67,433,792,-0.32
166,T166,T166,Tyrone Van Aswegen,58,54.67,316,578,-0.2
167,168,168,Tony Finau,106,54.42,690,1268,-0.2
168,169,169,Jonathan Randolph,72,53.98,420,778,-0.16
169,170,170,Morgan Hoffmann,85,53.82,514,955,-0.22
170,171,171,Patrick Reed,103,53.66,564,1051,-0.23
171,172,172,Ryan Palmer,80,53.29,397,745,-0.17
172,173,173,Marc Leishman,74,53.21,398,748,-0.17
173,174,174,Charles Howell III,105,53.19,725,1363,-0.2
174,175,175,Steven Bowditch,103,52.99,646,1219,-0.25
175,176,176,Phil Mickelson,70,52.9,401,758,-0.17
176,177,177,Dustin Johnson,75,52.88,395,747,-0.29
177,178,178,Ernie Els,57,52.7,283,537,-0.22
178,T179,T179,Padraig Harrington,60,52.62,352,669,-0.13
179,T179,T179,Andres Romero,69,52.62,392,745,-0.13
180,181,181,Jimmy Walker,89,52.05,457,878,-0.29
181,182,182,Aaron Baddeley,76,51.77,468,904,-0.2
182,183,183,Matt Every,73,50.72,388,765,-0.15
183,184,184,Derek Fathauer,81,50.66,458,904,-0.2
