,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
39,40,40,K.J. Choi,66,91,44,47
40,41,41,Ben Crane,62,92,51,41
41,42,42,Mark Wilson,89,97,62,35
42,43,43,Carl Pettersson,106,99,34,65
43,44,44,Cameron Percy,72,100,23,77
44,45,45,Louis Oosthuizen,68,104,82,22
45,T46,T46,Dustin Johnson,75,105,6,99
46,T46,T46,Bubba Watson,71,105,92,13
47,T48,T48,J.J. Henry,94,106,80,26
48,T48,T48,Zach Johnson,90,106,43,63
49,50,50,Danny Lee,120,107,25,82
50,51,51,Cameron Tringale,96,114,62,52
51,52,52,Adam Scott,51,115,83,32
52,53,53,Hideki Matsuyama,95,117,56,61
53,54,54,Hunter Mahan,88,120,32,88
54,55,55,Tim Wilkinson,73,121,90,31
55,56,56,Chris Stroud,84,123,74,49
56,57,57,Vijay Singh,78,125,51,74
57,58,58,Nicholas Thompson,90,126,29,97
58,59,59,Alex Cejka,94,128,80,48
59,T60,T60,Blayne Barber,76,129,61,68
60,T60,T60,Padraig Harrington,60,129,67,62
61,62,62,Alex Prugh,84,130,40,90
62,63,63,Harris English,105,132,38,94
63,64,64,Justin Leonard,61,133,104,29
64,65,65,Robert Garrigus,70,135,19,116
65,66,66,Brendon Todd,96,137,119,18
66,67,67,Roger Sloan,56,138,50,88
67,T68,T68,Jim Furyk,71,140,125,15
68,T68,T68,Andres Gonzales,90,140,66,74
69,T70,T70,Kevin Kisner,104,146,87,59
70,T70,T70,Jordan Spieth,91,146,13,133
71,T70,T70,Camilo Villegas,83,146,110,36
72,73,73,Geoff Ogilvy,50,147,53,94
73,74,74,Brandt Snedeker,98,148,69,79
74,T75,T75,Chad Campbell,97,149,98,51
75,T75,T75,Jason Gore,76,149,92,57
76,T77,T77,Luke Guthrie,84,150,36,114
77,T77,T77,Chris Kirk,76,150,95,55
78,T77,T77,Phil Mickelson,70,150,78,72
79,80,80,Marc Leishman,74,155,84,71
80,81,81,Matt Kuchar,97,158,44,114
81,T82,T82,Matt Every,73,164,107,57
82,T82,T82,Bo Van Pelt,81,164,62,102
83,T84,T84,Lucas Glover,79,169,113,56
84,T84,T84,Jim Renner,68,169,87,82
85,86,86,Brian Harman,90,171,72,99
86,87,87,Jeff Overton,94,172,90,82
87,88,88,Sam Saunders,83,174,44,130
88,T89,T89,Keegan Bradley,87,175,47,128
89,T89,T89,Webb Simpson,81,175,110,65
90,91,91,Rickie Fowler,76,176,57,119
91,92,92,Jamie Donaldson,50,177,110,67
92,93,93,Patrick Rodgers,57,188,41,147
93,T94,T94,Derek Fathauer,81,189,125,64
94,T94,T94,Kyle Reifers,96,189,97,92
95,T94,T94,Jimmy Walker,89,189,55,134
96,T97,T97,Scott Langley,94,193,102,91
97,T97,T97,Daniel Summerhays,101,193,144,49
98,T97,T97,Tyrone Van Aswegen,58,193,116,77
99,100,100,Kevin Streelman,95,195,121,74
100,101,101,Graham DeLaet,65,196,38,158
101,102,102,Johnson Wagner,68,200,92,108
102,103,103,Russell Knox,96,204,159,45
103,104,104,John Huh,102,205,89,116
104,105,105,Shawn Stefani,94,209,106,103
105,T106,T106,Scott Brown,97,211,77,134
106,T106,T106,John Peterson,84,211,125,86
107,T106,T106,Rory Sabbatini,81,211,69,142
108,T109,T109,Seung-Yul Noh,65,214,69,145
109,T109,T109,Sung Joon Park,79,214,135,79
110,T111,T111,Kevin Chappell,86,218,98,120
111,T111,T111,Ryo Ishikawa,90,218,98,120
112,113,113,Jon Curran,83,221,117,104
113,114,114,John Merrick,78,222,118,104
114,115,115,Steve Wheatcroft,87,223,119,104
115,116,116,Francesco Molinari,56,225,146,79
116,117,117,Ian Poulter,68,226,130,96
117,118,118,Boo Weekley,79,227,128,99
118,T119,T119,Fabián Gómez,83,229,147,82
119,T119,T119,Andrew Svoboda,80,229,157,72
120,T121,T121,Daniel Berger,97,230,67,163
121,T121,T121,Steven Bowditch,103,230,104,126
122,123,123,Sangmoon Bae,98,234,142,92
123,124,124,Paul Casey,87,236,139,97
124,T125,T125,Jason Bohn,95,238,152,86
125,T125,T125,D.A. Points,72,238,84,154
126,127,127,Erik Compton,86,240,113,127
127,T128,T128,Luke Donald,71,243,133,110
128,T128,T128,Lee Westwood,56,243,133,110
129,T130,T130,Jonathan Byrd,69,244,78,166
130,T130,T130,Whee Kim,71,244,95,149
131,T132,T132,Jonas Blixt,78,246,74,172
132,T132,T132,Gary Woodland,81,246,130,116
133,T134,T134,Tom Hoge,83,248,136,112
134,T134,T134,Max Homa,78,248,123,125
135,T134,T134,Charles Howell III,105,248,139,109
136,137,137,Jim Herman,88,254,142,112
137,138,138,Adam Hadwin,95,256,107,149
138,139,139,Tony Finau,106,260,102,158
139,140,140,Robert Streb,110,264,157,107
140,141,141,Russell Henley,87,265,109,156
141,142,142,Andrew Putnam,68,268,148,120
142,143,143,Jerry Kelly,79,270,141,129
143,T144,T144,Gonzalo Fernandez-Castaño,81,271,113,158
144,T144,T144,Martin Flores,95,271,128,143
145,146,146,Roberto Castro,54,274,98,176
146,147,147,Charl Schwartzel,67,275,144,131
147,148,148,Greg Owen,58,278,121,157
148,149,149,Troy Merritt,91,287,150,137
149,150,150,Mark Hubbard,79,290,123,167
150,T151,T151,Eric Axley,57,293,170,123
151,T151,T151,Byron Smith,59,293,159,134
152,153,153,Bryce Molder,91,295,154,141
153,154,154,Matt Jones,89,299,150,149
154,155,155,Chad Collins,79,300,161,139
155,T156,T156,Billy Hurley III,83,302,155,147
156,T156,T156,Colt Knost,90,302,162,140
157,158,158,Spencer Levin,99,304,172,132
158,159,159,Ken Duke,93,305,182,123
159,160,160,Brooks Koepka,84,306,136,170
160,161,161,Hudson Swafford,97,308,130,178
161,162,162,Sergio Garcia,59,311,167,144
162,163,163,Stewart Cink,77,316,149,167
163,T164,T164,Henrik Stenson,63,317,180,137
164,T164,T164,Willy Wilcox,58,317,138,179
165,166,166,Charlie Beljan,76,320,155,165
166,167,167,Scott Pinckney,88,323,162,161
167,168,168,Kevin Na,98,324,178,146
168,169,169,William McGirt,103,328,175,153
169,170,170,Ben Martin,93,329,175,154
170,T171,T171,Brendon de Jonge,106,331,167,164
171,T171,T171,Pat Perez,96,331,179,152
172,173,173,Patrick Reed,103,333,171,162
173,174,174,Greg Chalmers,58,335,152,183
174,175,175,Zac Blair,108,341,164,177
175,176,176,Michael Putnam,87,343,169,174
176,177,177,Derek Ernst,75,345,173,172
177,T178,T178,Jhonattan Vegas,90,346,166,180
178,T178,T178,Nick Watney,91,346,165,181
179,180,180,Jason Dufner,76,347,173,174
180,181,181,George McNeill,93,348,177,171
181,182,182,Jonathan Randolph,72,350,183,167
182,183,183,John Senden,80,363,181,182
183,184,184,Ricky Barnes,82,368,184,184
