,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
29,T30,T30,Jim Herman,27,"23' 9""",16920.25,713
30,T30,T30,John Peterson,25,"23' 9""",16905.667,713
31,T30,T30,Sam Saunders,28,"23' 9""",13249.167,557
32,T33,T33,Kevin Kisner,30,"23' 10""",20457.417,857
33,T33,T33,Louis Oosthuizen,20,"23' 10""",9080.583,381
34,T35,T35,Retief Goosen,25,"23' 11""",10560.25,442
35,T35,T35,Morgan Hoffmann,26,"23' 11""",12004.5,502
36,T35,T35,Cameron Tringale,28,"23' 11""",17215.25,720
37,T38,T38,Brendon de Jonge,31,"24' 0""",19728.5,823
38,T38,T38,Brice Garnett,29,"24' 0""",12717.75,530
39,T38,T38,Bill Haas,25,"24' 0""",14496.833,603
40,T38,T38,Cameron Percy,23,"24' 0""",11608.0,483
41,T38,T38,Patrick Rodgers,17,"24' 0""",8649.5,360
42,T38,T38,Webb Simpson,22,"24' 0""",13877.583,579
43,T38,T38,Nicholas Thompson,31,"24' 0""",15679.75,654
44,T45,T45,Keegan Bradley,24,"24' 1""",13524.583,561
45,T45,T45,Scott Brown,30,"24' 1""",16498.917,686
46,T45,T45,Chad Collins,24,"24' 1""",13540.167,563
47,T45,T45,Charles Howell III,30,"24' 1""",17189.25,714
48,T45,T45,Brooks Koepka,23,"24' 1""",11865.167,492
49,T45,T45,Charl Schwartzel,19,"24' 1""",8231.083,342
50,T45,T45,Henrik Stenson,16,"24' 1""",9549.167,397
51,T52,T52,Jerry Kelly,24,"24' 2""",15565.667,644
52,T52,T52,William McGirt,30,"24' 2""",21830.583,904
53,T52,T52,George McNeill,27,"24' 2""",19059.583,790
54,T52,T52,Daniel Summerhays,29,"24' 2""",17978.583,744
55,T56,T56,Luke Guthrie,27,"24' 3""",13266.583,548
56,T56,T56,Scott Piercy,28,"24' 3""",16299.25,672
57,T56,T56,Hudson Swafford,30,"24' 3""",17678.0,729
58,T56,T56,Mark Wilson,28,"24' 3""",17313.917,715
59,T60,T60,Jon Curran,28,"24' 5""",14722.333,603
60,T60,T60,Derek Ernst,26,"24' 5""",13508.0,553
61,T60,T60,Martin Flores,30,"24' 5""",14751.0,604
62,T60,T60,Jim Furyk,19,"24' 5""",11784.25,483
63,T60,T60,Brian Harman,29,"24' 5""",16943.75,695
64,T60,T60,Billy Horschel,28,"24' 5""",14982.0,614
65,T60,T60,Troy Merritt,29,"24' 5""",17067.5,698
66,T60,T60,Rory Sabbatini,25,"24' 5""",12989.583,532
67,T60,T60,Robert Streb,30,"24' 5""",18731.917,768
68,T60,T60,Andrew Svoboda,30,"24' 5""",13815.25,565
69,T60,T60,Michael Thompson,27,"24' 5""",14819.833,606
70,T71,T71,Stewart Cink,23,"24' 6""",12633.917,516
71,T71,T71,Harris English,29,"24' 6""",16932.167,691
72,T71,T71,Max Homa,27,"24' 6""",11635.0,475
73,T71,T71,Scott Langley,28,"24' 6""",16683.667,680
74,T75,T75,Sangmoon Bae,30,"24' 7""",17460.75,710
75,T75,T75,Paul Casey,24,"24' 7""",13040.75,531
76,T75,T75,Brian Davis,31,"24' 7""",16100.917,656
77,T75,T75,Jason Dufner,21,"24' 7""",10192.5,415
78,T75,T75,Colt Knost,29,"24' 7""",17706.083,720
79,T75,T75,Ben Martin,27,"24' 7""",16792.583,684
80,T75,T75,David Toms,21,"24' 7""",13831.0,562
81,T75,T75,Nick Watney,28,"24' 7""",16610.417,675
82,T83,T83,Ben Crane,22,"24' 8""",12021.917,487
83,T83,T83,Billy Hurley III,28,"24' 8""",13702.5,555
84,T85,T85,Tom Hoge,26,"24' 9""",12891.417,520
85,T85,T85,Heath Slocum,22,"24' 9""",8900.25,360
86,T85,T85,Jhonattan Vegas,27,"24' 9""",13714.833,555
87,T85,T85,Boo Weekley,24,"24' 9""",14232.0,576
88,T89,T89,Robert Garrigus,25,"24' 10""",10384.917,418
89,T89,T89,Fabián Gómez,26,"24' 10""",14284.667,575
90,T89,T89,Spencer Levin,31,"24' 10""",19757.833,796
91,T89,T89,Hideki Matsuyama,25,"24' 10""",15321.583,616
92,T89,T89,Brendan Steele,24,"24' 10""",15535.25,625
93,T89,T89,Tim Wilkinson,28,"24' 10""",12403.583,500
94,T89,T89,Gary Woodland,24,"24' 10""",9947.5,401
95,T96,T96,Steven Alker,22,"24' 11""",12059.75,484
96,T96,T96,Gonzalo Fernandez-Castaño,28,"24' 11""",13615.75,547
97,T96,T96,David Hearn,30,"24' 11""",18674.0,750
98,T96,T96,Marc Leishman,23,"24' 11""",9767.0,392
99,T96,T96,Bryce Molder,26,"24' 11""",17704.167,711
100,T96,T96,Kevin Na,27,"24' 11""",14617.917,586
101,T96,T96,Kevin Streelman,27,"24' 11""",17242.917,693
102,T103,T103,Robert Allenby,25,"25' 0""",11140.5,445
103,T103,T103,Ricky Barnes,27,"25' 0""",11789.333,471
104,T103,T103,K.J. Choi,19,"25' 0""",12348.917,494
105,T103,T103,Graham DeLaet,22,"25' 0""",11931.75,478
106,T103,T103,Rickie Fowler,21,"25' 0""",11649.75,466
107,T103,T103,Roger Sloan,20,"25' 0""",8165.6669999999995,327
108,T103,T103,Brian Stuard,31,"25' 0""",18785.167,751
109,T103,T103,Justin Thomas,30,"25' 0""",19293.167,772
110,T103,T103,Steve Wheatcroft,28,"25' 0""",15547.583,621
111,T112,T112,Sergio Garcia,15,"25' 1""",6745.8330000000005,269
112,T112,T112,Jason Kokrak,28,"25' 1""",14863.333,592
113,T112,T112,Carlos Ortiz,30,"25' 1""",16697.833,665
114,T112,T112,D.A. Points,26,"25' 1""",10826.917,432
115,T112,T112,Kyle Reifers,31,"25' 1""",16919.417,675
116,T117,T117,Blayne Barber,26,"25' 2""",13866.667,551
117,T117,T117,Daniel Berger,31,"25' 2""",17190.833,684
118,T117,T117,Jonathan Byrd,22,"25' 2""",11534.0,458
119,T117,T117,Erik Compton,28,"25' 2""",14280.25,567
120,T117,T117,Matt Kuchar,25,"25' 2""",16316.833,648
121,T117,T117,Phil Mickelson,19,"25' 2""",9884.0,393
122,T123,T123,John Huh,31,"25' 3""",21257.667,843
123,T123,T123,Ryan Palmer,22,"25' 3""",9762.083,387
124,T123,T123,John Senden,24,"25' 3""",11516.417,456
125,T126,T126,Chad Campbell,30,"25' 4""",20801.5,822
126,T126,T126,Roberto Castro,16,"25' 4""",8455.5,334
127,T126,T126,Ryo Ishikawa,28,"25' 4""",14837.75,586
128,T126,T126,Ryan Moore,24,"25' 4""",14770.0,583
129,T126,T126,Jim Renner,27,"25' 4""",11263.167,444
130,T126,T126,Andres Romero,24,"25' 4""",9712.833,384
131,T132,T132,Eric Axley,21,"25' 5""",8579.0,338
132,T132,T132,Chesson Hadley,30,"25' 5""",17447.917,687
133,T132,T132,Whee Kim,23,"25' 5""",11698.167,461
134,T132,T132,Sung Joon Park,27,"25' 5""",14452.167,569
135,T132,T132,Jimmy Walker,24,"25' 5""",11428.833,450
136,T137,T137,James Hahn,28,"25' 6""",16044.333,630
137,T137,T137,Padraig Harrington,21,"25' 6""",8665.0,340
138,T137,T137,Hunter Mahan,24,"25' 6""",12580.167,493
139,T137,T137,Sean O'Hair,26,"25' 6""",17310.833,678
140,T137,T137,Alex Prugh,27,"25' 6""",15679.583,615
141,T142,T142,Steven Bowditch,32,"25' 7""",16269.0,636
142,T142,T142,Russell Henley,24,"25' 7""",14890.917,582
143,T144,T144,Charlie Beljan,27,"25' 8""",12148.5,474
144,T144,T144,Jonathan Randolph,25,"25' 8""",10558.917,411
145,T144,T144,Nick Taylor,28,"25' 8""",16181.583,631
146,T144,T144,Willy Wilcox,17,"25' 8""",9867.333,385
147,T148,T148,Zac Blair,34,"25' 10""",21321.5,826
148,T148,T148,Zach Johnson,25,"25' 10""",17381.667,672
149,T150,T150,Andres Gonzales,28,"25' 11""",15537.25,600
150,T150,T150,Charley Hoffman,28,"25' 11""",15099.083,583
151,T152,T152,Matt Every,26,"26' 0""",9905.75,381
152,T152,T152,Derek Fathauer,27,"26' 0""",11800.167,454
153,T154,T154,Ernie Els,18,"26' 1""",7287.6669999999995,279
154,T154,T154,Tony Finau,31,"26' 1""",17286.833,662
155,T156,T156,Jeff Overton,30,"26' 2""",15549.583,594
156,T156,T156,Brendon Todd,27,"26' 2""",19149.667,731
157,158,158,Adam Scott,15,"26' 3""",6320.0,241
158,T159,T159,Davis Love III,18,"26' 5""",9884.917,374
159,T159,T159,Bill Lunde,18,"26' 5""",8252.583,312
160,161,161,Patrick Reed,27,"26' 6""",14730.0,555
161,T162,T162,J.B. Holmes,25,"26' 7""",12820.917,483
162,T162,T162,Matt Jones,25,"26' 7""",14095.5,530
163,164,164,Alex Cejka,30,"26' 8""",18088.25,679
164,T165,T165,Jason Gore,26,"26' 9""",14295.083,535
165,T165,T165,Mark Hubbard,25,"26' 9""",14854.083,556
166,T167,T167,J.J. Henry,30,"26' 10""",16768.333,625
167,T167,T167,Tyrone Van Aswegen,20,"26' 10""",8355.667,311
168,T169,T169,Aaron Baddeley,25,"26' 11""",12477.75,463
169,T169,T169,Luke Donald,20,"26' 11""",11517.0,428
170,T169,T169,Seung-Yul Noh,21,"26' 11""",10674.583,397
171,T172,T172,Justin Leonard,22,"27' 0""",14355.333,531
172,T172,T172,Chris Stroud,28,"27' 0""",16275.25,603
173,T172,T172,Johnson Wagner,23,"27' 0""",13147.167,487
174,T175,T175,Dustin Johnson,21,"27' 1""",10386.5,384
175,T175,T175,Byron Smith,21,"27' 1""",9353.583,345
176,177,177,Bubba Watson,19,"27' 2""",11127.5,409
177,178,178,Camilo Villegas,27,"27' 4""",15335.083,561
178,T179,T179,Ángel Cabrera,19,"27' 5""",8789.083,321
179,T179,T179,Chris Kirk,21,"27' 5""",12839.333,468
180,181,181,Geoff Ogilvy,15,"27' 6""",7498.0,273
181,182,182,Andrew Putnam,23,"27' 11""",11286.0,404
182,183,183,Scott Stallings,19,"28' 4""",11329.25,400
183,184,184,Jason Day,20,"29' 1""",12259.083,421
