,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
108,T109,T109,Chesson Hadley,101,112.04,10307.93,92,115.49,108.88
109,T109,T109,Cameron Percy,72,112.04,7842.46,70,115.8,109.1
110,111,111,Blayne Barber,76,112.0,7728.07,69,115.59,108.71
111,T112,T112,Derek Fathauer,81,111.96,8060.82,72,115.92,108.08
112,T112,T112,Steve Wheatcroft,87,111.96,10188.4,91,116.43,107.75
113,114,114,Kyle Reifers,96,111.94,8843.22,79,116.46,108.54
114,115,115,Scott Brown,97,111.87,9508.98,85,117.65,108.14
115,116,116,Fabián Gómez,83,111.86,8501.32,76,117.32,107.38
116,117,117,Jonathan Byrd,69,111.84,6263.08,56,114.18,108.91
117,118,118,Ian Poulter,68,111.8,6037.36,54,115.21,107.0
118,119,119,Carl Pettersson,106,111.76,11734.75,105,115.92,108.08
119,120,120,Whee Kim,71,111.74,6257.19,56,117.3,107.37
120,T121,T121,Jim Renner,68,111.62,6474.08,58,113.89,108.15
121,T121,T121,Rory Sabbatini,81,111.62,8259.74,74,116.05,108.36
122,123,123,Webb Simpson,81,111.6,8035.04,72,114.18,107.64
123,124,124,William McGirt,103,111.54,12715.96,114,115.31,107.61
124,125,125,Nick Taylor,91,111.51,10258.77,92,114.44,107.75
125,126,126,Sung Joon Park,79,111.47,7468.29,67,114.26,107.91
126,127,127,Jonas Blixt,78,111.36,6459.04,58,113.95,108.34
127,128,128,Andrew Putnam,68,111.35,6903.81,62,116.68,108.08
128,129,129,Mark Hubbard,79,111.16,7447.57,67,114.7,107.79
129,130,130,Kevin Kisner,104,111.11,12444.5,112,114.57,107.73
130,T131,T131,Luke Guthrie,84,111.0,9101.74,82,115.3,107.82
131,T131,T131,D.A. Points,72,111.0,6549.14,59,115.06,105.66
132,133,133,Oscar Fraustro,58,110.83,4765.58,43,115.88,107.79
133,134,134,Spencer Levin,99,110.77,10855.38,98,116.59,106.78
134,135,135,Brice Garnett,81,110.7,8080.83,73,117.87,104.92
135,T136,T136,Chris Kirk,76,110.67,7304.25,66,114.97,107.04
136,T136,T136,Brandt Snedeker,98,110.67,10402.98,94,116.61,107.54
137,138,138,Ernie Els,57,110.54,4200.64,38,113.85,106.93
138,139,139,Matt Kuchar,97,110.53,9836.77,89,116.14,106.56
139,140,140,Francesco Molinari,56,110.49,5524.32,50,114.13,107.22
140,141,141,Daniel Summerhays,101,110.42,9274.98,84,116.34,106.36
141,142,142,David Lingmerth,90,110.38,9492.62,86,113.82,107.05
142,143,143,Brian Harman,90,110.24,9260.38,84,112.54,106.43
143,144,144,Russell Knox,96,110.22,11022.45,100,114.09,106.7
144,145,145,Ken Duke,93,110.2,10028.52,91,117.01,106.55
145,146,146,Chad Campbell,97,110.19,11129.24,101,115.44,106.11
146,147,147,Nicholas Thompson,90,110.15,9473.08,86,113.61,106.76
147,148,148,Jeff Overton,94,110.11,9469.5,86,116.49,106.42
148,T149,T149,Greg Chalmers,58,110.02,4951.0,45,113.72,104.32
149,T149,T149,Scott Langley,94,110.02,9131.4,83,114.36,106.12
150,151,151,Robert Allenby,63,109.97,6598.38,60,114.32,105.72
151,152,152,Roberto Castro,54,109.8,4282.17,39,112.84,106.01
152,153,153,Bill Lunde,50,109.68,4496.88,41,116.56,106.93
153,154,154,Luke Donald,71,109.64,5591.42,51,113.9,106.64
154,155,155,Chad Collins,79,109.6,8000.86,73,113.14,106.02
155,156,156,Danny Lee,120,109.56,12271.08,112,116.54,105.84
156,157,157,John Merrick,78,109.44,7113.58,65,112.5,106.56
157,158,158,Chez Reavie,56,109.32,6559.27,60,114.13,106.27
158,159,159,Jim Furyk,71,109.28,5792.09,53,113.91,105.46
159,160,160,Chris Stroud,84,109.22,7864.18,72,115.38,105.57
160,161,161,John Huh,102,109.06,11996.73,110,113.49,105.08
161,162,162,Ryan Moore,81,108.89,7404.37,68,117.77,105.67
162,163,163,Zac Blair,108,108.72,11306.91,104,112.65,103.18
163,164,164,Cameron Tringale,96,108.67,9671.2,89,112.38,104.89
164,165,165,Bryce Molder,91,108.64,9342.74,86,114.12,105.05
165,166,166,Alex Cejka,94,108.52,9115.52,84,119.64,105.04
166,167,167,Jason Bohn,95,108.49,10957.15,101,114.36,105.25
167,168,168,Billy Hurley III,83,108.47,8026.51,74,112.57,105.44
168,169,169,David Hearn,97,107.95,10255.35,95,114.35,103.94
169,170,170,Zach Johnson,90,107.74,9265.73,86,111.24,103.79
170,171,171,Tim Wilkinson,73,107.69,6461.5,60,112.11,104.09
171,172,172,Mark Wilson,89,107.25,8902.12,83,115.62,103.34
172,173,173,Colt Knost,90,107.19,9540.23,89,110.56,103.82
173,174,174,K.J. Choi,66,107.02,6314.24,59,111.72,103.26
174,175,175,Jerry Kelly,79,106.85,7693.39,72,110.41,103.24
175,176,176,Brendon Todd,96,106.8,8757.96,82,109.89,103.13
176,177,177,Brian Stuard,97,106.31,10099.47,95,109.93,103.68
177,178,178,Jon Curran,83,106.17,7750.7,73,109.16,102.77
178,179,179,Steven Alker,62,106.13,6261.6,59,110.66,102.12
179,180,180,Brian Davis,86,105.49,8966.89,85,117.37,101.32
180,181,181,Ben Crane,62,104.59,5647.99,54,107.81,101.69
181,182,182,Justin Leonard,61,104.11,6558.76,63,108.33,100.89
182,183,183,Heath Slocum,57,103.6,4558.19,44,106.63,98.88
183,184,184,David Toms,62,101.87,6315.88,62,105.65,99.13
