,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
62,T63,T63,Alex Prugh,84,62.31,285596.0,458374
63,T63,T63,Nick Watney,91,62.31,321111.9,515325
64,65,65,Kevin Streelman,95,62.3,289974.7,465466
65,66,66,Graham DeLaet,65,62.26,212980.3,342056
66,T67,T67,Carl Pettersson,106,62.23,380319.5,611190
67,T67,T67,Byron Smith,59,62.23,168973.6,271546
68,69,69,Sean O'Hair,86,62.22,319679.4,513787
69,70,70,Lee Westwood,56,62.14,126962.4,204306
70,T71,T71,Kevin Chappell,86,62.13,297819.8,479374
71,T71,T71,David Lingmerth,90,62.13,292357.0,470594
72,73,73,Scott Pinckney,88,62.11,291307.1,469054
73,74,74,Andres Gonzales,90,62.1,299468.8,482247
74,75,75,Marc Leishman,74,62.08,213454.4,343861
75,T76,T76,Aaron Baddeley,76,62.07,260700.1,420029
76,T76,T76,Jim Herman,88,62.07,304470.2,490556
77,78,78,Johnson Wagner,68,62.05,224267.8,361445
78,T79,T79,Matt Kuchar,97,62.04,305523.4,492442
79,T79,T79,Scott Stallings,60,62.04,195988.0,315928
80,81,81,Sam Saunders,83,62.02,248888.0,401294
81,82,82,Geoff Ogilvy,50,62.0,140938.7,227322
82,T83,T83,Ernie Els,57,61.96,154538.4,249434
83,T83,T83,Rory Sabbatini,81,61.96,258958.0,417914
84,85,85,Stewart Cink,77,61.94,259402.5,418781
85,T86,T86,Sangmoon Bae,98,61.93,349303.5,564011
86,T86,T86,J.J. Henry,94,61.93,298988.3,482819
87,T86,T86,Webb Simpson,81,61.93,251752.6,406496
88,89,89,Camilo Villegas,83,61.92,294340.1,475368
89,90,90,Chesson Hadley,101,61.91,352832.3,569906
90,T91,T91,Eric Axley,57,61.9,168303.2,271880
91,T91,T91,Scott Brown,97,61.9,317570.1,513027
92,T91,T91,Jason Gore,76,61.9,227862.4,368142
93,T91,T91,Vijay Singh,78,61.9,270615.8,437210
94,95,95,Matt Every,73,61.85,222572.4,359881
95,96,96,Andres Romero,69,61.83,214119.3,346330
96,97,97,Kyle Reifers,96,61.82,314168.0,508209
97,98,98,Jeff Overton,94,61.81,293044.5,474109
98,99,99,Chez Reavie,56,61.76,195751.8,316953
99,100,100,Steve Wheatcroft,87,61.74,283100.8,458537
100,101,101,Derek Fathauer,81,61.73,259128.0,419766
101,102,102,John Senden,80,61.6,202529.3,328804
102,103,103,Michael Thompson,83,61.58,294718.6,478599
103,104,104,Bill Haas,89,61.57,280102.7,454960
104,105,105,Ben Martin,93,61.51,301855.5,490748
105,106,106,Brandt Snedeker,98,61.5,293112.9,476610
106,107,107,Gonzalo Fernandez-Castaño,81,61.47,246313.3,400721
107,T108,T108,Ryo Ishikawa,90,61.46,292841.3,476493
108,T108,T108,Jonathan Randolph,72,61.46,219033.2,356410
109,110,110,Andrew Svoboda,80,61.45,274890.9,447357
110,111,111,Brice Garnett,81,61.43,249028.7,405419
111,112,112,Retief Goosen,81,61.41,236952.2,385852
112,113,113,Adam Hadwin,95,61.4,316266.0,515122
113,114,114,Bo Van Pelt,81,61.37,253576.0,413207
114,T115,T115,Padraig Harrington,60,61.36,192312.6,313402
115,T115,T115,Kevin Kisner,104,61.36,366601.7,597452
116,117,117,Blayne Barber,76,61.33,246093.2,401233
117,118,118,Michael Putnam,87,61.23,265664.0,433886
118,119,119,Jamie Donaldson,50,61.22,126987.3,207437
119,120,120,Roberto Castro,54,61.21,138875.3,226881
120,121,121,Zach Johnson,90,61.18,272901.1,446082
121,T122,T122,Chris Kirk,76,61.16,218386.6,357098
122,T122,T122,Sung Joon Park,79,61.16,244780.7,400200
123,124,124,Jonas Blixt,78,61.14,202488.8,331200
124,T125,T125,Erik Compton,86,61.12,272924.4,446539
125,T125,T125,John Peterson,84,61.12,298792.9,488879
126,T125,T125,Henrik Stenson,63,61.12,172473.8,282192
127,128,128,Nicholas Thompson,90,61.1,271556.2,444415
128,129,129,Daniel Summerhays,101,61.08,343558.4,562443
129,130,130,Spencer Levin,99,61.04,321152.6,526155
130,131,131,Fabián Gómez,83,61.03,267373.2,438135
131,132,132,Brendon de Jonge,106,61.0,357143.6,585510
132,133,133,John Merrick,78,60.94,225242.6,369608
133,134,134,Jim Renner,68,60.87,216095.8,354986
134,135,135,Tyrone Van Aswegen,58,60.86,162119.7,266362
135,136,136,Russell Knox,96,60.81,336007.7,552590
136,137,137,Luke Guthrie,84,60.77,262978.6,432759
137,138,138,Jason Dufner,76,60.76,184537.0,303698
138,139,139,Whee Kim,71,60.67,216342.7,356573
139,140,140,Troy Merritt,91,60.66,317104.9,522749
140,141,141,Jonathan Byrd,69,60.64,196877.1,324679
141,142,142,Danny Lee,120,60.62,385746.7,636320
142,143,143,Pat Perez,96,60.6,321656.2,530778
143,144,144,Chad Campbell,97,60.59,350745.3,578912
144,145,145,Robert Allenby,63,60.5,195548.2,323197
145,146,146,Greg Chalmers,58,60.48,138573.9,229105
146,147,147,Mark Hubbard,79,60.46,234523.8,387913
147,T148,T148,William McGirt,103,60.43,371917.7,615471
148,T148,T148,Chris Stroud,84,60.43,261343.4,432462
149,150,150,Steven Alker,62,60.42,191377.8,316744
150,T151,T151,Scott Langley,94,60.41,302425.9,500618
151,T151,T151,Ian Poulter,68,60.41,184570.7,305554
152,153,153,Alex Cejka,94,60.37,302702.1,501422
153,154,154,Ken Duke,93,60.36,298255.9,494129
154,155,155,George McNeill,93,60.34,341121.0,565367
155,156,156,Ricky Barnes,82,60.33,241866.0,400924
156,157,157,Tim Wilkinson,73,60.22,222038.4,368725
157,158,158,Jason Bohn,95,60.2,332546.3,552423
158,159,159,Mark Wilson,89,60.17,308938.4,513448
159,160,160,Jerry Kelly,79,60.15,249858.4,415384
160,161,161,Brendon Todd,96,60.1,289275.7,481307
161,162,162,Ryan Moore,81,60.05,236047.3,393104
162,163,163,David Hearn,97,60.02,324403.2,540504
163,164,164,Kevin Na,98,59.96,271084.2,452090
164,165,165,Chad Collins,79,59.93,240154.9,400740
165,166,166,Jim Furyk,71,59.91,199691.7,333342
166,167,167,Heath Slocum,57,59.87,148100.9,247388
167,168,168,Francesco Molinari,56,59.84,164258.5,274478
168,169,169,Cameron Tringale,96,59.83,300926.0,502989
169,170,170,Brian Stuard,97,59.81,301024.9,503341
170,171,171,Colt Knost,90,59.73,280950.3,470386
171,172,172,Brian Davis,86,59.64,268918.4,450901
172,173,173,Luke Donald,71,59.56,203169.1,341136
173,174,174,Andrew Putnam,68,59.55,205608.6,345294
174,175,175,Bryce Molder,91,59.54,289910.8,486903
175,176,176,D.A. Points,72,59.42,219825.3,369978
176,177,177,John Huh,102,59.38,336212.6,566240
177,178,178,Zac Blair,108,59.35,331145.3,557961
178,179,179,Jon Curran,83,59.01,242232.6,410516
179,180,180,Ben Crane,62,58.94,195902.1,332361
180,181,181,K.J. Choi,66,58.92,216706.0,367786
181,182,182,David Toms,62,58.76,205652.7,349974
182,183,183,Billy Hurley III,83,58.74,235087.7,400198
183,184,184,Justin Leonard,61,58.64,201597.9,343777
