,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
86,T86,T86,Jerry Kelly,24,51.0,133,261,+1.20
87,T88,T88,Retief Goosen,25,51.1,185,362,+2.16
88,T88,T88,Jim Renner,27,51.1,159,311,+2.96
89,T88,T88,Chris Stroud,28,51.1,167,327,+2.69
90,T88,T88,Hudson Swafford,30,51.1,205,401,+1.41
91,T92,T92,Ryan Moore,24,51.2,127,248,+1.97
92,T92,T92,Jhonattan Vegas,27,51.2,213,416,+1.92
93,T92,T92,Jimmy Walker,24,51.2,206,402,+1.31
94,T95,T95,Brian Harman,29,51.3,191,372,+0.84
95,T95,T95,Brooks Koepka,23,51.3,192,374,+0.83
96,T97,T97,Dustin Johnson,21,51.4,170,331,+0.71
97,T97,T97,Charl Schwartzel,19,51.4,111,216,+1.89
98,99,99,Jim Furyk,19,51.5,118,229,+1.27
99,100,100,Kevin Streelman,27,51.7,150,290,+1.93
100,101,101,Daniel Summerhays,29,51.8,243,469,+1.15
101,T102,T102,John Merrick,27,52.0,132,254,+2.50
102,T102,T102,Ryan Palmer,22,52.0,173,333,+0.87
103,104,104,Keegan Bradley,24,52.1,151,290,+1.32
104,T105,T105,Derek Ernst,26,52.2,156,299,+1.54
105,T105,T105,Adam Hadwin,30,52.2,192,368,+2.81
106,T105,T105,Morgan Hoffmann,26,52.2,218,418,+0.78
107,T108,T108,Ryo Ishikawa,28,52.3,224,428,+1.03
108,T108,T108,Steve Wheatcroft,28,52.3,190,363,+1.89
109,T110,T110,Derek Fathauer,27,52.5,228,434,+1.58
110,T110,T110,Jeff Overton,30,52.5,221,421,+2.62
111,T110,T110,Justin Rose,20,52.5,128,244,+2.19
112,113,113,Rickie Fowler,21,52.6,160,304,+1.94
113,T114,T114,Jonathan Byrd,22,52.7,128,243,+1.25
114,T114,T114,Nick Watney,28,52.7,224,425,+1.65
115,116,116,Jim Herman,27,53.4,183,343,+1.42
116,117,117,Fabián Gómez,26,53.5,198,370,+2.73
117,118,118,Hideki Matsuyama,25,53.6,178,332,+1.24
118,119,119,Scott Brown,30,53.7,219,408,+0.68
119,T120,T120,Matt Jones,25,53.8,197,366,+1.57
120,T120,T120,Russell Knox,28,53.8,206,383,+1.99
121,T120,T120,Sam Saunders,28,53.8,163,303,+2.21
122,123,123,Brendan Steele,24,53.9,208,386,+0.67
123,T124,T124,Harris English,29,54.1,262,484,+1.53
124,T124,T124,Pat Perez,26,54.1,206,381,+1.02
125,T124,T124,John Peterson,25,54.1,183,338,+1.75
126,T124,T124,Alex Prugh,27,54.1,197,364,+1.88
127,128,128,Ricky Barnes,27,54.4,210,386,+2.24
128,129,129,Sergio Garcia,15,54.6,112,205,+1.52
129,130,130,Charlie Beljan,27,54.9,167,304,+2.22
130,T131,T131,James Hahn,28,55.0,236,429,+0.51
131,T131,T131,Ian Poulter,19,55.0,133,242,+2.93
132,133,133,K.J. Choi,19,55.4,163,294,+1.96
133,T134,T134,Tom Hoge,26,55.5,202,364,+1.49
134,T134,T134,Kyle Reifers,31,55.5,231,416,+1.69
135,T136,T136,Jonas Blixt,26,55.6,159,286,+1.70
136,T136,T136,Mark Hubbard,25,55.6,159,286,+1.82
137,T136,T136,Robert Streb,30,55.6,299,538,+1.04
138,T139,T139,Jason Bohn,27,55.7,187,336,+1.23
139,T139,T139,Camilo Villegas,27,55.7,249,447,+1.89
140,141,141,Max Homa,27,55.8,203,364,+1.97
141,T142,T142,Sangmoon Bae,30,55.9,274,490,+1.79
142,T142,T142,Michael Putnam,28,55.9,198,354,+1.92
143,144,144,John Huh,31,56.0,210,375,+1.71
144,145,145,Tony Finau,31,56.1,310,553,+0.39
145,146,146,Francesco Molinari,16,56.6,81,143,+0.49
146,147,147,Daniel Berger,31,56.7,242,427,+2.07
147,148,148,Marc Leishman,23,56.9,193,339,+1.66
148,T149,T149,Martin Laird,24,57.1,229,401,+2.05
149,T149,T149,Patrick Rodgers,17,57.1,148,259,+1.82
150,151,151,David Hearn,30,57.2,235,411,+2.34
151,T152,T152,Steven Alker,22,57.3,118,206,+2.12
152,T152,T152,Greg Chalmers,17,57.3,114,199,+1.05
153,T152,T152,Heath Slocum,22,57.3,102,178,+2.94
154,155,155,Chad Collins,24,57.4,175,305,+0.86
155,156,156,Chez Reavie,19,57.5,107,186,+2.43
156,T157,T157,Nicholas Thompson,31,57.7,176,305,+2.27
157,T157,T157,Willy Wilcox,17,57.7,101,175,+0.89
158,T159,T159,Oscar Fraustro,21,57.8,122,211,+2.46
159,T159,T159,Lee Westwood,15,57.8,104,180,+2.12
160,161,161,Jamie Donaldson,16,57.9,110,190,+1.27
161,162,162,Colt Knost,29,58.1,173,298,+1.62
162,T163,T163,Whee Kim,23,58.3,179,307,+0.78
163,T163,T163,Byron Smith,21,58.3,141,242,+1.99
164,T165,T165,George McNeill,27,58.6,249,425,+1.29
165,T165,T165,Cameron Tringale,28,58.6,207,353,+2.13
166,T167,T167,Gonzalo Fernandez-Castaño,28,58.8,181,308,+2.60
167,T167,T167,Greg Owen,19,58.8,130,221,+0.69
168,169,169,Zac Blair,34,59.1,227,384,+1.54
169,170,170,Scott Langley,28,59.4,244,411,+1.23
170,171,171,Aaron Baddeley,25,60.3,257,426,+1.63
171,172,172,Gary Woodland,24,60.4,191,316,+1.36
172,173,173,Brice Garnett,29,60.6,209,345,+2.49
173,T174,T174,Charley Hoffman,28,61.8,268,434,+1.27
174,T174,T174,Mark Wilson,28,61.8,243,393,+1.11
175,176,176,Roger Sloan,20,61.9,135,218,+3.04
176,177,177,Ken Duke,30,63.1,214,339,+1.73
177,178,178,Bryce Molder,26,63.2,218,345,+1.47
178,179,179,Charles Howell III,30,64.1,396,618,+1.21
179,T180,T180,Bill Lunde,18,64.4,116,180,+1.55
180,T180,T180,Scott Pinckney,27,64.4,251,390,+1.99
181,182,182,Troy Merritt,29,64.5,267,414,+2.17
182,183,183,Scott Piercy,28,66.4,301,453,+1.76
183,184,184,David Toms,21,68.4,134,196,+1.42
