,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
120,T109,T109,Paul Gow,79,0.0,10,,
121,T109,T109,Jimmy Green,94,0.0,24,,
122,T109,T109,Scott Hoch,84,0.0,22,,
123,T109,T109,Bradley Hughes,96,0.0,23,,
124,T109,T109,Steve Jones,75,0.0,10,,
125,T109,T109,Frank Lickliter II,102,0.0,40,,
126,T109,T109,Shigeki Maruyama,98,0.0,20,,
127,T109,T109,Len Mattiace,98,0.0,22,,
128,T109,T109,Andrew McLardy,75,0.0,11,,
129,T109,T109,Spike McRoy,95,0.0,18,,
130,T109,T109,Larry Mize,76,0.0,25,,
131,T109,T109,Frank Nobilo,91,0.0,15,,
132,T109,T109,Joe Ogilvie,110,0.0,17,,
133,T109,T109,Carl Paulson,93,0.0,18,,
134,T109,T109,David Peoples,96,0.0,43,,
135,T109,T109,Loren Roberts,84,0.0,17,,
136,T109,T109,Steve Stricker,73,0.0,17,,
137,T109,T109,Hal Sutton,96,0.0,33,,
138,T109,T109,Garrett Willis,88,0.0,19,,
139,T109,T109,Brian Wilson,88,0.0,14,,
