,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
63,T63,T63,Chris Stroud,82,70.71,2475,35
64,65,65,Derek Fathauer,94,70.72,3536,50
65,T66,T66,Francesco Molinari,64,70.78,2265,32
66,T66,T66,Kyle Reifers,115,70.78,3822,54
67,T68,T68,Blayne Barber,84,70.79,2761,39
68,T68,T68,Andres Gonzales,80,70.79,2407,34
69,T68,T68,Charl Schwartzel,73,70.79,2761,39
70,T68,T68,Jhonattan Vegas,97,70.79,2973,42
71,72,72,David Hearn,95,70.8,3469,49
72,73,73,James Hahn,85,70.81,2549,36
73,T74,T74,Rod Pampling,54,70.82,1558,22
74,T74,T74,Scott Stallings,74,70.82,2337,33
75,T76,T76,Zac Blair,99,70.86,3047,43
76,T76,T76,Harris English,97,70.86,3118,44
77,T76,T76,Vijay Singh,72,70.86,2480,35
78,79,79,Robert Streb,87,70.89,2694,38
79,T80,T80,Ben Crane,80,70.9,2836,40
80,T80,T80,Kyle Stanley,92,70.9,2836,40
81,T80,T80,Tyrone Van Aswegen,105,70.9,3687,52
82,T80,T80,Tim Wilkinson,72,70.9,2198,31
83,84,84,John Senden,88,70.91,3049,43
84,T85,T85,Jim Furyk,52,70.92,1844,26
85,T85,T85,Morgan Hoffmann,71,70.92,2624,37
86,T85,T85,Ben Martin,92,70.92,2553,36
87,T85,T85,Boo Weekley,83,70.92,2624,37
88,T85,T85,Steve Wheatcroft,85,70.92,2553,36
89,T90,T90,Luke List,79,70.93,2837,40
90,T90,T90,Rob Oppenheim,67,70.93,2128,30
91,T92,T92,Scott Brown,88,70.96,3264,46
92,T92,T92,Smylie Kaufman,91,70.96,3264,46
93,94,94,David Toms,62,70.97,2129,30
94,T95,T95,Ricky Barnes,97,70.98,2839,40
95,T95,T95,Tony Finau,95,70.98,3407,48
96,T95,T95,Sung Kang,89,70.98,3123,44
97,T95,T95,Gary Woodland,95,70.98,3194,45
98,T99,T99,Graham DeLaet,70,71.0,2556,36
99,T99,T99,Wes Roach,59,71.0,1846,26
100,101,101,Patrick Rodgers,89,71.02,3196,45
101,T102,T102,Martin Laird,82,71.03,2415,34
102,T102,T102,Steve Marino,72,71.03,2273,32
103,T102,T102,Scott Pinckney,87,71.03,2841,40
104,105,105,Jimmy Walker,85,71.04,3197,45
105,106,106,Zach Johnson,90,71.05,2913,41
106,T107,T107,Billy Hurley III,66,71.06,2274,32
107,T107,T107,Vaughn Taylor,72,71.06,2345,33
108,T109,T109,Jamie Lovemark,91,71.09,3270,46
109,T109,T109,Daniel Summerhays,99,71.09,3341,47
110,T111,T111,Stuart Appleby,71,71.11,1991,28
111,T111,T111,Emiliano Grillo,93,71.11,2702,38
112,T111,T111,Scott Langley,65,71.11,1991,28
113,114,114,Brian Harman,104,71.12,3556,50
114,T115,T115,Charley Hoffman,91,71.13,3343,47
115,T115,T115,Seung-Yul Noh,85,71.13,2703,38
116,T115,T115,Michael Thompson,71,71.13,2276,32
117,118,118,Kelly Kraft,63,71.15,2348,33
118,T119,T119,Tyler Aldridge,83,71.16,2704,38
119,T119,T119,Whee Kim,82,71.16,2277,32
120,121,121,Peter Malnati,85,71.17,2989,42
121,122,122,Michael Kim,100,71.18,3203,45
122,T123,T123,Jonas Blixt,79,71.19,2634,37
123,T123,T123,Johnson Wagner,86,71.19,3061,43
124,T125,T125,Scott Piercy,87,71.2,2919,41
125,T125,T125,Nick Taylor,83,71.2,2848,40
126,127,127,Will MacKenzie,84,71.21,2777,39
127,128,128,Jeff Overton,69,71.23,2137,30
128,T129,T129,Greg Owen,85,71.25,2565,36
129,T129,T129,D.A. Points,55,71.25,1710,24
130,T129,T129,Justin Rose,65,71.25,2280,32
131,T132,T132,K.J. Choi,73,71.26,3064,43
132,T132,T132,David Lingmerth,84,71.26,2708,38
133,T134,T134,Mark Hubbard,101,71.28,3350,47
134,T134,T134,Danny Lee,93,71.28,3350,47
135,T134,T134,Dicky Pride,55,71.28,1782,25
136,137,137,Chris Kirk,90,71.29,2709,38
137,138,138,Brendan Steele,88,71.3,3066,43
138,139,139,Andrew Landry,53,71.38,1499,21
139,T140,T140,Andrew Loupe,75,71.41,2642,37
140,T140,T140,Martin Piller,59,71.41,2071,29
141,142,142,Camilo Villegas,83,71.42,2714,38
142,143,143,Retief Goosen,55,71.44,1929,27
143,144,144,Bronson Burgoon,83,71.45,3001,42
144,T145,T145,Keegan Bradley,82,71.46,2787,39
145,T145,T145,Padraig Harrington,54,71.46,1715,24
146,147,147,Brendon de Jonge,83,71.47,2716,38
147,T148,T148,John Huh,86,71.48,3002,42
148,T148,T148,Kevin Streelman,82,71.48,2859,40
149,150,150,Cameron Tringale,81,71.51,2932,41
150,151,151,Jason Gore,78,71.52,2360,33
151,152,152,Abraham Ancer,51,71.54,1717,24
152,153,153,Jim Herman,93,71.56,3220,45
153,154,154,Tom Hoge,81,71.61,2721,38
154,155,155,Hiroshi Iwata,85,71.63,2722,38
155,156,156,J.J. Henry,68,71.64,2006,28
156,157,157,Louis Oosthuizen,63,71.65,2221,31
157,158,158,Fabián Gómez,82,71.66,2293,32
158,159,159,Billy Horschel,73,71.67,2580,36
159,160,160,Brian Stuard,66,71.71,2223,31
160,161,161,Shawn Stefani,91,71.72,2797,39
161,162,162,Chesson Hadley,81,71.73,2941,41
162,163,163,Cameron Smith,73,71.76,2368,33
163,164,164,Troy Merritt,77,71.77,2512,35
164,165,165,Matt Jones,83,71.78,2656,37
165,T166,T166,Hunter Mahan,61,71.79,1723,24
166,T166,T166,Sam Saunders,69,71.79,2441,34
167,168,168,Mark Wilson,66,71.8,1795,25
168,169,169,Derek Ernst,59,71.84,1796,25
169,170,170,Shane Lowry,57,71.86,2084,29
170,171,171,Geoff Ogilvy,63,71.89,1941,27
171,172,172,Chad Collins,73,71.9,2157,30
172,173,173,Carlos Ortiz,79,71.97,2447,34
173,174,174,Ernie Els,66,72.04,1945,27
174,175,175,Ken Duke,58,72.22,1950,27
175,176,176,Robert Allenby,51,72.24,1806,25
176,177,177,Rory Sabbatini,57,72.32,1591,22
177,T178,T178,Erik Compton,65,72.33,1953,27
178,T178,T178,Rhein Gibson,58,72.33,1953,27
179,180,180,Anirban Lahiri,72,72.39,2389,33
180,181,181,Ángel Cabrera,62,72.43,2028,28
181,182,182,George McNeill,51,72.48,1957,27
182,183,183,Brendon Todd,66,72.59,2323,32
183,184,184,D.H. Lee,61,73.62,1914,26
184,185,185,Steven Bowditch,71,74.18,2522,34
