,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
165,166,166,Ernie Els,66,72.05,1369,19
166,T167,T167,Louis Oosthuizen,63,72.12,1875,26
167,T167,T167,Brian Stuard,66,72.12,1226,17
168,169,169,Erik Compton,65,72.13,1154,16
169,T170,T170,Geoff Ogilvy,63,72.14,1010,14
170,T170,T170,Boo Weekley,83,72.14,1515,21
171,172,172,K.J. Choi,73,72.16,1804,25
172,173,173,Mark Wilson,66,72.17,866,12
173,T174,T174,Rhein Gibson,58,72.18,794,11
174,T174,T174,George McNeill,51,72.18,1227,17
175,176,176,Vijay Singh,72,72.25,1156,16
176,177,177,Anirban Lahiri,72,72.36,1809,25
177,178,178,Ángel Cabrera,62,72.42,869,12
178,179,179,Chad Collins,73,72.63,1162,16
179,T180,T180,Jason Gore,78,72.75,1164,16
180,T180,T180,Brendon Todd,66,72.75,582,8
181,T182,T182,Derek Ernst,59,73.75,590,8
182,T182,T182,Rory Sabbatini,57,73.75,295,4
183,184,184,Steven Bowditch,71,73.82,1255,17
184,185,185,D.H. Lee,61,74.08,889,12
