,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
46,T47,T47,Spencer Levin,104,70.33,2321,33
47,T47,T47,Jamie Lovemark,91,70.33,1688,24
48,T49,T49,Stuart Appleby,71,70.41,2253,32
49,T49,T49,Keegan Bradley,82,70.41,1901,27
50,T49,T49,Russell Knox,92,70.41,2042,29
51,T49,T49,Seung-Yul Noh,85,70.41,1901,27
52,T49,T49,John Senden,88,70.41,2253,32
53,54,54,Michael Thompson,71,70.42,1338,19
54,55,55,Jim Furyk,52,70.43,986,14
55,56,56,Patrick Reed,105,70.45,2043,29
56,T57,T57,Luke Guthrie,57,70.47,1339,19
57,T57,T57,Boo Weekley,83,70.47,2255,32
58,59,59,Tony Finau,95,70.48,2044,29
59,T60,T60,Retief Goosen,55,70.5,1128,16
60,T60,T60,Anirban Lahiri,72,70.5,1410,20
61,T60,T60,Troy Merritt,77,70.5,2256,32
62,63,63,K.J. Choi,73,70.53,1058,15
63,64,64,Cameron Tringale,81,70.54,1975,28
64,T65,T65,Chris Kirk,90,70.55,2328,33
65,T65,T65,Shawn Stefani,91,70.55,2046,29
66,67,67,Scott Piercy,87,70.57,2470,35
67,68,68,Blayne Barber,84,70.59,2047,29
68,69,69,Daniel Berger,92,70.61,1977,28
69,T70,T70,Lucas Glover,75,70.62,1483,21
70,T70,T70,Jhonattan Vegas,97,70.62,2048,29
71,T72,T72,Kevin Kisner,97,70.63,2260,32
72,T72,T72,Andrew Landry,53,70.63,1130,16
73,74,74,Willy Wilcox,67,70.64,1766,25
74,75,75,Harris English,97,70.65,2402,34
75,76,76,Emiliano Grillo,93,70.66,2685,38
76,77,77,Kevin Streelman,82,70.67,1908,27
77,T78,T78,Scott Pinckney,87,70.7,2121,30
78,T78,T78,Kyle Stanley,92,70.7,2333,33
79,T80,T80,Jerry Kelly,76,70.71,1697,24
80,T80,T80,Shane Lowry,57,70.71,990,14
81,T82,T82,Bronson Burgoon,83,70.72,1273,18
82,T82,T82,Adam Hadwin,93,70.72,2051,29
83,T82,T82,Padraig Harrington,54,70.72,1273,18
84,T82,T82,Billy Hurley III,66,70.72,1273,18
85,T82,T82,Francesco Molinari,64,70.72,1273,18
86,87,87,Webb Simpson,70,70.75,1698,24
87,T88,T88,Jason Dufner,105,70.77,2477,35
88,T88,T88,Mark Hubbard,101,70.77,1840,26
89,T88,T88,Sung Kang,89,70.77,1840,26
90,T88,T88,Brian Stuard,66,70.77,1557,22
91,T92,T92,Michael Kim,100,70.79,2053,29
92,T92,T92,Mark Wilson,66,70.79,1345,19
93,T94,T94,Chad Collins,73,70.81,1487,21
94,T94,T94,Henrik Norlander,71,70.81,1841,26
95,T94,T94,Brendan Steele,88,70.81,1841,26
96,T94,T94,Chris Stroud,82,70.81,1912,27
97,98,98,Nick Taylor,83,70.83,1700,24
98,T99,T99,Thomas Aiken,70,70.85,1417,20
99,T99,T99,Tyler Aldridge,83,70.85,1417,20
100,101,101,Matt Jones,83,70.87,2126,30
101,102,102,D.H. Lee,61,70.89,1347,19
102,T103,T103,David Hearn,95,70.92,1702,24
103,T103,T103,Freddie Jacobson,86,70.92,1702,24
104,105,105,David Lingmerth,84,70.93,2057,29
105,106,106,Ben Crane,80,70.96,1774,25
106,T107,T107,Sergio Garcia,54,71.0,923,13
107,T107,T107,Charley Hoffman,91,71.0,2201,31
108,T107,T107,Tom Hoge,81,71.0,1420,20
109,T107,T107,Marc Leishman,89,71.0,2201,31
110,T107,T107,D.A. Points,55,71.0,1207,17
111,T107,T107,Scott Stallings,74,71.0,2130,30
112,113,113,Ben Martin,92,71.03,2415,34
113,114,114,Danny Lee,93,71.07,2061,29
114,115,115,Brendon de Jonge,83,71.09,1564,22
115,T116,T116,Jason Kokrak,89,71.11,1920,27
116,T116,T116,Martin Piller,59,71.11,640,9
117,T116,T116,Daniel Summerhays,99,71.11,2560,36
118,T119,T119,Jim Herman,93,71.12,2347,33
119,T119,T119,Brett Stegmaier,87,71.12,1849,26
120,121,121,Morgan Hoffmann,71,71.13,569,8
121,T122,T122,Derek Fathauer,94,71.14,2063,29
122,T122,T122,J.B. Holmes,77,71.14,1992,28
123,T122,T122,Martin Laird,82,71.14,1565,22
124,T122,T122,Jeff Overton,69,71.14,1494,21
125,T126,T126,Scott Brown,88,71.15,1423,20
126,T126,T126,Bryce Molder,80,71.15,1850,26
127,T126,T126,Steve Wheatcroft,85,71.15,1850,26
128,129,129,Colt Knost,90,71.16,2277,32
129,T130,T130,Jason Bohn,67,71.18,1566,22
130,T130,T130,Kevin Chappell,93,71.18,1993,28
131,T132,T132,Jonas Blixt,79,71.19,1495,21
132,T132,T132,Branden Grace,63,71.19,1495,21
133,134,134,David Toms,62,71.21,1353,19
134,135,135,Bubba Watson,72,71.22,1638,23
135,136,136,James Hahn,85,71.25,2850,40
136,137,137,Patton Kizzire,93,71.27,2138,30
137,138,138,Luke Donald,81,71.31,2068,29
138,139,139,Andres Gonzales,80,71.32,1783,25
139,140,140,Camilo Villegas,83,71.33,2140,30
140,141,141,Kyle Reifers,115,71.34,2069,29
141,T142,T142,Derek Ernst,59,71.35,1641,23
142,T142,T142,Vaughn Taylor,72,71.35,1855,26
143,144,144,Chesson Hadley,81,71.36,1998,28
144,145,145,Whee Kim,82,71.44,1929,27
145,146,146,Jon Curran,99,71.48,2073,29
146,147,147,Fabián Gómez,82,71.49,2502,35
147,148,148,Billy Horschel,73,71.53,1216,17
148,149,149,Justin Thomas,99,71.54,1860,26
149,150,150,Adam Scott,79,71.55,787,11
150,151,151,Jason Gore,78,71.56,1789,25
151,152,152,Rod Pampling,54,71.61,1289,18
152,T153,T153,Graham DeLaet,70,71.64,1003,14
153,T153,T153,Rickie Fowler,80,71.64,1003,14
154,T153,T153,Ryan Moore,86,71.64,1576,22
155,156,156,Will MacKenzie,84,71.65,1433,20
156,157,157,Hiroshi Iwata,85,71.68,1792,25
157,158,158,Bill Haas,86,71.72,1793,25
158,159,159,Cameron Smith,73,71.73,1578,22
159,T160,T160,Erik Compton,65,71.75,1435,20
160,T160,T160,Dawie van der Walt,72,71.75,1435,20
161,162,162,Ángel Cabrera,62,71.77,1579,22
162,163,163,Greg Owen,85,71.79,2010,28
163,164,164,George McNeill,51,71.82,790,11
164,T165,T165,Rory Sabbatini,57,71.83,1652,23
165,T165,T165,Tyrone Van Aswegen,105,71.83,2155,30
166,167,167,Ernie Els,66,71.85,1437,20
167,168,168,Scott Langley,65,71.89,1366,19
168,T169,T169,Zac Blair,99,71.9,2157,30
169,T169,T169,Carlos Ortiz,79,71.9,1438,20
170,171,171,Peter Malnati,85,71.92,1726,24
171,172,172,Vijay Singh,72,71.96,2015,28
172,T173,T173,Steve Marino,72,72.0,1584,22
173,T173,T173,Robert Streb,87,72.0,2088,29
174,175,175,Dicky Pride,55,72.11,1370,19
175,176,176,Ken Duke,58,72.12,1226,17
176,177,177,J.J. Henry,68,72.16,1804,25
177,T178,T178,Abraham Ancer,51,72.17,866,12
178,T178,T178,Graeme McDowell,63,72.17,1299,18
179,180,180,Brendon Todd,66,72.18,1588,22
180,181,181,Harold Varner III,92,72.21,2094,29
181,182,182,Hunter Mahan,61,72.47,1377,19
182,183,183,Rob Oppenheim,67,72.74,1382,19
183,184,184,Robert Allenby,51,73.33,880,12
184,185,185,Steven Bowditch,71,74.76,1869,25
