,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
161,T161,T161,Emiliano Grillo,93,405.0,1620,4
162,T163,T163,Steve Marino,72,408.0,1224,3
163,T163,T163,Tim Wilkinson,72,408.0,1224,3
164,165,165,Michael Kim,100,432.0,1728,4
165,166,166,Hideki Matsuyama,76,438.0,1314,3
166,167,167,Ben Crane,80,456.0,1368,3
167,168,168,Martin Laird,82,468.0,1404,3
168,169,169,Chesson Hadley,81,474.0,1422,3
169,170,170,Rory Sabbatini,57,486.0,972,2
170,171,171,Graeme McDowell,63,540.0,1080,2
171,172,172,Erik Compton,65,567.0,1134,2
172,173,173,Zac Blair,99,570.0,1710,3
173,174,174,Jeff Overton,69,585.0,1170,2
174,175,175,Jason Bohn,67,603.0,1206,2
175,176,176,Cameron Smith,73,621.0,1242,2
176,177,177,Luke Donald,81,729.0,1458,2
177,178,178,Ricky Barnes,97,837.0,1674,2
178,179,179,Derek Fathauer,94,846.0,1692,2
179,180,180,Abraham Ancer,51,864.0,864,1
180,181,181,Jon Curran,99,891.0,1782,2
181,182,182,George McNeill,51,918.0,918,1
182,183,183,Brian Stuard,66,1188.0,1188,1
183,184,184,Will MacKenzie,84,1440.0,1440,1
