,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
61,62,62,Lucas Glover,75,31.01,80,258
62,63,63,Derek Ernst,59,30.82,49,159
63,64,64,Keegan Bradley,82,30.77,72,234
64,65,65,Seung-Yul Noh,85,30.57,70,229
65,66,66,Chesson Hadley,81,30.51,72,236
66,67,67,Harris English,97,30.4,83,273
67,68,68,Padraig Harrington,54,30.32,57,188
68,T69,T69,Andres Gonzales,80,30.21,71,235
69,T69,T69,Brandt Snedeker,93,30.21,87,288
70,71,71,Ricky Barnes,97,30.14,85,282
71,72,72,Tyler Aldridge,83,30.09,65,216
72,73,73,Dawie van der Walt,72,30.0,63,210
73,74,74,Robert Streb,87,29.96,71,237
74,75,75,Kevin Kisner,97,29.93,82,274
75,76,76,Billy Horschel,73,29.83,71,238
76,77,77,Alex Cejka,71,29.8,59,198
77,78,78,Chris Kirk,90,29.75,83,279
78,79,79,Troy Merritt,77,29.74,80,269
79,80,80,Matt Jones,83,29.72,74,249
80,81,81,Johnson Wagner,86,29.67,81,273
81,82,82,Carlos Ortiz,79,29.65,67,226
82,83,83,Brian Harman,104,29.64,99,334
83,84,84,Henrik Norlander,71,29.56,60,203
84,85,85,Steven Bowditch,71,29.5,59,200
85,86,86,Brett Stegmaier,87,29.43,78,265
86,87,87,Stewart Cink,61,29.41,50,170
87,88,88,Morgan Hoffmann,71,29.36,64,218
88,89,89,Luke Guthrie,57,29.27,48,164
89,T90,T90,Chad Campbell,90,29.18,89,305
90,T90,T90,Russell Knox,92,29.18,75,257
91,92,92,Fabián Gómez,82,29.13,90,309
92,93,93,Sung Kang,89,29.12,83,285
93,94,94,Si Woo Kim,113,29.1,119,409
94,95,95,Russell Henley,76,28.86,71,246
95,96,96,Freddie Jacobson,86,28.83,79,274
96,97,97,Kelly Kraft,63,28.76,44,153
97,T98,T98,Scott Brown,88,28.69,70,244
98,T98,T98,Bronson Burgoon,83,28.69,72,251
99,100,100,Nick Taylor,83,28.63,69,241
100,101,101,Francesco Molinari,64,28.51,63,221
101,102,102,Geoff Ogilvy,63,28.49,49,172
102,103,103,Bill Haas,86,28.46,72,253
103,104,104,Roberto Castro,97,28.41,102,359
104,105,105,Steve Wheatcroft,85,28.35,74,261
105,106,106,Spencer Levin,104,28.34,89,314
106,107,107,Hiroshi Iwata,85,28.28,69,244
107,108,108,Thomas Aiken,70,28.25,50,177
108,109,109,William McGirt,98,28.22,103,365
109,110,110,Steve Marino,72,28.21,55,195
110,111,111,Anirban Lahiri,72,28.16,58,206
111,112,112,Willy Wilcox,67,28.14,65,231
112,113,113,Abraham Ancer,51,27.87,34,122
113,114,114,Sam Saunders,69,27.84,54,194
114,115,115,Cameron Tringale,81,27.67,83,300
115,116,116,James Hahn,85,27.62,79,286
116,117,117,Jason Dufner,105,27.5,77,280
117,118,118,Shane Lowry,57,27.41,37,135
118,119,119,Scott Langley,65,27.27,60,220
119,120,120,Greg Owen,85,27.02,67,248
120,121,121,Graeme McDowell,63,26.94,52,193
121,122,122,Michael Kim,100,26.8,78,291
122,123,123,Jerry Kelly,76,26.7,59,221
123,T124,T124,Brendon de Jonge,83,26.67,64,240
124,T124,T124,Webb Simpson,70,26.67,64,240
125,126,126,Hunter Mahan,61,26.49,49,185
126,127,127,Mark Hubbard,101,26.4,85,322
127,128,128,J.J. Henry,68,26.39,57,216
128,129,129,Jim Herman,93,26.38,67,254
129,130,130,Erik Compton,65,26.26,52,198
130,131,131,Shawn Stefani,91,26.25,68,259
131,132,132,John Huh,86,26.23,80,305
132,133,133,David Lingmerth,84,26.12,64,245
133,134,134,Rhein Gibson,58,26.09,42,161
134,135,135,Kyle Stanley,92,26.02,70,269
135,136,136,Stuart Appleby,71,25.99,59,227
136,137,137,Zach Johnson,90,25.98,73,281
137,138,138,Tom Hoge,81,25.93,56,216
138,139,139,Martin Piller,59,25.83,39,151
139,140,140,David Hearn,95,25.81,72,279
140,T141,T141,Chad Collins,73,25.79,65,252
141,T141,T141,Vijay Singh,72,25.79,65,252
142,143,143,Kyle Reifers,115,25.77,101,392
143,144,144,John Senden,88,25.75,77,299
144,145,145,Kevin Streelman,82,25.52,61,239
145,146,146,Chez Reavie,90,25.44,73,287
146,147,147,Jason Gore,78,25.39,49,193
147,148,148,Rod Pampling,54,25.37,34,134
148,149,149,Tyrone Van Aswegen,105,25.16,81,322
149,150,150,Chris Stroud,82,25.1,63,251
150,151,151,Ken Duke,58,24.86,43,173
151,152,152,Rory Sabbatini,57,24.84,39,157
152,153,153,Andrew Landry,53,24.76,26,105
153,154,154,Derek Fathauer,94,24.72,66,267
154,155,155,Ryan Moore,86,24.71,64,259
155,156,156,Vaughn Taylor,72,24.69,59,239
156,157,157,Bryce Molder,80,24.4,61,250
157,158,158,Whee Kim,82,24.39,60,246
158,159,159,Will MacKenzie,84,24.3,52,214
159,160,160,D.H. Lee,61,24.03,37,154
160,161,161,Jason Bohn,67,23.93,56,234
161,162,162,Steve Stricker,53,23.56,41,174
162,163,163,Billy Hurley III,66,23.5,55,234
163,164,164,Luke Donald,81,23.45,53,226
164,165,165,K.J. Choi,73,23.35,60,257
165,166,166,Brian Stuard,66,23.21,55,237
166,167,167,Tim Wilkinson,72,23.08,39,169
167,168,168,Kevin Na,96,22.92,69,301
168,169,169,Ben Crane,80,22.75,53,233
169,170,170,Cameron Smith,73,22.36,36,161
170,171,171,Ernie Els,66,22.33,48,215
171,172,172,Zac Blair,99,22.29,74,332
172,173,173,Jeff Overton,69,21.76,52,239
173,174,174,George McNeill,51,21.71,38,175
174,175,175,Brendon Todd,66,21.69,41,189
175,T176,T176,Colt Knost,90,21.38,59,276
176,T176,T176,D.A. Points,55,21.38,31,145
177,178,178,Dicky Pride,55,21.19,32,151
178,179,179,Robert Allenby,51,21.17,29,137
179,180,180,Mark Wilson,66,20.53,39,190
180,181,181,Jim Furyk,52,20.11,36,179
181,182,182,David Toms,62,19.72,42,213
182,183,183,Peter Malnati,85,18.25,50,274
183,184,184,Rob Oppenheim,67,18.09,36,199
184,185,185,Jon Curran,99,17.93,59,329
