,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
64,T62,T62,Rory Sabbatini,20,57.14
65,T62,T62,Vijay Singh,22,57.14
66,T67,T67,John Senden,28,56.25
67,T67,T67,Johnson Wagner,26,56.25
68,T67,T67,Bubba Watson,19,56.25
69,T70,T70,Peter Malnati,32,55.56
70,T70,T70,Geoff Ogilvy,22,55.56
71,T70,T70,Rod Pampling,18,55.56
72,T73,T73,Brendon de Jonge,30,54.55
73,T73,T73,Harris English,27,54.55
74,T73,T73,Sergio Garcia,15,54.55
75,76,76,Russell Henley,25,53.85
76,T77,T77,Keegan Bradley,26,53.33
77,T77,T77,Lucas Glover,23,53.33
78,T77,T77,Seung-Yul Noh,28,53.33
79,T77,T77,Boo Weekley,26,53.33
80,T81,T81,Luke Donald,23,52.94
81,T81,T81,Jason Kokrak,28,52.94
82,T81,T81,Kyle Stanley,28,52.94
83,84,84,Aaron Baddeley,28,52.63
84,85,85,Patrick Reed,28,52.17
85,T86,T86,Robert Allenby,23,50.0
86,T86,T86,Jason Bohn,21,50.0
87,T86,T86,Roberto Castro,27,50.0
88,T86,T86,Erik Compton,24,50.0
89,T86,T86,Graham DeLaet,21,50.0
90,T86,T86,Jason Dufner,28,50.0
91,T86,T86,Ernie Els,21,50.0
92,T86,T86,Retief Goosen,16,50.0
93,T86,T86,Adam Hadwin,27,50.0
94,T86,T86,James Hahn,26,50.0
95,T86,T86,Billy Horschel,20,50.0
96,T86,T86,Chris Kirk,28,50.0
97,T86,T86,Steve Marino,24,50.0
98,T86,T86,Ben Martin,28,50.0
99,T86,T86,George McNeill,23,50.0
100,T86,T86,Bryce Molder,26,50.0
101,T86,T86,Francesco Molinari,18,50.0
102,T86,T86,Sam Saunders,24,50.0
103,T86,T86,Hudson Swafford,30,50.0
104,T86,T86,Vaughn Taylor,24,50.0
105,T86,T86,Tim Wilkinson,22,50.0
106,T86,T86,Mark Wilson,21,50.0
107,108,108,Matt Kuchar,26,47.83
108,T109,T109,Emiliano Grillo,25,47.62
109,T109,T109,Mark Hubbard,30,47.62
110,T109,T109,Kevin Kisner,27,47.62
111,T109,T109,Daniel Summerhays,28,47.62
112,T113,T113,Tony Finau,28,47.37
113,T113,T113,Charley Hoffman,26,47.37
114,T115,T115,Freddie Jacobson,26,47.06
115,T115,T115,Smylie Kaufman,28,47.06
116,T115,T115,Martin Laird,24,47.06
117,T115,T115,Patrick Rodgers,28,47.06
118,T119,T119,John Huh,28,46.67
119,T119,T119,Jerry Kelly,23,46.67
120,T119,T119,Will MacKenzie,26,46.67
121,T122,T122,Jonas Blixt,26,46.15
122,T122,T122,Chesson Hadley,27,46.15
123,124,124,Kyle Reifers,34,45.83
124,T125,T125,Andres Gonzales,28,45.45
125,T125,T125,Padraig Harrington,16,45.45
126,T125,T125,Morgan Hoffmann,25,45.45
127,T125,T125,Greg Owen,29,45.45
128,T125,T125,Gary Woodland,26,45.45
129,130,130,Ricky Barnes,29,45.0
130,T131,T131,Colt Knost,26,44.44
131,T131,T131,Danny Lee,28,44.44
132,T131,T131,Sean O'Hair,27,44.44
133,T134,T134,Derek Fathauer,30,43.75
134,T134,T134,Cameron Tringale,25,43.75
135,T136,T136,Tyler Aldridge,28,42.86
136,T136,T136,Daniel Berger,26,42.86
137,T136,T136,Ben Crane,27,42.86
138,T136,T136,Andrew Landry,18,42.86
139,T140,T140,Jamie Lovemark,27,42.11
140,T140,T140,Brendan Steele,25,42.11
141,T142,T142,Thomas Aiken,23,41.67
142,T142,T142,Jim Furyk,14,41.67
143,T142,T142,Whee Kim,27,41.67
144,T142,T142,Rob Oppenheim,21,41.67
145,146,146,Jim Herman,29,41.18
146,T147,T147,Abraham Ancer,19,40.0
147,T147,T147,Ángel Cabrera,22,40.0
148,T147,T147,Sung Kang,29,40.0
149,T147,T147,Anirban Lahiri,21,40.0
150,T147,T147,Webb Simpson,20,40.0
151,T147,T147,Brett Stegmaier,29,40.0
152,T147,T147,Tyrone Van Aswegen,31,40.0
153,154,154,Harold Varner III,28,38.89
154,155,155,Stuart Appleby,23,38.46
155,T156,T156,Scott Brown,27,37.5
156,T156,T156,Shawn Stefani,29,37.5
157,158,158,Jon Curran,30,36.84
158,159,159,Steve Stricker,15,36.36
159,T160,T160,Tom Hoge,26,35.71
160,T160,T160,Henrik Norlander,21,35.71
161,T160,T160,Camilo Villegas,27,35.71
162,T163,T163,Zac Blair,31,33.33
163,T163,T163,Ken Duke,20,33.33
164,T163,T163,Derek Ernst,20,33.33
165,T163,T163,Bill Haas,24,33.33
166,T163,T163,Michael Kim,29,33.33
167,T163,T163,Martin Piller,22,33.33
168,T163,T163,Cameron Smith,24,33.33
169,T163,T163,Nick Taylor,26,33.33
170,171,171,Steve Wheatcroft,26,31.25
171,T172,T172,Jason Gore,27,30.77
172,T172,T172,Billy Hurley III,20,30.77
173,174,174,Charl Schwartzel,19,29.41
174,175,175,Scott Pinckney,29,28.57
175,176,176,Jeff Overton,25,27.27
176,T177,T177,D.H. Lee,22,25.0
177,T177,T177,D.A. Points,18,25.0
178,T177,T177,Robert Streb,27,25.0
179,T177,T177,David Toms,19,25.0
180,181,181,Scott Langley,22,20.0
181,182,182,Dicky Pride,21,14.29
182,183,183,Hunter Mahan,22,12.5
183,184,184,Rhein Gibson,20,11.11
184,185,185,J.J. Henry,24,10.0
