,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
163,164,164,Adam Hadwin,93,11.11,34,306
164,165,165,Bryce Molder,80,11.07,27,244
165,166,166,Spencer Levin,104,10.8,27,250
166,167,167,Russell Knox,92,10.64,20,188
167,168,168,Jerry Kelly,76,10.47,18,172
168,169,169,Jeff Overton,69,10.43,24,230
169,170,170,D.H. Lee,61,10.29,18,175
170,171,171,Graeme McDowell,63,10.22,14,137
171,172,172,George McNeill,51,10.0,17,170
172,173,173,David Lingmerth,84,9.89,18,182
173,174,174,Kevin Kisner,97,9.73,25,257
174,175,175,Rod Pampling,54,9.68,12,124
175,176,176,Retief Goosen,55,9.57,18,188
176,177,177,Zac Blair,99,9.44,22,233
177,178,178,Jon Curran,99,9.43,25,265
178,179,179,Troy Merritt,77,9.41,24,255
179,180,180,Luke Donald,81,9.35,23,246
180,181,181,J.J. Henry,68,9.18,19,207
181,182,182,David Hearn,95,8.7,22,253
182,183,183,Robert Allenby,51,8.54,14,164
183,184,184,Jim Furyk,52,8.46,11,130
184,185,185,Dawie van der Walt,72,7.76,18,232
