,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
46,T47,T47,Zac Blair,99,70.3,1406,20
47,T47,T47,Alex Cejka,71,70.3,703,10
48,49,49,Tyler Aldridge,83,70.33,844,12
49,50,50,Jason Gore,78,70.35,1196,17
50,51,51,Bill Haas,86,70.36,774,11
51,T52,T52,Patton Kizzire,93,70.38,915,13
52,T52,T52,David Lingmerth,84,70.38,1126,16
53,T52,T52,Kevin Na,96,70.38,1126,16
54,55,55,Freddie Jacobson,86,70.39,1267,18
55,56,56,Si Woo Kim,113,70.41,1901,27
56,57,57,Ben Crane,80,70.45,1409,20
57,58,58,Thomas Aiken,70,70.47,1198,17
58,T59,T59,Rory McIlroy,69,70.5,282,4
59,T59,T59,Kyle Reifers,115,70.5,1128,16
60,61,61,Brett Stegmaier,87,70.53,1058,15
61,T62,T62,James Hahn,85,70.55,1411,20
62,T62,T62,Rod Pampling,54,70.55,776,11
63,64,64,Kevin Streelman,82,70.57,988,14
64,T65,T65,Scott Brown,88,70.58,847,12
65,T65,T65,Spencer Levin,104,70.58,1694,24
66,T65,T65,Seung-Yul Noh,85,70.58,1341,19
67,68,68,Martin Laird,82,70.64,777,11
68,T69,T69,J.B. Holmes,77,70.67,424,6
69,T69,T69,Tim Wilkinson,72,70.67,1272,18
70,71,71,Andres Gonzales,80,70.69,1131,16
71,72,72,Branden Grace,63,70.71,495,7
72,73,73,Derek Fathauer,94,70.72,2051,29
73,74,74,Wes Roach,59,70.73,1061,15
74,T75,T75,Jon Curran,99,70.75,849,12
75,T75,T75,Jordan Spieth,80,70.75,283,4
76,T75,T75,Bubba Watson,72,70.75,283,4
77,78,78,Bryce Molder,80,70.78,1274,18
78,79,79,Will MacKenzie,84,70.79,991,14
79,80,80,Blayne Barber,84,70.8,1416,20
80,81,81,Chad Campbell,90,70.82,1204,17
81,T82,T82,Luke Guthrie,57,70.83,850,12
82,T82,T82,Billy Horschel,73,70.83,425,6
83,T82,T82,Charl Schwartzel,73,70.83,425,6
84,85,85,Ben Martin,92,70.84,1346,19
85,86,86,D.A. Points,55,70.86,992,14
86,87,87,Scott Stallings,74,70.87,1630,23
87,88,88,David Hearn,95,70.88,1134,16
88,T89,T89,Colt Knost,90,70.89,1347,19
89,T89,T89,Luke List,79,70.89,638,9
90,91,91,Emiliano Grillo,93,70.9,709,10
91,T92,T92,Harris English,97,70.92,851,12
92,T92,T92,Rob Oppenheim,67,70.92,851,12
93,T92,T92,Greg Owen,85,70.92,1773,25
94,T92,T92,Brendan Steele,88,70.92,851,12
95,T92,T92,Jhonattan Vegas,97,70.92,851,12
96,97,97,Derek Ernst,59,70.94,1206,17
97,98,98,Kyle Stanley,92,70.95,1348,19
98,T99,T99,Smylie Kaufman,91,71.0,710,10
99,T99,T99,Phil Mickelson,75,71.0,213,3
100,T99,T99,Martin Piller,59,71.0,497,7
101,102,102,Chad Collins,73,71.07,995,14
102,103,103,Jeff Overton,69,71.08,924,13
103,T104,T104,Billy Hurley III,66,71.11,640,9
104,T104,T104,Michael Kim,100,71.11,1280,18
105,T106,T106,Morgan Hoffmann,71,71.13,569,8
106,T106,T106,Kelly Kraft,63,71.13,1138,16
107,T106,T106,Chez Reavie,90,71.13,1067,15
108,T109,T109,Keegan Bradley,82,71.17,854,12
109,T109,T109,Tyrone Van Aswegen,105,71.17,1637,23
110,T109,T109,Steve Wheatcroft,85,71.17,854,12
111,T109,T109,Willy Wilcox,67,71.17,1281,18
112,T113,T113,Brian Stuard,66,71.21,997,14
113,T113,T113,Johnson Wagner,86,71.21,1353,19
114,115,115,Scott Langley,65,71.22,641,9
115,116,116,Danny Lee,93,71.24,1211,17
116,117,117,Ricky Barnes,97,71.25,855,12
117,118,118,Sung Kang,89,71.26,1354,19
118,119,119,Charles Howell III,91,71.29,998,14
119,T120,T120,Brian Harman,104,71.3,1925,27
120,T120,T120,Mark Hubbard,101,71.3,1640,23
121,T122,T122,Hideki Matsuyama,76,71.33,214,3
122,T122,T122,Dicky Pride,55,71.33,1070,15
123,124,124,Scott Pinckney,87,71.35,1641,23
124,125,125,Ryan Moore,86,71.38,928,13
125,126,126,Cameron Tringale,81,71.39,1642,23
126,127,127,John Huh,86,71.4,1428,20
127,128,128,Tom Hoge,81,71.42,1357,19
128,129,129,Robert Streb,87,71.43,1000,14
129,130,130,Chris Stroud,82,71.44,1143,16
130,131,131,David Toms,62,71.45,786,11
131,132,132,Mark Wilson,66,71.46,929,13
132,T133,T133,Stuart Appleby,71,71.47,1358,19
133,T133,T133,Camilo Villegas,83,71.47,1358,19
134,135,135,John Senden,88,71.48,1644,23
135,T136,T136,Luke Donald,81,71.5,1144,16
136,T136,T136,Jim Furyk,52,71.5,286,4
137,T136,T136,Retief Goosen,55,71.5,715,10
138,T136,T136,Padraig Harrington,54,71.5,572,8
139,T136,T136,Jerry Kelly,76,71.5,1287,18
140,T136,T136,Shane Lowry,57,71.5,572,8
141,T136,T136,Steve Stricker,53,71.5,143,2
142,T136,T136,Vaughn Taylor,72,71.5,1001,14
143,144,144,Scott Piercy,87,71.53,1359,19
144,145,145,Shawn Stefani,91,71.56,1145,16
145,146,146,Graham DeLaet,70,71.6,716,10
146,147,147,Geoff Ogilvy,63,71.62,931,13
147,T148,T148,Bronson Burgoon,83,71.63,1361,19
148,T148,T148,J.J. Henry,68,71.63,1361,19
149,T148,T148,Cameron Smith,73,71.63,1146,16
150,151,151,Nick Taylor,83,71.64,1576,22
151,152,152,Chesson Hadley,81,71.65,1863,26
152,153,153,Whee Kim,82,71.69,932,13
153,154,154,Jim Herman,93,71.71,1219,17
154,155,155,Hiroshi Iwata,85,71.74,1363,19
155,156,156,Brandt Snedeker,93,71.8,359,5
156,T157,T157,Andrew Loupe,75,71.88,1150,16
157,T157,T157,Patrick Rodgers,89,71.88,1150,16
158,159,159,Brendon de Jonge,83,71.89,1294,18
159,T160,T160,Ernie Els,66,72.0,576,8
160,T160,T160,Andrew Landry,53,72.0,576,8
161,T160,T160,Hunter Mahan,61,72.0,576,8
162,T160,T160,Rory Sabbatini,57,72.0,1296,18
163,T160,T160,Daniel Summerhays,99,72.0,1368,19
164,165,165,Carlos Ortiz,79,72.07,1081,15
165,166,166,Fabián Gómez,82,72.08,937,13
166,167,167,Chris Kirk,90,72.14,1010,14
167,168,168,Troy Merritt,77,72.17,1299,18
168,169,169,Graeme McDowell,63,72.2,361,5
169,T170,T170,Peter Malnati,85,72.25,1445,20
170,T170,T170,Michael Thompson,71,72.25,867,12
171,T172,T172,Ángel Cabrera,62,72.44,1159,16
172,T172,T172,Rhein Gibson,58,72.44,1159,16
173,174,174,Anirban Lahiri,72,72.5,580,8
174,175,175,Matt Jones,83,72.52,1523,21
175,176,176,Steve Marino,72,72.53,1088,15
176,T177,T177,Ken Duke,58,72.54,943,13
177,T177,T177,Brendon Todd,66,72.54,1741,24
178,179,179,Erik Compton,65,72.64,799,11
179,180,180,Abraham Ancer,51,72.88,583,8
180,T181,T181,George McNeill,51,73.0,730,10
181,T181,T181,Sam Saunders,69,73.0,803,11
182,183,183,D.H. Lee,61,73.21,1025,14
183,184,184,Robert Allenby,51,73.67,884,12
184,185,185,Steven Bowditch,71,74.53,1267,17
