,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
90,T90,T90,Dawie van der Walt,70.91,780,11
91,T92,T92,Francesco Molinari,70.93,993,14
92,T92,T92,Webb Simpson,70.93,1064,15
93,T94,T94,J.B. Holmes,70.94,1135,16
94,T94,T94,Smylie Kaufman,70.94,1206,17
95,T94,T94,Kyle Stanley,70.94,1206,17
96,T97,T97,Ricky Barnes,70.95,1348,19
97,T97,T97,Scott Piercy,70.95,1348,19
98,T97,T97,Daniel Summerhays,70.95,1490,21
99,T97,T97,Hudson Swafford,70.95,1561,22
100,T101,T101,Matt Jones,71.0,994,14
101,T101,T101,Sung Kang,71.0,1065,15
102,T101,T101,Kevin Kisner,71.0,1491,21
103,T101,T101,Patton Kizzire,71.0,1349,19
104,T101,T101,Henrik Norlander,71.0,923,13
105,T101,T101,Sam Saunders,71.0,639,9
106,T101,T101,Charl Schwartzel,71.0,1207,17
107,108,108,Brian Harman,71.05,1492,21
108,T109,T109,Retief Goosen,71.08,853,12
109,T109,T109,Billy Hurley III,71.08,924,13
110,111,111,Morgan Hoffmann,71.1,711,10
111,112,112,K.J. Choi,71.14,996,14
112,T113,T113,Steve Marino,71.18,783,11
113,T113,T113,Steve Stricker,71.18,783,11
114,T115,T115,Daniel Berger,71.19,1495,21
115,T115,T115,James Hahn,71.19,1139,16
116,T115,T115,Gary Woodland,71.19,1495,21
117,118,118,Greg Owen,71.2,712,10
118,119,119,Kevin Chappell,71.21,1353,19
119,120,120,Aaron Baddeley,71.22,1282,18
120,121,121,Tom Hoge,71.23,926,13
121,T122,T122,Luke Donald,71.24,1211,17
122,T122,T122,Emiliano Grillo,71.24,1496,21
123,124,124,Kevin Streelman,71.27,1069,15
124,125,125,Colt Knost,71.29,1212,17
125,126,126,Camilo Villegas,71.31,927,13
126,127,127,Cameron Tringale,71.33,1070,15
127,T128,T128,Scott Pinckney,71.36,999,14
128,T128,T128,Nick Taylor,71.36,999,14
129,130,130,Tony Finau,71.37,1356,19
130,T131,T131,Abraham Ancer,71.4,357,5
131,T131,T131,Andrew Loupe,71.4,714,10
132,T131,T131,Jeff Overton,71.4,714,10
133,134,134,Freddie Jacobson,71.41,1214,17
134,T135,T135,Padraig Harrington,71.45,786,11
135,T135,T135,Mark Hubbard,71.45,1429,20
136,137,137,Tyler Aldridge,71.46,929,13
137,T138,T138,Bill Haas,71.5,1287,18
138,T138,T138,Martin Laird,71.5,1144,16
139,140,140,Jon Curran,71.53,1359,19
140,141,141,Chesson Hadley,71.54,930,13
141,142,142,Billy Horschel,71.56,1145,16
142,T143,T143,Jason Bohn,71.58,859,12
143,T143,T143,Ernie Els,71.58,859,12
144,T145,T145,Shane Lowry,71.64,788,11
145,T145,T145,Mark Wilson,71.64,788,11
146,147,147,Hiroshi Iwata,71.67,860,12
147,T148,T148,Jonas Blixt,71.69,932,13
148,T148,T148,Ben Crane,71.69,932,13
149,150,150,Robert Streb,71.75,1148,16
150,151,151,Derek Ernst,71.78,646,9
151,152,152,Tyrone Van Aswegen,71.8,1436,20
152,153,153,David Toms,71.83,862,12
153,154,154,Jim Herman,71.88,1222,17
154,155,155,Jamie Lovemark,71.89,1366,19
155,156,156,Whee Kim,71.91,791,11
156,157,157,Will MacKenzie,71.93,1007,14
157,158,158,Zac Blair,71.94,1223,17
158,T159,T159,Michael Kim,72.0,1440,20
159,T159,T159,Andrew Landry,72.0,432,6
160,161,161,Scott Brown,72.06,1153,16
161,162,162,Anirban Lahiri,72.07,1081,15
162,163,163,Charley Hoffman,72.11,1370,19
163,164,164,Graham DeLaet,72.23,939,13
164,T165,T165,Ken Duke,72.25,578,8
165,T165,T165,Jason Gore,72.25,867,12
166,167,167,Derek Fathauer,72.38,1158,16
167,T168,T168,Danny Lee,72.39,1303,18
168,T168,T168,Harold Varner III,72.39,1303,18
169,T170,T170,Scott Langley,72.4,724,10
170,T170,T170,Steve Wheatcroft,72.4,1086,15
171,T172,T172,Rhein Gibson,72.5,580,8
172,T172,T172,George McNeill,72.5,290,4
173,174,174,Brendan Steele,72.56,1306,18
174,T175,T175,Rob Oppenheim,72.64,799,11
175,T175,T175,Cameron Smith,72.64,799,11
176,T177,T177,Ángel Cabrera,72.7,727,10
177,T177,T177,Erik Compton,72.7,727,10
178,179,179,Hunter Mahan,72.75,582,8
179,180,180,Dicky Pride,72.86,510,7
180,181,181,D.A. Points,73.0,511,7
181,182,182,Steven Bowditch,73.13,585,8
182,183,183,J.J. Henry,73.3,733,10
183,184,184,Martin Piller,73.5,441,6
184,185,185,D.H. Lee,74.86,524,7
