,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
173,T174,,Jeff Maggert,72.71,1018,14
174,T174,,Nicholas Thompson,72.71,1018,14
175,176,,Rich Beem,72.73,1091,15
176,177,,Tag Ridings,72.76,1237,17
177,T178,,Tim Herron,72.86,1020,14
178,T178,,Mark O'Meara,72.86,510,7
179,180,,Fred Couples,72.89,656,9
180,181,,Sergio Garcia,72.92,875,12
181,182,,Steve Jones,72.93,1021,14
182,T183,,Shane Bertsch,73.0,1387,19
183,T183,,Jon Mills,73.0,438,6
184,185,,Alex Aragon,73.17,439,6
185,T186,,Mark Brooks,73.22,659,9
186,T186,,Ian Leggatt,73.22,659,9
187,T186,,Pat Perez,73.22,659,9
188,189,,Ryan Hietala,73.29,513,7
189,190,,Kirk Triplett,73.3,733,10
190,191,,Peter Lonard,73.35,1247,17
191,192,,Mark Calcavecchia,73.67,1547,21
192,193,,James Driscoll,73.82,812,11
193,194,,"Wes Short, Jr.",74.14,1038,14
194,195,,John Daly,74.57,522,7
195,196,,Hidemichi Tanaka,74.71,523,7
