,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
118,119,119,Steve Flesch,119,71.31,1141,16
119,120,120,Daniel Chopra,110,71.32,1355,19
120,121,121,Vijay Singh,103,71.33,214,3
121,T122,T122,Henrik Bjornstad,97,71.35,1427,20
122,T122,T122,Carl Pettersson,95,71.35,1213,17
123,124,124,Kirk Triplett,58,71.36,785,11
124,125,125,Robert Garrigus,85,71.42,1357,19
125,T126,T126,Tom Pernice Jr.,108,71.43,1000,14
126,T126,T126,Kevin Sutherland,100,71.43,1500,21
127,T128,T128,Ryuji Imada,105,71.44,1286,18
128,T128,T128,Omar Uresti,61,71.44,1143,16
129,130,130,David Branshaw,98,71.48,1501,21
130,131,131,José María Olazábal,62,71.5,429,6
131,T132,T132,Greg Kraft,79,71.57,1002,14
132,T132,T132,Tim Petrovic,95,71.57,1002,14
133,134,134,Jonathan Byrd,66,71.58,859,12
134,135,135,Justin Rose,98,71.62,931,13
135,T136,T136,Todd Fischer,101,71.63,1719,24
136,T136,T136,Jimmy Walker,60,71.63,1146,16
137,T138,T138,Dudley Hart,83,71.67,860,12
138,T138,T138,John Rollins,93,71.67,1290,18
139,140,140,Arjun Atwal,97,71.72,1793,25
140,T141,T141,Shane Bertsch,104,71.76,1507,21
141,T141,T141,David McKenzie,82,71.76,1507,21
142,T143,T143,Mathew Goggin,72,71.77,933,13
143,T143,T143,Tjaart van der Walt,60,71.77,933,13
144,145,145,Ryan Moore,68,71.78,646,9
145,146,146,Greg Chalmers,71,71.81,1149,16
146,147,147,David Toms,76,71.83,431,6
147,148,148,Brad Faxon,78,71.88,1222,17
148,149,149,Daisuke Maruyama,83,71.89,1366,19
149,150,150,J.P. Hayes,55,71.9,719,10
150,151,151,Tag Ridings,103,71.91,1582,22
151,T152,T152,Jonathan Kaye,95,71.93,1079,15
152,T152,T152,Ted Purdy,103,71.93,1079,15
153,T154,T154,Steve Jones,83,71.94,1151,16
154,T154,T154,Brett Quigley,109,71.94,1295,18
155,T156,T156,Tom Lehman,70,72.0,360,5
156,T156,T156,Mark O'Meara,52,72.0,576,8
157,T156,T156,"Wes Short, Jr.",96,72.0,1800,25
158,T156,T156,Chris Smith,67,72.0,1008,14
159,160,160,Brent Geiberger,99,72.04,1945,27
160,161,161,Bob Tway,81,72.06,1225,17
161,162,162,Jeff Maggert,81,72.08,865,12
162,163,163,Jon Mills,68,72.11,1298,18
163,164,164,Charles Howell III,96,72.14,1010,14
164,165,165,Mark Brooks,90,72.17,1732,24
165,166,166,Larry Mize,53,72.25,867,12
166,167,167,"John Engler, Jr.",69,72.26,1373,19
167,168,168,Jason Gore,86,72.29,1012,14
168,169,169,Richard Johnson,94,72.38,941,13
169,170,170,Len Mattiace,59,72.4,1086,15
170,171,171,Doug Barron,74,72.44,1159,16
171,172,172,Ben Curtis,86,72.5,1160,16
172,173,173,Ron Whittaker,81,72.52,1958,27
173,174,174,Mike Sposa,68,72.55,798,11
174,175,175,Davis Love III,85,72.56,653,9
175,176,176,Carlos Franco,86,72.59,1234,17
176,177,177,Roger Tambellini,64,72.69,945,13
177,178,178,Pat Perez,50,72.7,727,10
178,179,179,Ian Leggatt,80,72.76,1237,17
179,180,180,J.L. Lewis,57,72.83,874,12
180,181,181,D.J. Trahan,92,72.91,1604,22
181,182,182,Aaron Baddeley,78,72.93,1021,14
182,T183,T183,Alex Aragon,63,73.0,949,13
183,T183,T183,Bubba Dickerson,98,73.0,1314,18
184,T183,T183,Matt Hansen,68,73.0,1022,14
185,T186,T186,Chris Couch,75,73.18,805,11
186,T186,T186,Ryan Hietala,61,73.18,1244,17
187,188,188,Paul Stankowski,70,73.25,586,8
188,189,189,Nicholas Thompson,96,73.26,1685,23
189,190,190,Craig Barlow,77,73.27,806,11
190,191,191,Todd Hamilton,72,73.3,1466,20
191,192,192,James Driscoll,80,73.46,955,13
192,T193,T193,Adam Scott,70,74.0,148,2
193,T193,T193,Tiger Woods,55,74.0,74,1
194,195,195,Michael Connell,51,74.1,741,10
195,196,196,Hidemichi Tanaka,74,74.2,1484,20
