,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
57,T58,T58,Mathias Grönberg,92,324
58,T58,T58,Richard Johnson,94,324
59,T58,T58,Jeff Overton,95,324
60,61,61,Kevin Sutherland,100,323
61,T62,T62,Stewart Cink,93,322
62,T62,T62,Carl Pettersson,95,322
63,T62,T62,Patrick Sheehan,104,322
64,65,65,Duffy Waldorf,96,320
65,66,66,K.J. Choi,93,319
66,T67,T67,Robert Garrigus,85,318
67,T67,T67,Scott Verplank,88,318
68,T67,T67,Mike Weir,88,318
69,70,70,Brian Davis,92,317
70,T71,T71,Robert Gamez,94,315
71,T71,T71,Will MacKenzie,91,315
72,73,73,Michael Allen,84,313
73,T74,T74,D.J. Trahan,92,312
74,T74,T74,Charles Warren,93,312
75,76,76,Billy Mayfair,94,310
76,77,77,Nicholas Thompson,96,307
77,78,78,Rod Pampling,89,306
78,79,79,Jonathan Kaye,95,305
79,80,80,Robert Damron,91,304
80,T81,T81,Henrik Bjornstad,97,303
81,T81,T81,Chad Campbell,91,303
82,T81,T81,Jesper Parnevik,84,303
83,T84,T84,Jeff Gove,91,302
84,T84,T84,Phil Mickelson,74,302
85,T84,T84,Joey Sindelar,90,302
86,87,87,Ben Crane,85,301
87,T88,T88,Charles Howell III,96,300
88,T88,T88,Brandt Jobe,91,300
89,T88,T88,Rory Sabbatini,84,300
90,91,91,Rich Beem,85,298
91,92,92,Tim Clark,80,297
92,93,93,Bob Estes,85,295
93,94,94,Davis Love III,85,294
94,T95,T95,Stuart Appleby,83,292
95,T95,T95,Bubba Watson,83,292
96,97,97,Dudley Hart,83,291
97,T98,T98,Briny Baird,81,290
98,T98,T98,Stephen Leaney,84,290
99,T98,T98,Arron Oberholser,82,290
100,T98,T98,Chris Riley,86,290
101,T102,T102,Carlos Franco,86,289
102,T102,T102,Zach Johnson,98,289
103,104,104,Robert Allenby,79,288
104,T105,T105,Paul Azinger,87,286
105,T105,T105,Tim Petrovic,95,286
106,T107,T107,Greg Owen,79,284
107,T107,T107,Mark Wilson,79,284
108,T109,T109,Chris Couch,75,282
109,T109,T109,D.A. Points,82,282
110,T111,T111,Kris Cox,83,281
111,T111,T111,Jason Gore,86,281
112,T111,T111,J.B. Holmes,81,281
113,T114,T114,Jonathan Byrd,66,280
114,T114,T114,Daisuke Maruyama,83,280
115,116,116,Lee Janzen,79,279
116,T117,T117,Chris DiMarco,83,277
117,T117,T117,David McKenzie,82,277
118,119,119,Ben Curtis,86,274
119,T120,T120,Craig Barlow,77,272
120,T120,T120,Jeff Maggert,81,272
121,122,122,Bart Bryant,87,270
122,123,123,David Toms,76,266
123,124,124,Adam Scott,70,262
124,T125,T125,Aaron Baddeley,78,261
125,T125,T125,James Driscoll,80,261
126,127,127,Steve Jones,83,258
127,128,128,Mark Brooks,90,256
128,129,129,Bob Tway,81,254
129,130,130,John Huston,74,253
130,T131,T131,Tim Herron,82,252
131,T131,T131,Ron Whittaker,81,252
132,133,133,Geoff Ogilvy,76,251
133,134,134,Ian Leggatt,80,250
134,135,135,Billy Andrade,78,249
135,136,136,Bernhard Langer,77,247
136,137,137,Justin Leonard,83,246
137,T138,T138,Skip Kendall,72,244
138,T138,T138,Jason Schultz,77,244
139,140,140,Steve Stricker,64,243
140,T141,T141,Greg Kraft,79,242
141,T141,T141,Kenny Perry,73,242
142,T141,T141,Tiger Woods,55,242
143,T144,T144,Brad Faxon,78,241
144,T144,T144,Paul Goydos,72,241
145,146,146,Doug Barron,74,238
146,147,147,Mathew Goggin,72,237
147,T148,T148,Luke Donald,66,235
148,T148,T148,David Duval,71,235
149,T148,T148,Ryan Moore,68,235
150,151,151,Ernie Els,69,234
151,152,152,Tommy Armour III,65,232
152,153,153,Peter Lonard,77,231
153,154,154,Chris Smith,67,229
154,T155,T155,Stephen Ames,63,227
155,T155,T155,Bob May,65,227
156,157,157,Paul Stankowski,70,226
157,158,158,Matt Hansen,68,222
158,T159,T159,Greg Chalmers,71,218
159,T159,T159,John Cook,67,218
160,T159,T159,Danny Ellis,68,218
161,T159,T159,J.P. Hayes,55,218
162,163,163,Retief Goosen,68,217
163,164,164,Sergio Garcia,59,210
164,165,165,Todd Hamilton,72,208
165,166,166,Mike Sposa,68,207
166,167,167,Corey Pavin,74,202
167,T168,T168,Brian Bateman,69,201
168,T168,T168,Kirk Triplett,58,201
169,170,170,Vance Veazey,59,200
170,171,171,Freddie Jacobson,56,199
171,172,172,José María Olazábal,62,198
172,173,173,Omar Uresti,61,195
173,T174,T174,Alex Aragon,63,193
174,T174,T174,Hidemichi Tanaka,74,193
175,176,176,Jimmy Walker,60,192
176,177,177,Roger Tambellini,64,191
177,T178,T178,"John Engler, Jr.",69,189
178,T178,T178,Ian Poulter,53,189
179,T180,T180,Len Mattiace,59,187
180,T180,T180,Jon Mills,68,187
181,182,182,Padraig Harrington,54,186
182,183,183,Pat Perez,50,185
183,T184,T184,Scott Gutschewski,53,178
184,T184,T184,Ryan Hietala,61,178
185,186,186,Tom Lehman,70,177
186,187,187,J.L. Lewis,57,175
187,T188,T188,David Howell,52,172
188,T188,T188,Tjaart van der Walt,60,172
189,190,190,John Daly,51,171
190,191,191,Steve Elkington,52,164
191,192,192,Fred Couples,52,161
192,193,193,Mark O'Meara,52,154
193,T194,T194,Michael Connell,51,148
194,T194,T194,Thomas Levet,53,148
195,196,196,Larry Mize,53,140
