,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
45,T46,T46,John Cook,67,70.73,2617,37
46,T46,T46,Corey Pavin,74,70.73,2617,37
47,T48,T48,Stephen Ames,63,70.75,1981,28
48,T48,T48,Olin Browne,108,70.75,4245,60
49,50,50,Duffy Waldorf,96,70.76,3609,51
50,T51,T51,Mathias Grönberg,92,70.77,3043,43
51,T51,T51,Chris Riley,86,70.77,2760,39
52,53,53,Bob Estes,85,70.78,3185,45
53,T54,T54,Ernie Els,69,70.79,1699,24
54,T54,T54,John Rollins,93,70.79,3044,43
55,T54,T54,Dean Wilson,115,70.79,4035,57
56,T57,T57,Joe Durant,101,70.8,3186,45
57,T57,T57,Richard Johnson,94,70.8,3186,45
58,T57,T57,Vaughn Taylor,88,70.8,3115,44
59,60,60,Skip Kendall,72,70.81,2620,37
60,T61,T61,Bubba Dickerson,98,70.83,3825,54
61,T61,T61,Retief Goosen,68,70.83,1700,24
62,T61,T61,Ron Whittaker,81,70.83,2904,41
63,64,64,Shaun Micheel,96,70.84,3046,43
64,65,65,Frank Lickliter II,99,70.85,3330,47
65,T66,T66,K.J. Choi,93,70.86,3543,50
66,T66,T66,Pat Perez,50,70.86,1984,28
67,T68,T68,Dudley Hart,83,70.88,3048,43
68,T68,T68,Greg Kraft,79,70.88,2835,40
69,T68,T68,Geoff Ogilvy,76,70.88,2268,32
70,T68,T68,Bob Tway,81,70.88,2906,41
71,T68,T68,Omar Uresti,61,70.88,2268,32
72,T73,T73,Eric Axley,91,70.89,3332,47
73,T73,T73,Paul Azinger,87,70.89,3332,47
74,T73,T73,J.J. Henry,96,70.89,3261,46
75,76,76,Bubba Watson,83,70.9,2978,42
76,T77,T77,Tim Clark,80,70.92,2624,37
77,T77,T77,Marco Dawson,87,70.92,3546,50
78,T79,T79,Kent Jones,103,70.93,3972,56
79,T79,T79,Stephen Leaney,84,70.93,2908,41
80,81,81,Jeff Overton,95,70.95,4044,57
81,T82,T82,Troy Matteson,101,70.96,3548,50
82,T82,T82,Jeff Sluman,101,70.96,3690,52
83,T82,T82,D.J. Trahan,92,70.96,3335,47
84,T85,T85,Kris Cox,83,70.98,2981,42
85,T85,T85,Rory Sabbatini,84,70.98,3194,45
86,T87,T87,Arjun Atwal,97,71.0,3124,44
87,T87,T87,Brian Davis,92,71.0,3763,53
88,T87,T87,Chris DiMarco,83,71.0,2840,40
89,T87,T87,Bill Haas,99,71.0,3408,48
90,T87,T87,Chris Smith,67,71.0,2130,30
91,T92,T92,Ryan Palmer,101,71.02,3409,48
92,T92,T92,Jerry Smith,94,71.02,3835,54
93,94,94,Tom Lehman,70,71.03,2486,35
94,95,95,Brandt Jobe,91,71.04,3481,49
95,T96,T96,Craig Barlow,77,71.05,2771,39
96,T96,T96,Zach Johnson,98,71.05,2913,41
97,T96,T96,David McKenzie,82,71.05,2913,41
98,99,99,Michael Allen,84,71.07,2985,42
99,T100,T100,Patrick Sheehan,104,71.08,3767,53
100,T100,T100,Nick Watney,97,71.08,3483,49
101,T102,T102,Aaron Baddeley,78,71.1,2773,39
102,T102,T102,Carl Pettersson,95,71.1,3413,48
103,104,104,Stuart Appleby,83,71.12,2418,34
104,105,105,Alex Cejka,93,71.13,3414,48
105,106,106,Jonathan Kaye,95,71.14,3486,49
106,T107,T107,Fred Funk,106,71.15,3842,54
107,T107,T107,Nathan Green,108,71.15,3771,53
108,109,109,Billy Mayfair,94,71.18,3559,50
109,T110,T110,John Huston,74,71.19,2990,42
110,T110,T110,Freddie Jacobson,56,71.19,1851,26
111,112,112,Ted Purdy,103,71.2,3631,51
112,113,113,Rich Beem,85,71.21,2991,42
113,T114,T114,Chad Campbell,91,71.22,2920,41
114,T114,T114,Chris Couch,75,71.22,2920,41
115,T116,T116,Mathew Goggin,72,71.24,2636,37
116,T116,T116,D.A. Points,82,71.24,2992,42
117,T118,T118,Todd Fischer,101,71.26,3563,50
118,T118,T118,J.P. Hayes,55,71.26,1924,27
119,T118,T118,Nicholas Thompson,96,71.26,3563,50
120,121,121,Robert Garrigus,85,71.28,3065,43
121,T122,T122,Billy Andrade,78,71.29,2709,38
122,T122,T122,Ryan Moore,68,71.29,2210,31
123,T124,T124,Bart Bryant,87,71.3,3137,44
124,T124,T124,Ben Curtis,86,71.3,3137,44
125,T124,T124,Jerry Kelly,100,71.3,3280,46
126,T127,T127,Jeff Gove,91,71.31,2995,42
127,T127,T127,Matt Hansen,68,71.31,2567,36
128,T127,T127,Justin Leonard,83,71.31,2567,36
129,T127,T127,Thomas Levet,53,71.31,2068,29
130,131,131,Bernhard Langer,77,71.33,2568,36
131,132,132,Ian Leggatt,80,71.34,2711,38
132,133,133,Kenny Perry,73,71.38,2784,39
133,134,134,Bob May,65,71.39,2213,31
134,135,135,José María Olazábal,62,71.42,2214,31
135,T136,T136,Danny Ellis,68,71.43,2857,40
136,T136,T136,Jeff Maggert,81,71.43,2857,40
137,T136,T136,Paul Stankowski,70,71.43,2857,40
138,139,139,Camilo Villegas,95,71.44,3215,45
139,T140,T140,Robert Damron,91,71.47,3502,49
140,T140,T140,Heath Slocum,96,71.47,3645,51
141,142,142,Mike Sposa,68,71.48,2859,40
142,143,143,Will MacKenzie,91,71.5,3003,42
143,144,144,Charles Howell III,96,71.51,3933,55
144,145,145,Henrik Bjornstad,97,71.52,3576,50
145,146,146,Jeff Brehaut,100,71.53,3505,49
146,147,147,Sergio Garcia,59,71.54,1860,26
147,148,148,Jimmy Walker,60,71.55,2075,29
148,149,149,Mark Brooks,90,71.56,3077,43
149,150,150,Shane Bertsch,104,71.58,3794,53
150,T151,T151,J.L. Lewis,57,71.59,2076,29
151,T151,T151,Tjaart van der Walt,60,71.59,2291,32
152,153,153,Steve Lowery,99,71.62,3581,50
153,154,154,Fred Couples,52,71.65,1863,26
154,T155,T155,Woody Austin,107,71.67,3870,54
155,T155,T155,Tag Ridings,103,71.67,3727,52
156,T157,T157,Tommy Armour III,65,71.68,2652,37
157,T157,T157,Ben Crane,85,71.68,2939,41
158,159,159,Tim Petrovic,95,71.69,3943,55
159,T160,T160,J.B. Holmes,81,71.73,2941,41
160,T160,T160,Kirk Triplett,58,71.73,2152,30
161,162,162,Scott Gutschewski,53,71.74,1650,23
162,163,163,Jon Mills,68,71.77,2512,35
163,T164,T164,Carlos Franco,86,71.78,3230,45
164,T164,T164,Paul Goydos,72,71.78,2656,37
165,166,166,Sean O'Hair,100,71.85,3952,55
166,167,167,Larry Mize,53,71.86,2012,28
167,168,168,Steve Jones,83,71.87,3234,45
168,169,169,Len Mattiace,59,71.9,2157,30
169,T170,T170,Brad Faxon,78,71.96,3310,46
170,T170,T170,Joey Sindelar,90,71.96,3382,47
171,172,172,Jason Schultz,77,71.97,2735,38
172,T173,T173,Peter Lonard,77,72.03,2809,39
173,T173,T173,Vance Veazey,59,72.03,2449,34
174,175,175,Michael Connell,51,72.04,1801,25
175,176,176,Greg Chalmers,71,72.1,2812,39
176,T177,T177,Doug Barron,74,72.11,2740,38
177,T177,T177,"Wes Short, Jr.",96,72.11,3389,47
178,179,179,Mark Calcavecchia,94,72.13,3462,48
179,180,180,Ian Poulter,53,72.15,1443,20
180,181,181,James Driscoll,80,72.16,3103,43
181,T182,T182,Robert Gamez,94,72.17,3897,54
182,T182,T182,David Howell,52,72.17,1732,24
183,184,184,Roger Tambellini,64,72.2,2166,30
184,185,185,Brian Bateman,69,72.21,2455,34
185,186,186,Mark O'Meara,52,72.29,2024,28
186,187,187,Tim Herron,82,72.33,2893,40
187,188,188,Lee Janzen,79,72.53,3119,43
188,189,189,Ryan Hietala,61,72.55,2394,33
189,190,190,David Duval,71,72.66,2761,38
190,191,191,"John Engler, Jr.",69,72.76,2401,33
191,192,192,Jason Gore,86,72.79,3494,48
192,193,193,Hidemichi Tanaka,74,72.89,2697,37
193,194,194,Todd Hamilton,72,73.27,3004,41
194,195,195,John Daly,51,73.38,2128,29
195,196,196,Alex Aragon,63,73.47,2498,34
