,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
70,71,71,Bob May,70.88,2906,41
71,T72,T72,Steve Lowery,70.9,4254,60
72,T72,T72,Will MacKenzie,70.9,4183,59
73,74,74,Shaun Micheel,70.91,4113,58
74,75,75,Bubba Watson,70.92,3617,51
75,76,76,Daisuke Maruyama,70.94,3476,49
76,77,77,Alex Cejka,70.95,4257,60
77,T78,T78,John Cook,70.96,3335,47
78,T78,T78,Shigeki Maruyama,70.96,3974,56
79,T80,T80,Retief Goosen,70.97,2271,32
80,T80,T80,Billy Mayfair,70.97,4187,59
81,T82,T82,Marco Dawson,70.98,3904,55
82,T82,T82,Stephen Leaney,70.98,3975,56
83,T82,T82,Chris Smith,70.98,3052,43
84,T85,T85,Bill Haas,71.0,4331,61
85,T85,T85,Kenny Perry,71.0,2982,42
86,T87,T87,Jerry Kelly,71.02,4616,65
87,T87,T87,Rod Pampling,71.02,3267,46
88,T87,T87,Duffy Waldorf,71.02,4048,57
89,T87,T87,Brett Wetterich,71.02,3622,51
90,91,91,Tom Pernice Jr.,71.03,4759,67
91,92,92,Jeff Overton,71.04,3907,55
92,93,93,Mathias Grönberg,71.05,4192,59
93,94,94,Shane Bertsch,71.06,4690,66
94,T95,T95,Kris Cox,71.07,4051,57
95,T95,T95,Jeff Gove,71.07,4051,57
96,T95,T95,Peter Lonard,71.07,2985,42
97,T95,T95,Camilo Villegas,71.07,4051,57
98,T99,T99,John Huston,71.08,3483,49
99,T99,T99,Geoff Ogilvy,71.08,2701,38
100,101,101,Mark Calcavecchia,71.1,3697,52
101,T102,T102,Brian Davis,71.11,3982,56
102,T102,T102,Richard Johnson,71.11,4338,61
103,T104,T104,Sergio Garcia,71.13,2205,31
104,T104,T104,Chris Riley,71.13,3699,52
105,T106,T106,Robert Garrigus,71.15,3913,55
106,T106,T106,Corey Pavin,71.15,3344,47
107,108,108,David McKenzie,71.16,4056,57
108,T109,T109,Fred Couples,71.19,2278,32
109,T109,T109,Todd Fischer,71.19,4841,68
110,T109,T109,Omar Uresti,71.19,3061,43
111,112,112,Ian Poulter,71.21,1994,28
112,T113,T113,Freddie Jacobson,71.22,2635,37
113,T113,T113,Bob Tway,71.22,3561,50
114,115,115,Heath Slocum,71.23,4274,60
115,116,116,Joe Ogilvie,71.25,4204,59
116,117,117,Dudley Hart,71.26,3848,54
117,T118,T118,Paul Azinger,71.27,3991,56
118,T118,T118,Chris DiMarco,71.27,3492,49
119,T118,T118,Paul Goydos,71.27,3635,51
120,T118,T118,Jonathan Kaye,71.27,4276,60
121,T118,T118,Vaughn Taylor,71.27,3706,52
122,T123,T123,Kent Jones,71.28,4633,65
123,T123,T123,Patrick Sheehan,71.28,4918,69
124,T125,T125,Justin Leonard,71.3,3565,50
125,T125,T125,D.A. Points,71.3,4064,57
126,T127,T127,J.P. Hayes,71.31,2781,39
127,T127,T127,Tim Herron,71.31,3851,54
128,T129,T129,Bart Bryant,71.34,3567,50
129,T129,T129,John Rollins,71.34,3995,56
130,131,131,Robert Gamez,71.35,4495,63
131,132,132,Troy Matteson,71.36,4781,67
132,133,133,Tom Lehman,71.38,2641,37
133,134,134,Tag Ridings,71.39,4783,67
134,T135,T135,Eric Axley,71.4,4070,57
135,T135,T135,Jeff Maggert,71.4,3927,55
136,137,137,Pat Perez,71.41,2428,34
137,138,138,Sean O'Hair,71.42,4285,60
138,139,139,Paul Stankowski,71.44,3215,45
139,T140,T140,Jeff Brehaut,71.46,4788,67
140,T140,T140,Charles Howell III,71.46,4002,56
141,T142,T142,Arjun Atwal,71.47,4717,66
142,T142,T142,Ben Curtis,71.47,3788,53
143,T142,T142,Steve Jones,71.47,3931,55
144,145,145,Bubba Dickerson,71.48,4360,61
145,T146,T146,Henrik Bjornstad,71.49,4361,61
146,T146,T146,J.B. Holmes,71.49,3360,47
147,148,148,Aaron Baddeley,71.5,3432,48
148,149,149,Rich Beem,71.52,3862,54
149,T150,T150,Tim Petrovic,71.56,4365,61
150,T150,T150,Tjaart van der Walt,71.56,2934,41
151,T152,T152,Jason Schultz,71.58,3937,55
152,T152,T152,Kirk Triplett,71.58,2577,36
153,T154,T154,Robert Damron,71.63,4656,65
154,T154,T154,Joey Sindelar,71.63,4298,60
155,156,156,Carlos Franco,71.67,4300,60
156,T157,T157,Ted Purdy,71.69,4803,67
157,T157,T157,Nicholas Thompson,71.69,4660,65
158,T159,T159,Danny Ellis,71.7,3155,44
159,T159,T159,Scott Gutschewski,71.7,2653,37
160,161,161,Greg Kraft,71.71,3657,51
161,162,162,D.J. Trahan,71.72,4590,64
162,163,163,Carl Pettersson,71.75,4018,56
163,164,164,Brian Bateman,71.77,3445,48
164,165,165,Tommy Armour III,71.81,3375,47
165,166,166,Ron Whittaker,71.83,3807,53
166,167,167,Thomas Levet,71.88,2372,33
167,T168,T168,Larry Mize,71.89,2516,35
168,T168,T168,"Wes Short, Jr.",71.89,4745,66
169,170,170,Ian Leggatt,71.9,4170,58
170,171,171,Matt Hansen,71.92,3452,48
171,T172,T172,James Driscoll,71.93,4172,58
172,T172,T172,Jimmy Walker,71.93,2877,40
173,174,174,Chris Couch,71.98,3959,55
174,175,175,Vance Veazey,72.0,2880,40
175,176,176,Mark Brooks,72.03,5186,72
176,177,177,David Duval,72.04,3458,48
177,T178,T178,Doug Barron,72.06,3891,54
178,T178,T178,J.L. Lewis,72.06,2594,36
179,180,180,Lee Janzen,72.12,4183,58
180,181,181,Jon Mills,72.13,3967,55
181,182,182,Mike Sposa,72.19,3393,47
182,T183,T183,Brad Faxon,72.21,3827,53
183,T183,T183,Mathew Goggin,72.21,3755,52
184,185,185,Jason Gore,72.26,4119,57
185,186,186,Len Mattiace,72.47,3406,47
186,T187,T187,Ryan Hietala,72.49,3262,45
187,T187,T187,Mark O'Meara,72.49,2682,37
188,189,189,Roger Tambellini,72.53,3554,49
189,190,190,John Daly,72.6,2541,35
190,191,191,Greg Chalmers,72.65,3996,55
191,192,192,Alex Aragon,72.96,3648,50
192,193,193,Michael Connell,72.98,3065,42
193,194,194,"John Engler, Jr.",73.02,3870,53
194,195,195,Hidemichi Tanaka,73.07,4311,59
195,196,196,Todd Hamilton,73.27,4103,56
