,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
85,T86,T86,Ben Crane,85,"12' 6""",524.6669999999999,42,77
86,T86,T86,Ernie Els,72,"12' 6""",635.6669999999999,51,41
87,T86,T86,Retief Goosen,75,"12' 6""",511.667,41,12
88,T86,T86,Charley Hoffman,85,"12' 6""",687.25,55,49
89,T86,T86,Skip Kendall,58,"12' 6""",586.75,47,106
90,T86,T86,Geoff Ogilvy,62,"12' 6""",587.6669999999999,47,135
91,T86,T86,Mark Wilson,87,"12' 6""",924.1669999999999,74,27
92,T93,T93,Chad Collins,87,"12' 7""",943.6669999999999,75,9
93,T93,T93,Ryan Moore,80,"12' 7""",630.6669999999999,50,47
94,T93,T93,Cameron Percy,73,"12' 7""",617.6669999999999,49,122
95,T93,T93,Brett Quigley,96,"12' 7""",906.5830000000001,72,99
96,T93,T93,David Toms,86,"12' 7""",577.5,46,39
97,T93,T93,D.J. Trahan,92,"12' 7""",790.5830000000001,63,157
98,T93,T93,Scott Verplank,74,"12' 7""",516.1669999999999,41,71
99,T93,T93,Steve Wheatcroft,74,"12' 7""",754.4169999999999,60,183
100,T93,T93,Dean Wilson,54,"12' 7""",328.083,26,1
101,T102,T102,Matt Bettencourt,91,"12' 8""",849.9169999999999,67,97
102,T102,T102,Jerry Kelly,99,"12' 8""",963.0,76,100
103,T102,T102,Cliff Kresge,50,"12' 8""",316.0,25,77
104,T102,T102,Tim Petrovic,105,"12' 8""",935.3330000000001,74,51
105,T102,T102,Carl Pettersson,99,"12' 8""",811.6669999999999,64,28
106,T102,T102,Roland Thatcher,72,"12' 8""",644.6669999999999,51,116
107,T108,T108,Ben Curtis,78,"12' 9""",610.1669999999999,48,60
108,T108,T108,Troy Matteson,84,"12' 9""",625.25,49,140
109,T108,T108,Billy Mayfair,78,"12' 9""",586.5,46,147
110,T108,T108,Alex Prugh,88,"12' 9""",892.4169999999999,70,151
111,T108,T108,Nicholas Thompson,88,"12' 9""",881.5830000000001,69,191
112,T113,T113,Justin Bolli,55,"12' 10""",371.833,29,162
113,T113,T113,Lee Janzen,77,"12' 10""",718.6669999999999,56,102
114,T113,T113,Bill Lunde,79,"12' 10""",640.9169999999999,50,109
115,T113,T113,George McNeill,79,"12' 10""",771.0,60,149
116,T113,T113,Michael Sim,64,"12' 10""",643.5,50,35
117,T118,T118,Steve Marino,81,"12' 11""",865.9169999999999,67,132
118,T118,T118,Ian Poulter,55,"12' 11""",375.333,29,57
119,T118,T118,Cameron Tringale,55,"12' 11""",440.083,34,178
120,T121,T121,Craig Bowden,56,"13' 0""",586.4169999999999,45,91
121,T121,T121,Kevin Stadler,86,"13' 0""",820.5,63,138
122,T121,T121,Jerod Turner,54,"13' 0""",635.8330000000001,49,186
123,T124,T124,Paul Goydos,78,"13' 1""",721.25,55,155
124,T124,T124,Derek Lamely,81,"13' 1""",773.25,59,119
125,T124,T124,John Merrick,109,"13' 1""",866.0,66,121
126,T127,T127,Stewart Cink,84,"13' 2""",699.1669999999999,53,118
127,T127,T127,Rod Pampling,77,"13' 2""",791.5,60,67
128,T127,T127,Vijay Singh,75,"13' 2""",553.75,42,129
129,T130,T130,Cameron Beckman,68,"13' 3""",634.75,48,93
130,T130,T130,K.J. Choi,82,"13' 3""",438.25,33,20
131,T130,T130,Chris Wilson,65,"13' 3""",649.6669999999999,49,173
132,T133,T133,Greg Chalmers,93,"13' 4""",826.8330000000001,62,10
133,T133,T133,Chris Tidland,77,"13' 4""",721.5,54,110
134,T135,T135,Alex Cejka,81,"13' 5""",617.3330000000001,46,130
135,T135,T135,Steve Elkington,74,"13' 5""",618.75,46,11
136,T135,T135,Rocco Mediate,71,"13' 5""",591.25,44,120
137,T135,T135,Josh Teater,101,"13' 5""",979.9169999999999,73,124
138,T139,T139,J.J. Henry,92,"13' 7""",936.4169999999999,69,62
139,T139,T139,Matt Kuchar,97,"13' 7""",774.5,57,5
140,T141,T141,Briny Baird,87,"13' 8""",627.0830000000001,46,37
141,T141,T141,Mark Calcavecchia,50,"13' 8""",382.75,28,185
142,T141,T141,Mathew Goggin,85,"13' 8""",967.9169999999999,71,167
143,T141,T141,Davis Love III,79,"13' 8""",572.6669999999999,42,165
144,T145,T145,Robert Allenby,76,"13' 9""",647.1669999999999,47,131
145,T145,T145,Michael Letzig,84,"13' 9""",769.3330000000001,56,137
146,T145,T145,Kevin Streelman,90,"13' 9""",824.6669999999999,60,127
147,T145,T145,Boo Weekley,88,"13' 9""",617.5830000000001,45,53
148,T149,T149,Henrik Bjornstad,72,"13' 10""",679.6669999999999,49,190
149,T149,T149,Martin Flores,75,"13' 10""",925.4169999999999,67,172
150,T149,T149,Bill Haas,87,"13' 10""",607.25,44,98
151,T149,T149,John Mallinger,78,"13' 10""",567.0,41,84
152,T149,T149,Y.E. Yang,72,"13' 10""",568.75,41,134
153,154,154,Garrett Willis,82,"13' 11""",990.8330000000001,71,152
154,T155,T155,Brad Faxon,58,"14' 0""",614.4169999999999,44,192
155,T155,T155,Joe Ogilvie,99,"14' 0""",1005.0830000000001,72,126
156,T155,T155,Vaughn Taylor,87,"14' 0""",924.0,66,111
157,T158,T158,Matt Every,60,"14' 1""",521.6669999999999,37,105
158,T158,T158,Scott McCarron,90,"14' 1""",999.9169999999999,71,43
159,160,160,John Rollins,81,"14' 2""",1118.333,79,74
160,T161,T161,Ángel Cabrera,64,"14' 3""",756.5,53,153
161,T161,T161,Jay Williamson,76,"14' 3""",399.917,28,58
162,163,163,Rickie Fowler,98,"14' 4""",715.8330000000001,50,66
163,T164,T164,Joe Durant,67,"14' 5""",519.4169999999999,36,76
164,T164,T164,Trevor Immelman,55,"14' 5""",548.5830000000001,38,65
165,T164,T164,Paul Stankowski,62,"14' 5""",748.5830000000001,52,150
166,T164,T164,Vance Veazey,58,"14' 5""",662.4169999999999,46,187
167,T168,T168,Blake Adams,84,"14' 6""",768.3330000000001,53,112
168,T168,T168,Rory McIlroy,54,"14' 6""",420.917,29,56
169,T168,T168,Troy Merritt,86,"14' 6""",927.6669999999999,64,156
170,T171,T171,D.A. Points,90,"14' 7""",1033.083,71,85
171,T171,T171,Ted Purdy,86,"14' 7""",1109.917,76,180
172,T171,T171,Adam Scott,70,"14' 7""",495.5,34,171
173,174,174,James Driscoll,78,"14' 8""",1145.5,78,95
174,175,175,Kris Blanks,91,"14' 9""",797.5,54,170
175,T176,T176,John Daly,63,"14' 10""",490.25,33,174
176,T176,T176,Brenden Pappas,66,"14' 10""",549.5830000000001,37,143
177,T176,T176,Johnson Wagner,85,"14' 10""",710.3330000000001,48,96
178,179,179,Bubba Watson,77,"14' 11""",1000.1669999999999,67,147
179,180,180,John Senden,103,"15' 5""",970.6669999999999,63,104
180,181,181,Jeff Maggert,76,"15' 9""",756.0830000000001,48,141
181,182,182,Tim Herron,79,"15' 10""",871.75,55,80
182,T183,T183,Mathias Grönberg,61,"16' 0""",672.5830000000001,42,90
183,T183,T183,Steve Lowery,67,"16' 0""",672.3330000000001,42,188
184,185,185,Hunter Mahan,85,"16' 2""",826.3330000000001,51,85
185,T186,T186,Robert Garrigus,71,"16' 3""",633.75,39,182
186,T186,T186,Kenny Perry,69,"16' 3""",551.5,34,33
187,188,188,Charles Warren,64,"16' 11""",745.0,44,160
188,189,189,Richard Johnson,90,"17' 1""",751.75,44,72
189,190,190,Chris Couch,66,"17' 4""",709.0830000000001,41,133
190,191,191,Brent Delahoussaye,57,"18' 0""",539.8330000000001,30,164
191,192,192,Greg Kraft,52,"19' 1""",744.6669999999999,39,177
