,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
185,186,186,Henrik Bjornstad,21,8.952,188.0
186,187,187,Garth Mulroy,18,8.899,160.17600000000002
187,188,188,Rich Beem,9,8.866,79.79
188,189,189,Tim Wilkinson,15,8.857000000000001,132.861
189,190,190,Fred Funk,5,8.794,43.97
190,191,191,Omar Uresti,22,8.744,192.361
191,192,192,Johnson Wagner,23,8.562000000000001,196.93200000000002
192,193,193,Greg Owen,22,8.386000000000001,184.486
193,194,194,Chez Reavie,15,8.333,125.0
194,195,195,Matt Weibring,10,8.275,82.75
195,196,196,Marco Dawson,10,8.2,82.0
196,197,197,Jason Gore,10,8.1,81.0
197,198,198,Guy Boros,6,8.042,48.25
198,199,199,Dicky Pride,5,7.85,39.25
199,200,200,Charles Warren,16,7.229,115.667
200,201,201,Rocco Mediate,21,7.159,150.34
201,202,202,Cliff Kresge,13,7.024,91.311
202,203,203,Harrison Frazar,17,6.824,116.0
203,204,204,Roland Thatcher,21,6.752999999999999,141.813
204,205,205,Martin Flores,21,6.528,137.09
205,206,206,Cameron Tringale,17,6.294,107.0
206,207,207,Daniel Chopra,23,6.1610000000000005,141.695
207,208,208,Mark Calcavecchia,15,5.895,88.42
208,209,209,Robert Damron,4,5.875,23.5
209,210,210,Robert Gamez,8,5.825,46.6
210,211,211,John Daly,17,5.722,97.28
211,212,212,Jonathan Kaye,6,5.625,33.75
212,213,213,David Lutterus,20,5.15,103.0
213,214,214,Willie Wood,1,5.0,5.0
214,215,215,Shigeki Maruyama,4,4.875,19.5
215,216,216,Brenden Pappas,19,4.664,88.611
216,217,217,Jeff Gove,17,4.515,76.75
217,218,218,Len Mattiace,5,4.3,21.5
218,219,219,Craig Bowden,19,4.168,79.19
219,220,220,Vance Veazey,18,4.069,73.24
220,221,221,Todd Hamilton,16,3.969,63.5
221,222,222,John Morse,5,3.722,18.611
222,223,223,Fran Quinn,7,3.714,26.0
223,224,224,Tom Byrum,3,3.667,11.0
224,225,225,Jim Carter,5,3.5,17.5
225,226,226,J.L. Lewis,4,3.438,13.75
226,227,227,John Huston,12,3.302,39.62
227,228,228,Michael Clark II,6,3.167,19.0
228,229,229,Steve Lowery,22,3.0580000000000003,67.271
229,230,230,Phil Tataurangi,4,2.945,11.78
230,231,231,Chris Wilson,21,2.75,57.75
231,232,232,Jerod Turner,21,2.694,56.58
232,233,233,Brent Delahoussaye,16,2.6719999999999997,42.75
233,234,234,Chris Smith,10,2.65,26.5
234,235,235,Mark Brooks,12,2.438,29.25
235,236,236,Kevin Johnson,22,2.3930000000000002,52.65
236,237,237,Parker McLachlin,15,2.1590000000000003,32.39
237,238,238,Brad Faxon,19,2.074,39.4
238,239,239,Tommy Armour III,4,1.5,6.0
239,240,240,Andrew McLardy,16,1.406,22.5
240,241,241,Chris Baryla,7,1.273,8.91
241,242,242,Eric Axley,5,1.1,5.5
242,243,243,Paul Azinger,1,0.86,0.86
243,244,244,Greg Kraft,17,0.816,13.87
244,245,245,Robin Freeman,4,0.5529999999999999,2.21
245,246,246,Brad Adamonis,4,0.436,1.745
246,247,247,Justin Bolli,18,0.342,6.16
247,248,248,Spike McRoy,4,0.113,0.45
