,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
262,264,,Aaron Townsend,40,0.16,6.57,-2.43,7.01
263,265,,Lian-Wei Zhang,40,0.16,6.55,-5.58,3.63
264,266,,Ulrich Van den Berg,40,0.16,6.55,-7.15,4.8
265,267,,Dawie van der Walt,40,0.16,6.49,-5.94,5.49
266,268,,Takeshi Kajikawa,40,0.16,6.43,-8.13,
267,269,,Craig Parry,47,0.16,7.51,-9.41,5.72
268,270,,Tatsunori Nukaga,44,0.16,6.99,-5.94,2.5
269,271,,Taichiro Kiyota,51,0.16,8.01,-11.63,4.02
270,272,,Ryan Haller,40,0.16,6.27,-0.83,6.09
271,273,,Keiichiro Fukabori,40,0.16,6.24,-13.2,6.22
272,274,,Katsunori Kuwabara,43,0.15,6.62,-7.21,2.8
273,275,,Titch Moore,40,0.15,6.12,-10.82,1.66
274,276,,Artemio Murakami,40,0.15,6.09,-5.57,4.08
275,277,,Oliver Bekker,40,0.15,6.07,-0.06,6.07
276,278,,Prom Meesawat,44,0.15,6.62,-4.84,5.88
277,279,,Steven Conran,46,0.15,6.91,-25.48,1.2
278,280,,Esteban Toledo,50,0.15,7.45,-11.11,1.3
279,281,,Satoshi Tomiyama,40,0.15,5.96,-3.58,5.36
280,282,,David Gleeson,40,0.14,5.79,-23.85,3.78
281,283,,Kim Dae-sub,40,0.14,5.68,-9.35,1.2
282,284,,Chris Swanepoel,40,0.13,5.38,-3.92,4.6
283,285,,Anton Haig,51,0.13,6.76,-2.45,8.21
284,286,,Hidemichi Tanaka,40,0.13,5.26,-1.94,3.18
285,287,,Michael Curtain,40,0.13,5.2,-4.16,4.8
286,288,,Rohan Blizard,40,0.13,5.17,-1.43,4.48
287,289,,Richard Lee,40,0.13,5.14,-1.31,5.67
288,290,,Chawalit Plaphol,46,0.13,5.91,-16.31,4.97
289,291,,Akinori Tani,40,0.13,5.08,-0.51,5.59
290,292,,Ashun Wu,40,0.13,5.02,-9.07,3.14
291,293,,Kiyoshi Murota,40,0.13,5.01,-3.46,2.93
292,294,,Leigh McKechnie,40,0.12,4.94,-2.11,2.48
293,295,,Manav Jaini,40,0.12,4.9,0.0,4.9
294,296,,"Efren Serna, Jr.",40,0.12,4.87,-0.73,5.6
295,297,,Mitchell Brown,40,0.12,4.78,-9.69,4.0
296,298,,Mark Purser,40,0.12,4.64,-8.6,
297,299,,Toshi Izawa,40,0.12,4.62,-2.91,3.65
298,300,,Yoshinori Fujimoto,40,0.12,4.6,-1.35,3.25
299,301,,Andrew Tampion,44,0.11,5.06,-13.52,
300,302,,Kieran Pratt,40,0.11,4.46,0.0,4.46
301,303,,Bradley Smith,40,0.11,4.46,-0.23,4.69
302,304,,Miguel Angel Carballo,49,0.11,5.46,-4.24,5.79
303,305,,John Huh,40,0.11,4.45,-0.38,4.83
304,306,,Steven Jones,40,0.11,4.44,-1.45,4.25
305,307,,Ashley Hall,40,0.11,4.43,-8.59,1.65
306,308,,Jinho Choi,40,0.11,4.41,-0.27,4.68
307,309,,Piya Swangarunporn,40,0.11,4.38,-1.56,4.81
308,310,,Massy Kuramoto,40,0.11,4.36,-0.8,5.17
309,311,,Tim Stewart,40,0.11,4.33,-2.77,3.37
310,312,,Mukesh Kumar,40,0.11,4.32,-2.34,3.98
311,313,,Antonio Lascuna,40,0.11,4.29,-7.75,3.24
312,314,,David Hewan,40,0.11,4.29,-2.85,2.8
313,315,,Masatsugu Fujishima,40,0.11,4.28,-0.04,4.32
314,316,,Jun Kikuchi,40,0.1,4.15,-3.16,3.24
315,317,,Ashok Kumar,40,0.1,4.09,-3.62,2.6
316,318,,Himmat Rai,40,0.1,4.08,-4.34,1.34
317,319,,Richard Lee,40,0.1,4.07,-0.7,3.6
318,320,,Chehuang Tsai,40,0.1,4.06,0.0,4.06
319,321,,Jacques Blaauw,40,0.1,4.05,-2.01,2.42
320,322,,Louis Moolman,40,0.1,4.02,-2.68,5.72
321,323,,David Bransdon,40,0.1,3.91,-1.29,3.91
322,324,,Madalitso Muthiya,40,0.1,3.91,-0.29,4.2
323,325,,Michael Campbell,48,0.1,4.67,-16.79,4.67
324,326,,Carlos Franco,40,0.1,3.89,-3.9,4.72
325,327,,Oscar Fraustro,40,0.1,3.84,-0.37,3.94
326,328,,Scott Arnold,40,0.1,3.82,-1.01,4.83
327,329,,Lin Wen-hong,40,0.1,3.81,-5.76,2.52
328,330,,Steve Dartnall,40,0.09,3.79,-10.1,1.65
329,331,,Manuel Villegas,40,0.09,3.79,-2.82,4.45
330,332,,Sung Joon Park,40,0.09,3.79,-0.13,3.92
331,333,,Kunal Bhasin,40,0.09,3.77,-0.11,3.88
332,334,,Tommy Nakajima,40,0.09,3.77,-9.4,
333,335,,Joe Ozaki,40,0.09,3.75,-0.64,3.75
334,336,,Daniel Greene,40,0.09,3.71,-1.89,5.6
335,337,,Peter Lonard,40,0.09,3.6,-19.96,
336,338,,Alan Wagner,41,0.09,3.67,-8.77,
337,339,,Mark Murless,40,0.09,3.57,-4.8,3.85
338,340,,Alan Michell,40,0.09,3.54,-1.38,3.36
339,341,,Jong-Duck Kim,40,0.09,3.52,-8.62,
340,342,,Bradford Vaughan,40,0.09,3.4,-3.05,2.7
341,343,,Anthony Summers,40,0.08,3.37,-2.86,3.7
342,344,,Lu-Sen Lien,40,0.08,3.25,-1.56,3.78
343,345,,Ryutaro Nagano,40,0.08,3.21,-3.14,1.31
344,346,,Theunis Spangenberg,40,0.08,3.15,-0.58,3.73
345,347,,James Love,40,0.08,3.14,-5.8,
346,348,,Yosuke Asaji,40,0.08,3.11,-0.59,3.71
347,349,,Andrew McLardy,47,0.08,3.64,-21.51,
348,350,,Atthaphon Prathummanee,40,0.08,3.09,-2.73,3.06
349,351,,Stuart Anderson,40,0.08,3.06,-6.81,
350,352,,Jaco Ahlers,40,0.07,2.98,-2.47,3.78
351,353,,Frankie Minoza,40,0.07,2.9,-6.39,1.5
352,354,,Rafael Gómez,40,0.07,2.88,-8.01,
353,355,,Ryan Cairns,40,0.07,2.83,-0.48,3.31
354,356,,Charl Coetzee,40,0.07,2.74,-6.31,1.21
355,357,,Brandon Pieters,40,0.07,2.71,-6.27,
356,358,,Stephen Leaney,40,0.07,2.71,-2.6,1.3
357,359,,César Monasterio,40,0.07,2.7,-1.78,2.71
358,360,,Mauricio Molina,40,0.07,2.7,-7.79,1.2
359,361,,Andrew Curlewis,40,0.07,2.66,-0.79,3.45
360,362,,Chris Gaunt,40,0.07,2.65,-8.46,1.31
361,363,,Brenden Pappas,54,0.07,3.53,-5.11,3.85
362,364,,Norio Shinozaki,40,0.07,2.6,-8.48,
363,365,,Masamichi Ito,40,0.07,2.6,0.0,2.6
364,366,,Scott Laycock,40,0.06,2.59,-3.31,1.33
365,367,,Jason Norris,40,0.06,2.58,-4.66,
366,368,,Andrew Martin,40,0.06,2.57,-1.1,2.47
367,369,,Adam Groom,40,0.06,2.56,-0.89,2.56
368,370,,Justin Smith,40,0.06,2.55,-0.34,2.89
369,371,,Matthew Millar,40,0.06,2.53,-4.91,1.27
370,372,,David Lutterus,40,0.06,2.53,-4.28,3.67
371,373,,Boonchu Ruangkit,40,0.06,2.51,-3.8,
372,374,,Jason King,40,0.06,2.5,-6.35,1.21
373,375,,Andrew Tschudin,40,0.06,2.5,-1.59,2.04
374,376,,Shamim Khan,40,0.06,2.48,-0.88,3.36
375,377,,Ryan McCarthy,40,0.06,2.48,0.0,2.48
376,378,,Peter Wilson,40,0.06,2.48,-2.33,1.58
377,379,,Martin Maritz,40,0.06,2.48,-1.68,2.29
378,380,,Tung HSIEH,40,0.06,2.47,-0.33,2.8
379,381,,Steven Jeffress,40,0.06,2.43,-1.64,1.23
380,382,,Steve Collins,40,0.06,2.4,0.0,2.4
381,383,,Chang-won Han,40,0.06,2.4,0.0,2.4
382,384,,Hirohito Koizumi,40,0.06,2.37,-0.29,2.65
383,385,,Grant Muller,40,0.06,2.35,-1.74,1.65
384,386,,Annop Tangkamolprasert,40,0.06,2.34,-2.05,
385,387,,Yoshiyuki Uemoto,40,0.06,2.32,-0.44,2.75
386,388,,Takamasa Yamamoto,40,0.06,2.31,-2.22,2.61
387,389,,Christiaan Basson,40,0.06,2.3,-4.19,1.23
388,390,,Steven Alker,40,0.06,2.28,-10.1,
389,391,,Gaurav Ghei,40,0.06,2.27,-5.18,1.37
390,392,,Chien Soon Lu,40,0.06,2.26,-3.01,
391,393,,Derek Gillespie,40,0.06,2.25,-1.45,2.1
392,394,,Danny Sahl,40,0.06,2.25,-0.26,2.51
393,395,,Varut Chomchalam,40,0.05,2.16,-1.84,1.43
394,396,,Digvijay Singh,40,0.05,2.15,-3.62,
395,397,,Mao-Chang Sung,40,0.05,2.13,-1.66,1.49
396,398,,Pijit Petkasem,40,0.05,2.11,-1.87,1.96
397,399,,Masanori Kobayashi,40,0.05,2.1,-3.08,
398,400,,Harmeet Kahlon,40,0.05,2.1,-1.68,
399,401,,Mahal Pearce,40,0.05,2.09,-1.21,1.31
400,402,,Hsu Mong-nan,40,0.05,2.05,-3.31,1.34
401,403,,Craig Scott,40,0.05,2.05,-2.74,
402,404,,Mitch Gillis,40,0.05,2.02,-0.07,2.09
403,405,,Cesar Coello,40,0.05,2.01,-0.09,2.1
404,406,,Airil-rizman Zahari,40,0.05,1.95,-0.91,1.37
405,407,,Darren Griff,40,0.05,1.94,-0.86,1.32
406,408,,Adam Crawford,40,0.05,1.92,-0.91,1.23
407,409,,Keng-Chi Lin,40,0.05,1.92,-2.28,
408,410,,Hugo León,40,0.05,1.92,-3.78,
409,411,,Brad Fritsch,40,0.05,1.87,-4.88,1.28
410,412,,Paul Gow,40,0.05,1.87,-2.76,
411,413,,Sanjay Kumar,40,0.05,1.86,-1.38,2.52
412,414,,Andrew Georgiou,40,0.05,1.85,-0.92,2.77
413,415,,Lee Curry,40,0.05,1.85,-0.25,2.1
