,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
53,T53,T53,Rory McIlroy,16,5.17,388,7500,,
54,55,55,Jason Dufner,25,5.1,383,7500,,
55,56,56,Josh Teater,31,5.05,253,5000,,
56,57,57,David Toms,25,4.93,370,7500,,
57,58,58,Brian Davis,32,4.9,368,7500,,
58,59,59,Kris Blanks,30,4.8,240,5000,,
59,60,60,Chris Couch,23,4.75,238,5000,,
60,61,61,Davis Love III,24,4.65,233,5000,,
61,62,62,J.B. Holmes,26,4.64,348,7500,,
62,63,63,Sean O'Hair,25,4.63,348,7500,,
63,64,64,Bryce Molder,26,4.53,340,7500,,
64,65,65,J.P. Hayes,25,4.25,213,5000,,
65,66,66,Stephen Ames,23,4.23,318,7500,,
66,67,67,Freddie Jacobson,24,3.67,275,7500,,
67,68,68,Robert Garrigus,22,3.5,88,2500,,
68,69,69,Jeff Overton,26,3.43,343,10000,,
69,70,70,Y.E. Yang,21,3.27,245,7500,,
70,T71,T71,Troy Matteson,28,3.0,150,5000,,
71,T71,T71,Webb Simpson,31,3.0,150,5000,,
72,73,73,Steve Marino,24,2.85,143,5000,,
73,74,74,Jonathan Byrd,26,2.7,68,2500,,
74,75,75,Stuart Appleby,31,2.67,200,7500,,
75,76,76,Carl Pettersson,29,2.53,190,7500,,
76,T77,T77,Padraig Harrington,18,2.2,110,5000,,
77,T77,T77,D.A. Points,29,2.2,110,5000,,
78,79,79,John Rollins,26,2.05,103,5000,,
79,80,80,Jason Bohn,25,2.03,153,7500,,
80,81,81,Brendon de Jonge,32,1.8,135,7500,,
81,82,82,Jimmy Walker,27,1.75,88,5000,,
82,83,83,Aaron Baddeley,26,1.55,78,5000,,
83,84,84,Anthony Kim,14,1.5,113,7500,,
84,85,85,David Duval,24,1.1,28,2500,,
85,86,86,Ricky Barnes,28,1.07,80,7500,,
86,T87,T87,Chad Campbell,28,0.95,48,5000,,
87,T87,T87,Pat Perez,27,0.95,48,5000,,
88,89,89,Blake Adams,26,0.85,43,5000,,
89,T90,T90,Chad Collins,26,0.55,28,5000,,
90,T90,T90,Lucas Glover,23,0.55,28,5000,,
91,T90,T90,Spencer Levin,31,0.55,28,5000,,
92,T93,T93,John Merrick,31,0.4,10,2500,,
93,T93,T93,Kenny Perry,20,0.4,10,2500,,
94,95,95,Scott Verplank,22,0.37,28,7500,,
95,96,96,Charles Howell III,28,0.35,18,5000,,
96,97,97,Paul Goydos,25,0.2,5,2500,,
97,T98,T98,J.J. Henry,27,0.1,5,5000,,
98,T98,T98,Shaun Micheel,21,0.1,5,5000,,
