,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
53,54,54,Y.E. Yang,21,8.64,678.0,7850,,2.0
54,55,55,Brandt Snedeker,26,8.47,813.0,9600,,4.0
55,56,56,Marc Leishman,26,8.44,738.0,8750,,2.0
56,57,57,Steve Marino,24,8.21,636.0,7750,,2.0
57,58,58,Stewart Cink,23,8.12,678.0,8350,,3.0
58,59,59,Bryce Molder,26,7.79,748.0,9600,,6.0
59,60,60,Charles Howell III,28,7.77,746.0,9600,,4.0
60,61,61,Brian Gay,30,7.68,714.0,9300,,2.0
61,62,62,Ángel Cabrera,19,7.66,524.0,6850,,2.0
62,63,63,Steve Elkington,22,7.61,571.0,7500,,3.0
63,64,64,Stephen Ames,23,7.41,548.0,7400,,1.0
64,65,65,Henrik Stenson,15,7.39,321.0,4350,,1.0
65,T66,T66,Jason Dufner,25,7.26,617.0,8500,,2.0
66,T66,T66,Sergio Garcia,15,7.26,461.0,6350,,1.0
67,68,68,Brian Davis,32,7.2,781.0,10850,,2.0
68,69,69,Charlie Wi,27,7.18,690.0,9600,,3.0
69,70,70,John Rollins,26,7.08,634.0,8950,,2.0
70,71,71,Rory Sabbatini,26,7.06,618.0,8750,,2.0
71,72,72,Chris Riley,24,6.82,512.0,7500,,3.0
72,73,73,Justin Leonard,27,6.7,556.0,8300,,1.0
73,74,74,Fred Couples,7,6.69,208.0,3100,,1.0
74,75,75,Kenny Perry,20,6.65,555.0,8350,,1.0
75,76,76,Vijay Singh,24,6.64,588.0,8850,,2.0
76,77,77,Kirk Triplett,11,6.63,199.0,3000,,
77,78,78,Paul Stankowski,18,6.57,296.0,4500,,2.0
78,79,79,Paul Goydos,25,6.56,597.0,9100,,3.0
79,80,80,D.J. Trahan,27,6.52,577.0,8850,,5.0
80,81,81,Garrett Willis,24,6.47,517.0,8000,,1.0
81,82,82,Robert Garrigus,22,6.36,382.0,6000,,2.0
82,83,83,Charley Hoffman,24,6.35,546.0,8600,,3.0
83,84,84,Davis Love III,24,6.25,475.0,7600,,3.0
84,85,85,Spencer Levin,31,6.24,646.0,10350,,1.0
85,86,86,Matt Jones,27,6.16,647.0,10500,,5.0
86,87,87,J.J. Henry,27,5.92,598.0,10100,,2.0
87,88,88,Kent Jones,9,5.84,117.0,2000,,1.0
88,89,89,Tom Gillis,27,5.83,554.0,9500,,2.0
89,90,90,Andres Romero,21,5.69,418.0,7350,,2.0
90,91,91,Aaron Baddeley,26,5.59,481.0,8600,,1.0
91,92,92,Joe Durant,19,5.58,321.0,5750,,1.0
92,T93,T93,D.A. Points,29,5.52,544.0,9850,,3.0
93,T93,T93,Aron Price,22,5.52,358.0,6500,,2.0
94,T95,T95,Kris Blanks,30,5.48,554.0,10100,,3.0
95,T95,T95,Chad Campbell,28,5.48,551.0,10050,,2.0
96,97,97,Boo Weekley,27,5.45,526.0,9650,,3.0
97,98,98,Tim Petrovic,32,5.4,532.0,9850,,2.0
98,99,99,Greg Chalmers,27,5.39,558.0,10350,,2.0
99,100,100,Jimmy Walker,27,5.36,554.0,10350,,2.0
100,101,101,Jerry Kelly,29,5.33,493.0,9250,,1.0
101,102,102,David Duval,24,5.31,404.0,7600,,1.0
102,103,103,Cameron Beckman,25,5.27,427.0,8100,1.0,2.0
103,T104,T104,Alex Cejka,28,5.23,489.0,9350,,4.0
104,T104,T104,Brett Wetterich,16,5.23,248.0,4750,,
105,106,106,Martin Laird,26,5.21,477.0,9150,,2.0
106,107,107,Chad Collins,26,5.2,512.0,9850,,3.0
107,T108,T108,John Senden,30,5.19,467.0,9000,,
108,T108,T108,Kevin Sutherland,25,5.19,499.0,9600,,1.0
109,110,110,Bob Estes,26,5.17,432.0,8350,,2.0
110,T111,T111,Chris Couch,23,5.04,472.0,9350,,2.0
111,T111,T111,Ben Curtis,24,5.04,416.0,8250,,1.0
112,113,113,Pat Perez,27,5.03,534.0,10600,,3.0
113,114,114,Blake Adams,26,5.01,514.0,10250,,2.0
114,115,115,Craig Barlow,10,4.99,100.0,2000,,1.0
115,116,116,J.P. Hayes,25,4.96,439.0,8850,,3.0
116,117,117,Tom Pernice Jr.,22,4.91,331.0,6750,,1.0
117,118,118,Jeff Maggert,28,4.88,463.0,9500,,2.0
118,119,119,Alex Prugh,28,4.85,526.0,10850,,3.0
119,120,120,Derek Lamely,28,4.82,487.0,10100,1.0,1.0
120,121,121,Arjun Atwal,13,4.8,192.0,4000,,1.0
121,T122,T122,Trevor Immelman,19,4.67,266.0,5700,,
122,T122,T122,Josh Teater,31,4.67,502.0,10750,,2.0
123,124,124,Mike Weir,19,4.59,360.0,7850,,1.0
124,125,125,Briny Baird,28,4.53,458.0,10100,,1.0
125,126,126,Ryuji Imada,28,4.52,445.0,9850,,2.0
126,127,127,Frank Lickliter II,6,4.49,67.0,1500,,
127,128,128,Matt Bettencourt,32,4.46,472.0,10600,1.0,1.0
128,129,129,Kevin Streelman,28,4.45,460.0,10350,,3.0
129,130,130,Jonathan Byrd,26,4.44,415.0,9350,,2.0
130,131,131,Nick O'Hern,11,4.42,247.0,5600,,2.0
131,T132,T132,Troy Matteson,28,4.41,425.0,9650,,2.0
132,T132,T132,Webb Simpson,31,4.41,478.0,10850,,1.0
133,134,134,John Merrick,31,4.4,449.0,10200,,1.0
134,135,135,Jeev Milkha Singh,19,4.36,253.0,5800,,1.0
135,136,136,Bill Lunde,28,4.34,449.0,10350,1.0,3.0
136,137,137,Matt Every,18,4.29,322.0,7500,,1.0
137,138,138,Nathan Green,27,4.27,414.0,9700,,1.0
138,139,139,Kevin Stadler,28,4.22,394.0,9350,,4.0
139,140,140,Michael Letzig,27,4.21,415.0,9850,,1.0
140,141,141,Chris Stroud,27,4.17,369.0,8850,,2.0
141,T142,T142,Jarrod Lyle,18,4.12,227.0,5500,,2.0
142,T142,T142,Joe Ogilvie,32,4.12,454.0,11000,,1.0
143,T144,T144,Woody Austin,29,4.0,394.0,9850,,3.0
144,T144,T144,Gary Woodland,8,4.0,110.0,2750,,
145,146,146,Graham DeLaet,28,3.93,393.0,10000,,1.0
146,147,147,Glen Day,13,3.83,144.0,3750,,
147,148,148,Michael Connell,25,3.8,314.0,8250,,1.0
148,149,149,Scott Piercy,28,3.77,380.0,10100,,2.0
149,150,150,Michael Allen,17,3.68,243.0,6600,,1.0
150,T151,T151,Richard Johnson,27,3.65,323.0,8850,,2.0
151,T151,T151,Jeff Quinney,29,3.65,378.0,10350,,1.0
152,153,153,James Driscoll,26,3.64,340.0,9350,,1.0
153,154,154,Jay Williamson,24,3.62,280.0,7750,,1.0
154,155,155,Chris DiMarco,25,3.58,286.0,8000,,1.0
155,T156,T156,Shane Bertsch,4,3.56,53.0,1500,,
156,T156,T156,Michael Bradley,24,3.56,306.0,8600,,
157,T156,T156,Will MacKenzie,23,3.56,267.0,7500,,
158,159,159,Billy Mayfair,26,3.49,314.0,9000,,2.0
159,160,160,George McNeill,28,3.43,338.0,9850,,1.0
160,161,161,Mark Hensby,12,3.35,142.0,4250,,
161,162,162,Scott McCarron,29,3.34,354.0,10600,,1.0
162,163,163,Mark Wilson,28,3.31,343.0,10350,,1.0
163,164,164,John Mallinger,29,3.3,342.0,10350,,1.0
164,165,165,Mathias Grönberg,22,3.29,198.0,6000,,1.0
165,166,166,Chris Tidland,24,3.28,271.0,8250,,1.0
166,167,167,Guy Boros,6,3.22,48.0,1500,,
167,168,168,Dicky Pride,5,3.14,39.0,1250,,
168,169,169,Troy Merritt,29,3.12,331.0,10600,,1.0
169,170,170,James Nitties,30,3.05,338.0,11100,,1.0
170,171,171,Brett Quigley,29,3.03,336.0,11100,,1.0
171,T172,T172,Tim Herron,24,3.02,234.0,7750,,
172,T172,T172,Rod Pampling,26,3.02,275.0,9100,,
173,174,174,Lee Janzen,26,2.92,280.0,9600,,1.0
174,175,175,Skip Kendall,18,2.9,159.0,5500,,1.0
175,176,176,Steve Flesch,25,2.87,272.0,9450,,1.0
176,177,177,Marco Dawson,10,2.73,82.0,3000,,
177,178,178,Mathew Goggin,28,2.71,267.0,9850,,1.0
178,179,179,Jason Gore,10,2.7,81.0,3000,,
179,180,180,Cameron Percy,25,2.65,206.0,7750,,
180,181,181,Nicholas Thompson,29,2.62,284.0,10850,,1.0
181,182,182,Carlos Franco,11,2.61,92.0,3500,,
182,183,183,Roger Tambellini,26,2.58,219.0,8500,,1.0
183,184,184,Steve Wheatcroft,27,2.51,213.0,8500,,1.0
184,185,185,Rich Barcelo,25,2.49,187.0,7500,,
185,186,186,Brian Stuard,28,2.38,226.0,9500,,1.0
186,187,187,Graeme McDowell,10,2.35,91.0,3850,,
187,188,188,Jeff Klauk,13,2.33,148.0,6350,,
188,189,189,Garth Mulroy,19,2.29,160.0,7000,,1.0
189,190,190,Ted Purdy,30,2.24,244.0,10850,,
190,T191,T191,Henrik Bjornstad,26,2.21,188.0,8500,,
191,T191,T191,Matt Weibring,10,2.21,83.0,3750,,
192,T191,T191,Tim Wilkinson,15,2.21,133.0,6000,,
193,194,194,Omar Uresti,27,2.14,192.0,9000,,1.0
194,195,195,Charles Warren,21,2.1,116.0,5500,,1.0
195,196,196,Fred Funk,6,2.09,44.0,2100,,
196,197,197,Cliff Kresge,17,2.03,91.0,4500,,
197,198,198,Johnson Wagner,28,2.02,197.0,9750,,
198,199,199,Willie Wood,2,2.0,5.0,250,,
199,200,200,Jonathan Kaye,6,1.93,34.0,1750,,
200,201,201,Robert Damron,4,1.88,24.0,1250,,
201,202,202,Greg Owen,27,1.87,184.0,9850,,
202,203,203,Rich Beem,11,1.77,80.0,4500,,
203,T204,T204,Len Mattiace,6,1.72,22.0,1250,,
204,T204,T204,Chez Reavie,15,1.72,125.0,7250,,
205,206,206,Robert Gamez,8,1.69,47.0,2750,,1.0
206,207,207,Rocco Mediate,25,1.67,150.0,9000,,
207,208,208,Cameron Tringale,22,1.65,107.0,6500,,
208,209,209,Harrison Frazar,17,1.63,116.0,7100,,
209,210,210,John Daly,20,1.62,97.0,6000,,
210,211,211,Martin Flores,26,1.57,137.0,8750,,1.0
211,212,212,Roland Thatcher,26,1.52,142.0,9350,,1.0
212,213,213,John Morse,5,1.49,19.0,1250,,
213,214,214,Daniel Chopra,28,1.4,142.0,10100,,
214,215,215,Mark Calcavecchia,16,1.34,88.0,6600,,
215,216,216,Shigeki Maruyama,4,1.3,20.0,1500,,
216,217,217,David Lutterus,25,1.29,103.0,8000,,
217,218,218,Michael Clark II,6,1.27,19.0,1500,,
218,T219,T219,Jeff Gove,22,1.18,77.0,6500,,
219,T219,T219,Brenden Pappas,24,1.18,89.0,7500,,
220,T219,T219,Phil Tataurangi,4,1.18,12.0,1000,,
221,222,222,Jim Carter,5,1.17,18.0,1500,,
222,T223,T223,Tom Byrum,3,1.1,11.0,1000,,
223,T223,T223,J.L. Lewis,4,1.1,14.0,1250,,
224,225,225,Todd Hamilton,20,1.09,64.0,5850,,
225,226,226,Craig Bowden,20,1.06,79.0,7500,,
226,227,227,Vance Veazey,23,1.05,73.0,7000,,
227,228,228,Chris Smith,10,0.88,27.0,3000,,
228,229,229,Fran Quinn,7,0.87,26.0,3000,,
229,230,230,Mark Brooks,14,0.78,29.0,3750,,
230,231,231,John Huston,13,0.75,40.0,5250,,
231,232,232,Steve Lowery,25,0.73,67.0,9250,,
232,233,233,Brent Delahoussaye,21,0.71,43.0,6000,,
233,234,234,Chris Wilson,26,0.68,58.0,8500,,
234,235,235,Jerod Turner,21,0.67,57.0,8500,,
235,236,236,Kevin Johnson,26,0.55,53.0,9500,,
236,237,237,Parker McLachlin,20,0.48,32.0,6750,,
237,238,238,Brad Faxon,23,0.46,39.0,8500,,
238,239,239,Eric Axley,6,0.44,6.0,1250,,
239,240,240,Andrew McLardy,21,0.38,23.0,6000,,
240,T241,T241,Tommy Armour III,5,0.3,6.0,2000,,
241,T241,T241,Chris Baryla,7,0.3,9.0,3000,,
242,243,243,Robin Freeman,4,0.22,2.0,1000,,
243,244,244,Greg Kraft,22,0.21,14.0,6750,,
244,245,245,Paul Azinger,1,0.17,1.0,500,,
245,246,246,Brad Adamonis,4,0.09,2.0,2000,,
246,247,247,Justin Bolli,23,0.08,6.0,7500,,
247,248,248,Spike McRoy,4,0.05,,1000,,
